#,Ticker,Name,Listing_Date,Window_End,Timeframe,Listing_Price,End_Price,Total_Return_%
1,BBC,Bishal Bazar Company Limited,7/20/95,7/20/96,1 year,2220,3550,55.41
2,CFCL,Central Finance Limited,4/4/03,4/4/04,1 year,140,120,-14.29
3,BPCL,Butwal Power Company Limited,1/20/05,1/20/06,1 year,280,480,78.57
4,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,2/9/05,2/9/06,1 year,115,100,-8.7
5,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,6/14/05,6/14/06,1 year,120,110,-8.33
6,CHCL,Chilime Hydro power Company Limited,6/13/06,6/13/07,1 year,281,860,206.05
7,AHPC,Arun Valley Hydropower Development Company Limited,11/25/09,11/25/10,1 year,790,447,-43.42
8,ALICL,Asian Life Insurance Company Limited,5/12/10,5/12/11,1 year,337,205,-39.17
9,ADBL,Agricultural Development Bank Limited,9/2/10,9/2/11,1 year,255,125,-50.98
10,MBL,Machhapuchchhre Bank Limited,3/20/11,3/20/12,1 year,153,117,-30.07
11,EBL,Everest Bank Limited,3/20/11,3/20/12,1 year,984,695,-17.23
12,GBBL,Garima Bikas Bank Limited,3/20/11,3/20/12,1 year,141,118,-3.55
13,HBL,Himalayan Bank Limited,3/20/11,3/20/12,1 year,585,450,-4.81
14,ICFC,ICFC Finance Limited,3/20/11,3/20/12,1 year,204,108,-40.45
15,KBL,Kumari Bank Limited,3/20/11,3/20/12,1 year,270,170,-31.84
16,LICN,Life Insurance Corporation Nepal Limited,3/20/11,3/20/12,1 year,620,567,-8.55
17,NHPC,National Hydro Power Company Limited,3/20/11,3/20/12,1 year,41,45,14.63
18,NABIL,Nabil Bank Limited,3/20/11,3/20/12,1 year,1170,874,-22.74
19,NTC,Nepal Doorsanchar Company Limited,3/20/11,3/20/12,1 year,446,400,-0.22
20,PCBL,Prime Commercial Bank Limited,3/20/11,3/20/12,1 year,248,170,-26.36
21,SBI,Nepal SBI Bank Limited,3/20/11,3/20/12,1 year,560,427,-13.33
22,SBL,Siddhartha Bank Limited,3/20/11,3/20/12,1 year,263,200,-16.81
23,SCB,Standard Chartered Bank Nepal Limited,3/20/11,3/20/12,1 year,1770,1360,-20.34
24,NMB,NMB Bank Limited,3/20/11,3/20/12,1 year,250,154,-34.8
25,NFS,Nepal Finance Limited,3/24/11,3/24/12,1 year,195,134,-16.82
26,SHL,Soaltee Hotel Limited,3/24/11,3/24/12,1 year,238,197,-18.49
27,SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,3/24/11,3/24/12,1 year,185,198,24.73
28,NLIC,Nepal Life Insurance Company Limited,3/25/11,3/25/12,1 year,725,630,-13.1
29,NIL,Neco Insurance Limited,3/25/11,3/25/12,1 year,118,100,0
30,SICL,Shikhar Insurance Company Limited,3/25/11,3/25/12,1 year,301,249,-18.6
31,NLICL,National Life Insurance Company Limited,3/25/11,3/25/12,1 year,307,314,2.28
32,BNT,Bottlers Nepal Limited,3/25/11,3/25/12,1 year,745,1018,41.61
33,OHL,Oriental Hotel Limited,3/28/11,3/28/12,1 year,100,75,-25
34,TRH,Taragaon Regency Hotel Limited,3/28/11,3/28/12,1 year,85,78,-8.24
35,UNL,Unilever Nepal Limited,3/28/11,3/28/12,1 year,5880,6032,2.59
36,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,4/6/11,4/6/12,1 year,225,178,-12.93
37,CIT,Citizen Investment Trust,4/6/11,4/6/12,1 year,587,593,2.9
38,BNL,Bottlers Nepal Limited,4/19/11,4/19/12,1 year,713,1680,144.74
39,NICL,Nepal Insurance Company Limited,4/27/11,4/27/12,1 year,360,209,-47.22
40,HDL,Himalayan Distillery Limited,10/24/11,10/24/12,1 year,100,98,0
41,MNBBL,Muktinath Bikas Bank Limited,11/3/11,11/3/12,1 year,312,256,1.08
42,STC,Salt Trading Corporation Limited,2/1/12,2/1/13,1 year,256,209,23.09
43,SANIMA,Sanima Bank Limited,2/27/12,2/27/13,1 year,254,283,13.58
44,FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,6/10/12,6/10/13,1 year,141,145,14.74
45,GBIME,Global IME Bank Limited,9/9/12,9/9/13,1 year,175,430,158.8
46,NBL,Nepal Bank Limited,12/17/12,12/17/13,1 year,395,355,783.85
47,SLBBL,Swarojgar Laghubitta Bittiya Sanstha Limited,6/19/13,6/19/14,1 year,153,1203,698.69
48,NICA,NIC Asia Bank Limited,7/14/13,7/14/14,1 year,504,980,98.41
49,NLG,NLG Insurance Company Limited,7/17/13,7/17/14,1 year,275,862,248.82
50,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,10/8/13,10/8/14,1 year,605,1405,168.94
51,SHPC,Sanima Mai Hydropower Limited,1/22/14,1/22/15,1 year,324,783,141.67
52,KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,2/6/14,2/6/15,1 year,399,1000,151.88
53,MLBBL,Mithila Laghubitta Bittiya Sanstha Limited,6/26/14,6/26/15,1 year,376,920,189.75
54,LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,10/14/14,10/14/15,1 year,307,944,207.49
55,PRVU,Prabhu Bank Limited,1/4/15,1/4/16,1 year,227,438,82.82
56,PRIN,Prabhu Insurance Company Limited,6/4/15,6/4/16,1 year,373,1127,257.32
57,RBCL,Rastriya Beema Company Limited,6/22/15,6/22/16,1 year,5202,8132,48.89
58,BARUN,Barun Hydropower Company Limited,10/15/15,10/15/16,1 year,304,400,32.24
59,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,11/10/15,11/10/16,1 year,343,1210,252.77
60,API,Api Power Company Limited,11/18/15,11/18/16,1 year,307,540,87.77
61,GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Limited,11/25/15,11/25/16,1 year,120,579,395
62,HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,11/26/15,11/26/16,1 year,318,690,121.7
63,JSLBB,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,12/10/15,12/10/16,1 year,419,1787,412.08
64,GILB,Global IME Laghubitta Bittiya Sanstha Limited,12/22/15,12/22/16,1 year,321,1226,288.16
65,HIDCL,Hydroelectricity Investment and Development Company Limited,7/12/16,7/12/17,1 year,359,193,-44.85
66,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,9/5/16,9/5/17,1 year,392,2337,547.96
67,NGPL,Ngadi Group Power Limited,9/7/16,9/7/17,1 year,277,230,-6.67
68,KKHC,Khani Khola Hydropower Company Limited,1/12/17,1/12/18,1 year,353,148,-56.94
69,NMFBS,National Laghubitta Bittiya Sanstha Limited,2/8/17,2/8/18,1 year,506,2200,424.7
70,RSDC,RSDC Laghubitta Bittiya Sanstha Limited,2/8/17,2/8/18,1 year,346,983,1008.49
71,DHPL,Dibyashwari Hydropower Company Limited,2/13/17,2/13/18,1 year,348,138,-60.34
72,AKPL,Arun Kabeli Power Limited,4/16/17,4/16/18,1 year,326,265,-18.71
73,SPDL,Synergy Power Development Limited,5/17/17,5/17/18,1 year,265,135,-49.06
74,FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,5/21/17,5/21/18,1 year,1051,2499,258.09
75,UMHL,United Modi Hydropower Limited,5/30/17,5/30/18,1 year,329,190,-40.73
76,SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,7/26/17,7/26/18,1 year,411,1329,290.85
77,CHL,Chhyangdi Hydropower Company Limited,8/3/17,8/3/18,1 year,323,126,-60.68
78,HPPL,Himalayan Power Partner Limited,8/21/17,8/21/18,1 year,363,251,-30.85
79,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,8/31/17,8/31/18,1 year,1658,2365,113.21
80,NHDL,Nepal Hydro Developer Limited,11/15/17,11/15/18,1 year,322,121,-62.42
81,RADHI,Radhi Bidyut Company Limited,3/27/18,3/27/19,1 year,170,172,11.65
82,SMB,Support Laghubitta Bittiya Sanstha Limited,4/5/18,4/5/19,1 year,313,609,96.49
83,NADEP,NADEP Laghubitta Bittiya Sanstha Limited,8/30/18,8/30/19,1 year,650,461,69.62
84,KPCL,Kalika Power Company Limited,10/11/18,10/11/19,1 year,121,80,-34.71
85,PMHPL,Panchakanya Mai Hydropower Limited,10/11/18,10/11/19,1 year,136,88,-34.56
86,AKJCL,Ankhukhola Hydropower Company Limited,12/20/18,12/20/19,1 year,102,57,-44.12
87,JOSHI,Joshi Hydropower Development Company Limited,1/7/19,1/7/20,1 year,279,67,-75.99
88,UPPER,Upper Tamakoshi Hydropower Limited,1/13/19,1/13/20,1 year,224,249,11.16
89,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,1/21/19,1/21/20,1 year,505,789,106.57
90,GHL,Ghalemdi Hydro Limited,2/17/19,2/17/20,1 year,190,69,-66.84
91,ALBSL,Asha Laghubitta Bittiya Sanstha Limited,3/11/19,3/11/20,1 year,306,710,160.08
92,SHIVM,Shivam Cements Limited,3/24/19,3/24/20,1 year,418,473,24.06
93,UPCL,Universal Power Company Limited,3/24/19,3/24/20,1 year,270,67,-72.96
94,MHNL,Mountain Hydro Nepal Limited,4/17/19,4/17/20,1 year,101,87,-12.87
95,PPCL,Panchthar Power Company Limited,5/5/19,5/5/20,1 year,255,100,-58.04
96,HURJA,Himalaya Urja Bikas Company Limited,5/22/19,5/22/20,1 year,144,93,-34.72
