symbol,listing_date,end_date,years,start_price,ltp,initial_investment,total_units,market_value,cash_dividends,right_share_cost,total_invested,total_value,cagr_pct
GIBF1,9/28/22,5/8/26,3.61,9,10.8,100000,11111.11,120000,244444.44,0,100000,364444.44,43.1
PPL,10/16/22,5/8/26,3.56,255.7,345,100000,586.62,202385.61,0,19554.17,119554.17,202385.61,15.94
SBID83,10/16/22,5/6/26,3.55,1000,1075,100000,100,107500,0,0,100000,107500,2.06
SPHL,10/17/22,5/8/26,3.56,214.2,512,100000,466.85,239028.94,0,0,100000,239028.94,27.76
DLBS,10/23/22,5/8/26,3.54,179.7,1319,100000,556.48,734001.11,0,0,100000,734001.11,75.61
SIKLES,11/15/22,5/8/26,3.48,321,577.9,100000,358.26,207035.83,5394.08,0,100000,212429.91,24.2
PBLD87,11/30/22,5/6/26,3.43,1000,1107,100000,100,110700,0,0,100000,110700,3.01
EHPL,12/14/22,5/8/26,3.4,237.6,384,100000,420.88,161616.16,0,0,100000,161616.16,15.18
PHCL,12/14/22,5/8/26,3.4,270,307.9,100000,370.37,114037.04,0,0,100000,114037.04,3.94
SHLB,12/20/22,5/8/26,3.38,996.6,1490,100000,100.34,149508.33,0,0,100000,149508.33,12.63
BHPL,1/4/23,5/8/26,3.34,213.7,520,100000,467.95,243331.77,0,0,100000,243331.77,30.5
SGIC,1/23/23,5/8/26,3.29,404.2,462,100000,279.26,129015.96,167.65,0,100000,129183.61,8.1
SJLIC,1/25/23,5/8/26,3.28,408.7,431.3,100000,269.78,116357.08,14956.15,0,100000,131313.23,8.65
NIMB,2/23/23,5/8/26,3.2,216,199.7,100000,462.96,92453.7,0,0,100000,92453.7,-2.42
UNLB,2/28/23,5/8/26,3.19,989.4,1460,100000,101.07,147564.18,0,0,100000,147564.18,12.97
SMHL,3/5/23,5/8/26,3.18,328.9,497.6,100000,335.21,166799.64,771.16,0,100000,167570.8,17.65
SPL,3/7/23,5/8/26,3.17,291.5,700,100000,343.05,240137.22,0,0,100000,240137.22,31.83
SAGF,3/15/23,5/8/26,3.15,10,10.15,100000,10000,101500,257900,0,100000,359400,50.13
NIMBPO,3/20/23,5/8/26,3.13,111.3,153.9,100000,898.47,138274.93,0,0,100000,138274.93,10.89
MKHC,3/22/23,5/8/26,3.13,292,316,100000,342.47,108219.18,0,0,100000,108219.18,2.56
KDL,3/23/23,5/8/26,3.13,139.7,829.9,100000,751.61,623761.63,188.4,0,100000,623950.04,79.6
AHL,3/23/23,5/8/26,3.13,328.6,524,100000,304.32,159464.39,0,0,100000,159464.39,16.1
SMH,3/27/23,5/8/26,3.12,430.1,572.1,100000,298.54,170792,1585.38,0,100000,172377.38,19.1
NSIF2,4/3/23,5/8/26,3.1,10,10.98,100000,10000,109800,250000,0,100000,359800,51.21
SPIL,4/4/23,5/8/26,3.09,573.9,705.9,100000,174.25,123000.52,11500.26,0,100000,134500.78,10.05
TAMOR,4/10/23,5/8/26,3.08,324.5,433.7,100000,308.17,133651.77,0,0,100000,133651.77,9.88
MHCL,4/13/23,5/8/26,3.07,155.1,345,100000,644.75,222437.14,0,0,100000,222437.14,29.76
SMJC,4/13/23,5/8/26,3.07,340,440,100000,308.09,135558.82,73.53,0,100000,135632.35,10.44
SFEF,4/20/23,5/8/26,3.05,10,10,100000,10000,100000,180000,0,100000,280000,40.16
NIBLGF,4/27/23,5/8/26,3.03,9,9.57,100000,11111.11,106333.33,181666.67,0,100000,288000,41.77
ANLB,5/2/23,5/8/26,3.02,436.9,6050,100000,328.64,1988284.07,1549,0,100000,1989833.06,169.45
MAKAR,5/7/23,5/8/26,3,255,488.1,100000,392.16,191411.76,0,0,100000,191411.76,24.13
SALICO,5/15/23,5/8/26,2.98,560.5,584.1,100000,178.41,104210.53,6244.42,0,100000,110454.95,3.39
MKHL,5/16/23,5/8/26,2.98,301.5,516.5,100000,331.68,171310.12,0,0,100000,171310.12,19.81
SRLI,5/21/23,5/8/26,2.97,404.8,393,100000,296.1,116365.63,5353.21,0,100000,121718.84,6.85
IGI,6/4/23,5/8/26,2.93,407.9,427,100000,245.16,104682.52,3612.85,0,100000,108295.37,2.76
PRSF,6/8/23,5/8/26,2.92,9.81,12.97,100000,10193.68,132212.03,188583.08,0,100000,320795.11,49.15
BEDC,6/8/23,5/8/26,2.92,223,360,100000,448.43,161434.98,0,0,100000,161434.98,17.85
DOLTI,6/8/23,5/8/26,2.92,287.1,332,100000,348.31,115639.15,0,0,100000,115639.15,5.11
CITY,6/11/23,5/8/26,2.91,122.2,424,100000,1473,624549.92,0,65466.45,165466.45,624549.92,57.91
MCHL,6/18/23,5/8/26,2.89,255.2,301,100000,391.85,117946.71,0,0,100000,117946.71,5.88
IHL,6/20/23,5/8/26,2.88,320.9,394.2,100000,311.62,122842.01,0,0,100000,122842.01,7.4
HLI,6/22/23,5/8/26,2.88,381.1,339,100000,299.13,101406.45,2393.07,0,100000,103799.53,1.3
RAWA,7/5/23,5/8/26,2.84,274.2,595,100000,364.7,216994.89,0,0,100000,216994.89,31.34
MEL,7/5/23,5/8/26,2.84,243,236.3,100000,411.52,97242.8,0,0,100000,97242.8,-0.98
CIZBD86,7/10/23,4/17/26,2.77,1040,1198,100000,96.15,115192.31,0,0,100000,115192.31,5.24
UAIL,7/17/23,5/8/26,2.81,538.4,453,100000,225.27,102048.95,208.1,0,100000,102257.05,0.8
RMF2,7/30/23,5/7/26,2.77,9.85,10.2,100000,10152.28,103553.3,220710.66,0,100000,324263.96,52.89
NRM,8/6/23,5/8/26,2.75,275.4,392,100000,363.11,142338.42,0,0,100000,142338.42,13.68
ILI,8/6/23,5/8/26,2.75,582.4,437.5,100000,214.63,93900.24,7003.68,0,100000,100903.92,0.33
USHL,8/13/23,5/8/26,2.74,278.9,640,100000,358.55,229472.93,0,0,100000,229472.93,35.48
TSHL,8/13/23,5/8/26,2.74,280.5,610,100000,356.51,217468.81,0,0,100000,217468.81,32.85
GCIL,8/13/23,5/8/26,2.74,509,420,100000,248.53,104381.14,118.91,0,100000,104500.05,1.62
C30MF,8/14/23,5/8/26,2.73,9.81,10.06,100000,10193.68,102548.42,231906.22,0,100000,334454.64,55.56
KBSH,8/21/23,5/8/26,2.71,526.9,1545,100000,229.65,354801.67,208.68,0,100000,355010.35,59.51
LSL,8/28/23,5/8/26,2.69,181.2,216.7,100000,682.04,147797.29,686.34,0,100000,148483.64,15.8
RNLI,9/17/23,5/8/26,2.64,495,462,100000,262.46,121258.67,3467.26,0,100000,124725.93,8.73
LVF2,9/21/23,5/8/26,2.63,10,9.51,100000,10000,95100,195000,0,100000,290100,49.96
SNLI,9/21/23,5/8/26,2.63,470,448.5,100000,351.25,157535.43,5372.41,7111.91,107111.91,162907.84,17.3
ULHC,9/25/23,5/8/26,2.62,264,510,100000,378.79,193181.82,0,0,100000,193181.82,28.6
MEHL,9/25/23,5/8/26,2.62,225,381,100000,444.44,169333.33,0,0,100000,169333.33,22.29
CLI,10/1/23,5/8/26,2.6,457.2,456,100000,291.63,132983.35,6216.33,0,100000,139199.68,13.56
HATHY,10/11/23,5/8/26,2.57,313.7,816,100000,432.01,352516.16,595.89,0,100000,353112.06,63.27
MANDU,10/11/23,5/8/26,2.57,410.5,808.2,100000,243.61,196881.85,5359.32,0,100000,202241.17,31.48
MSHL,10/12/23,5/8/26,2.57,330,697,100000,348.48,242893.94,239.09,0,100000,243133.03,41.28
BGWT,10/12/23,5/8/26,2.57,397.2,657,100000,298.49,196107.55,6924.24,0,100000,203031.8,31.72
SONA,10/29/23,5/8/26,2.52,315,437.1,100000,317.46,138761.9,0,0,100000,138761.9,13.86
MMKJL,11/20/23,5/8/26,2.46,259.6,490,100000,385.21,188751.93,0,0,100000,188751.93,29.41
TVCL,12/7/23,5/8/26,2.42,294.8,561,100000,339.21,190298.51,0,0,100000,190298.51,30.49
MKCL,12/14/23,5/8/26,2.4,196.6,1290,100000,549.34,708647,213.63,0,100000,708860.63,126.28
HBLD86,12/18/23,4/30/26,2.37,1000,1148.4,100000,100,114840,0,0,100000,114840,6.02
PMLI,12/19/23,5/8/26,2.38,589,469,100000,209.77,98380.12,1059.63,0,100000,99439.75,-0.24
RBBD83,12/20/23,5/5/26,2.37,950,1037,100000,105.26,109157.89,0,0,100000,109157.89,3.76
NWCL,12/21/23,5/8/26,2.38,229.6,800,100000,435.54,348432.06,0,0,100000,348432.06,68.99
CKHL,12/21/23,5/8/26,2.38,330,675,100000,303.03,204545.45,0,0,100000,204545.45,35.09
VLUCL,12/21/23,5/8/26,2.38,401.8,485,100000,248.88,120706.82,0,0,100000,120706.82,8.23
SBID89,1/3/24,5/8/26,2.34,1000,1140,100000,100,114000,0,0,100000,114000,5.75
SIGS3,1/4/24,5/8/26,2.34,8.42,10.42,100000,11876.48,123752.97,285035.63,0,100000,408788.6,82.49
HRL,1/8/24,5/8/26,2.33,340.1,678,100000,319.55,216656.98,135.14,0,100000,216792.12,39.39
H8020,1/14/24,5/8/26,2.31,10,11.37,100000,10000,113700,221600,0,100000,335300,68.7
NICGF2,2/11/24,5/8/26,2.24,9,9.52,100000,11111.11,105777.78,0,0,100000,105777.78,2.54
SARBTM,3/19/24,5/8/26,2.14,611.6,838,100000,183.7,153939.34,5567.36,0,100000,159506.7,24.44
MLBLD89,4/29/24,5/8/26,2.02,1061.2,1250,100000,94.23,117791.18,0,0,100000,117791.18,8.43
CIZBD90,4/30/24,5/8/26,2.02,1020,1265,100000,98.04,124019.61,0,0,100000,124019.61,11.24
KSY,5/5/24,5/8/26,2.01,10,9.3,100000,10000,93000,90000,0,100000,183000,35.14
NMLBBL,5/19/24,5/8/26,1.97,646.6,612,100000,154.66,94648.93,0,0,100000,94648.93,-2.76
NIBLSTF,6/3/24,5/8/26,1.93,9,9.49,100000,11111.11,105444.44,0,0,100000,105444.44,2.79
BOKD86KA,6/24/24,3/1/26,1.68,1020,1204,100000,98.04,118039.22,0,0,100000,118039.22,10.35
MATRI,8/13/24,5/8/26,1.73,1406.2,900,100000,71.11,64002.28,0,0,100000,64002.28,-22.7
SMPDA,8/18/24,5/8/26,1.72,1162.7,840,100000,86.01,72245.64,0,0,100000,72245.64,-17.23
MNMF1,1/16/25,5/8/26,1.31,9.45,9.73,100000,10582.01,102962.96,40211.64,0,100000,143174.6,31.63
GMLI,2/9/25,5/8/26,1.24,331.1,1295,100000,302.02,391120.51,0,0,100000,391120.51,200.31
GSY,2/20/25,5/8/26,1.21,9.23,9.72,100000,10834.24,105308.78,55254.6,0,100000,160563.38,47.89
ICFCD88,3/9/25,5/8/26,1.16,1100,1155,100000,90.91,105000,0,0,100000,105000,4.28
NMIC,4/8/25,5/8/26,1.08,332.5,1006,100000,300.75,302556.39,0,0,100000,302556.39,178.35
CREST,4/10/25,5/8/26,1.08,332.7,1081.5,100000,300.57,325067.63,0,0,100000,325067.63,199.1
NMBHF2,4/21/25,5/8/26,1.05,9.23,9.6,100000,10834.24,104008.67,0,0,100000,104008.67,3.83
OMPL,5/4/25,5/8/26,1.01,297,1170,100000,336.7,393939.39,0,0,100000,393939.39,288.49
EBLD91,5/21/25,5/8/26,0.96,1025,1062,100000,97.56,103609.76,0,0,100000,103609.76,3.75
MBLEF,5/22/25,5/8/26,0.96,9.1,10.13,100000,10989.01,111318.68,0,0,100000,111318.68,11.8
PURE,5/27/25,5/8/26,0.95,318.2,977.1,100000,314.27,307071.02,0,0,100000,307071.02,226.85
RSY,6/26/25,5/8/26,0.87,9.07,10.13,100000,11025.36,111686.88,0,0,100000,111686.88,13.63
NIFRAGED,7/15/25,5/8/26,0.81,1001,1035.7,100000,99.9,103466.53,0,0,100000,103466.53,4.28
TTL,7/17/25,5/8/26,0.81,402.7,819.9,100000,248.32,203600.7,0,0,100000,203600.7,141.16
SANVI,7/20/25,5/8/26,0.8,394.9,684,100000,253.23,173208.41,0,0,100000,173208.41,98.8
RBBD2088,8/4/25,5/8/26,0.76,982.1,1060.1,100000,101.82,107942.16,0,0,100000,107942.16,10.6
BHCL,8/20/25,5/8/26,0.71,321.3,515,100000,311.24,160286.34,0,0,100000,160286.34,93.53
GBIMESY2,8/28/25,5/8/26,0.69,10,9.3,100000,10000,93000,0,0,100000,93000,-9.95
HIMSTAR,9/1/25,5/8/26,0.68,267.5,909.9,100000,373.83,340149.53,0,0,100000,340149.53,502.41
SBLD2091,9/23/25,5/8/26,0.62,1016.4,1052,100000,98.39,103502.56,0,0,100000,103502.56,5.7
NICAD2091,10/7/25,5/7/26,0.58,1050,1047,100000,95.24,99714.29,0,0,100000,99714.29,-0.49
MABEL,11/4/25,5/8/26,0.51,349.4,660,100000,286.2,188895.25,0,0,100000,188895.25,251.03
HLICF,11/5/25,5/8/26,0.5,9.7,9.2,100000,10309.28,94845.36,0,0,100000,94845.36,-9.97
DHEL,11/6/25,5/8/26,0.5,442.4,599,100000,226.04,135397.83,0,0,100000,135397.83,83.1
SAGAR,11/9/25,5/8/26,0.49,351.4,1729,100000,284.58,492031.87,0,0,100000,492031.87,2436.12
BUNGAL,11/10/25,5/8/26,0.49,332.6,569.1,100000,300.66,171106.43,0,0,100000,171106.43,199.21
