date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,968.2,980.0,951.0,970.0,-1.62,1332,1286604.0
2026-02-11,968.0,986.0,955.0,986.0,0.72,2727,2636848.1
2026-02-10,1013.8,1013.8,960.1,979.0,-1.51,2134,2058997.8
2026-02-09,1004.0,1024.0,960.2,994.0,0.71,1203,1185375.1
2026-02-08,979.2,998.0,965.0,987.0,2.81,8893,8702463.5
2026-02-05,970.0,1049.9,945.2,960.0,0.58,7503,7290067.4
2026-02-04,961.8,961.8,944.1,954.5,1.22,372,353898.4
2026-02-03,968.0,969.0,943.0,943.0,-0.74,3235,3087923.9
2026-02-02,968.0,1006.0,950.0,950.0,0.0,2323,2216103.0
2026-02-01,940.2,1008.0,940.0,950.0,-0.11,3320,3157696.9
2026-01-29,965.0,965.0,947.2,951.0,-0.73,2466,2347514.5
2026-01-28,940.0,974.0,940.0,958.0,0.31,1919,1840303.0
2026-01-27,966.0,981.0,955.0,955.0,-2.55,4030,3889483.3
2026-01-26,980.0,980.0,967.3,980.0,0.0,849,828374.3
2026-01-25,970.0,1028.0,947.3,980.0,3.0,5507,5350032.2
2026-01-22,951.0,956.9,947.0,951.5,-0.89,3238,3081005.9
2026-01-21,970.0,970.0,956.1,960.0,-1.03,1392,1337023.6
2026-01-20,965.0,980.0,960.1,970.0,1.25,1783,1738706.2
2026-01-18,950.0,987.9,949.9,958.0,-1.16,6822,6577168.5
2026-01-14,940.8,990.0,940.8,969.2,0.96,1028,987341.1
2026-01-13,945.7,960.0,910.0,960.0,-0.52,2421,2295532.2
2026-01-12,921.0,965.0,921.0,965.0,3.1,4566,4295130.1
2026-01-08,944.0,944.0,918.0,936.0,0.11,775,722181.7
2026-01-07,920.0,935.0,920.0,935.0,0.54,1399,1297817.3
2026-01-06,931.0,944.0,917.1,930.0,-0.11,1124,1040199.2
2026-01-05,908.0,937.0,908.0,931.0,1.2,639,589233.1
2026-01-04,930.0,930.0,915.0,920.0,-0.54,591,542004.1
2026-01-01,945.0,945.0,912.1,925.0,-1.91,2106,1942736.5
2025-12-31,930.0,944.5,925.2,943.0,1.4,1093,1023478.1
2025-12-29,926.0,933.0,926.0,930.0,-0.63,2161,2004838.2
2025-12-28,905.0,935.9,905.0,935.9,3.15,5237,4816352.7
2025-12-24,905.0,916.0,900.2,907.3,0.25,1271,1149688.2
2025-12-23,911.0,911.0,900.0,905.0,-0.66,437,395238.7
2025-12-22,903.1,911.0,903.1,911.0,0.0,2095,1898461.3
2025-12-21,930.0,930.0,910.0,911.0,-2.04,3201,2939570.5
2025-12-18,925.0,938.0,923.0,930.0,-0.96,2822,2626876.5
2025-12-17,949.0,949.0,939.0,939.0,-1.04,3990,3752782.3
2025-12-16,939.0,949.0,935.1,948.9,1.05,2262,2129619.6
2025-12-15,948.0,951.5,935.1,939.0,-0.95,1438,1356805.5
2025-12-14,971.2,971.2,934.0,948.0,-4.34,6407,6094087.2
2025-12-11,980.0,999.6,980.0,991.0,0.92,738,729697.3
2025-12-10,991.5,991.5,980.2,982.0,-0.96,1598,1574698.4
2025-12-09,1009.0,1009.0,990.0,991.5,0.15,261,259586.9
2025-12-08,990.0,990.0,981.0,990.0,0.0,1482,1461846.7
2025-12-07,1000.0,1000.0,985.6,990.0,-1.98,4511,4474452.5
2025-12-03,1017.0,1025.0,1010.0,1010.0,-0.54,2479,2521828.1
2025-12-02,1011.0,1030.0,1011.0,1015.5,-0.92,738,753313.0
2025-12-01,1010.0,1024.9,996.0,1024.9,1.48,1541,1560896.0
2025-11-30,1037.9,1038.3,1005.0,1010.0,-0.79,1629,1662294.5
2025-11-27,1017.0,1025.0,1016.0,1018.0,0.69,1706,1735899.0
2025-11-26,1011.1,1024.0,1007.0,1011.0,-0.01,1739,1764195.0
2025-11-25,1020.0,1028.0,1010.0,1011.1,0.09,987,1000548.3
2025-11-24,1020.0,1030.0,1005.0,1010.2,0.42,1550,1576896.6
2025-11-23,1008.0,1008.0,989.0,1006.0,1.72,1533,1534138.4
2025-11-20,996.0,996.0,975.2,989.0,1.07,444,440402.0
2025-11-19,982.0,1001.0,975.7,978.5,-0.66,792,777057.0
2025-11-18,972.3,1001.0,972.3,985.0,-0.4,1197,1185073.6
2025-11-17,971.0,989.0,971.0,989.0,1.02,1572,1542175.9
2025-11-16,975.3,990.0,975.3,979.0,-1.51,1853,1815325.8
2025-11-13,979.2,995.0,979.2,994.0,-0.1,618,612659.0
2025-11-12,976.2,1019.8,976.2,995.0,-0.01,739,736476.6
2025-11-11,1005.0,1005.0,988.8,995.1,-0.99,319,318061.2
2025-11-10,990.5,1010.0,990.4,1005.0,0.6,690,689450.0
2025-11-09,1020.0,1020.0,999.0,999.0,-2.06,906,906429.5
2025-11-06,1030.0,1030.0,996.0,1020.0,0.89,904,910275.7
2025-11-05,1026.0,1026.0,998.3,1011.0,0.4,1985,1989566.2
2025-11-04,1039.0,1040.0,1007.0,1007.0,-1.27,801,810648.6
2025-11-03,1055.0,1055.0,1015.0,1020.0,-1.45,923,948720.0
2025-11-02,1009.0,1049.5,1009.0,1035.0,2.68,2431,2505823.9
2025-10-30,994.0,1010.0,980.0,1008.0,1.41,828,829555.0
2025-10-29,990.0,1020.0,980.0,994.0,-0.5,3024,3029765.0
2025-10-28,965.0,999.0,951.0,999.0,2.46,1579,1549629.6
2025-10-26,960.0,979.0,960.0,975.0,0.52,944,912258.0
2025-10-19,970.0,970.1,965.0,970.0,0.0,2231,2162247.9
2025-10-16,970.0,986.0,968.1,970.0,-1.42,912,885901.2
2025-10-15,998.0,998.0,978.1,984.0,0.4,754,739281.6
2025-10-14,1000.0,1000.0,980.0,980.1,-1.99,892,879224.6
2025-10-13,982.0,1000.0,970.0,1000.0,1.83,2112,2057637.5
2025-10-12,994.0,1010.0,977.3,982.0,-2.8,2334,2308257.3
2025-10-09,1028.0,1059.0,1010.0,1010.3,0.23,2574,2625380.1
2025-10-08,1008.1,1010.0,988.0,1008.0,-0.01,2668,2664027.5
2025-10-07,1028.1,1045.0,1007.5,1008.1,-3.53,1253,1276979.7
2025-09-28,1021.0,1045.0,1021.0,1045.0,2.05,448,463330.0
2025-09-25,1025.0,1036.0,1023.1,1024.0,-0.78,483,495759.3
2025-09-24,1037.1,1057.0,1031.0,1032.0,-2.45,857,889889.4
2025-09-23,1044.0,1058.0,1038.0,1057.9,2.8,1481,1552419.0
2025-09-21,955.0,1041.0,950.0,1029.09,6.09,4204,4151128.0
2025-09-18,996.4,997.0,970.0,970.0,-4.59,175,172680.0
2025-09-08,1024.0,1044.4,1010.0,1016.64,-1.11,1761,1802762.4
2025-09-07,1020.0,1045.5,1020.0,1028.1,-0.67,840,867131.5
2025-09-04,1030.0,1050.6,1030.0,1035.0,-0.97,949,980801.9
2025-09-03,1051.68,1055.0,1044.0,1045.09,-0.63,1332,1395608.4
2025-09-02,1061.4,1079.0,1051.1,1051.68,-0.92,2035,2150017.4
2025-09-01,1070.0,1084.0,1061.1,1061.4,-0.8,1364,1451291.6
2025-08-31,1077.0,1098.0,1061.0,1070.0,-0.79,1135,1224789.3
2025-08-28,1075.0,1094.0,1072.0,1078.55,-1.39,1785,1922459.1
2025-08-27,1083.33,1100.0,1070.0,1093.78,0.96,2201,2382516.0
2025-08-26,1100.0,1100.0,1082.0,1083.33,-1.02,579,630695.1
2025-08-25,1108.7,1130.0,1087.0,1094.5,0.69,995,1087623.4
2025-08-24,1070.0,1157.0,1070.0,1086.97,1.56,1212,1332155.9
2025-08-21,1081.0,1085.0,1065.0,1070.26,-1.05,1211,1297116.3
2025-08-20,1088.33,1088.33,1081.0,1081.57,-0.62,681,737713.2
