date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,292.1,301.0,291.0,293.9,-1.38,478502,141833573.4
2026-02-11,300.0,300.0,288.2,298.0,1.19,609216,180285772.5
2026-02-10,281.0,303.9,280.0,294.5,5.18,1530888,452842492.8
2026-02-09,279.9,284.0,271.1,280.0,1.67,284914,79310038.6
2026-02-08,280.0,290.0,275.0,275.4,-0.58,409323,115493339.6
2026-02-05,267.0,282.5,262.6,277.0,5.68,310697,85364638.5
2026-02-04,265.0,267.9,261.0,262.1,-0.72,83481,22001941.8
2026-02-03,267.0,270.0,264.0,264.0,-0.79,90441,24025950.3
2026-02-02,272.7,273.0,266.0,266.1,-1.52,83788,22492812.8
2026-02-01,272.1,275.0,270.0,270.2,-0.66,84613,23000878.1
2026-01-29,270.0,278.9,269.5,272.0,1.3,312612,85905008.9
2026-01-28,265.6,270.0,263.7,268.5,-0.19,81947,21893089.0
2026-01-27,275.0,280.0,265.6,269.0,-1.68,275716,75446481.8
2026-01-26,273.5,282.0,273.0,273.6,-1.94,184642,51039172.3
2026-01-25,270.0,279.0,268.0,279.0,4.49,220235,60481510.8
2026-01-22,265.0,268.0,262.0,267.0,0.11,90545,24011505.3
2026-01-21,269.0,270.9,265.4,266.7,-0.63,108567,29014631.8
2026-01-20,267.0,270.0,266.0,268.4,1.67,186761,50068046.1
2026-01-18,261.0,266.1,258.1,264.0,2.13,125046,32947379.1
2026-01-14,255.0,260.0,255.0,258.5,0.58,43036,11079131.8
2026-01-13,250.1,257.0,250.1,257.0,1.18,107332,27334329.0
2026-01-12,259.8,259.8,254.0,254.0,-1.21,88049,22496658.3
2026-01-08,256.0,262.0,255.0,257.1,0.08,82839,21264929.3
2026-01-07,261.0,261.0,256.0,256.9,-0.58,84299,21659037.6
2026-01-06,263.1,263.1,258.0,258.4,-0.81,143661,37307863.6
2026-01-05,260.9,261.6,258.0,260.5,0.58,63265,16469471.6
2026-01-04,265.0,265.0,256.0,259.0,-0.71,152539,39646787.5
2026-01-01,278.0,278.0,273.6,273.9,-1.26,143554,39457287.7
2025-12-31,277.9,279.0,275.0,277.4,0.87,135284,37470804.7
2025-12-29,283.5,283.5,274.1,275.0,-1.08,93875,26014615.7
2025-12-28,277.6,278.8,270.1,278.0,2.09,93951,26011799.2
2025-12-24,272.0,274.0,269.0,272.3,-0.4,96682,26289889.8
2025-12-23,278.0,278.0,271.0,273.4,0.29,80001,21789152.3
2025-12-22,281.0,281.0,272.0,272.6,-1.2,76466,20877250.2
2025-12-21,278.0,278.9,275.8,275.9,-0.97,55253,15302862.3
2025-12-18,281.9,281.9,277.0,278.6,-1.03,70444,19605999.4
2025-12-17,280.5,284.0,280.1,281.5,0.18,59127,16631591.7
2025-12-16,279.9,282.0,277.0,281.0,1.08,63161,17645741.4
2025-12-15,277.0,279.8,275.6,278.0,0.18,76302,21130165.9
2025-12-14,276.5,279.9,276.4,277.5,-0.36,67190,18639680.5
2025-12-11,277.0,281.9,276.3,278.5,-0.04,59136,16475226.2
2025-12-10,279.0,282.0,278.2,278.6,-0.14,39724,11079956.7
2025-12-09,280.0,282.0,278.5,279.0,-0.21,39433,11018527.0
2025-12-08,280.3,282.5,279.6,279.6,-0.5,63987,17952857.1
2025-12-07,280.2,286.4,280.1,281.0,-0.18,62480,17568695.6
2025-12-03,290.5,290.5,281.4,281.5,-1.19,107813,30677095.1
2025-12-02,289.6,289.6,283.5,284.9,0.32,93441,26658860.4
2025-12-01,282.0,286.7,281.1,284.0,0.18,82268,23293926.9
2025-11-30,285.0,287.7,282.1,283.5,-0.53,132840,37785105.3
2025-11-27,286.0,287.0,284.0,285.0,-0.31,75785,21647986.8
2025-11-26,281.0,288.5,281.0,285.9,0.32,88195,25215485.9
2025-11-25,280.5,287.9,280.5,285.0,0.32,91457,26055374.0
2025-11-24,281.9,287.0,281.9,284.1,0.78,138711,39551156.9
2025-11-23,275.5,283.0,275.5,281.9,1.99,68286,19237811.1
2025-11-20,286.5,286.5,275.0,276.4,-1.64,118171,32726203.7
2025-11-19,281.0,283.0,277.4,281.0,0.0,61261,17104208.6
2025-11-18,281.7,283.0,279.3,281.0,0.93,52839,14878102.7
2025-11-17,275.0,281.0,275.0,278.4,-0.07,89428,24931483.5
2025-11-16,277.0,280.0,276.2,278.6,0.22,44579,12362166.6
2025-11-13,278.0,282.0,277.0,278.0,0.18,69455,19326218.0
2025-11-12,280.0,282.5,277.2,277.5,-0.89,62592,17415724.5
2025-11-11,282.0,282.0,278.0,280.0,0.36,68507,19172428.9
2025-11-10,280.0,283.8,278.0,279.0,-1.06,94024,26324042.8
2025-11-09,282.5,287.0,280.0,282.0,-0.88,109890,30994852.0
2025-11-06,283.0,290.5,283.0,284.5,-0.84,83996,23940060.0
2025-11-05,286.0,287.0,283.2,286.9,0.14,82543,23517693.4
2025-11-04,285.3,291.4,283.3,286.5,-1.14,200812,57509692.6
2025-11-03,290.0,295.0,287.0,289.8,-1.4,171557,49695824.2
2025-11-02,290.0,295.5,287.0,293.9,2.44,300058,87576545.8
2025-10-30,281.1,288.0,280.0,286.9,2.1,216839,61654867.3
2025-10-29,285.0,287.0,279.0,281.0,0.14,256816,72750765.6
2025-10-28,274.0,283.0,274.0,280.6,3.54,94325,26338586.6
2025-10-26,269.0,273.0,268.0,271.0,-0.18,60504,16368494.7
2025-10-19,274.0,286.0,269.9,271.5,0.48,88132,23959490.5
2025-10-16,271.7,278.5,270.0,270.2,-1.75,115412,31296099.0
2025-10-15,280.0,281.5,273.4,275.0,-1.72,113658,31256976.9
2025-10-14,283.9,283.9,276.3,279.8,-0.43,65045,18148964.2
2025-10-13,279.0,284.0,274.0,281.0,1.66,200931,55884528.8
2025-10-12,281.3,285.0,276.2,276.4,-3.69,226547,63139063.7
2025-10-09,287.2,297.0,285.0,287.0,1.92,238019,68948454.1
2025-10-08,290.0,290.0,278.7,281.6,-2.22,241869,68306579.9
2025-10-07,295.6,297.9,285.1,288.0,-2.57,163794,47281877.1
2025-09-28,294.0,295.7,291.2,295.6,1.23,112326,33037676.4
2025-09-25,293.9,293.9,288.3,292.0,0.34,99815,29081862.9
2025-09-24,295.0,296.8,288.5,291.0,-0.31,121635,35570598.0
2025-09-23,290.0,295.0,286.4,291.9,1.06,191653,56031256.9
2025-09-21,268.0,290.6,267.0,288.85,7.78,272691,76860503.0
2025-09-18,277.0,277.0,260.8,268.0,-5.05,45206,12055123.7
2025-09-08,287.0,287.0,280.1,282.24,-1.48,112714,31854826.0
2025-09-07,285.0,288.0,283.0,286.47,1.09,108049,30840636.9
2025-09-04,284.0,288.0,280.5,283.38,-0.53,171709,48462704.6
2025-09-03,285.3,289.0,284.1,284.9,-0.31,66436,18975982.0
2025-09-02,289.9,292.0,285.1,285.78,-1.0,82961,23831979.1
2025-09-01,288.0,291.0,286.3,288.67,0.48,89450,25785527.8
2025-08-31,289.7,293.0,286.8,287.29,-1.49,131590,37987007.7
2025-08-28,297.0,299.9,291.0,291.63,-2.29,172491,50937768.6
2025-08-27,291.0,299.2,290.3,298.47,2.86,145132,42965580.9
2025-08-26,293.0,294.0,289.2,290.16,-0.21,63473,18482494.7
2025-08-25,291.0,293.0,286.6,290.77,-0.04,183885,53221319.4
2025-08-24,289.0,299.7,289.0,290.89,-1.36,157154,45855863.5
2025-08-21,296.2,297.9,293.1,294.89,-0.41,125166,36860307.3
2025-08-20,300.0,302.9,295.1,296.1,-1.35,160027,47673471.9
2025-08-19,299.0,302.9,297.1,300.16,1.24,225388,67643602.7
2025-08-18,290.3,300.0,290.3,296.48,0.36,243770,72290521.9
2025-08-17,297.0,298.0,294.0,295.43,0.63,221516,65518809.6
2025-08-14,291.3,297.6,291.3,293.58,-0.32,127162,37375801.2
2025-08-13,290.0,297.2,290.0,294.51,0.56,158084,46584859.2
2025-08-12,292.1,297.0,291.1,292.86,-1.38,172923,50735826.8
2025-08-11,292.3,308.0,292.3,296.97,-0.43,177196,53137470.1
2025-08-07,291.1,300.0,291.0,298.24,1.32,203202,60451270.2
2025-08-06,297.0,298.8,293.0,294.36,0.19,167739,49408438.5
2025-08-05,303.0,303.9,293.0,293.79,-2.54,248579,73646924.4
2025-08-04,301.0,304.0,296.9,301.45,0.3,352890,106107383.2
2025-08-03,301.0,308.0,300.0,300.56,-1.95,379111,114811645.4
2025-07-31,310.0,314.9,305.0,306.55,-1.15,424832,131139891.4
2025-07-30,320.0,320.0,309.1,310.13,-1.81,464025,144886608.9
2025-07-29,322.0,325.0,311.7,315.85,-1.1,459428,146174974.7
2025-07-28,317.0,320.8,311.0,319.36,0.82,650566,204882363.7
2025-07-27,323.5,334.0,315.0,316.76,-2.08,1165687,380025125.9
2025-07-24,315.0,324.0,315.0,323.5,3.08,869068,278900262.4
2025-07-23,311.0,319.0,304.5,313.82,2.9,1087956,340368885.6
2025-07-22,305.4,308.5,298.0,304.98,1.85,648691,197073779.3
2025-07-21,299.9,303.0,291.1,299.45,0.08,269524,80483042.0
2025-07-20,307.4,308.0,297.0,299.22,-0.73,611340,185834444.6
2025-07-17,294.8,304.2,293.0,301.43,3.34,506239,151861180.2
2025-07-16,292.0,295.2,291.0,291.69,0.46,243226,71087686.5
2025-07-15,287.8,291.0,283.1,290.35,2.19,208326,60207284.6
2025-07-14,286.0,289.0,283.6,284.14,-0.25,176580,50366768.9
2025-07-13,289.7,295.0,284.4,284.86,0.29,268095,76903600.5
2025-07-10,288.9,291.7,283.0,284.04,-1.07,195285,55681959.3
2025-07-09,285.9,289.0,283.0,287.12,1.22,105560,30247830.8
2025-07-08,288.9,288.9,280.5,283.65,0.11,140324,39752591.9
2025-07-07,286.5,286.5,278.1,283.33,-0.14,199205,56233216.41
2025-07-06,290.0,290.0,283.0,283.74,-1.27,176135,50279207.6
2025-07-03,295.0,295.0,285.4,287.39,-0.75,254210,73107098.8
2025-07-02,293.0,295.8,288.0,289.56,0.53,230215,67161312.3
2025-07-01,288.0,290.9,285.0,288.04,1.28,178085,51375561.1
2025-06-30,286.0,289.9,284.0,284.4,0.01,145904,41732076.9
2025-06-29,278.0,287.0,278.0,284.37,0.5,180099,51252128.9
2025-06-26,290.7,290.7,281.0,282.95,-0.73,225648,64307368.7
2025-06-25,284.5,288.9,283.3,285.03,-0.07,148028,42226538.2
2025-06-24,290.0,294.0,284.5,285.24,-0.49,246085,70898831.8
2025-06-23,280.1,290.0,280.1,286.64,0.42,221367,63368586.2
2025-06-22,296.9,297.0,285.0,285.44,-3.06,285972,82678939.6
2025-06-19,302.6,305.0,293.0,294.46,-0.78,512223,153167574.4
2025-06-18,294.0,307.0,294.0,296.76,-0.64,376357,112293054.6
2025-06-17,300.0,304.0,294.0,298.66,-1.5,400766,119577090.3
2025-06-16,304.0,315.8,302.0,303.22,-1.06,750568,231220705.1
2025-06-15,304.0,310.9,302.0,306.46,-0.32,536347,164595922.1
2025-06-12,304.0,316.9,304.0,307.44,-0.88,927211,289077593.9
2025-06-11,300.0,311.0,300.0,310.18,1.48,893041,273994234.9
2025-06-10,306.0,309.0,300.0,305.66,1.63,628819,192630097.6
2025-06-09,302.0,306.0,298.5,300.77,-0.27,572260,172587538.5
2025-06-08,298.0,308.0,296.0,301.59,1.94,788498,238445233.5
2025-06-05,282.0,297.8,282.0,295.85,3.11,530425,155334114.2
2025-06-04,290.0,293.0,284.2,286.93,-0.72,207169,59731062.0
2025-06-03,290.0,297.8,287.0,289.02,-1.44,283355,82201086.4
2025-06-02,296.5,299.8,292.0,293.23,0.86,569498,167661887.8
2025-05-28,280.0,292.7,279.5,290.73,4.23,444839,128011890.3
2025-05-27,280.0,284.0,276.2,278.94,-0.3,182823,51167226.5
2025-05-26,285.0,290.0,278.1,279.78,0.1,226427,63842988.8
2025-05-25,280.4,286.0,277.1,279.51,-1.32,249646,70031001.4
2025-05-22,291.2,294.5,280.0,283.26,-2.24,376064,107949682.6
2025-05-21,299.4,310.0,288.0,289.76,-1.29,474681,140064229.5
2025-05-20,289.5,295.9,278.1,293.56,3.4,297252,85908821.6
