date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,1105.0,1126.9,1100.1,1119.0,-0.25,15536,17204997.7
2026-02-11,1117.2,1152.0,1108.0,1121.8,-1.6,6993,7779160.4
2026-02-10,1127.0,1149.5,1110.0,1140.0,-0.87,9106,10208500.9
2026-02-09,1134.9,1180.0,1105.0,1150.0,-0.69,24593,27508848.3
2026-02-08,1154.5,1201.0,1125.0,1158.0,-1.7,20147,23365824.5
2026-02-05,1175.0,1190.0,1134.0,1178.0,1.99,14056,16385327.1
2026-02-04,1112.3,1176.0,1112.3,1155.0,1.76,19822,22911468.9
2026-02-03,1111.0,1140.0,1087.0,1135.0,1.61,27933,31152640.0
2026-02-02,1104.5,1130.0,1098.0,1117.0,-0.89,12425,13817617.2
2026-02-01,1150.0,1169.0,1100.0,1127.0,-2.42,14362,16114088.1
2026-01-29,1151.5,1192.0,1134.0,1155.0,-1.7,20330,23426548.1
2026-01-28,1165.3,1212.0,1147.0,1175.0,-1.18,27501,32059360.8
2026-01-27,1195.0,1209.0,1173.0,1189.0,-1.65,8729,10352879.4
2026-01-26,1210.5,1212.0,1185.0,1209.0,-0.08,31527,37610999.6
2026-01-25,1185.0,1250.0,1185.0,1210.0,0.17,20272,24517467.4
2026-01-22,1165.0,1209.4,1165.0,1207.9,2.54,33812,40487304.1
2026-01-21,1149.7,1184.3,1149.7,1178.0,0.42,25750,30290959.5
2026-01-20,1188.9,1188.9,1160.0,1173.1,0.44,11743,13751331.2
2026-01-18,1164.5,1189.0,1160.0,1168.0,0.26,20631,24249951.7
2026-01-14,1158.4,1190.0,1153.0,1165.0,-1.44,16486,19219216.17
2026-01-13,1160.5,1203.4,1160.5,1182.0,-0.18,11706,13837880.4
2026-01-12,1172.2,1198.9,1172.2,1184.1,-1.0,33387,39317508.0
2026-01-08,1180.9,1206.0,1180.9,1196.1,-0.74,11834,14093521.7
2026-01-07,1200.0,1222.0,1200.0,1205.0,-1.23,27373,33120318.4
2026-01-06,1199.6,1242.0,1199.6,1220.0,-0.33,14427,17556144.0
2026-01-05,1197.6,1231.9,1197.6,1224.0,0.16,21836,26627505.9
2026-01-04,1176.0,1224.0,1176.0,1222.0,1.84,27692,33590148.6
2026-01-01,1162.3,1199.9,1162.3,1199.9,1.17,30682,36363390.6
2025-12-31,1160.0,1198.0,1160.0,1186.0,0.59,38414,45287334.5
2025-12-29,1159.4,1185.0,1159.4,1179.0,-0.34,14481,16982281.7
2025-12-28,1152.5,1210.0,1152.5,1183.0,0.6,29013,34101726.3
2025-12-24,1115.0,1178.1,1115.0,1176.0,3.7,51536,59809125.4
2025-12-23,1092.7,1134.0,1092.7,1134.0,1.7,18531,20824231.2
2025-12-22,1088.8,1115.0,1088.8,1115.0,0.36,20438,22598709.5
2025-12-21,1086.9,1125.0,1086.9,1111.0,0.18,20743,22874173.5
2025-12-18,1085.0,1122.0,1085.0,1109.0,1.13,36232,40105639.1
2025-12-17,1073.1,1097.0,1073.1,1096.6,0.15,19527,21260235.5
2025-12-16,1082.9,1120.0,1079.0,1095.0,-0.9,20486,22314118.1
2025-12-15,1101.0,1142.0,1090.0,1105.0,-0.54,41198,45423243.7
2025-12-14,1058.4,1120.0,1058.4,1111.0,2.88,26583,29168217.2
2025-12-11,1025.1,1100.0,1025.1,1079.9,3.24,40586,43294129.7
2025-12-10,1029.0,1070.0,1029.0,1046.0,-0.38,13129,13770894.6
2025-12-09,1033.9,1075.0,1014.0,1050.0,-0.47,21708,22673830.8
2025-12-08,1090.0,1100.0,1021.7,1055.0,-3.25,32235,33949613.5
2025-12-07,1197.0,1237.9,1188.0,1194.0,-2.13,101416,122656477.4
2025-12-03,1160.0,1220.0,1160.0,1220.0,3.48,78038,93358007.4
2025-12-02,1132.0,1184.0,1132.0,1179.0,2.07,48051,56162310.5
2025-12-01,1086.7,1160.0,1086.7,1155.1,4.18,68080,77154188.5
2025-11-30,1097.6,1127.0,1097.0,1108.8,-1.0,36697,40461145.7
2025-11-27,1085.9,1152.0,1085.9,1120.0,1.08,42444,46720927.5
2025-11-26,1078.0,1180.0,1078.0,1108.0,0.74,34642,37879134.1
2025-11-25,1067.2,1106.7,1067.2,1099.9,1.01,30856,33604316.8
2025-11-24,1038.8,1090.0,1038.8,1088.9,2.73,53263,57019128.7
2025-11-23,1033.0,1074.0,1033.0,1060.0,0.57,35124,37013006.0
2025-11-20,1018.2,1079.0,1015.0,1054.0,1.45,56681,58626866.8
2025-11-19,1018.3,1040.0,1018.0,1038.9,-0.01,33441,34406731.2
2025-11-18,992.7,1039.0,992.7,1039.0,2.58,32770,33385073.3
2025-11-17,955.5,1020.0,955.5,1012.9,3.89,30700,30616685.2
2025-11-16,973.2,985.0,970.0,975.0,-1.81,12447,12151981.1
2025-11-13,966.3,993.0,966.3,993.0,0.71,11284,11089809.4
2025-11-12,965.3,990.0,965.3,986.0,0.11,9419,9238219.5
2025-11-11,956.5,995.0,956.5,984.9,0.91,10439,10193653.4
2025-11-10,974.0,980.9,963.0,976.0,0.21,10955,10609326.5
2025-11-09,979.0,979.0,962.0,974.0,1.25,10425,10097617.8
2025-11-06,962.4,980.7,961.0,962.0,-2.04,5255,5075433.6
2025-11-05,951.6,1027.0,951.6,982.0,1.13,16477,15890878.8
2025-11-04,970.0,980.0,943.0,971.0,0.1,19680,18828245.0
2025-11-03,965.6,1001.7,960.0,970.0,-1.55,8476,8293144.4
2025-11-02,993.8,1015.9,985.3,985.3,-2.83,19690,19716437.2
2025-10-30,1043.7,1043.7,984.6,1014.0,-4.79,10063,10123201.7
2025-10-29,969.3,1065.0,969.3,1065.0,7.68,38345,37606935.7
2025-10-28,960.0,990.0,945.5,989.0,2.91,15392,15020888.1
2025-10-26,930.0,961.0,930.0,961.0,2.31,4889,4646790.1
2025-10-19,937.0,966.0,937.0,939.3,-1.75,1568,1491663.2
2025-10-16,935.9,970.0,935.9,956.0,0.1,16259,15369757.0
2025-10-15,930.5,962.0,930.5,955.0,0.59,19065,17941391.3
2025-10-14,969.3,1025.0,930.8,949.4,-4.0,6311,5970179.3
2025-10-13,966.0,1000.0,950.0,989.0,0.41,21565,20866876.0
2025-10-12,999.6,1080.0,938.0,985.0,-3.43,20010,19527694.8
2025-10-09,1020.0,1040.4,1000.0,1020.0,2.0,17907,18087793.7
2025-10-08,1017.3,1078.0,980.0,1000.0,-3.66,13754,13730648.3
2025-10-07,1044.0,1044.0,998.0,1038.0,0.55,11705,11989521.8
2025-09-28,1034.0,1048.0,1025.3,1032.3,-0.36,2362,2438008.6
2025-09-25,1031.5,1051.0,1031.5,1036.0,-1.57,7497,7797488.4
2025-09-24,1030.0,1066.0,1030.0,1052.5,0.43,22450,23345300.2
2025-09-23,1020.0,1055.0,1017.1,1048.0,1.29,8735,9083047.7
2025-09-21,1025.5,1040.0,951.6,1034.61,-1.13,22277,22581792.6
2025-09-08,1013.9,1053.6,1013.9,1046.39,1.15,28748,29851223.6
2025-09-07,1023.2,1045.0,1023.2,1034.49,-0.91,18657,19277080.3
2025-09-04,1036.6,1078.0,1036.6,1044.03,-1.29,21217,22127906.0
2025-09-03,1031.3,1060.9,1031.3,1057.72,0.52,56708,59237668.9
2025-09-02,1042.1,1080.0,1042.1,1052.3,-1.03,32858,34610979.6
2025-09-01,1040.4,1077.0,1040.4,1063.29,0.16,37114,39330831.3
2025-08-31,998.8,1065.0,998.8,1061.56,4.16,91392,95321371.5
2025-08-28,1000.0,1025.0,992.0,1019.17,1.31,42597,42943764.4
2025-08-27,978.1,1007.7,978.1,1006.03,1.74,14062,14062143.1
2025-08-26,992.0,999.0,987.1,988.79,-0.35,7644,7591518.9
2025-08-25,1001.2,1020.0,990.0,992.27,1.09,22404,22299334.8
2025-08-24,966.3,985.9,966.3,981.58,-0.16,12971,12686487.7
2025-08-21,980.6,985.0,970.0,983.18,-0.14,18501,18119618.6
2025-08-20,977.1,994.7,977.1,984.55,-0.89,5703,5618934.8
2025-08-19,983.2,1009.8,983.2,993.43,0.51,12415,12406034.8
2025-08-18,972.4,995.0,972.4,988.35,-0.26,10389,10266640.0
2025-08-17,998.0,1009.0,990.0,990.89,-0.78,12514,12432626.2
2025-08-14,980.0,1002.0,975.0,998.73,1.0,20675,20510953.8
2025-08-13,985.0,1009.9,985.0,988.83,-1.58,17507,17398633.2
2025-08-12,1001.0,1015.0,996.1,1004.74,-0.94,36053,36319571.2
2025-08-11,1023.1,1026.0,997.2,1014.23,-0.76,54878,55492206.4
2025-08-07,1025.0,1028.0,1000.0,1022.0,0.94,51064,51943700.3
2025-08-06,986.0,1026.0,985.0,1012.46,3.2,44715,45126073.6
2025-08-05,970.0,1000.0,965.0,981.1,2.35,38307,37626864.1
2025-08-04,944.3,984.0,944.0,958.55,3.54,46397,44677258.2
2025-08-03,960.0,970.0,921.0,925.8,-3.64,13396,12546983.8
2025-07-31,965.0,983.9,950.0,960.78,0.27,34159,32960113.3
2025-07-30,1008.0,1009.0,955.5,958.2,-5.0,30082,29364647.8
2025-07-29,990.0,1030.0,990.0,1008.64,3.68,38992,39455075.2
2025-07-28,933.7,982.0,921.5,972.85,4.08,24317,23046072.2
2025-07-27,937.0,960.0,930.0,934.68,0.5,20830,19741310.5
2025-07-24,920.0,950.0,920.0,930.05,-0.16,13099,12291374.6
2025-07-23,946.0,950.0,922.1,931.51,-1.46,15115,14134539.3
2025-07-22,906.1,954.9,906.1,945.35,4.06,21291,20048253.3
2025-07-21,900.0,920.0,886.1,908.5,0.55,15050,13578073.6
