date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,309.0,309.0,302.2,303.0,0.0,409062,124964568.3
2026-02-11,305.0,311.0,300.1,303.0,0.33,276403,83819180.7
2026-02-10,297.0,309.3,297.0,302.0,1.68,416755,126983523.5
2026-02-09,307.9,307.9,296.0,297.0,-1.62,448876,133801963.5
2026-02-08,305.0,311.0,299.6,301.9,-0.36,585301,179233038.1
2026-02-05,301.0,312.1,296.2,303.0,2.36,536969,163266501.9
2026-02-04,298.0,299.0,293.0,296.0,-0.17,132476,39081669.3
2026-02-03,300.0,300.0,292.1,296.5,-0.5,124815,36809129.8
2026-02-02,297.0,301.0,296.0,298.0,0.34,136059,40427164.5
2026-02-01,300.1,300.1,295.0,297.0,-0.9,196511,58417035.3
2026-01-29,296.0,305.0,294.0,299.7,0.57,318879,95825008.2
2026-01-28,296.2,301.0,291.0,298.0,0.17,334494,98624792.2
2026-01-27,307.0,308.9,297.4,297.5,-3.03,423362,128095043.4
2026-01-26,312.0,312.0,300.0,306.8,-0.39,604511,184560613.6
2026-01-25,299.5,309.5,299.5,308.0,3.36,603653,184148587.5
2026-01-22,294.8,300.5,292.0,298.0,0.71,216291,64396082.2
2026-01-21,299.0,301.4,293.2,295.9,-1.33,213242,63336737.2
2026-01-20,294.0,299.9,290.3,299.9,3.41,295108,87465380.4
2026-01-18,295.0,295.0,288.0,290.0,0.24,68116,19744960.5
2026-01-14,289.9,291.0,287.0,289.3,-0.03,50519,14604516.9
2026-01-13,288.0,292.0,287.0,289.4,0.21,51673,14914405.0
2026-01-12,284.5,289.0,284.5,288.8,1.16,152308,43735111.3
2026-01-08,285.9,289.0,284.2,285.5,-0.14,74785,21397572.3
2026-01-07,283.1,287.0,282.0,285.9,0.67,102029,29047212.6
2026-01-06,286.8,289.0,283.2,284.0,0.0,203231,58219457.5
2026-01-05,283.0,285.0,281.2,284.0,1.0,79148,22469560.0
2026-01-04,280.0,283.4,276.0,281.2,0.43,80581,22686786.2
2026-01-01,295.5,296.0,291.0,294.0,-0.34,224858,65982660.4
2025-12-31,298.3,298.3,292.6,295.0,0.85,175971,51883554.6
2025-12-29,299.8,299.8,291.6,292.5,-1.08,144967,42475441.1
2025-12-28,292.5,296.0,289.0,295.7,2.32,161296,47214331.3
2025-12-24,290.1,290.1,286.5,289.0,0.35,62486,18021385.6
2025-12-23,286.0,289.0,285.0,288.0,0.7,177114,50837829.6
2025-12-22,293.0,293.0,284.0,286.0,-0.69,79278,22658615.6
2025-12-21,288.0,288.8,285.0,288.0,0.0,99202,28469182.6
2025-12-18,290.0,290.8,287.0,288.0,-0.69,103102,29649141.3
2025-12-17,289.9,291.0,288.0,290.0,0.55,97365,28184788.4
2025-12-16,285.5,289.0,285.5,288.4,1.02,93849,26986829.6
2025-12-15,286.0,286.9,281.4,285.5,0.18,62377,17742580.6
2025-12-14,285.0,285.5,282.0,285.0,0.81,101266,28767047.2
2025-12-11,281.0,285.9,281.0,282.7,-0.11,77387,21883165.9
2025-12-10,284.0,287.9,282.0,283.0,-0.53,46990,13333736.7
2025-12-09,286.0,287.9,284.3,284.5,0.18,45685,13041189.1
2025-12-08,285.3,288.7,282.5,284.0,-0.39,79735,22719213.8
2025-12-07,288.0,288.2,284.7,285.1,-1.01,72320,20666255.9
2025-12-03,291.0,293.7,284.9,288.0,-1.03,118277,34172255.6
2025-12-02,283.5,293.0,283.5,291.0,0.69,114052,33190892.2
2025-12-01,283.0,291.1,283.0,289.0,0.35,81123,23369848.4
2025-11-30,295.0,298.0,287.3,288.0,-1.71,197101,57747269.3
2025-11-27,292.7,298.0,291.8,293.0,0.1,157671,46376995.2
2025-11-26,285.1,295.0,285.1,292.7,2.13,244015,71190168.2
2025-11-25,292.0,292.0,284.2,286.6,0.03,76856,21997843.6
2025-11-24,285.0,288.0,284.5,286.5,1.42,97848,28004135.5
2025-11-23,281.0,284.0,280.4,282.5,1.11,52037,14708505.9
2025-11-20,280.0,283.4,278.1,279.4,-0.75,54780,15306697.8
2025-11-19,283.9,285.0,278.7,281.5,-0.18,71908,20140063.6
2025-11-18,280.0,284.0,280.0,282.0,0.71,70131,19749104.9
2025-11-17,278.2,282.0,278.2,280.0,0.21,52109,14626174.6
2025-11-16,279.0,283.5,278.0,279.4,0.14,39873,11147685.9
2025-11-13,277.0,282.0,277.0,279.0,0.0,76950,21483915.4
2025-11-12,282.9,283.5,277.0,279.0,0.36,67951,18975532.4
2025-11-11,281.0,281.0,275.5,278.0,0.0,51845,14418727.6
2025-11-10,277.0,280.0,275.1,278.0,0.36,49196,13625960.3
2025-11-09,280.0,281.9,275.0,277.0,-0.72,78651,21802167.8
2025-11-06,279.3,286.0,276.1,279.0,-2.11,202266,56532879.6
2025-11-05,289.0,289.0,279.0,285.0,0.35,81456,22937627.5
2025-11-04,286.0,290.5,284.0,284.0,-1.39,62787,17970410.7
2025-11-03,295.8,295.8,286.5,288.0,-1.37,94495,27403349.4
2025-11-02,290.0,295.0,284.0,292.0,2.49,185519,53973350.8
2025-10-30,281.9,287.6,276.1,284.9,2.11,99728,28180543.0
2025-10-29,282.0,286.8,278.0,279.0,-1.06,52858,14892917.5
2025-10-28,272.0,282.0,272.0,282.0,3.71,71226,19838646.0
2025-10-26,270.1,272.0,270.1,271.9,-0.69,24429,6617357.2
2025-10-19,275.0,275.0,269.0,273.8,1.33,39985,10826247.7
2025-10-16,275.0,275.0,269.0,270.2,-0.66,60777,16477477.4
