date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,936.0,978.0,936.0,975.0,2.62,3212,3113664.5
2026-02-11,984.0,984.0,950.0,950.1,-1.54,6399,6117887.7
2026-02-10,960.1,979.0,960.1,965.0,-0.92,3200,3091646.9
2026-02-09,961.0,985.0,960.0,974.0,0.83,8535,8284800.3
2026-02-08,977.0,1009.8,941.0,966.0,0.84,21320,20781908.2
2026-02-05,943.0,961.8,932.2,958.0,1.59,4150,3924436.0
2026-02-04,955.0,955.0,932.0,943.0,0.21,4362,4100163.0
2026-02-03,959.0,960.0,940.0,941.0,-1.88,5569,5275028.2
2026-02-02,950.0,959.0,935.9,959.0,-0.1,5556,5229288.4
2026-02-01,969.9,970.0,930.0,960.0,-0.83,4037,3811423.5
2026-01-29,979.0,980.0,945.2,968.0,-1.63,4895,4688021.9
2026-01-28,991.0,991.4,941.0,984.0,1.23,7807,7548922.4
2026-01-27,1004.9,1009.8,956.0,972.0,-1.82,9812,9583803.4
2026-01-26,990.0,1015.0,960.4,990.0,1.75,12601,12349937.6
2026-01-25,963.0,1041.0,944.0,973.0,1.04,8737,8580945.8
2026-01-22,942.0,965.0,942.0,963.0,0.42,5793,5503099.8
2026-01-21,950.0,969.0,925.0,959.0,0.03,1795,1700112.0
2026-01-20,965.0,970.0,956.0,958.7,0.39,4178,4015570.3
2026-01-18,952.6,964.0,940.0,955.0,2.25,3132,2980769.1
2026-01-14,928.0,935.5,925.0,934.0,-1.27,2536,2356105.2
2026-01-13,931.0,950.0,925.0,946.0,-0.37,3301,3078087.5
2026-01-12,930.0,950.0,928.0,949.5,0.37,3439,3232488.6
2026-01-08,950.0,950.0,932.1,946.0,0.11,3803,3592791.3
2026-01-07,940.1,958.0,940.0,945.0,-1.25,3236,3056762.0
2026-01-06,922.2,980.0,922.2,957.0,1.7,2158,2047524.5
2026-01-05,917.1,941.0,917.1,941.0,1.31,3154,2927646.3
2026-01-04,906.0,929.0,906.0,928.8,0.89,1197,1100981.7
2026-01-01,922.1,935.0,906.0,920.6,-1.86,3674,3362509.8
2025-12-31,925.0,938.0,925.0,938.0,1.41,2019,1870725.1
2025-12-29,930.0,935.0,925.0,925.0,-1.6,1056,979779.3
2025-12-28,910.0,943.7,910.0,940.0,1.6,1519,1418002.3
2025-12-24,935.0,940.0,925.0,925.2,-0.31,1500,1396465.0
2025-12-23,916.4,932.0,916.4,928.1,-0.1,489,452656.0
2025-12-22,930.0,940.0,929.0,929.0,-1.69,2429,2264793.0
2025-12-21,940.5,960.0,940.0,945.0,-0.94,1912,1819093.7
2025-12-18,947.0,965.0,940.0,954.0,-0.1,2942,2788937.5
2025-12-17,939.0,977.1,939.0,955.0,-0.31,1395,1336108.4
2025-12-16,949.7,975.0,949.7,958.0,-1.14,1234,1186788.8
2025-12-15,948.6,975.0,948.6,969.0,0.11,967,934509.3
2025-12-14,956.2,969.0,956.2,967.9,-0.73,1538,1481579.0
2025-12-11,960.0,975.0,956.0,975.0,0.53,1683,1613686.0
2025-12-10,957.0,985.0,951.0,969.9,-0.01,475,459547.0
2025-12-09,961.0,971.0,961.0,970.0,0.62,1670,1615781.7
2025-12-08,955.1,975.0,955.1,964.0,-1.03,660,637977.0
2025-12-07,970.0,975.0,965.0,974.0,-0.51,1233,1194894.0
2025-12-03,987.0,992.0,972.0,979.0,-1.11,2235,2190429.0
2025-12-02,973.0,990.0,973.0,990.0,0.0,1425,1394160.5
2025-12-01,980.0,994.0,968.0,990.0,0.82,3560,3490864.1
2025-11-30,1003.9,1003.9,971.2,981.9,-0.31,1897,1857117.0
2025-11-27,984.0,1009.0,984.0,985.0,-1.39,1927,1909874.5
2025-11-26,1016.9,1016.9,980.0,998.9,0.19,3352,3327456.4
2025-11-25,984.1,1000.0,984.1,997.0,-0.3,2116,2100594.0
2025-11-24,1003.0,1003.0,986.0,1000.0,1.11,3326,3315708.8
2025-11-23,955.0,997.0,955.0,989.0,1.5,2599,2569104.7
2025-11-20,996.9,997.0,958.0,974.4,-0.36,3870,3756607.5
2025-11-19,989.0,989.0,954.6,977.9,0.81,650,628867.5
2025-11-18,960.0,993.0,960.0,970.0,-0.41,1342,1307914.7
2025-11-17,956.0,990.0,956.0,974.0,0.01,1837,1782044.3
2025-11-16,976.0,995.0,958.1,973.9,-2.12,2118,2057989.0
2025-11-13,971.0,1000.0,971.0,995.0,0.51,1098,1079196.2
2025-11-12,971.0,1009.0,965.0,990.0,0.0,3940,3844030.6
2025-11-11,1032.2,1032.2,973.0,990.0,-2.17,3670,3607911.7
2025-11-10,1018.2,1018.2,979.0,1012.0,-2.59,3576,3550111.6
2025-11-09,1060.0,1060.0,985.0,1038.9,-0.11,6915,6902273.6
2025-11-06,1020.0,1081.0,1002.0,1040.0,4.0,10024,10313100.4
2025-11-05,1028.1,1091.0,980.0,1000.0,-4.67,16786,17207403.8
2025-11-04,980.0,1049.0,970.0,1049.0,5.01,4971,4930947.7
2025-11-03,999.6,1029.5,979.9,999.0,-2.05,1826,1813722.0
2025-11-02,990.0,1024.5,975.2,1019.9,0.98,3119,3142978.0
2025-10-30,948.8,1020.0,948.8,1010.0,4.34,6412,6408154.3
2025-10-29,970.0,999.0,956.0,968.0,-2.12,702,682247.1
2025-10-28,944.2,993.0,944.2,989.0,2.7,4758,4625533.0
2025-10-26,960.0,963.0,923.0,963.0,-1.68,2223,2098727.0
2025-10-19,906.0,999.0,906.0,979.5,6.01,1626,1512433.2
2025-10-16,941.0,941.0,921.2,924.0,-3.24,2718,2536402.6
2025-10-15,960.0,960.0,940.0,954.9,-0.93,3520,3332949.0
2025-10-14,958.0,975.9,944.0,963.9,-1.34,985,938279.0
2025-10-13,978.0,978.0,941.0,977.0,-0.22,2171,2089057.4
2025-10-12,955.5,979.2,931.0,979.2,0.43,6773,6393389.6
2025-10-09,994.5,994.5,975.0,975.0,0.0,1565,1536562.9
2025-10-08,980.0,981.0,940.8,975.0,-2.4,4926,4700628.5
2025-10-07,1007.0,1014.9,986.0,999.0,-0.88,2783,2778384.5
2025-09-28,995.0,1007.9,992.0,1007.9,0.29,2464,2460017.0
2025-09-25,985.0,1013.0,985.0,1005.0,0.5,1634,1638323.0
2025-09-24,990.8,1000.0,975.0,1000.0,-1.09,1342,1329307.0
2025-09-23,999.91,1019.0,985.0,1011.0,1.11,2205,2205622.2
2025-09-21,994.0,1004.7,921.2,999.91,-1.32,4567,4445503.4
2025-09-18,1013.3,1013.3,1013.3,1013.3,2.0,10,10133.0
2025-09-08,987.0,1000.0,980.1,993.45,0.15,4156,4118028.0
2025-09-07,968.0,1009.0,968.0,992.0,0.5,3506,3500313.0
2025-09-04,975.1,1032.9,975.1,987.11,-0.41,1799,1798834.0
2025-09-03,983.2,1012.0,983.2,991.13,-1.2,2361,2346631.4
2025-09-02,987.0,1020.0,987.0,1003.21,0.52,1432,1443107.9
2025-09-01,985.0,1010.0,985.0,998.02,-0.63,3365,3382567.3
2025-08-31,1008.1,1020.0,1003.0,1004.34,-1.16,1575,1590109.1
2025-08-28,1018.0,1035.0,1010.0,1016.09,-1.73,5906,6018059.4
2025-08-27,1040.0,1054.8,1022.0,1033.97,-0.47,2317,2395622.1
2025-08-26,1013.0,1048.0,1013.0,1038.81,0.59,1000,1037129.0
2025-08-25,1042.0,1049.0,1019.0,1032.67,1.03,6747,6953902.5
2025-08-24,1044.0,1044.0,1007.0,1022.11,-0.17,2710,2755045.0
2025-08-21,1006.1,1038.0,1006.1,1023.87,-0.25,4870,4957488.0
2025-08-20,1030.0,1044.0,1025.0,1026.45,0.14,3574,3684242.0
2025-08-19,1014.0,1040.0,1014.0,1025.03,-0.85,2559,2628196.0
2025-08-18,1043.0,1043.0,1025.0,1033.83,0.98,3073,3181534.0
2025-08-17,1040.0,1090.0,1012.0,1023.78,-2.63,4281,4460345.0
2025-08-14,1060.0,1098.0,1045.0,1051.45,-2.41,8336,8866001.4
