date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,373.9,377.1,364.0,365.2,-0.76,193036,71550490.2
2026-02-11,365.1,368.2,358.0,368.0,2.79,138625,50314531.2
2026-02-10,363.9,369.8,356.0,358.0,-1.62,192605,69513469.3
2026-02-09,375.0,375.0,358.0,363.9,-1.03,298000,107914538.0
2026-02-08,380.0,385.0,366.0,367.7,-3.11,264907,98816485.1
2026-02-05,383.0,388.0,377.1,379.5,-0.91,258473,98681171.9
2026-02-04,380.0,388.0,378.0,383.0,1.32,333505,127676273.7
2026-02-03,355.8,383.5,355.8,378.0,4.13,601627,226813560.0
2026-02-02,362.1,370.0,359.0,363.0,-0.55,203987,74259203.3
2026-02-01,370.2,375.0,359.0,365.0,-1.62,182981,66622072.4
2026-01-29,370.0,380.0,370.0,371.0,0.41,393269,147577683.9
2026-01-28,363.0,375.0,355.1,369.5,2.04,315592,115292320.2
2026-01-27,369.5,380.0,362.1,362.1,-3.95,329126,120869002.9
2026-01-26,381.0,385.0,365.0,377.0,0.53,539022,201896593.4
2026-01-25,335.2,376.2,335.2,375.0,9.65,508925,182129613.9
2026-01-22,329.7,344.8,329.7,342.0,3.32,313975,106586394.4
2026-01-21,336.0,336.0,328.3,331.0,-0.21,129777,43007564.2
2026-01-20,331.5,337.0,329.0,331.7,2.06,144792,48235822.0
2026-01-18,320.0,330.0,320.0,325.0,0.56,86031,28100323.5
2026-01-14,314.6,329.6,314.6,323.2,0.69,120089,39102871.6
2026-01-13,315.0,324.0,315.0,321.0,1.26,113255,36328837.4
2026-01-12,318.5,321.9,316.0,317.0,-0.47,98589,31362895.1
2026-01-08,325.0,325.0,316.0,318.5,-0.34,82091,26168002.1
2026-01-07,327.2,327.2,316.1,319.6,-0.37,56133,17912021.8
2026-01-06,320.9,322.8,318.6,320.8,0.88,144180,46148865.3
2026-01-05,313.0,318.0,313.0,318.0,1.37,69500,21990557.3
2026-01-04,314.7,316.0,312.5,313.7,-0.06,64800,20361035.0
2026-01-01,318.0,320.0,313.1,313.9,-1.29,64522,20320776.5
2025-12-31,323.9,323.9,318.0,318.0,-0.25,62539,19941315.9
2025-12-29,324.0,324.0,315.0,318.8,-0.69,95850,30680374.7
2025-12-28,318.0,324.0,315.1,321.0,0.94,75737,24299925.8
2025-12-24,316.0,320.0,313.0,318.0,1.27,76264,24101707.6
2025-12-23,311.0,316.0,310.2,314.0,0.64,51238,16065538.5
2025-12-22,314.0,314.9,310.2,312.0,-0.35,79267,24736343.5
2025-12-21,321.0,321.0,313.1,313.1,-0.95,59934,18870381.4
2025-12-18,327.0,327.0,316.0,316.1,-2.11,88020,28005540.1
2025-12-17,325.0,329.0,320.0,322.9,-0.65,51579,16706049.1
2025-12-16,316.0,325.0,316.0,325.0,2.2,84224,27139818.1
2025-12-15,308.7,322.0,308.7,318.0,0.95,76123,24157609.1
2025-12-14,315.0,322.0,314.0,315.0,-1.5,89551,28390073.1
2025-12-11,327.4,327.4,317.0,319.8,-0.37,102361,32659673.0
2025-12-10,330.6,330.6,320.0,321.0,-0.99,73807,23741926.2
2025-12-09,330.0,331.0,323.9,324.2,-1.73,126144,41135331.1
2025-12-08,329.0,340.0,323.5,329.9,0.89,187032,61543837.8
2025-12-07,328.1,334.0,325.0,327.0,-1.51,97410,31860027.4
2025-12-03,335.0,337.7,329.1,332.0,-1.48,224072,74425145.5
2025-12-02,330.3,343.9,330.3,337.0,0.0,241707,81081337.8
2025-12-01,333.9,340.0,328.7,337.0,0.93,214761,71932053.3
2025-11-30,335.0,347.8,333.0,333.9,-1.17,280407,95235740.4
2025-11-27,351.9,365.0,351.0,353.9,-1.42,378584,133847631.7
2025-11-26,343.0,364.0,343.0,359.0,3.1,445025,159553953.1
2025-11-25,333.3,353.0,333.3,348.2,2.38,459880,159846885.7
2025-11-24,354.9,354.9,340.0,340.1,-2.27,281028,96495549.8
2025-11-23,349.8,351.0,343.2,348.0,1.46,262009,90923523.0
2025-11-20,345.0,352.0,333.0,343.0,-0.55,349895,120063857.8
2025-11-19,349.0,372.0,341.9,344.9,-0.86,781840,274044421.3
2025-11-18,337.9,353.5,336.0,347.9,4.1,450595,156865822.3
2025-11-17,332.0,338.0,327.0,334.2,0.6,154456,51566362.8
2025-11-16,340.0,340.0,325.6,332.2,-3.71,394977,131872425.7
2025-11-13,346.0,351.3,337.0,345.0,1.47,100161,34558569.5
2025-11-12,330.0,351.9,330.0,340.0,3.34,107121,36682687.1
2025-11-11,324.5,332.0,322.0,329.0,0.3,31123,10204973.6
2025-11-10,325.0,332.5,321.5,328.0,0.0,28212,9141531.8
2025-11-09,337.0,337.0,328.0,328.0,-2.67,25099,8286373.5
2025-11-06,332.0,337.7,330.1,337.0,1.54,30919,10318893.0
2025-11-05,340.6,340.6,325.0,331.9,-0.63,39066,12936460.4
2025-11-04,340.9,345.0,330.0,334.0,-1.74,37069,12523829.1
2025-11-03,334.0,350.0,334.0,339.9,2.23,78040,26654305.1
2025-11-02,324.0,337.0,321.0,332.5,3.26,75783,25095550.1
2025-10-30,311.0,326.0,311.0,322.0,1.58,40045,12893687.1
2025-10-29,322.0,326.0,315.9,317.0,-0.94,27860,8952066.8
2025-10-28,305.0,320.1,305.0,320.0,6.67,34491,10831082.4
2025-10-26,312.0,312.0,298.0,300.0,-1.96,17239,5188397.2
2025-10-19,311.0,311.0,306.0,306.0,0.0,13950,4290385.5
2025-10-16,307.0,320.0,306.0,306.0,-2.24,19122,5894734.3
2025-10-15,313.5,315.0,310.4,313.0,-2.1,8508,2667673.6
2025-10-14,321.0,322.0,313.0,319.7,0.57,17864,5622102.5
2025-10-13,310.0,322.0,310.0,317.9,1.89,26363,8359233.0
2025-10-12,320.0,328.0,310.0,312.0,-4.0,39644,12505665.3
2025-10-09,322.3,335.2,320.0,325.0,2.85,51162,16834712.8
2025-10-08,333.0,333.0,315.0,316.0,-3.22,48533,15456674.8
2025-10-07,331.0,337.0,322.0,326.5,-3.12,27398,9044760.2
2025-09-28,318.0,342.0,318.0,337.0,4.01,29332,9862957.4
2025-09-25,321.1,332.0,321.1,324.0,-0.92,18462,6027289.9
2025-09-24,333.0,335.0,326.5,327.0,-1.8,23042,7571362.8
2025-09-23,326.0,336.0,325.0,333.0,3.88,50717,16838330.1
2025-09-21,292.1,325.0,292.1,320.56,7.57,79574,25199668.5
2025-09-18,309.4,310.0,298.0,298.0,-5.61,4220,1296440.0
2025-09-08,328.0,328.9,315.0,315.7,-3.6,58850,18781565.6
2025-09-07,328.0,331.8,325.6,327.5,-0.96,28502,9365594.6
2025-09-04,340.0,340.0,328.1,330.66,-1.0,40126,13259006.8
2025-09-03,345.0,345.0,333.0,334.0,-2.7,36573,12347505.2
2025-09-02,352.0,354.0,343.0,343.26,-1.71,30393,10471619.4
2025-09-01,348.0,359.9,346.0,349.24,-0.66,58359,20343435.2
2025-08-31,357.0,360.0,351.0,351.56,-1.6,41907,14839256.9
2025-08-28,370.0,370.0,356.8,357.29,-1.86,55432,20055505.6
2025-08-27,350.0,367.0,350.0,364.08,2.17,46788,17007913.8
2025-08-26,363.9,363.9,355.1,356.33,-0.37,26685,9551283.2
2025-08-25,359.0,365.1,351.0,357.64,0.58,42812,15310786.6
2025-08-24,369.8,369.8,354.0,355.57,-2.29,62759,22503598.7
2025-08-21,376.0,376.0,363.0,363.91,-1.31,45896,16747923.8
2025-08-20,365.5,372.7,365.5,368.75,0.26,40547,14965813.4
2025-08-19,378.0,378.0,366.1,367.81,-0.75,68083,25198664.3
2025-08-18,374.0,379.3,364.7,370.59,0.96,61525,22797403.2
2025-08-17,379.0,385.3,366.0,367.05,-2.85,92414,34432147.1
2025-08-14,385.0,385.8,372.0,377.82,-0.13,50776,19108325.2
2025-08-13,378.0,389.9,367.6,378.32,1.98,94905,36035532.8
2025-08-12,389.3,389.3,366.1,370.98,-2.81,133205,49662292.1
2025-08-11,399.0,407.1,379.4,381.72,-2.48,96404,37561332.81
