date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,525.0,530.0,519.0,519.5,-1.63,20791,10880740.5
2026-02-11,531.0,539.0,524.0,528.1,-1.09,6621,3510954.9
2026-02-10,539.0,539.0,528.1,533.9,0.36,11909,6318844.8
2026-02-09,549.5,549.5,531.2,532.0,-1.48,14026,7507513.1
2026-02-08,540.0,549.9,538.0,540.0,0.37,16845,9131800.8
2026-02-05,535.1,545.0,534.0,538.0,0.56,16212,8737246.0
2026-02-04,535.0,542.0,530.0,535.0,0.0,19914,10633278.3
2026-02-03,545.0,549.0,530.0,535.0,-0.94,14287,7668504.8
2026-02-02,551.0,551.0,533.0,540.1,-2.32,14863,8080097.9
2026-02-01,555.0,561.0,543.0,552.9,0.53,19415,10674315.9
2026-01-29,550.0,554.5,545.0,550.0,1.29,43787,24136366.8
2026-01-28,537.0,548.5,535.0,543.0,0.93,28880,15649675.5
2026-01-27,550.3,555.0,537.0,538.0,-1.47,33545,18420798.4
2026-01-26,540.0,550.4,537.0,546.0,1.87,32125,17475418.4
2026-01-25,527.0,538.9,527.0,536.0,1.42,21079,11290718.7
2026-01-22,526.0,535.9,526.0,528.5,-0.28,22141,11693988.5
2026-01-21,539.9,539.9,528.5,530.0,-0.38,11527,6125663.7
2026-01-20,539.5,542.9,529.0,532.0,0.57,22259,11936668.7
2026-01-18,540.0,540.0,525.1,529.0,-0.38,17309,9165669.3
2026-01-14,532.0,556.0,530.1,531.0,0.19,43261,23357323.4
2026-01-13,527.0,537.0,514.0,530.0,-1.3,66857,34851711.3
2026-01-12,547.0,547.0,530.0,537.0,-0.52,4964,2649916.0
2026-01-08,523.0,539.8,523.0,539.8,1.24,6117,3256324.2
2026-01-07,530.0,539.9,528.0,533.2,-0.15,10485,5585702.8
2026-01-06,522.0,542.0,522.0,534.0,0.38,9341,4997314.2
2026-01-05,539.0,547.0,530.0,532.0,0.0,24030,12925654.8
2026-01-04,537.0,537.0,530.0,532.0,-1.3,8127,4335284.2
2026-01-01,537.0,542.7,530.0,539.0,-0.19,13156,7064911.1
2025-12-31,540.0,548.9,539.0,540.0,0.04,7177,3896022.3
2025-12-29,530.0,547.0,526.3,539.8,2.62,22454,12180820.9
2025-12-28,522.0,547.9,520.0,526.0,0.77,18592,9852570.8
2025-12-24,525.0,528.0,519.0,522.0,-0.38,4047,2112005.0
2025-12-23,533.4,543.0,519.8,524.0,0.19,10254,5359159.5
2025-12-22,530.0,540.0,520.0,523.0,-1.32,10742,5629744.0
2025-12-21,541.0,541.0,530.0,530.0,-2.38,7954,4256150.5
2025-12-18,540.0,547.0,537.0,542.9,-0.2,23664,12794090.5
2025-12-17,548.0,551.0,541.0,544.0,0.0,10301,5610647.8
2025-12-16,545.0,555.9,540.0,544.0,0.35,4823,2640248.1
2025-12-15,539.0,549.0,539.0,542.1,-0.55,3854,2091413.1
2025-12-14,555.0,559.0,545.0,545.1,-1.77,5693,3128836.7
2025-12-11,550.0,557.4,550.0,554.9,0.0,10649,5894147.4
2025-12-10,548.0,562.0,548.0,554.9,0.18,8920,4951657.0
