date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,772.0,773.0,762.0,764.0,-0.78,3002,2300056.4
2026-02-11,770.0,781.7,760.0,770.0,0.0,3044,2324506.2
2026-02-10,785.5,785.5,763.5,770.0,-0.03,1373,1055149.6
2026-02-09,774.0,780.0,770.0,770.2,-0.75,4265,3302352.0
2026-02-08,763.2,782.0,763.2,776.0,0.13,2520,1955000.0
2026-02-05,760.1,784.8,755.0,775.0,0.65,4292,3276352.0
2026-02-04,766.0,780.0,766.0,770.0,0.5,3058,2366408.0
2026-02-03,766.0,791.0,763.0,766.2,-1.64,5283,4093213.1
2026-02-02,774.0,779.9,770.3,779.0,0.65,677,523733.0
2026-02-01,783.1,790.0,770.0,774.0,-2.4,6140,4781254.8
2026-01-29,793.7,803.0,790.0,793.0,-0.09,7306,5818179.6
2026-01-28,788.0,794.0,780.0,793.7,0.72,3214,2532817.0
2026-01-27,783.0,806.0,783.0,788.0,0.64,12535,9972618.3
2026-01-26,804.0,804.0,780.2,783.0,-1.14,3081,2422616.3
2026-01-25,768.0,806.0,768.0,792.0,2.19,4781,3808730.2
2026-01-22,778.0,791.0,775.0,775.0,-1.27,7519,5851733.4
2026-01-21,801.0,810.0,777.0,785.0,-1.88,5126,4062287.9
2026-01-20,787.0,802.5,759.0,800.0,2.83,9577,7526075.6
2026-01-18,771.1,780.0,770.1,778.0,0.13,1947,1510259.6
2026-01-14,775.0,778.3,762.0,777.0,0.26,3275,2522485.4
2026-01-13,760.0,775.0,760.0,775.0,1.57,1067,817597.5
2026-01-12,762.0,774.0,762.0,763.0,0.12,3775,2893954.1
2026-01-08,765.0,770.0,762.0,762.1,-0.7,2118,1617944.3
2026-01-07,778.0,779.0,760.0,767.5,-1.35,3080,2360619.0
2026-01-06,767.0,782.5,767.0,778.0,0.39,2742,2127314.0
2026-01-05,763.0,775.0,760.0,775.0,1.97,4934,3775216.7
2026-01-04,753.1,771.0,753.1,760.0,-0.65,1327,1009698.1
2026-01-01,765.0,780.3,760.0,765.0,0.0,927,710326.3
2025-12-31,790.5,790.5,765.0,765.0,-1.29,1238,952904.0
2025-12-29,751.2,790.0,751.2,775.0,1.83,6343,4926270.4
2025-12-28,775.2,775.2,760.0,761.1,0.14,1397,1065459.2
2025-12-24,785.4,785.4,750.0,760.0,-1.3,2855,2159028.8
2025-12-23,762.0,770.0,755.0,770.0,-0.9,576,439489.1
2025-12-22,760.0,777.0,750.0,777.0,0.27,1406,1071389.5
2025-12-21,765.1,775.0,761.1,774.9,0.22,2497,1922239.2
2025-12-18,776.0,783.0,772.0,773.2,-1.5,2730,2113689.5
2025-12-17,794.0,809.0,779.0,785.0,0.77,4085,3224560.0
2025-12-16,771.0,780.0,771.0,779.0,-0.63,876,680790.0
2025-12-15,760.0,783.9,757.1,783.9,1.79,2698,2077279.9
2025-12-14,770.0,777.0,764.0,770.1,-0.89,956,734953.0
2025-12-11,785.9,798.5,776.1,777.0,-1.13,3874,3043654.8
2025-12-10,780.0,795.5,776.2,785.9,0.76,4995,3923374.2
2025-12-09,780.0,785.0,770.3,780.0,0.26,4523,3526764.7
2025-12-08,765.0,780.0,765.0,778.0,1.7,3448,2680689.0
2025-12-07,760.0,770.0,760.0,765.0,0.39,1655,1263974.5
2025-12-03,762.1,779.9,762.0,762.0,-0.78,1362,1042774.5
2025-12-02,760.0,779.0,760.0,768.0,0.39,1144,877229.5
2025-12-01,775.0,776.0,762.4,765.0,-0.26,450,345429.0
2025-11-30,775.0,780.0,767.0,767.0,-2.29,2091,1612680.9
2025-11-27,768.0,785.0,760.0,785.0,2.19,3008,2328278.0
2025-11-26,765.0,779.7,764.4,768.2,-1.51,2138,1647711.8
2025-11-25,775.0,788.0,775.0,780.0,0.65,1186,921845.6
2025-11-24,760.3,778.0,757.0,775.0,1.43,1912,1472364.0
2025-11-23,760.0,770.0,758.2,764.1,0.94,3007,2300715.5
2025-11-20,776.0,776.0,755.0,757.0,-0.9,1885,1429169.3
2025-11-19,766.0,766.0,758.4,763.9,0.9,2404,1832312.5
2025-11-18,753.1,766.0,753.1,757.1,0.28,1475,1122933.0
2025-11-17,754.2,769.0,754.0,755.0,0.23,1195,907312.4
2025-11-16,752.6,761.0,752.6,753.3,-0.62,810,612007.8
2025-11-13,756.0,770.0,753.0,758.0,0.32,1556,1186144.7
2025-11-12,752.0,773.0,752.0,755.6,-0.32,1150,877848.0
2025-11-11,756.0,762.0,756.0,758.0,-1.04,1262,959271.9
2025-11-10,768.0,774.0,762.0,766.0,0.79,1596,1223313.2
2025-11-09,755.0,780.0,755.0,760.0,-0.65,1351,1028779.7
2025-11-06,772.2,776.0,765.0,765.0,-0.91,3444,2652509.8
2025-11-05,770.0,780.0,760.0,772.0,-1.48,5408,4141432.1
2025-11-04,797.0,797.0,766.2,783.6,0.08,3993,3088287.6
2025-11-03,805.0,805.0,780.5,783.0,-0.89,1650,1307651.3
2025-11-02,780.0,796.6,777.0,790.0,1.15,3560,2806752.6
2025-10-30,780.0,795.0,774.5,781.0,-1.76,5178,4063810.6
2025-10-29,782.0,809.7,767.0,795.0,-0.25,4315,3397400.6
2025-10-28,805.0,805.0,775.0,797.0,0.25,4822,3800908.7
2025-10-26,838.9,838.9,775.0,795.0,-7.13,5575,4387429.2
2025-10-19,763.5,856.0,750.1,856.0,9.88,2884,2230162.9
2025-10-16,794.0,794.0,764.4,779.0,-0.13,570,440180.4
2025-10-15,789.9,809.0,773.0,780.0,-3.23,3792,2968049.7
2025-10-14,820.3,820.3,775.1,806.0,-3.7,2268,1812543.9
2025-10-13,775.0,837.0,760.0,837.0,6.1,2676,2103210.0
2025-10-12,833.0,833.0,763.1,788.9,-3.79,5255,4131917.2
2025-10-09,820.0,851.0,800.0,820.0,0.0,7228,5902495.8
2025-10-08,830.0,840.0,810.0,820.0,-2.26,7909,6445877.5
2025-10-07,841.8,874.0,823.0,839.0,1.65,17387,14566930.4
2025-09-28,890.4,944.0,890.4,940.9,7.78,13441,12470519.3
2025-09-25,885.0,899.9,873.0,873.0,-1.36,1452,1272909.0
2025-09-24,871.3,888.0,869.0,885.0,-0.15,2323,2033034.2
2025-09-23,899.0,899.9,882.0,886.3,0.51,1387,1237070.9
2025-09-21,833.0,887.4,810.0,881.77,3.74,4631,3974680.2
2025-09-18,864.9,864.9,850.0,850.0,-3.68,20,17149.0
2025-09-08,890.0,895.0,857.1,882.5,-1.41,4635,4051689.5
2025-09-07,906.0,906.0,891.0,895.16,-1.36,1430,1286348.6
2025-09-04,895.0,909.0,880.0,907.51,0.3,4663,4160146.3
2025-09-03,896.0,905.0,890.2,904.78,0.35,3210,2889227.0
2025-09-02,905.0,912.5,894.0,901.66,-0.44,1793,1615152.7
2025-09-01,900.0,909.0,900.0,905.64,-0.11,1439,1296787.2
2025-08-31,924.7,924.7,905.0,906.6,0.0,1998,1824505.8
2025-08-28,906.0,909.0,905.2,906.6,0.17,1028,931692.2
2025-08-27,900.0,912.0,900.0,905.05,0.48,3895,3528920.8
2025-08-26,887.6,906.1,887.6,900.75,-0.54,1516,1367648.0
2025-08-25,882.3,909.9,882.3,905.63,0.6,887,799881.3
2025-08-24,915.0,915.0,900.0,900.22,-0.53,4193,3779898.9
2025-08-21,908.5,917.0,902.3,905.0,-0.81,1442,1313288.0
2025-08-20,920.0,930.0,910.0,912.38,-0.89,1794,1648549.0
2025-08-19,910.0,927.0,910.0,920.55,0.51,737,677413.5
2025-08-18,900.0,937.0,900.0,915.85,1.6,3419,3131094.1
2025-08-17,900.0,910.0,900.0,901.41,0.13,2375,2144950.3
2025-08-14,902.0,910.0,893.0,900.23,-0.11,2500,2250777.7
2025-08-13,900.0,917.9,900.0,901.18,-0.02,2370,2148444.4
2025-08-12,919.0,919.0,900.0,901.34,-1.41,4944,4469147.5
2025-08-11,932.0,935.0,911.4,914.21,-2.04,5954,5476937.8
2025-08-07,928.0,946.8,910.0,933.21,0.53,5138,4754980.5
2025-08-06,945.0,945.0,926.4,928.33,-0.13,3451,3212115.2
2025-08-05,955.0,955.0,929.0,929.54,-1.29,4619,4311281.2
2025-08-04,926.0,945.0,926.0,941.66,0.49,4795,4469914.3
2025-08-03,941.0,957.0,929.5,937.07,-1.19,8132,7653136.1
2025-07-31,945.0,957.0,945.0,948.39,-0.88,4157,3943209.9
2025-07-30,977.9,977.9,948.1,956.8,-0.55,6912,6637933.9
2025-07-29,976.2,977.9,950.0,962.13,0.52,9081,8723328.0
2025-07-28,940.0,992.0,933.4,957.17,0.84,14028,13256345.0
2025-07-27,970.0,983.1,945.0,949.21,-1.53,14600,14007484.4
2025-07-24,971.53,987.9,960.0,963.92,-0.78,10331,10035169.2
2025-07-23,971.0,993.0,970.0,971.53,-0.86,7493,7312195.9
2025-07-22,960.0,1049.0,958.3,980.0,2.7,13945,13737608.9
2025-07-21,947.0,970.0,944.2,954.26,-0.95,8397,8011414.3
2025-07-20,1000.0,1000.0,956.1,963.44,-1.83,12213,11918747.2
2025-07-17,945.0,1000.0,945.0,981.41,4.2,10475,10147215.3
2025-07-16,945.1,973.0,935.0,941.86,-1.39,13019,12332362.7
2025-07-15,981.6,1011.0,925.0,955.13,-4.64,26086,24945746.9
2025-07-14,1036.4,1036.4,975.0,1001.58,-1.44,28330,28000954.7
2025-07-13,1091.0,1108.0,998.0,1016.23,-6.93,51037,52637039.6
2025-07-10,1045.0,1110.0,1025.0,1091.9,6.52,115863,125121885.2
2025-07-09,981.6,1041.0,962.0,1025.05,2.51,33673,33484933.0
2025-07-08,963.0,1010.0,963.0,999.98,1.87,17740,17686277.6
2025-07-07,924.7,1004.0,924.7,981.61,4.06,19467,19042289.9
2025-07-06,936.0,946.9,918.5,943.31,2.21,5264,4935683.7
2025-07-03,910.0,928.0,902.0,922.93,0.66,2916,2667106.1
2025-07-02,911.0,919.0,901.1,916.9,0.54,1268,1157166.3
2025-07-01,914.9,917.0,901.5,911.98,-0.75,970,878661.5
2025-06-30,922.6,922.6,900.1,918.9,-2.39,1811,1656110.8
2025-06-29,880.0,944.0,880.0,941.37,5.2,2732,2491213.5
2025-06-26,889.0,900.0,887.2,894.85,-0.53,1565,1397158.9
2025-06-25,900.0,900.0,887.0,899.66,-0.33,1242,1114828.0
2025-06-24,890.0,907.8,890.0,902.67,0.23,1343,1206491.5
2025-06-23,904.0,904.0,890.0,900.58,-0.69,2142,1919656.6
2025-06-22,897.0,910.9,890.5,906.88,1.1,2316,2085260.0
2025-06-19,903.2,912.0,891.0,897.04,-2.37,5092,4587562.4
2025-06-18,935.9,935.9,901.6,918.86,0.14,1340,1225616.0
2025-06-17,914.0,930.0,902.1,917.58,0.25,4458,4087196.9
2025-06-16,915.0,939.4,910.0,915.31,-1.79,1527,1404326.1
2025-06-15,917.1,935.0,910.0,932.02,-0.4,2758,2545208.3
2025-06-12,912.1,959.0,912.1,935.77,1.24,9805,9178822.5
2025-06-11,910.1,927.0,909.0,924.28,-0.47,2285,2106706.7
2025-06-10,900.0,935.0,900.0,928.64,1.27,4643,4276999.5
2025-06-09,884.3,928.0,884.3,917.01,1.78,4997,4556080.0
2025-06-08,890.0,908.0,890.0,901.0,-0.65,1262,1138361.0
