date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,209.9,210.5,207.0,207.4,0.19,415020,86697352.6
2026-02-11,211.0,211.0,203.0,207.0,0.0,271751,56108728.8
2026-02-10,210.0,212.0,206.1,207.0,-0.43,457970,96041709.5
2026-02-09,206.0,210.0,203.0,207.9,1.61,422129,87395218.9
2026-02-08,206.0,209.8,204.2,204.6,0.29,419827,86917056.3
2026-02-05,202.0,207.0,198.1,204.0,2.41,356998,73017706.8
2026-02-04,197.0,201.1,195.1,199.2,1.37,208207,41164714.5
2026-02-03,205.0,205.0,196.2,196.5,-3.2,329580,65584536.7
2026-02-02,207.0,209.2,202.2,203.0,-1.46,200896,41102633.3
2026-02-01,207.5,215.0,205.8,206.0,-0.72,487787,101953347.6
2026-01-29,198.0,214.0,198.0,207.5,4.8,1237374,258547452.9
2026-01-28,193.1,199.7,193.0,198.0,0.51,259574,50939702.8
2026-01-27,202.0,210.0,196.6,197.0,-4.37,375868,75622541.4
2026-01-26,210.0,213.0,200.3,206.0,-0.72,604579,124753779.5
2026-01-25,187.7,208.0,187.7,207.5,8.36,557069,112546358.6
2026-01-22,187.0,192.0,184.6,191.5,3.23,257754,48746191.4
2026-01-21,190.7,190.7,185.0,185.5,-0.8,202038,37775735.9
2026-01-20,182.0,187.5,181.0,187.0,3.89,288256,53391553.3
2026-01-18,182.1,182.1,179.0,180.0,0.78,98159,17672437.6
2026-01-14,178.5,181.0,177.1,178.6,-0.5,81935,14713579.4
2026-01-13,180.0,181.9,178.4,179.5,-0.22,82778,14871567.5
2026-01-12,184.4,184.4,178.4,179.9,-0.5,95741,17261911.4
2026-01-08,177.4,182.0,174.4,180.8,2.49,151089,26965151.8
2026-01-07,177.0,177.8,174.0,176.4,-0.28,184821,32477383.0
2026-01-06,179.0,179.0,176.3,176.9,-0.34,62785,11131266.6
2026-01-05,177.9,178.2,175.5,177.5,0.28,58747,10382858.0
2026-01-04,174.0,180.9,174.0,177.0,-0.06,57352,10119309.2
2026-01-01,178.8,179.0,177.0,177.1,-0.95,44697,7925658.3
2025-12-31,179.0,180.0,176.0,178.8,0.45,81675,14642286.2
2025-12-29,179.9,180.0,177.5,178.0,-0.28,41415,7377249.4
2025-12-28,175.2,179.0,175.2,178.5,2.0,87278,15529860.4
2025-12-24,174.0,176.0,172.1,175.0,0.57,39145,6837498.5
2025-12-23,174.1,175.7,173.2,174.0,-0.51,47689,8309044.3
2025-12-22,177.0,177.0,174.1,174.9,-1.19,52785,9234280.3
2025-12-21,179.0,179.0,175.1,177.0,-0.06,62279,10954062.5
2025-12-18,179.0,179.0,176.1,177.1,-0.34,51680,9152381.1
2025-12-17,178.5,179.0,176.6,177.7,0.11,86068,15290866.2
2025-12-16,179.0,179.0,174.1,177.5,0.91,73456,12977529.5
2025-12-15,177.9,177.9,174.9,175.9,-0.17,43601,7653856.2
2025-12-14,178.0,178.0,175.2,176.2,-0.28,46768,8234048.8
2025-12-11,174.0,177.8,174.0,176.7,-0.11,63995,11287714.7
2025-12-10,179.0,179.1,176.0,176.9,-0.62,49908,8848988.5
2025-12-09,180.0,180.0,176.8,178.0,0.0,60455,10739551.3
2025-12-08,177.3,180.0,176.4,178.0,-0.5,87285,15547572.3
2025-12-07,180.0,182.0,178.0,178.9,-1.16,89621,16055004.8
2025-12-03,185.3,185.3,180.2,181.0,-0.39,78853,14261972.1
2025-12-02,180.0,182.6,180.0,181.7,0.22,68188,12366898.2
2025-12-01,180.0,182.9,180.0,181.3,0.11,66062,11983632.8
2025-11-30,181.0,185.0,178.8,181.1,-0.66,124853,22743995.0
2025-11-27,178.1,182.8,178.1,182.3,0.39,182994,33332417.1
2025-11-26,183.5,183.5,180.0,181.6,-0.22,105931,19230088.1
2025-11-25,185.6,185.6,180.1,182.0,0.0,120571,21853216.3
