date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,546.0,547.0,526.0,526.2,-1.83,183891,97998314.1
2026-02-11,543.8,544.2,530.2,536.0,0.45,33570,17991026.9
2026-02-10,530.0,540.0,520.0,533.6,1.06,39720,21009861.9
2026-02-09,552.0,556.0,524.0,528.0,-3.65,112250,60244446.4
2026-02-08,569.1,613.8,548.0,548.0,-1.79,122677,68786311.6
2026-02-05,573.2,599.6,558.0,558.0,-0.71,323512,187908073.5
2026-02-04,565.0,575.0,559.2,562.0,-0.18,51564,29241070.8
2026-02-03,552.0,579.0,541.1,563.0,2.18,62141,35027977.1
2026-02-02,555.1,559.9,538.0,551.0,-2.3,43550,24005776.9
2026-02-01,559.6,572.0,550.5,564.0,-1.23,73784,41438252.7
2026-01-29,580.0,595.0,556.0,571.0,-3.2,72419,41581880.9
2026-01-28,549.0,594.7,535.0,589.9,9.04,186260,105816249.2
2026-01-27,520.1,542.0,520.0,541.0,2.46,79174,42344865.0
2026-01-26,524.0,528.0,515.1,528.0,0.61,64914,33843379.1
2026-01-25,514.0,525.0,507.3,524.8,3.69,70069,36373572.1
2026-01-22,489.0,506.1,483.0,506.1,4.85,49458,24670480.3
2026-01-21,476.3,494.0,475.2,482.7,2.05,41365,19881594.2
2026-01-20,462.0,479.5,461.1,473.0,2.78,21332,10087058.5
2026-01-18,455.0,462.0,455.0,460.2,1.19,15983,7337435.9
2026-01-14,450.0,460.0,448.0,454.8,0.89,9788,4439525.9
2026-01-13,440.0,452.0,440.0,450.8,0.85,7412,3322271.7
2026-01-12,455.0,456.9,445.3,447.0,-0.67,5778,2594695.5
2026-01-08,450.0,454.0,447.6,450.0,-1.1,10527,4729711.8
2026-01-07,460.0,464.0,450.0,455.0,-1.52,13090,5947885.2
2026-01-06,467.0,473.0,458.3,462.0,-0.65,15599,7254277.1
2026-01-05,442.1,470.0,442.1,465.0,4.97,26135,11941244.5
2026-01-04,433.1,446.0,433.1,443.0,0.91,5046,2232218.4
2026-01-01,439.0,447.5,437.1,439.0,-0.45,5058,2226426.8
2025-12-31,445.0,448.6,441.0,441.0,0.23,3930,1745974.0
2025-12-29,450.0,450.0,440.0,440.0,-0.54,11787,5239263.7
2025-12-28,437.1,442.8,437.1,442.4,1.28,6339,2794322.0
2025-12-24,430.3,438.0,430.3,436.8,0.23,2812,1225069.2
2025-12-23,430.5,436.9,430.5,435.8,-0.05,5685,2464573.9
2025-12-22,436.0,437.8,433.0,436.0,-0.48,4717,2052209.0
2025-12-21,436.1,440.0,436.1,438.1,-0.88,3773,1652053.5
2025-12-18,438.0,444.9,437.5,442.0,-0.23,9075,3990779.8
2025-12-17,445.0,445.0,440.0,443.0,0.23,5750,2545220.0
2025-12-16,433.5,443.9,433.5,442.0,0.48,2022,886167.0
2025-12-15,430.0,440.0,430.0,439.9,0.87,1581,689763.0
2025-12-14,435.1,442.0,435.1,436.1,-1.51,4080,1789559.0
2025-12-11,435.1,442.9,435.0,442.8,0.18,3275,1434560.5
2025-12-10,447.0,447.0,435.8,442.0,0.23,4985,2186791.5
2025-12-09,430.1,450.0,430.1,441.0,0.52,3843,1694053.4
2025-12-08,430.4,439.5,430.4,438.7,-0.07,2997,1307223.2
2025-12-07,443.6,445.1,430.0,439.0,-1.75,14405,6279910.3
2025-12-03,450.0,452.0,443.3,446.8,0.34,10087,4498773.0
2025-12-02,455.0,455.0,442.2,445.3,-1.02,13337,5995105.3
2025-12-01,443.0,454.0,440.2,449.9,-0.46,5202,2320875.7
2025-11-30,442.1,459.0,442.1,452.0,0.22,7135,3194161.6
2025-11-27,451.0,453.0,443.3,451.0,0.22,16340,7316430.3
2025-11-26,437.0,450.0,437.0,450.0,1.81,7211,3221728.1
2025-11-25,446.0,454.9,440.0,442.0,-0.9,5681,2514337.0
2025-11-24,440.0,449.0,440.0,446.0,0.9,12470,5553670.8
2025-11-23,437.9,444.9,429.2,442.0,2.81,13920,6115291.4
2025-11-20,420.6,431.2,420.6,429.9,1.08,8765,3741947.2
2025-11-19,436.0,439.9,423.5,425.3,-1.55,1785,759504.5
2025-11-18,430.0,433.9,426.0,432.0,1.89,5726,2459265.5
2025-11-17,420.1,425.0,419.2,424.0,0.95,6218,2623495.5
2025-11-16,420.0,425.0,416.5,420.0,-0.07,5605,2356391.2
2025-11-13,420.0,423.0,414.3,420.3,0.1,3408,1428858.3
2025-11-12,415.6,419.9,414.0,419.9,-0.97,10463,4347159.5
2025-11-11,417.0,426.0,416.0,424.0,0.0,10007,4195846.4
2025-11-10,432.0,432.0,418.4,424.0,-1.05,5413,2295032.1
2025-11-09,428.0,430.0,420.0,428.5,-1.27,12993,5479560.4
2025-11-06,440.6,440.6,426.0,434.0,0.02,5699,2442719.9
2025-11-05,421.2,434.8,421.2,433.9,1.14,1660,713859.2
2025-11-04,430.0,440.0,423.1,429.0,-2.19,16266,6977238.0
2025-11-03,435.0,447.0,430.0,438.6,-0.09,9654,4229907.5
2025-11-02,430.0,455.0,430.0,439.0,0.25,21830,9621688.2
2025-10-30,420.5,439.0,412.1,437.9,2.07,10658,4599777.7
2025-10-29,436.9,436.9,415.0,429.0,-0.23,7660,3225647.0
2025-10-28,408.9,431.4,408.9,430.0,7.23,6128,2564030.3
2025-10-26,401.0,403.0,393.0,401.0,-1.6,3106,1233216.0
2025-10-19,411.0,411.0,396.0,407.5,1.12,2470,989571.0
2025-10-16,415.0,429.0,395.1,403.0,-4.05,15761,6339744.4
2025-10-15,446.7,446.7,420.0,420.0,-4.11,5768,2460758.5
2025-10-14,444.7,448.9,430.4,438.0,-1.51,7122,3072901.2
2025-10-13,430.0,445.7,430.0,444.7,1.76,2306,1013299.0
2025-10-12,465.0,465.0,431.2,437.0,-6.02,16700,7333005.9
2025-10-09,477.3,480.0,461.3,465.0,-0.64,15121,7100009.9
2025-10-08,492.0,492.0,455.0,468.0,-2.99,18014,8367301.5
2025-10-07,496.7,499.8,472.1,482.4,-0.94,6939,3323871.6
2025-09-28,487.9,495.5,481.0,487.0,-0.18,7898,3832979.0
2025-09-25,485.2,494.9,483.1,487.9,-1.23,6000,2921718.1
2025-09-24,490.0,498.7,485.0,494.0,-0.8,5156,2542479.9
2025-09-23,489.4,498.7,481.1,498.0,3.61,4969,2441295.2
2025-09-21,457.0,492.0,451.0,480.64,4.03,9277,4384166.0
2025-09-18,469.9,469.9,462.0,462.0,-3.64,1000,468320.0
2025-09-08,486.0,503.2,477.0,479.46,-2.82,18318,8872585.5
2025-09-07,500.0,503.8,493.0,493.36,-1.26,13434,6677100.6
2025-09-04,482.8,501.9,482.8,499.67,1.42,6617,3261875.4
2025-09-03,505.0,507.0,490.0,492.65,-1.82,16612,8270050.6
2025-09-02,502.4,515.8,500.2,501.8,-0.94,11893,5996733.7
2025-09-01,506.0,512.0,505.0,506.58,0.16,13155,6679933.7
2025-08-31,507.4,517.5,502.0,505.75,-2.31,14723,7497123.6
2025-08-28,511.8,526.0,511.8,517.73,-0.86,14074,7294096.4
2025-08-27,502.9,524.0,502.9,522.2,1.77,11055,5737335.0
2025-08-26,505.7,526.0,505.7,513.13,-0.55,14722,7582559.1
2025-08-25,522.0,526.0,514.5,515.97,-0.58,12293,6376497.5
2025-08-24,519.0,530.0,518.0,519.0,-0.42,13197,6866252.3
2025-08-21,521.2,535.9,517.4,521.18,-1.28,23007,12080377.9
2025-08-20,522.0,540.0,522.0,527.92,-0.87,11101,5905584.9
2025-08-19,544.0,544.0,529.0,532.58,-0.27,16154,8619417.9
2025-08-18,515.0,537.0,515.0,534.0,1.83,22624,12057145.4
2025-08-17,515.0,544.0,515.0,524.39,1.15,15603,8227146.0
2025-08-14,515.7,536.0,515.7,518.42,-1.47,17154,8978279.9
2025-08-13,541.0,549.9,523.0,526.17,-0.92,17168,9104807.4
2025-08-12,530.6,549.3,523.5,531.03,-1.91,18570,9944030.0
2025-08-11,523.0,550.6,523.0,541.36,3.47,64105,34761706.9
2025-08-07,532.0,532.0,518.0,523.18,0.17,12766,6731093.5
2025-08-06,506.2,530.0,506.2,522.28,1.13,8130,4208356.4
2025-08-05,538.5,538.5,512.1,516.45,-2.19,16733,8814024.5
2025-08-04,539.9,539.9,519.0,528.0,-1.56,34338,18094265.4
2025-08-03,540.0,552.9,535.0,536.35,-1.64,32188,17379404.0
2025-07-31,571.7,571.7,542.1,545.28,-2.72,46032,25367005.4
2025-07-30,570.0,574.0,557.2,560.52,-0.49,58409,33135288.7
2025-07-29,574.3,575.0,561.0,563.26,0.04,59234,33614338.2
2025-07-28,540.3,564.9,540.3,563.06,2.94,89008,49464241.1
2025-07-27,569.0,574.0,545.0,546.98,-3.73,69700,39020822.8
2025-07-24,530.0,573.0,530.0,568.16,5.11,83847,47348968.5
2025-07-23,544.0,554.0,535.0,540.53,-0.2,74019,40320363.6
2025-07-22,540.0,542.9,530.2,541.64,1.76,49417,26518409.9
2025-07-21,527.1,540.0,526.0,532.28,1.12,41917,22356215.9
2025-07-20,521.0,540.0,520.0,526.39,1.43,38093,20217759.2
2025-07-17,517.3,523.9,510.1,518.98,2.32,22574,11696480.5
2025-07-16,504.0,510.0,501.0,507.23,0.67,7394,3748912.4
2025-07-15,500.1,510.9,500.1,503.85,0.57,5584,2821698.0
2025-07-14,500.0,510.0,500.0,500.99,-1.2,13535,6796708.4
2025-07-13,513.4,523.6,503.4,507.1,0.75,15542,7939111.0
2025-07-10,509.0,512.9,501.0,503.34,-0.76,12243,6214124.8
2025-07-09,505.0,510.0,504.1,507.22,0.53,3448,1744544.6
2025-07-08,497.1,506.5,496.0,504.54,0.89,3680,1846356.3
2025-07-07,500.0,514.9,498.1,500.07,-1.59,6787,3405646.0
2025-07-06,512.2,514.0,505.0,508.14,-0.81,10707,5460035.2
2025-07-03,512.0,519.0,508.1,512.31,0.15,14785,7592925.5
2025-07-02,495.0,516.0,495.0,511.55,1.52,10499,5359351.2
2025-07-01,498.1,508.0,498.1,503.87,0.15,9086,4563989.6
2025-06-30,506.0,511.0,500.3,503.13,-0.36,9510,4815366.0
