date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,9.65,10.0,9.65,9.71,-1.12,800,7815.0
2026-02-11,10.01,10.01,9.81,9.82,-0.1,14804,146254.44
2026-02-10,9.64,9.83,9.64,9.83,1.87,2700,26519.0
2026-02-09,9.71,9.71,9.65,9.65,-2.53,600,5802.0
2026-02-08,9.9,9.9,9.9,9.9,-1.0,300,2970.0
2026-02-05,9.9,10.0,9.9,10.0,0.3,6000,59707.0
2026-02-04,9.77,9.97,9.77,9.97,2.05,9570,95173.6
2026-02-03,9.76,9.78,9.76,9.77,-1.81,2250,21981.0
2026-02-02,9.65,9.98,9.65,9.95,3.32,12500,124029.0
2026-02-01,9.61,9.78,9.61,9.63,0.42,1100,10726.0
2026-01-29,9.59,9.59,9.59,9.59,-1.44,100,959.0
2026-01-28,9.57,9.73,9.57,9.73,0.0,600,5782.0
2026-01-27,9.73,9.92,9.73,9.73,0.0,10555,103013.15
2026-01-26,9.7,9.73,9.7,9.73,1.99,4000,38890.0
2026-01-25,9.35,9.54,9.35,9.54,0.42,600,5665.0
2026-01-22,9.47,9.52,9.47,9.5,-1.35,33862,322001.38
2026-01-21,9.5,9.7,9.5,9.63,1.37,3300,31927.0
2026-01-20,9.69,9.69,9.5,9.5,0.0,1550,15000.5
2026-01-18,9.35,9.66,9.35,9.5,0.21,4450,42880.0
2026-01-13,9.3,9.48,9.3,9.48,0.85,12538,118841.24
2026-01-12,9.75,9.75,9.4,9.4,-1.88,900,8740.0
2026-01-08,9.5,9.58,9.4,9.58,0.74,24650,233074.0
2026-01-07,9.6,9.6,9.51,9.51,-2.46,39300,374578.85
2026-01-06,9.61,9.8,9.6,9.75,0.21,20500,199777.0
2026-01-05,9.35,9.73,9.35,9.73,1.99,18400,177213.0
2026-01-04,9.65,9.75,9.52,9.54,-1.65,5700,55425.0
2026-01-01,9.61,9.7,9.42,9.7,-1.02,20550,196144.0
2025-12-31,9.61,9.8,9.42,9.8,0.0,1800,17336.0
2025-12-29,9.84,9.84,9.65,9.8,1.55,850,8296.5
2025-12-28,9.55,9.85,9.47,9.65,2.99,41276,399707.95
2025-12-24,9.15,9.37,9.15,9.37,1.85,2000,18656.0
2025-12-23,9.38,9.56,9.2,9.2,0.0,27550,261676.0
2025-12-22,9.2,9.37,9.18,9.2,0.11,3665,33961.05
2025-12-21,9.33,9.51,9.19,9.19,0.44,49475,461601.75
2025-12-18,9.15,9.15,9.15,9.15,0.0,100,915.0
2025-12-17,9.15,9.15,9.15,9.15,0.0,400,3660.0
2025-12-16,9.28,9.46,9.15,9.15,0.55,5950,55185.5
2025-12-15,9.1,9.1,9.1,9.1,-0.55,1000,9100.0
2025-12-14,9.12,9.15,9.12,9.15,0.88,3600,32937.0
2025-12-11,9.07,9.07,9.07,9.07,-1.95,1000,9070.0
2025-12-10,9.15,9.25,9.15,9.25,-0.86,14289,131704.35
2025-12-09,9.16,9.33,9.16,9.33,1.97,14300,133394.0
2025-12-08,9.15,9.15,9.15,9.15,0.44,400,3660.0
2025-12-07,9.05,9.33,9.05,9.11,-0.44,800,7386.0
2025-12-03,9.15,9.15,9.15,9.15,-1.4,100,915.0
2025-12-02,9.2,9.28,9.1,9.28,1.98,209100,1936245.6
2025-12-01,9.06,9.24,9.06,9.1,0.44,3550,32735.0
2025-11-30,9.05,9.06,9.05,9.06,1.91,1100,9965.0
2025-11-27,8.85,8.89,8.85,8.89,1.48,600,5330.0
2025-11-26,9.25,9.25,8.76,8.76,-3.74,203400,1815210.0
2025-11-25,9.01,9.1,9.01,9.1,-0.87,200,1811.0
2025-11-24,9.0,9.18,9.0,9.18,2.57,400,3633.48
2025-11-23,9.07,9.1,8.95,8.95,0.56,23100,209572.5
2025-11-20,8.9,8.93,8.9,8.9,-1.66,700,6234.2
2025-11-19,9.1,9.2,9.05,9.05,-0.44,6467,59031.35
2025-11-18,9.04,9.1,8.92,9.09,2.48,23527,212923.88
2025-11-17,8.7,8.87,8.7,8.87,0.11,1100,9740.0
2025-11-16,8.71,8.86,8.71,8.86,0.91,820,7163.6
2025-11-12,9.0,9.0,8.78,8.78,-1.9,99600,877845.0
2025-11-11,9.1,9.1,8.92,8.95,-3.56,28985,258663.2
2025-11-10,9.1,9.28,9.1,9.28,1.98,200,1838.0
2025-11-09,9.0,9.11,9.0,9.1,-0.55,20500,186536.0
2025-11-04,9.1,9.15,9.1,9.15,-0.97,700,6375.0
2025-11-03,9.08,9.24,9.08,9.24,0.22,10100,92790.0
2025-11-02,9.1,9.22,9.06,9.22,-0.43,17735,161127.7
2025-10-30,9.1,9.26,9.1,9.26,1.76,11500,104890.0
2025-10-29,9.25,9.25,9.1,9.1,-0.55,1800,16574.0
2025-10-26,9.15,9.15,9.15,9.15,0.0,14000,128100.0
2025-10-19,9.15,9.15,9.15,9.15,0.44,150,1372.5
2025-10-16,9.12,9.12,8.94,9.11,-0.11,32056,292223.16
2025-10-15,9.11,9.2,9.11,9.12,0.11,264862,2427677.54
2025-10-14,9.26,9.26,9.1,9.11,0.33,196150,1801965.0
2025-10-13,9.0,9.08,9.0,9.08,1.79,31800,288423.0
2025-10-12,9.1,9.15,8.92,8.92,-1.98,22900,208086.0
2025-10-09,9.09,9.1,9.09,9.1,-0.55,300,2729.0
2025-10-08,9.33,9.4,9.15,9.15,-1.93,5970,55016.5
2025-10-07,9.15,9.33,9.15,9.33,0.0,2485,22991.05
2025-09-28,9.31,9.33,9.15,9.33,0.86,500,4641.0
2025-09-25,9.05,9.25,9.05,9.25,0.54,21079,192713.84
2025-09-24,9.2,9.2,9.02,9.2,0.0,45725,413181.05
2025-09-23,9.23,9.23,9.05,9.2,1.66,21044,193573.0
2025-09-21,9.01,9.15,9.01,9.05,-0.33,58700,532842.0
2025-09-18,9.08,9.08,9.08,9.08,-0.11,400,3632.0
2025-09-08,9.1,9.1,9.09,9.09,-1.2,2400,21821.0
2025-09-07,9.14,9.2,9.1,9.2,0.66,5900,53724.0
2025-09-04,9.0,9.16,9.0,9.14,0.99,36400,332903.0
2025-09-03,9.0,9.18,9.0,9.05,-0.33,38700,351613.0
2025-09-02,9.06,9.08,9.05,9.08,-1.52,64330,582692.4
2025-09-01,9.18,9.25,9.0,9.22,2.44,70260,645826.1
2025-08-31,9.07,9.07,9.0,9.0,1.12,38631,348681.31
2025-08-28,10.35,10.35,9.97,10.17,0.2,677300,6876186.0
2025-08-27,10.16,10.16,10.12,10.15,-0.29,101559,1030805.85
2025-08-26,10.07,10.29,10.07,10.18,0.3,90971,930454.14
2025-08-25,10.1,10.15,10.03,10.15,0.59,537550,5424855.5
2025-08-24,10.08,10.28,10.0,10.09,-0.1,282510,2842767.0
2025-08-21,9.92,10.15,9.92,10.1,-0.2,149000,1506582.0
2025-08-20,10.25,10.25,10.1,10.12,0.4,333750,3379699.0
2025-08-19,10.15,10.18,10.07,10.08,-0.79,268360,2708392.0
2025-08-18,10.3,10.5,10.09,10.16,0.59,270850,2753492.9
2025-08-17,10.08,10.2,10.05,10.1,-0.59,86350,875551.3
2025-08-14,10.06,10.3,10.06,10.16,0.59,66700,674886.0
2025-08-13,9.96,10.3,9.96,10.1,-0.59,49650,507028.0
2025-08-12,10.44,10.44,10.07,10.16,-0.78,14950,151528.0
2025-08-11,10.2,10.31,10.1,10.24,-0.58,26230,268482.4
2025-08-07,10.11,10.3,10.11,10.3,1.88,5540,56891.0
2025-08-06,10.1,10.11,10.1,10.11,-0.59,1001,10113.61
2025-08-05,10.16,10.17,10.16,10.17,-1.74,200,2033.0
2025-08-04,10.56,10.56,10.35,10.35,-1.99,516800,5349655.0
2025-08-03,10.15,10.58,10.15,10.56,2.33,5655,58478.65
2025-07-31,10.5,10.71,10.3,10.32,0.19,6100,64320.0
2025-07-30,10.5,10.55,10.3,10.3,-1.34,320000,3329255.0
2025-07-29,10.25,10.45,10.21,10.44,1.46,179180,1858272.2
2025-07-28,10.3,10.3,10.25,10.29,-1.06,1200,12355.0
2025-07-27,10.24,10.4,10.22,10.4,-0.38,109285,1136288.4
2025-07-24,10.28,10.45,10.28,10.44,1.56,78750,822796.49
2025-07-23,10.29,10.29,10.15,10.28,-2.0,178900,1836660.0
2025-07-22,9.9,10.49,9.9,10.49,4.07,16800,171657.0
2025-07-21,10.01,10.2,10.01,10.08,-0.1,500500,5105012.0
2025-07-20,10.28,10.3,10.01,10.09,-0.1,3107200,31407767.0
2025-07-17,9.9,10.45,9.9,10.1,0.2,274510,2818435.7
2025-07-16,10.0,10.11,9.99,10.08,-0.2,513900,5146033.63
2025-07-15,9.94,10.12,9.94,10.1,-0.39,28359,284994.19
2025-07-14,9.98,10.15,9.98,10.14,-0.39,11500,116439.0
2025-07-13,9.89,10.19,9.87,10.18,1.19,113000,1141640.0
2025-07-10,9.53,10.14,9.53,10.06,3.71,26800,268743.0
2025-07-09,9.6,9.8,9.6,9.7,0.62,3650,35179.0
2025-07-08,9.63,9.71,9.53,9.64,0.1,6300,61050.0
2025-07-07,9.95,10.24,9.5,9.63,-4.18,127900,1248486.0
2025-07-06,10.0,10.25,10.0,10.05,-1.18,2710,27282.5
2025-07-03,9.7,10.17,9.7,10.17,3.14,1200,11935.0
2025-07-02,10.0,10.0,9.85,9.86,-2.38,4200,41421.0
2025-07-01,10.1,10.11,10.1,10.1,0.5,1500,15164.0
2025-06-30,9.87,10.05,9.86,10.05,0.4,4600,45377.0
2025-06-29,9.8,10.01,9.8,10.01,0.7,19300,192948.0
2025-06-24,9.6,9.94,9.6,9.94,1.95,2100,20539.0
2025-06-23,9.75,9.75,9.75,9.75,-0.51,33075,322481.25
2025-06-22,9.8,9.8,9.8,9.8,-0.1,7180,70364.0
2025-06-19,9.81,9.81,9.62,9.81,0.0,10800,104648.0
2025-06-18,9.45,9.82,9.3,9.81,5.83,7850,75299.0
2025-06-17,9.18,9.38,9.18,9.27,-0.86,15770,146241.8
2025-06-16,9.18,9.35,9.18,9.35,0.0,600,5593.0
2025-06-15,9.31,9.35,9.31,9.35,-1.58,300,2797.0
2025-06-11,9.5,9.5,9.5,9.5,0.0,500,4750.0
2025-06-10,9.5,9.65,9.5,9.5,0.85,500,4765.0
2025-06-09,9.52,9.52,9.24,9.42,-1.05,8500,79460.0
2025-06-08,9.71,9.71,9.52,9.52,-2.66,26750,257827.0
2025-06-05,9.84,9.84,9.75,9.78,-2.59,18300,179373.0
2025-06-04,9.68,10.04,9.68,10.04,1.93,23350,229896.5
2025-06-03,9.77,10.25,9.77,9.85,-1.1,9550,95101.5
2025-06-02,9.78,9.96,9.58,9.96,0.0,1500,14645.0
2025-05-28,10.02,10.02,9.7,9.96,1.12,13236,129839.72
2025-05-27,9.81,9.85,9.81,9.85,-1.5,10700,104987.0
2025-05-26,10.0,10.09,10.0,10.0,1.01,2900,29189.0
2025-05-25,9.71,9.9,9.71,9.9,1.02,15200,150298.0
2025-05-22,9.7,9.8,9.51,9.8,-0.91,27600,268125.0
2025-05-21,9.8,9.89,9.32,9.89,-0.9,34450,331882.0
2025-05-20,9.49,9.98,9.31,9.98,3.1,33800,321856.0
2025-05-19,9.57,9.7,9.39,9.68,3.09,7300,69302.0
2025-05-15,9.4,9.58,9.22,9.39,-1.88,22600,211764.0
2025-05-14,9.5,9.57,9.5,9.57,-0.42,2420,23145.4
2025-05-13,9.44,9.8,9.28,9.61,-0.1,4600,44192.0
2025-05-11,9.82,9.82,9.26,9.62,-0.21,10500,101424.0
2025-05-08,9.69,10.0,9.64,9.64,-2.43,14200,139084.0
2025-05-07,9.41,9.88,9.41,9.88,2.92,12200,116538.0
