date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,1188.1,1213.0,1188.1,1213.0,2.1,38,46161.8
2026-02-11,1188.1,1188.1,1188.1,1188.1,-1.4,30,35643.0
2026-02-09,1205.0,1205.0,1205.0,1205.0,0.0,25,30125.0
2026-02-05,1205.0,1205.0,1205.0,1205.0,0.08,30,36150.0
2026-02-01,1210.7,1210.7,1202.0,1204.0,1.43,60,72257.0
2026-01-29,1187.0,1187.0,1187.0,1187.0,0.51,25,29675.0
2026-01-26,1181.0,1181.0,1181.0,1181.0,-0.34,25,29525.0
2026-01-25,1185.0,1185.0,1185.0,1185.0,0.25,75,88875.0
2026-01-22,1182.0,1182.0,1182.0,1182.0,-0.76,25,29550.0
2026-01-21,1191.1,1191.1,1191.1,1191.1,0.01,25,29777.5
2026-01-20,1191.0,1191.0,1191.0,1191.0,-1.73,20,23820.0
2026-01-14,1212.0,1212.0,1212.0,1212.0,0.08,100,121200.0
2026-01-13,1230.0,1230.0,1206.0,1211.0,-3.51,80,97325.0
2026-01-08,1255.1,1255.1,1255.1,1255.1,0.0,25,31377.5
2026-01-07,1260.0,1260.0,1255.1,1255.1,-1.33,25,31426.5
2026-01-06,1272.0,1272.0,1272.0,1272.0,0.0,30,38160.0
2025-12-31,1272.0,1272.0,1272.0,1272.0,0.32,15,19080.0
2025-12-28,1268.0,1268.0,1268.0,1268.0,0.08,35,44380.0
2025-12-23,1266.0,1267.0,1266.0,1267.0,-1.09,50,63325.0
2025-12-21,1252.0,1281.0,1251.0,1281.0,1.04,316,404051.0
2025-12-17,1240.3,1267.8,1240.3,1267.8,4.26,150,187002.5
2025-12-15,1216.0,1216.0,1216.0,1216.0,0.91,10,12160.0
2025-12-14,1205.0,1205.0,1205.0,1205.0,-1.72,25,30125.0
2025-12-11,1250.0,1250.0,1250.0,1226.1,-1.91,1,1226.1
2025-12-09,1250.0,1250.0,1250.0,1250.0,0.0,25,31250.0
2025-12-08,1250.0,1250.0,1250.0,1250.0,0.0,25,31250.0
2025-11-30,1250.5,1275.0,1250.5,1250.0,1.96,25,31505.0
2025-11-27,1222.0,1240.0,1222.0,1226.0,-1.53,75,92200.0
2025-11-24,1238.0,1245.0,1238.0,1245.0,-0.73,50,62075.0
2025-11-23,1181.0,1275.0,1181.0,1254.2,6.2,578,735766.3
2025-11-19,1181.0,1181.0,1181.0,1181.0,-1.58,100,118100.0
2025-11-18,1224.0,1224.0,1224.0,1200.0,-1.96,1,1200.0
2025-11-16,1200.0,1224.0,1200.0,1224.0,1.58,75,90600.0
2025-11-12,1205.0,1205.0,1205.0,1205.0,-0.91,25,30125.0
2025-11-10,1240.0,1240.0,1240.0,1216.1,0.01,41,50816.1
2025-11-09,1216.0,1216.0,1216.0,1216.0,-1.94,50,60800.0
2025-11-06,1240.0,1240.0,1240.0,1240.0,0.81,25,31000.0
