date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,836.0,838.0,820.0,825.0,-1.55,92118,75959055.1
2026-02-11,848.0,858.9,835.0,838.0,-0.71,25745,21596416.8
2026-02-10,840.0,850.0,836.0,844.0,-0.47,34033,28668267.9
2026-02-09,860.0,868.0,843.0,848.0,-1.38,75363,63976235.1
2026-02-08,872.5,887.0,855.0,859.9,-1.73,133312,114835705.1
2026-02-05,885.0,895.0,870.0,875.0,-1.34,39666,34858333.0
2026-02-04,908.8,908.8,880.0,886.9,-0.46,27520,24493906.4
2026-02-03,885.0,902.0,864.0,891.0,2.65,45386,40237991.4
2026-02-02,866.0,875.0,863.0,868.0,0.23,11373,9885193.2
2026-02-01,870.0,882.0,862.0,866.0,-2.04,35443,30862894.4
2026-01-29,913.0,913.0,883.0,884.0,-1.34,32888,29280615.3
2026-01-28,900.0,901.0,882.0,896.0,-0.08,30292,26925778.7
2026-01-27,882.0,930.0,882.0,896.7,-0.13,121304,110438245.8
2026-01-26,920.0,920.0,891.1,897.9,-1.28,52333,47027740.0
2026-01-25,880.0,915.0,880.0,909.5,3.65,47040,42280633.0
2026-01-22,896.4,896.4,870.0,877.5,-0.16,24594,21597011.8
2026-01-21,890.0,894.0,871.0,878.9,-0.24,13880,12202560.2
2026-01-20,887.4,895.0,872.0,881.0,1.26,25380,22451578.0
2026-01-18,851.1,870.0,850.5,870.0,2.23,50874,43787112.8
2026-01-14,849.0,855.0,847.0,851.0,0.2,17338,14732995.6
2026-01-13,850.3,860.0,845.0,849.3,-0.12,22760,19370538.2
2026-01-12,869.0,869.0,850.3,850.3,-0.2,15632,13323003.6
2026-01-08,856.0,859.7,850.5,852.0,0.0,7288,6222783.5
2026-01-07,881.2,881.2,852.0,852.0,-1.39,14919,12775742.5
2026-01-06,877.0,877.0,860.0,864.0,0.47,8774,7590169.4
2026-01-05,850.0,869.2,850.0,860.0,0.58,13193,11382355.3
2026-01-04,869.0,869.0,852.1,855.0,-0.47,4212,3608515.2
2026-01-01,865.0,870.0,848.0,859.0,-0.69,11725,10079445.0
2025-12-31,865.0,870.0,863.0,865.0,1.17,13678,11838716.4
2025-12-29,860.0,870.0,855.0,855.0,-0.12,22684,19520217.9
2025-12-28,860.0,864.9,854.0,856.0,1.44,15343,13166081.3
2025-12-24,899.0,899.0,885.0,886.0,0.11,11897,10579980.1
2025-12-23,882.2,885.0,881.0,885.0,0.32,14445,12744937.2
2025-12-22,887.0,890.0,880.0,882.2,-0.44,17055,15054216.3
