date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,474.0,480.0,468.2,477.0,1.51,62819,29858241.5
2026-02-11,478.0,478.0,466.0,469.9,0.26,27179,12756404.5
2026-02-10,465.5,471.0,464.0,468.7,0.15,36142,16870899.1
2026-02-09,472.0,474.8,466.0,468.0,-0.43,27960,13076872.2
2026-02-08,470.0,476.0,468.1,470.0,0.0,25141,11854550.9
2026-02-05,466.1,474.0,466.1,470.0,0.64,23969,11250656.2
2026-02-04,460.0,475.0,460.0,467.0,-0.43,16641,7801675.2
2026-02-03,474.0,474.9,468.1,469.0,-0.64,29136,13715916.8
2026-02-02,475.9,475.9,470.0,472.0,0.4,28526,13427311.9
2026-02-01,480.0,480.0,469.5,470.1,-0.82,42161,19878202.2
2026-01-29,479.0,482.0,471.1,474.0,-0.11,58347,27804164.9
2026-01-28,479.0,479.0,470.0,474.5,0.87,55505,26266520.3
2026-01-27,480.0,487.0,470.0,470.4,-2.79,75032,35757362.0
2026-01-26,486.0,490.0,480.0,483.9,-0.43,59858,28925023.9
2026-01-25,475.0,486.0,475.0,486.0,2.73,61423,29553355.2
2026-01-22,476.8,476.8,473.1,473.1,-0.78,28659,13596067.3
2026-01-21,484.9,484.9,473.0,476.8,0.29,37350,17799797.7
2026-01-20,478.0,480.0,474.2,475.4,0.51,50804,24193690.3
2026-01-18,470.0,474.9,470.0,473.0,0.64,28576,13480526.7
2026-01-14,479.0,479.0,470.0,470.0,-0.84,41135,19383522.3
2026-01-13,479.0,479.0,465.0,474.0,0.85,40095,18947345.8
2026-01-12,480.3,480.3,465.1,470.0,-0.19,41479,19403503.5
2026-01-08,471.0,473.0,467.0,470.9,-0.02,51571,24246067.8
2026-01-07,473.0,473.0,470.0,471.0,0.02,27147,12788086.8
2026-01-06,473.0,473.0,469.0,470.9,0.15,24897,11717578.3
2026-01-05,473.9,473.9,468.0,470.2,-0.06,23284,10942964.8
2026-01-04,472.0,473.0,469.0,470.5,-0.11,69102,32540467.3
2026-01-01,464.0,478.1,464.0,471.0,0.35,40421,19064169.9
2025-12-31,505.0,510.0,502.2,506.9,1.08,134557,68041541.3
2025-12-29,506.0,507.7,499.0,501.5,-0.67,66397,33352428.5
2025-12-28,501.0,505.2,499.0,504.9,1.39,72382,36337262.4
2025-12-24,494.5,503.0,494.0,498.0,0.79,66630,33233262.0
2025-12-23,499.0,499.0,488.0,494.1,0.63,28421,13982738.9
2025-12-22,495.0,495.0,488.5,491.0,0.02,22456,11007310.1
2025-12-21,490.0,492.0,488.6,490.9,-0.12,24182,11841775.0
2025-12-18,496.0,499.0,490.5,491.5,-0.91,15634,7693868.4
2025-12-17,495.0,500.0,492.7,496.0,0.2,13510,6690218.4
2025-12-16,493.0,495.0,490.0,495.0,1.02,13540,6668480.3
2025-12-15,489.0,493.0,488.2,490.0,-0.31,24996,12244727.3
2025-12-14,491.2,494.0,488.1,491.5,0.06,50370,24691659.0
2025-12-11,493.0,498.0,491.0,491.2,-0.2,17034,8388308.0
2025-12-10,492.0,495.0,490.2,492.2,-0.57,20239,9972874.4
2025-12-09,492.0,495.0,489.5,495.0,0.81,25076,12350952.4
2025-12-08,499.8,499.8,488.0,491.0,0.2,29097,14255315.7
2025-12-07,494.9,495.1,488.1,490.0,0.0,34580,16943173.4
2025-12-03,500.0,500.0,490.0,490.0,-1.03,40363,19960853.4
2025-12-02,501.0,503.0,493.0,495.1,-0.16,18527,9214660.4
2025-12-01,505.9,505.9,494.2,495.9,-0.02,14967,7433157.2
2025-11-30,506.0,510.0,495.0,496.0,-1.88,52529,26427215.4
2025-11-27,510.0,514.0,499.1,505.5,-0.1,38981,19638061.1
2025-11-26,511.0,511.0,500.1,506.0,0.98,54116,27246995.6
2025-11-25,496.2,509.0,496.0,501.1,0.82,74744,37477076.7
2025-11-24,497.2,500.0,488.5,497.0,1.28,50059,24836745.1
2025-11-23,481.1,491.9,481.0,490.7,1.41,33020,16088730.5
2025-11-20,480.0,483.9,477.3,483.9,0.23,44048,21140811.1
2025-11-19,485.0,485.0,480.0,482.8,0.06,28461,13703610.5
2025-11-18,477.0,488.8,477.0,482.5,-0.31,55715,26955807.2
2025-11-17,477.1,487.0,476.0,484.0,0.69,24186,11709386.0
2025-11-16,486.1,487.1,479.3,480.7,-0.8,56601,27322774.8
2025-11-13,484.0,490.4,480.5,484.6,-1.1,41395,19979539.5
2025-11-12,488.0,497.7,480.2,490.0,0.41,15183,7393951.1
2025-11-11,480.2,494.0,480.2,488.0,0.64,10301,5001767.8
2025-11-10,486.6,490.0,480.5,484.9,-0.35,32092,15538114.9
2025-11-09,482.0,492.0,481.8,486.6,-0.69,16590,8070120.6
2025-11-06,487.1,495.0,485.0,490.0,0.0,25034,12237121.9
2025-11-05,486.1,495.0,485.4,490.0,-0.99,25860,12639272.5
2025-11-04,498.0,500.0,490.1,494.9,-0.22,20821,10282849.3
2025-11-03,500.0,509.0,495.0,496.0,-1.39,31400,15698901.4
2025-11-02,514.0,514.0,500.0,503.0,-0.2,37649,19002374.2
2025-10-30,482.3,516.9,482.0,504.0,3.07,55378,27475779.9
2025-10-29,491.0,498.2,488.0,489.0,-0.2,25173,12406015.9
2025-10-28,480.0,495.0,475.6,490.0,2.06,29571,14465540.0
2025-10-26,475.5,482.0,471.6,480.1,-0.19,15304,7305580.8
2025-10-19,478.0,483.0,478.0,481.0,-0.62,22812,10946528.2
2025-10-16,489.0,489.0,475.3,484.0,0.27,29239,14025079.1
2025-10-15,483.0,488.0,480.0,482.7,-0.06,24904,12036491.6
2025-10-14,490.0,494.7,481.0,483.0,-0.62,22528,10878711.7
2025-10-13,491.0,491.0,480.0,486.0,0.83,22822,11064575.5
2025-10-12,498.0,498.0,478.0,482.0,-2.8,61281,29478360.9
2025-10-09,499.8,518.9,495.0,495.9,1.2,35740,17816296.5
2025-10-08,496.0,496.0,484.5,490.0,-1.47,51264,24958909.1
2025-10-07,505.0,505.0,490.2,497.3,-1.13,22538,11164682.8
2025-09-28,500.0,505.0,496.0,503.0,1.21,18448,9209494.2
2025-09-25,487.0,501.0,487.0,497.0,0.2,11872,5919702.4
2025-09-24,505.0,505.0,495.1,496.0,-1.23,18374,9179168.9
2025-09-23,500.0,504.0,490.0,502.2,2.14,41659,20754113.8
2025-09-21,460.0,500.0,458.1,491.68,5.97,85259,41415285.1
2025-09-18,488.0,490.0,456.0,464.0,-6.71,10795,5092344.4
2025-09-08,491.5,505.0,491.5,497.36,-0.82,27390,13646413.8
2025-09-07,493.2,503.0,493.2,501.49,-0.34,35260,17644236.4
2025-09-04,502.0,511.0,499.0,503.2,-0.21,49479,24864362.7
