date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,2310.0,2450.0,2310.0,2350.0,1.73,27477,64753934.0
2026-02-11,2379.3,2379.3,2292.0,2310.0,-1.28,22979,53271463.8
2026-02-10,2399.9,2399.9,2322.0,2340.0,-1.43,30157,70849472.6
2026-02-09,2385.1,2410.0,2350.0,2374.0,-0.92,28926,68590948.0
2026-02-08,2400.1,2470.0,2395.0,2396.0,-1.2,34676,84036021.4
2026-02-05,2372.0,2440.0,2372.0,2425.0,2.36,24116,58355095.0
2026-02-04,2350.0,2407.0,2333.4,2369.0,0.94,29169,69004783.4
2026-02-03,2400.0,2401.1,2331.0,2347.0,-1.96,22496,53019371.6
2026-02-02,2410.0,2450.0,2382.0,2394.0,-0.46,17337,41549750.7
2026-02-01,2450.0,2451.0,2405.0,2405.0,-2.04,24262,58908535.3
2026-01-29,2425.1,2493.0,2425.1,2455.0,-0.45,37692,92917357.4
2026-01-28,2480.0,2499.0,2430.0,2466.0,0.41,31964,78579884.7
2026-01-27,2571.0,2571.0,2455.0,2456.0,-2.58,51262,127882518.3
2026-01-26,2470.0,2545.0,2466.1,2521.0,2.77,109837,274303934.4
2026-01-25,2395.0,2475.0,2395.0,2453.0,0.74,36768,90217721.8
2026-01-22,2400.1,2450.0,2376.5,2435.0,-0.2,34003,81748789.6
2026-01-21,2457.0,2551.7,2430.5,2440.0,-0.33,40813,100634250.5
2026-01-20,2382.0,2456.0,2352.1,2448.0,4.79,57562,139046039.4
2026-01-18,2305.0,2370.0,2300.0,2336.2,1.35,32310,75561191.8
2026-01-14,2340.0,2354.0,2295.0,2305.0,-0.39,33211,76837345.7
2026-01-13,2265.1,2343.0,2265.1,2314.0,2.43,33890,78083263.2
2026-01-12,2220.0,2280.0,2220.0,2259.0,0.67,26741,60356315.1
2026-01-08,2235.0,2249.9,2230.0,2244.0,-0.03,12804,28661422.8
2026-01-07,2233.0,2260.0,2233.0,2244.7,0.21,17168,38488487.0
2026-01-06,2265.0,2290.0,2240.1,2240.1,-0.28,19610,44193693.2
2026-01-05,2250.0,2265.0,2223.3,2246.5,0.74,21715,48785107.5
