date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,300.0,306.0,295.1,297.0,0.68,170303,51324820.5
2026-02-11,298.6,302.5,292.8,295.0,0.72,83679,24731977.9
2026-02-10,292.9,308.0,287.1,292.9,1.74,169091,49989294.5
2026-02-09,297.8,297.8,285.0,287.9,-2.41,147558,42760098.2
2026-02-08,297.9,309.0,292.4,295.0,-1.01,137920,41015369.6
2026-02-05,285.0,308.0,280.1,298.0,6.43,354438,105192858.8
2026-02-04,282.0,282.0,275.0,280.0,1.08,51384,14323955.4
2026-02-03,280.0,284.0,276.0,277.0,-0.72,62358,17382202.0
2026-02-02,287.0,287.0,278.0,279.0,-1.41,66913,18836073.8
2026-02-01,285.0,292.7,282.0,283.0,-1.39,60974,17411496.8
2026-01-29,288.0,297.8,285.1,287.0,1.45,195608,57218138.0
2026-01-28,278.0,286.9,275.4,282.9,1.4,84154,23601104.7
2026-01-27,291.6,295.0,277.1,279.0,-2.45,153123,43739384.9
2026-01-26,285.0,294.6,282.1,286.0,-1.0,119421,34304006.6
2026-01-25,284.8,294.0,280.0,288.9,3.36,96741,27807054.3
2026-01-22,279.9,283.4,275.1,279.5,0.9,60951,17018675.3
2026-01-21,279.0,282.5,274.5,277.0,1.13,128073,35729521.3
2026-01-20,273.0,277.0,270.5,273.9,2.2,84550,23119289.7
2026-01-18,270.0,275.9,267.7,268.0,-0.45,60456,16394554.7
2026-01-14,270.0,277.0,264.6,269.2,1.62,128761,35058679.1
2026-01-13,258.0,265.0,257.0,264.9,3.15,82602,21712408.4
2026-01-12,257.0,267.3,256.2,256.8,-0.85,19695,5095838.8
2026-01-08,250.0,262.4,250.0,259.0,1.65,60322,15610511.5
2026-01-07,256.0,260.9,252.0,254.8,0.71,21628,5522152.5
2026-01-06,262.1,263.0,253.0,253.0,-1.56,45721,11793545.5
2026-01-05,253.0,259.2,252.2,257.0,1.1,27681,7088929.7
2026-01-04,253.0,260.0,252.9,254.2,-0.97,10625,2706048.0
2026-01-01,264.0,264.0,254.8,256.7,-1.65,37493,9617847.5
2025-12-31,250.4,264.0,250.4,261.0,2.63,55493,14474287.5
2025-12-29,260.0,263.0,254.3,254.3,-2.23,25215,6497490.0
2025-12-28,258.0,261.0,253.6,260.1,2.4,46653,12009125.5
2025-12-24,250.0,257.9,249.1,254.0,2.42,21130,5313199.0
2025-12-23,253.8,253.8,245.0,248.0,-0.8,30957,7682622.2
2025-12-22,250.0,254.0,249.0,250.0,-1.54,31283,7837263.8
2025-12-21,254.0,256.7,249.5,253.9,0.36,31969,8076500.1
2025-12-18,259.1,260.9,253.0,253.0,-2.69,44850,11483902.1
2025-12-17,260.1,264.8,258.0,260.0,-0.42,38450,10000035.8
2025-12-16,263.0,266.0,258.0,261.1,-0.19,23744,6185220.0
2025-12-15,256.0,263.8,256.0,261.6,1.99,38554,10022273.7
2025-12-14,265.5,266.0,256.4,256.5,-2.77,31045,8058369.8
2025-12-11,258.2,265.0,256.1,263.8,2.17,38863,10151335.6
2025-12-10,260.1,265.0,258.2,258.2,-0.73,26902,7006216.5
2025-12-09,266.0,266.0,260.1,260.1,-0.65,32766,8586729.6
2025-12-08,268.6,268.6,261.1,261.8,-0.61,24412,6433002.6
2025-12-07,265.7,268.0,263.0,263.4,-1.31,34816,9213933.6
2025-12-03,277.4,277.4,265.6,266.9,-1.88,49110,13228771.4
2025-12-02,271.3,274.0,268.1,272.0,2.26,49683,13496540.9
2025-12-01,268.1,273.9,263.3,266.0,0.34,45439,12177729.2
2025-11-30,279.0,279.0,265.0,265.1,-3.49,82375,22333699.2
2025-11-27,285.0,285.0,274.7,274.7,-2.52,69892,19426739.5
2025-11-26,283.0,283.9,276.4,281.8,-0.39,91975,25757021.0
2025-11-25,271.5,282.9,270.1,282.9,3.36,132344,36880667.9
2025-11-24,282.5,282.5,270.5,273.7,-1.19,94305,26005521.5
2025-11-23,255.4,279.0,255.4,277.0,6.29,185273,50712994.3
2025-11-20,250.0,263.8,250.0,260.6,2.6,76715,19931618.6
2025-11-19,254.2,262.5,252.6,254.0,-1.93,37722,9707230.5
2025-11-18,250.9,261.9,250.9,259.0,1.17,49633,12865666.5
2025-11-17,246.1,256.9,246.1,256.0,3.77,44633,11269657.9
2025-11-16,248.8,249.0,240.2,246.7,1.11,25787,6339360.2
2025-11-13,240.1,247.4,240.1,244.0,-0.41,14090,3454838.9
2025-11-12,251.4,251.4,243.7,245.0,-1.21,15060,3708331.7
2025-11-11,247.4,249.9,242.2,248.0,2.06,13097,3212873.1
2025-11-10,241.2,249.0,240.0,243.0,-1.22,43597,10591693.2
2025-11-09,252.8,252.8,244.3,246.0,-0.77,23841,5896942.4
2025-11-06,250.0,255.3,246.2,247.9,-0.6,31236,7808714.7
2025-11-05,245.0,254.0,243.0,249.4,-0.24,35724,8812391.9
2025-11-04,258.9,260.0,248.2,250.0,-3.44,34321,8659357.7
2025-11-03,253.1,267.2,253.1,258.9,0.27,64554,16670395.1
2025-11-02,256.9,265.4,250.0,258.2,2.5,68113,17584585.0
2025-10-30,245.8,252.8,239.5,251.9,4.52,48602,12065834.5
2025-10-29,249.3,252.0,240.7,241.0,-1.43,40295,9895307.3
2025-10-28,232.0,244.6,230.0,244.5,5.66,45972,10911196.4
2025-10-26,231.5,231.5,223.4,231.4,0.61,22596,5113812.5
2025-10-19,230.1,232.0,227.9,230.0,0.92,14651,3355229.6
2025-10-16,236.3,236.5,225.0,227.9,-1.77,26363,5998570.2
2025-10-15,237.0,239.0,230.2,232.0,-2.11,18612,4346332.1
2025-10-14,246.4,246.4,233.4,237.0,-2.03,18672,4413507.2
2025-10-13,243.0,245.0,236.0,241.9,0.42,48263,11519740.3
2025-10-12,250.0,250.0,237.1,240.9,-3.64,43488,10478859.6
2025-10-09,254.8,264.0,247.6,250.0,0.04,54195,13781149.0
2025-10-08,260.0,264.9,242.5,249.9,-2.0,53399,13306197.4
2025-10-07,267.6,272.8,252.1,255.0,-6.59,60653,15758669.7
2025-09-28,267.1,273.0,264.5,273.0,2.17,55459,14947279.4
2025-09-25,255.0,267.2,254.7,267.2,3.29,41999,11002353.7
2025-09-24,264.1,267.8,256.1,258.7,-1.97,38620,10065649.7
2025-09-23,245.6,265.0,237.1,263.9,9.5,71519,18182547.3
2025-09-21,227.0,243.7,226.0,241.01,5.24,64414,15303471.6
2025-09-18,242.0,242.0,229.0,229.0,-5.74,1169,273639.0
2025-09-08,244.7,246.8,242.2,242.94,-0.72,27063,6589938.9
2025-09-07,243.0,249.9,243.0,244.69,-0.64,45246,11152506.7
2025-09-04,243.0,250.6,241.4,246.26,1.14,50491,12403423.6
2025-09-03,260.0,260.1,242.0,243.49,-6.45,130407,32534390.9
2025-09-02,266.3,269.8,259.8,260.27,-0.34,25428,6654954.9
2025-09-01,265.0,270.3,259.0,261.15,-1.52,42340,11066913.7
2025-08-31,279.7,280.0,264.0,265.18,-7.07,180266,48555150.0
2025-08-28,288.3,291.0,285.0,285.36,-2.99,41002,11784434.4
2025-08-27,290.0,295.9,289.0,294.15,1.32,19433,5701982.0
2025-08-26,289.3,295.0,289.3,290.32,-1.63,11452,3333557.0
2025-08-25,294.0,296.0,290.0,295.13,0.34,8372,2449480.8
2025-08-24,295.0,300.9,292.0,294.12,-1.04,11608,3436126.9
2025-08-21,303.0,304.0,297.0,297.2,-1.45,11309,3372411.3
2025-08-20,300.0,310.5,299.6,301.58,-1.13,19889,5996423.9
2025-08-19,303.0,310.0,302.0,305.04,-0.16,9400,2878189.2
2025-08-18,303.9,307.0,298.0,305.54,2.42,21959,6615316.0
2025-08-17,303.1,305.0,296.0,298.31,-1.43,14242,4263873.6
2025-08-14,295.0,305.0,295.0,302.65,0.55,12227,3690717.3
2025-08-13,308.0,308.0,300.0,300.99,-0.46,15550,4700280.6
2025-08-12,312.0,312.0,301.0,302.37,-2.48,19983,6079236.2
2025-08-11,320.0,320.0,309.0,310.06,-1.66,11137,3475372.8
2025-08-07,302.0,319.0,302.0,315.28,4.09,22627,7073178.5
2025-08-06,301.0,308.8,301.0,302.9,-0.78,13002,3952549.2
2025-08-05,310.0,314.9,305.0,305.29,-1.93,18223,5589369.4
