date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,481.0,485.0,472.0,472.0,-1.65,13326,6342867.1
2026-02-11,490.1,490.1,477.0,479.9,-0.12,8256,3964669.9
2026-02-10,485.0,487.4,478.0,480.5,-0.91,5880,2835077.8
2026-02-09,492.9,492.9,479.0,484.9,-1.62,16864,8152357.0
2026-02-08,500.0,506.6,485.2,492.9,-0.82,16730,8220005.2
2026-02-05,501.3,505.4,497.0,497.0,-0.52,12835,6421212.9
2026-02-04,505.0,510.0,495.2,499.6,-0.08,28694,14420714.9
2026-02-03,480.0,519.0,479.0,500.0,4.17,46879,23546356.7
2026-02-02,480.5,485.0,480.0,480.0,-0.41,7215,3472448.3
2026-02-01,490.0,495.0,480.0,482.0,-0.62,15976,7752306.9
2026-01-29,487.0,495.5,484.1,485.0,-0.21,13170,6427620.5
2026-01-28,481.4,493.6,481.4,486.0,-0.41,10748,5212177.6
2026-01-27,494.0,503.3,485.0,488.0,-1.07,28583,14153169.5
2026-01-26,498.5,500.0,487.0,493.3,-1.0,17860,8833794.3
2026-01-25,489.0,502.0,480.2,498.3,3.6,25449,12501451.3
2026-01-22,492.0,492.0,477.1,481.0,-0.82,11589,5579878.9
2026-01-21,491.0,492.0,482.0,485.0,-0.21,9188,4476630.3
2026-01-20,484.0,491.8,481.0,486.0,1.48,23961,11661713.9
2026-01-18,470.0,479.4,470.0,478.9,1.89,15158,7224281.1
2026-01-14,461.0,474.8,461.0,470.0,0.0,5366,2528383.2
2026-01-13,470.0,475.0,468.0,470.0,0.0,4838,2269534.8
2026-01-12,473.0,475.0,467.0,470.0,-0.42,4605,2168346.7
2026-01-08,470.0,480.0,470.0,472.0,-0.42,8899,4217214.2
2026-01-07,477.0,484.9,472.4,474.0,-0.63,11609,5542795.5
2026-01-06,473.1,485.0,473.0,477.0,1.0,16965,8158281.3
2026-01-05,468.0,475.8,465.5,472.3,0.75,13451,6355496.0
2026-01-04,470.1,479.0,468.8,468.8,-1.33,10743,5065091.4
2026-01-01,474.0,483.4,474.0,475.1,-1.1,12239,5841890.7
2025-12-31,475.0,484.0,475.0,480.4,0.08,8012,3844553.1
2025-12-29,485.0,491.0,480.0,480.0,-1.64,7210,3486398.5
2025-12-28,480.0,490.0,474.0,488.0,2.52,11235,5424180.0
2025-12-24,464.9,478.7,464.9,476.0,2.59,11467,5422947.3
2025-12-23,468.0,470.0,464.0,464.0,-1.28,6914,3225993.1
2025-12-22,467.0,479.4,464.0,470.0,-0.7,6808,3203830.1
2025-12-21,485.0,485.0,471.4,473.3,-2.45,21280,10152377.5
2025-12-18,488.0,492.0,485.1,485.2,-0.78,8684,4231032.6
2025-12-17,490.1,492.8,488.0,489.0,-0.2,11800,5778506.1
2025-12-16,489.0,495.0,489.0,490.0,0.2,11055,5430496.4
2025-12-15,490.1,494.5,485.1,489.0,-1.01,14626,7155019.6
2025-12-14,516.5,516.5,486.8,494.0,-6.26,52226,26097967.8
2025-12-11,523.0,530.0,523.0,527.0,-1.13,902,475625.0
2025-12-10,523.1,533.0,523.1,533.0,0.02,2853,1513662.2
2025-12-09,522.2,532.9,522.2,532.9,0.72,2364,1250688.0
2025-12-08,521.0,533.0,521.0,529.1,0.78,5379,2845799.8
2025-12-07,525.1,532.6,522.3,525.0,-0.94,4128,2177931.0
2025-12-03,525.2,535.5,525.2,530.0,-0.23,2620,1389403.1
2025-12-02,530.0,534.0,521.2,531.2,0.19,3644,1920129.8
2025-12-01,532.0,538.0,530.1,530.2,-1.58,5065,2690659.6
2025-11-30,536.0,540.0,531.0,538.7,0.04,6850,3663264.8
2025-11-27,527.0,542.0,527.0,538.5,0.54,4407,2365584.0
2025-11-26,529.0,540.0,529.0,535.6,0.37,3587,1923157.6
2025-11-25,526.5,542.0,526.5,533.6,-0.63,3099,1646994.5
2025-11-24,542.0,543.0,533.0,537.0,0.56,5293,2842606.3
2025-11-23,530.0,539.0,526.1,534.0,0.95,8161,4362361.3
2025-11-20,525.0,530.0,522.0,529.0,-0.56,6912,3636343.7
2025-11-19,530.0,551.0,530.0,532.0,1.1,10029,5357667.4
2025-11-18,530.0,535.0,526.1,526.2,-0.72,4909,2597308.4
2025-11-17,530.5,541.0,525.0,530.0,-1.67,9897,5257775.3
2025-11-16,534.1,544.7,530.0,539.0,-1.08,4973,2672786.3
2025-11-13,536.3,546.7,528.0,544.9,-0.42,5673,3064539.7
2025-11-12,525.3,577.0,525.3,547.2,2.09,7854,4236733.2
2025-11-11,552.8,552.8,518.7,536.0,-4.96,10999,5858510.2
2025-11-10,515.0,564.0,508.6,564.0,9.94,4772,2452877.3
2025-11-09,519.0,520.0,510.1,513.0,-2.27,2776,1431238.2
2025-11-06,530.0,530.2,517.0,524.9,-0.91,5002,2629923.4
2025-11-05,533.0,533.0,515.0,529.7,0.67,3741,1941443.6
2025-11-04,542.0,585.0,526.1,526.2,-2.92,5905,3173049.3
2025-11-03,542.0,552.0,536.0,542.0,0.0,4402,2389874.2
2025-11-02,520.1,555.0,520.0,542.0,2.63,5377,2902112.8
2025-10-30,530.0,534.9,525.0,528.1,-0.36,4652,2466465.9
2025-10-29,534.5,577.0,528.1,530.0,0.38,6859,3664629.9
2025-10-28,502.8,529.9,502.8,528.0,2.92,2049,1070413.1
2025-10-26,515.0,518.0,503.0,513.0,-1.33,1318,673017.4
2025-10-19,510.0,552.0,510.0,519.9,0.37,1613,843059.9
2025-10-16,513.6,520.0,509.0,518.0,0.88,5762,2956045.7
2025-10-15,522.1,527.4,512.0,513.5,-3.11,6046,3130033.5
2025-10-14,530.5,536.5,523.3,530.0,-0.62,2170,1144153.0
2025-10-13,520.0,535.0,506.1,533.3,1.97,3601,1875644.1
2025-10-12,550.0,550.0,510.0,523.0,-3.15,8552,4491280.7
2025-10-09,547.7,590.7,540.0,540.0,0.56,8901,4899897.4
2025-10-08,555.3,564.0,534.0,537.0,-5.16,10516,5744087.5
2025-10-07,580.0,582.0,565.0,566.2,-2.71,7329,4178791.9
2025-09-28,599.0,599.0,576.3,582.0,-3.0,9159,5331326.5
2025-09-25,636.1,636.1,588.0,600.0,-7.55,60922,36458959.4
2025-09-24,580.0,649.0,580.0,649.0,10.0,14778,8844846.0
2025-09-23,590.0,594.9,582.1,590.0,0.39,6645,3908106.5
2025-09-21,564.0,592.0,541.8,587.73,2.27,20846,11928265.9
2025-09-18,574.7,574.7,574.7,574.7,-2.0,10,5747.0
2025-09-08,589.0,598.0,583.0,586.4,-1.13,11509,6758315.7
2025-09-07,594.1,599.9,593.0,593.09,-1.47,5031,2994658.0
2025-09-04,586.3,610.0,586.3,601.94,0.62,10675,6373440.1
2025-09-03,597.0,602.0,595.0,598.24,0.13,7850,4697178.1
2025-09-02,597.3,612.0,597.1,597.49,-0.85,4130,2489494.3
2025-09-01,592.0,605.0,592.0,602.63,0.58,11396,6867381.3
2025-08-31,600.0,610.0,598.0,599.17,-0.53,14457,8703770.8
2025-08-28,602.1,621.0,600.0,602.34,-1.25,18590,11278906.4
2025-08-27,608.9,619.8,601.1,609.99,0.88,11639,7097569.8
2025-08-26,602.0,610.0,598.0,604.65,0.74,5210,3147502.8
2025-08-25,606.0,606.0,596.0,600.21,-0.29,6262,3762867.1
2025-08-24,590.0,605.8,590.0,601.97,0.62,20580,12367218.3
2025-08-21,607.9,607.9,595.0,598.26,-0.6,8619,5163908.6
