date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,1161.0,1161.0,1161.0,1161.0,0.08,25,29025.0
2026-02-08,1160.1,1160.1,1160.1,1160.1,0.01,15,17401.5
2026-01-21,1178.0,1178.0,1178.0,1160.0,-1.53,5,5800.0
2026-01-20,1178.0,1178.0,1178.0,1178.0,-2.0,25,29450.0
2026-01-08,1202.0,1202.0,1202.0,1202.0,-1.07,15,18030.0
2026-01-04,1215.0,1215.0,1215.0,1215.0,1.76,20,24300.0
2025-12-31,1320.9,1320.9,1194.0,1194.0,-9.61,286,341733.5
2025-12-22,1247.9,1247.9,1247.9,1320.9,6.01,54,68127.6
2025-12-21,1157.1,1246.0,1157.1,1246.0,9.83,409,487934.1
2025-12-03,1134.5,1134.5,1134.5,1134.5,2.0,50,56725.0
2025-11-19,1116.2,1116.2,1112.3,1112.3,-1.91,100,111518.7
2025-11-02,1157.0,1157.0,1157.0,1134.0,-1.99,1,1134.0
2025-10-29,1179.0,1179.0,1179.0,1157.0,-1.87,1,1157.0
2025-10-19,1179.0,1179.0,1179.0,1179.0,-1.79,60,70740.0
2025-10-13,1177.0,1177.0,1177.0,1200.5,4.03,89,104870.5
2025-10-12,1154.0,1154.0,1154.0,1154.0,-1.95,60,69240.0
2025-10-07,1124.0,1177.0,1124.0,1177.0,4.72,182,214175.4
2025-09-28,1124.0,1124.0,1124.0,1124.0,0.53,84,94416.0
2025-09-08,1118.1,1118.1,1118.1,1118.1,0.08,25,27952.5
2025-09-02,1120.0,1140.0,1120.0,1117.2,0.02,201,227117.2
2025-08-28,1117.2,1117.2,1117.0,1117.0,-0.45,114,127345.5
2025-08-27,1190.0,1190.0,1190.0,1122.0,-5.71,3,3433.0
2025-08-24,1185.9,1190.0,1185.9,1190.0,1.28,20,23759.0
2025-08-06,1132.2,1175.0,1132.2,1175.0,3.78,25,29273.0
2025-08-05,1110.0,1110.0,1110.0,1132.2,2.0,2,2264.4
2025-07-27,1132.1,1132.1,1110.0,1110.0,-3.91,50,56052.5
2025-07-21,1165.0,1165.0,1155.2,1155.2,-1.99,35,40579.0
2025-05-20,1178.6,1178.7,1178.6,1178.7,1.38,84,99008.8
2025-05-05,1162.7,1162.7,1162.7,1162.7,1.99,100,116270.0
2025-04-28,1140.0,1140.0,1140.0,1140.0,1.6,33,37620.0
2025-04-23,1120.1,1120.1,1120.1,1122.0,0.17,2,2244.0
2025-04-22,1117.3,1117.3,1117.3,1120.1,0.25,3,3360.3
2025-04-21,1116.1,1116.1,1116.1,1117.3,0.11,2,2234.6
2025-04-16,1116.0,1116.0,1116.0,1116.1,0.01,1,1116.1
2025-04-15,1116.0,1116.0,1116.0,1116.0,0.0,17,18972.0
2025-04-10,1116.0,1116.0,1116.0,1116.0,0.0,10,11160.0
2025-04-09,1122.0,1122.0,1122.0,1116.0,-0.53,2,2232.0
2025-04-08,1126.4,1126.4,1126.4,1122.0,-0.39,2,2244.0
2025-04-01,1107.8,1107.8,1107.8,1126.4,1.68,3,3379.2
2025-03-26,1104.2,1104.2,1104.2,1107.8,0.33,3,3323.4
2025-03-25,1101.4,1101.4,1101.4,1104.2,0.25,2,2208.4
2025-03-24,1104.4,1104.4,1104.4,1101.4,-0.27,6,6608.4
2025-03-23,1096.4,1096.4,1096.4,1104.4,-0.75,30,32932.0
2025-03-17,1114.0,1114.0,1114.0,1114.0,-0.12,5,5563.5
2025-03-10,1100.1,1114.0,1100.1,1114.0,-0.07,125,138902.5
2025-03-09,1114.8,1114.8,1114.8,1114.8,0.0,25,27870.0
2025-02-25,1115.0,1117.4,1114.8,1114.8,-0.02,215,239872.2
2025-02-24,1115.0,1115.0,1115.0,1115.0,0.01,25,27875.0
2025-02-23,1114.9,1114.9,1114.9,1114.9,0.01,25,27872.5
2025-02-18,1117.8,1117.8,1114.8,1114.8,-1.95,100,111685.5
2025-01-21,1137.0,1137.0,1137.0,1137.0,0.53,15,17055.0
2024-12-29,1131.1,1131.1,1131.0,1131.0,-1.41,100,113102.5
2024-12-24,1147.0,1147.2,1147.0,1147.2,1.99,35,40149.7
2024-12-09,1124.8,1124.8,1124.8,1124.8,6.11,60,67160.0
2024-10-23,1060.0,1060.0,1060.0,1060.0,-0.93,25,26500.0
2024-09-09,1070.0,1070.0,1070.0,1070.0,0.38,50,53500.0
