date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,688.0,733.0,686.0,699.0,-0.14,42672,29899067.2
2026-02-11,706.3,736.4,695.0,700.0,-2.78,21519,15365883.5
2026-02-10,723.9,782.0,720.0,720.0,-2.44,13202,9712649.0
2026-02-09,736.9,795.0,735.0,738.0,-1.73,11613,8686216.7
2026-02-08,759.3,804.0,751.0,751.0,-2.97,30521,23340274.2
2026-02-05,709.3,774.0,709.3,774.0,7.05,28300,21113997.9
2026-02-04,712.0,785.0,702.0,723.0,-0.34,11856,8644264.5
2026-02-03,729.9,757.0,702.1,725.5,-2.49,14490,10520749.0
2026-02-02,711.6,797.0,698.0,744.0,2.65,13747,10247834.2
2026-02-01,735.2,749.8,714.0,724.8,-3.32,8909,6397710.0
2026-01-29,730.0,792.0,716.0,749.7,2.7,26116,19320435.0
2026-01-28,712.7,748.0,706.0,730.0,0.48,17057,12329118.7
2026-01-27,718.3,735.0,704.0,726.5,-0.82,33607,24478146.2
2026-01-26,702.8,734.8,695.1,732.5,2.25,20151,14427351.4
2026-01-25,664.6,719.0,664.6,716.4,5.82,35790,24885505.0
2026-01-22,660.4,677.0,660.4,677.0,0.59,5672,3797365.0
2026-01-21,663.9,681.0,661.0,673.0,-0.59,6449,4332862.1
2026-01-20,680.0,682.9,667.0,677.0,1.04,14559,9831545.2
2026-01-18,641.5,681.0,641.5,670.0,2.45,19413,12983093.0
2026-01-14,647.3,660.0,647.3,654.0,-0.91,6673,4368495.7
2026-01-13,645.0,665.0,645.0,660.0,1.12,5678,3705052.7
2026-01-12,652.7,671.1,652.7,652.7,-2.0,3051,2008104.3
2026-01-08,644.1,677.0,644.1,666.0,2.29,7920,5205180.0
2026-01-07,649.5,669.3,649.5,651.1,-1.69,6307,4175259.6
2026-01-06,651.0,674.0,651.0,662.3,-0.24,10877,7241335.9
2026-01-05,645.9,671.0,645.9,663.9,0.74,4900,3229560.3
2026-01-04,660.0,660.0,647.0,659.0,-0.9,7903,5121261.3
2026-01-01,665.0,673.0,650.0,665.0,0.0,3966,2594669.1
2025-12-31,637.0,668.0,637.0,665.0,2.31,10551,6971631.8
2025-12-29,638.0,661.0,637.0,650.0,0.0,4261,2744545.3
2025-12-28,627.0,652.8,625.0,650.0,1.72,9382,6045956.5
2025-12-24,637.0,651.0,628.0,639.0,-1.54,9557,6091243.0
2025-12-23,628.0,649.0,628.0,649.0,1.41,5334,3412541.2
2025-12-22,650.0,651.0,623.4,640.0,-1.54,9536,6043496.1
2025-12-21,665.4,673.0,643.1,650.0,-4.26,17393,11376075.7
2025-12-18,690.0,693.4,668.0,678.9,-1.58,11937,8113574.3
2025-12-17,660.0,695.0,653.6,689.8,5.33,41053,27920898.4
2025-12-16,650.0,661.0,650.0,654.9,0.75,5124,3353491.7
2025-12-15,643.0,650.0,635.0,650.0,1.09,6169,3953936.6
2025-12-14,671.0,671.0,640.0,643.0,-2.28,3107,2015582.0
2025-12-11,667.0,668.9,645.4,658.0,-1.48,6678,4387370.2
2025-12-10,657.0,682.0,657.0,667.9,-0.24,10157,6760232.0
2025-12-09,648.0,671.0,648.0,669.5,1.29,12297,8126288.4
2025-12-08,626.0,665.0,626.0,661.0,3.75,15467,10143435.6
2025-12-07,639.4,654.0,637.1,637.1,-1.98,3240,2082137.5
2025-12-03,628.1,660.0,628.1,650.0,1.72,13549,8805645.3
2025-12-02,637.9,642.0,626.1,639.0,1.43,2981,1904659.0
2025-12-01,625.0,633.0,622.2,630.0,1.27,2546,1597932.0
2025-11-30,625.0,649.0,622.1,622.1,-2.2,6865,4347130.8
2025-11-27,628.2,650.0,628.2,636.1,0.33,9766,6279475.7
2025-11-26,629.9,640.0,625.6,634.0,0.97,3527,2223981.0
2025-11-25,635.0,640.0,617.4,627.9,-1.12,3666,2293542.2
2025-11-24,628.0,651.9,628.0,635.0,-0.78,9071,5844428.1
2025-11-23,630.0,645.0,620.0,640.0,1.57,3199,2020241.0
2025-11-20,595.0,636.9,591.0,630.1,6.8,13022,8097712.0
2025-11-19,575.2,591.6,575.0,590.0,2.59,2056,1199943.0
2025-11-18,592.4,598.0,575.1,575.1,-0.98,3855,2269969.4
2025-11-17,566.2,585.0,566.2,580.8,1.13,180,103725.0
2025-11-16,580.2,592.5,573.5,574.3,-2.92,2353,1360992.0
2025-11-13,577.0,595.0,575.6,591.6,0.78,1974,1151986.6
2025-11-12,597.9,597.9,581.4,587.0,-1.01,1305,768317.0
2025-11-11,599.0,599.0,588.0,593.0,0.51,895,528339.0
2025-11-10,601.8,605.0,583.7,590.0,0.0,3333,1973195.4
2025-11-09,580.0,595.7,579.0,590.0,0.17,2777,1622051.5
2025-11-06,585.2,607.9,584.5,589.0,-1.22,2572,1532037.2
2025-11-05,580.1,597.9,580.1,596.3,1.41,200,118495.0
2025-11-04,597.9,600.0,587.3,588.0,-3.61,510,301700.0
2025-11-03,617.0,618.0,590.0,610.0,-1.25,2070,1247293.0
2025-11-02,590.0,624.1,590.0,617.7,2.95,2045,1250004.1
2025-10-30,598.0,623.0,585.0,600.0,2.04,2914,1733838.0
2025-10-29,579.0,607.0,575.0,588.0,-0.34,3340,1962926.4
2025-10-28,562.0,590.0,561.0,590.0,4.59,1915,1107121.5
2025-10-26,558.6,564.2,550.0,564.1,-1.04,1495,830262.5
2025-10-19,570.9,582.3,560.9,570.0,-0.35,830,470642.0
2025-10-16,570.0,578.0,561.2,572.0,-1.21,770,436375.0
2025-10-15,578.2,579.0,568.8,579.0,-1.85,730,419143.0
2025-10-14,581.0,590.0,565.0,589.9,-0.19,2160,1239642.0
2025-10-13,579.0,591.0,561.2,591.0,3.87,2666,1544360.4
2025-10-12,592.0,609.0,561.0,569.0,-5.64,4558,2650016.0
2025-10-09,618.1,643.0,603.0,603.0,-0.5,3535,2172373.0
2025-10-08,637.0,637.0,603.1,606.0,-3.04,3080,1872482.0
2025-10-07,651.0,653.8,625.0,625.0,-5.87,5862,3730087.5
2025-09-28,660.0,664.0,651.0,664.0,0.56,1050,689407.5
2025-09-25,646.8,672.9,646.8,660.3,0.05,3414,2263142.1
2025-09-24,645.0,678.3,632.2,660.0,0.3,6561,4224622.0
2025-09-23,620.0,658.0,620.0,658.0,5.06,2545,1635694.0
2025-09-21,606.0,664.0,601.1,626.33,2.51,5017,3074123.0
2025-09-18,623.0,623.0,611.0,611.0,-3.88,20,12340.0
2025-09-08,635.0,640.0,600.3,635.66,-0.61,5287,3361795.0
2025-09-07,639.0,650.0,639.0,639.55,-1.8,5297,3420334.1
2025-09-04,656.1,668.0,618.1,651.3,-1.65,4493,2880946.1
2025-09-03,672.0,672.0,660.0,662.26,-1.15,6280,4202488.9
2025-09-02,665.6,681.0,665.6,669.99,0.04,3835,2576088.8
2025-09-01,663.0,672.0,663.0,669.7,-0.35,495,331210.5
2025-08-31,665.0,673.0,665.0,672.07,-0.42,2337,1569721.9
2025-08-28,676.2,689.7,670.1,674.93,-1.37,3875,2630712.4
2025-08-27,662.9,685.0,662.9,684.31,2.56,2259,1541033.5
