date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,462.6,467.0,459.2,464.0,0.41,27426,12663190.8
2026-02-11,462.5,469.9,461.9,462.1,-0.09,12674,5866668.6
2026-02-10,463.3,466.0,462.2,462.5,-0.56,15691,7273635.1
2026-02-09,471.8,471.8,465.0,465.1,-1.42,31226,14570492.0
2026-02-08,473.0,478.0,466.2,471.8,-0.25,21293,10024312.4
2026-02-05,468.0,474.0,466.2,473.0,0.64,20837,9792266.9
2026-02-04,462.0,470.0,462.0,470.0,1.03,19319,9056019.6
2026-02-03,469.2,473.0,465.0,465.2,-0.7,27227,12700881.7
2026-02-02,472.0,475.0,465.3,468.5,-0.74,15315,7180920.2
2026-02-01,471.6,475.0,468.0,472.0,-0.44,28836,13574061.6
2026-01-29,475.0,483.0,472.8,474.1,-0.67,31671,15088313.2
2026-01-28,475.0,482.0,475.0,477.3,-0.52,29616,14181353.7
2026-01-27,481.0,490.0,477.0,479.8,-1.28,44867,21644739.7
2026-01-26,482.0,493.0,480.2,486.0,0.83,62452,30372701.4
2026-01-25,476.0,484.0,473.2,482.0,1.26,57147,27457966.1
2026-01-22,474.0,477.0,470.0,476.0,0.29,19471,9228536.8
2026-01-21,483.0,490.0,474.0,474.6,-1.23,32863,15710904.6
2026-01-20,485.0,486.4,478.0,480.5,0.75,59499,28648034.9
2026-01-18,472.1,480.0,471.5,476.9,0.61,29464,14005880.1
2026-01-14,475.0,480.0,471.5,474.0,-0.21,25644,12154295.4
2026-01-13,471.0,475.0,471.0,475.0,-0.11,30707,14544815.3
2026-01-12,471.2,480.0,471.1,475.5,-0.73,47799,22769497.2
2026-01-08,472.5,483.0,472.4,479.0,-0.19,33195,15847818.0
2026-01-07,470.1,480.0,468.3,479.9,1.27,40390,19194010.9
2026-01-06,467.0,476.0,464.0,473.9,1.48,42620,20141483.8
2026-01-05,464.8,468.0,461.4,467.0,0.47,32647,15178535.7
2026-01-04,470.0,470.0,461.0,464.8,-0.47,23596,10944320.5
2026-01-01,473.0,473.0,464.2,467.0,-0.64,38469,17936196.0
2025-12-31,477.2,477.5,468.2,470.0,0.45,38232,18001672.5
2025-12-29,482.5,482.5,466.0,467.9,-1.1,36302,17052944.7
2025-12-28,471.0,480.0,465.2,473.1,0.34,69482,32943080.8
2025-12-24,497.7,497.7,470.0,471.5,-3.38,67041,31887724.0
2025-12-23,508.7,508.7,483.0,488.0,-5.97,103198,50408471.8
2025-12-22,513.5,522.0,512.2,519.0,0.58,137877,71234523.1
2025-12-21,519.9,523.0,513.5,516.0,-0.75,123345,63808480.7
2025-12-18,520.0,523.0,515.1,519.9,0.17,104340,54172771.0
2025-12-17,509.0,526.0,506.0,519.0,2.37,135518,70263113.1
