date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,9.83,9.83,9.83,9.83,0.0,2500,24575.0
2026-02-11,9.83,9.83,9.83,9.83,-1.8,100,983.0
2026-02-10,9.92,10.11,9.92,10.01,-0.89,8295,83347.95
2026-02-09,10.25,10.25,10.1,10.1,0.5,2290,23360.0
2026-02-08,10.0,10.2,10.0,10.05,-1.08,11370,115275.5
2026-02-05,10.15,10.16,10.15,10.16,0.0,22264,226043.6
2026-02-04,10.16,10.16,10.16,10.16,0.0,2500,25400.0
2026-02-03,9.79,10.16,9.79,10.16,1.91,7036,70399.76
2026-02-02,9.87,10.08,9.87,9.97,1.42,7341,73074.77
2026-02-01,9.81,9.83,9.81,9.83,-1.7,400,3929.0
2026-01-29,9.9,10.0,9.8,10.0,2.99,5000,49301.0
2026-01-28,9.71,9.71,9.71,9.71,-0.1,100,971.0
2026-01-27,9.72,9.72,9.72,9.72,-1.82,500,4860.0
2026-01-26,9.72,9.9,9.72,9.9,0.0,1100,10854.0
2026-01-25,9.71,9.9,9.71,9.9,0.0,264,2594.6
2026-01-22,9.9,9.9,9.9,9.9,-1.98,200,1980.0
2026-01-21,10.0,10.1,10.0,10.1,0.3,2011900,20319728.0
2026-01-20,10.34,10.34,10.07,10.07,-1.95,6467,66021.57
2026-01-18,10.3,10.3,9.9,10.27,-2.19,106200,1081223.0
2026-01-14,10.11,10.5,10.1,10.5,4.9,21725,220380.25
2026-01-13,9.95,10.01,9.7,10.01,2.46,12000,118675.5
2026-01-12,9.24,9.77,9.24,9.77,5.85,1200,11528.0
2026-01-08,9.33,9.33,9.22,9.23,-3.05,16100,150097.0
2026-01-07,9.69,9.69,9.4,9.52,-3.64,29956,285252.63
2026-01-06,9.25,9.88,9.25,9.88,6.01,30357,286809.1
2026-01-05,9.38,9.43,9.31,9.32,0.76,1425,13323.0
2026-01-04,9.23,9.26,9.23,9.25,-1.6,600,5552.0
2026-01-01,9.25,9.4,9.25,9.4,1.84,3000,28045.0
2025-12-31,9.2,9.23,9.2,9.23,-0.22,7100,65530.0
2025-12-29,9.2,9.31,9.14,9.25,1.31,4600,42642.0
2025-12-28,9.13,9.13,9.13,9.13,0.0,100,913.0
