date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,727.3,739.5,720.0,721.0,-2.83,47798,34712338.1
2026-02-11,756.8,770.0,722.0,742.0,0.0,21483,15772885.1
2026-02-10,716.0,755.0,716.0,742.0,1.64,35517,26107226.9
2026-02-09,735.0,753.0,715.0,730.0,-2.67,43473,31745816.2
2026-02-08,745.0,770.0,740.8,750.0,-1.06,56122,42208711.3
2026-02-05,744.8,774.7,744.8,758.0,-0.26,49424,37596731.3
2026-02-04,789.1,790.0,755.1,760.0,-3.68,65853,50488588.0
2026-02-03,820.0,877.0,784.0,789.0,-3.31,210982,169801116.5
2026-02-02,761.0,820.0,761.0,816.0,7.24,104728,83777906.2
2026-02-01,747.8,777.0,721.0,760.9,-0.28,74101,55594966.2
2026-01-29,825.2,840.0,760.0,763.0,-9.38,128908,100974400.2
2026-01-28,834.0,918.9,794.0,842.0,-1.06,144499,120058539.9
2026-01-27,790.0,860.0,775.0,851.0,8.41,141936,116672838.6
2026-01-26,739.0,813.8,717.0,785.0,6.1,169437,127422478.0
2026-01-25,689.0,753.0,689.0,739.9,7.25,130833,95101832.9
2026-01-22,652.0,700.0,652.0,689.9,4.69,118951,80555293.7
2026-01-21,652.0,678.0,652.0,659.0,-0.9,58017,38320454.3
2026-01-20,670.0,680.3,662.0,665.0,-0.6,81375,54666241.5
2026-01-18,645.0,670.1,641.0,669.0,3.24,110938,73525950.6
2026-01-14,650.0,679.0,642.0,648.0,-1.22,45157,29464711.9
2026-01-13,650.0,679.8,650.0,656.0,-1.06,106947,71229818.6
2026-01-12,662.0,673.2,639.1,663.0,2.03,135533,89595828.9
2026-01-08,615.0,650.0,611.1,649.8,3.64,85496,54272103.0
2026-01-07,642.0,664.0,620.0,627.0,-4.13,98577,63049931.1
2026-01-06,675.0,708.0,642.1,654.0,-1.8,133901,89622919.4
2026-01-05,620.0,666.0,605.0,666.0,9.54,194735,123725328.7
2026-01-04,584.0,608.0,575.1,608.0,3.95,108114,64301403.0
2026-01-01,568.0,589.9,560.0,584.9,2.43,73078,42297867.9
2025-12-31,570.0,576.0,556.0,571.0,1.6,56574,32128390.9
2025-12-29,567.6,576.0,555.0,562.0,-0.99,38260,21430224.7
2025-12-28,547.0,570.0,547.0,567.6,2.45,42156,23718139.1
2025-12-24,555.0,577.0,550.0,554.0,-0.18,20131,11183047.8
2025-12-23,555.0,565.0,546.2,555.0,0.02,27206,15046985.8
2025-12-22,559.0,567.9,547.0,554.9,-0.77,37623,20824463.7
2025-12-21,572.0,573.9,556.0,559.2,-2.32,34872,19686825.2
2025-12-18,565.5,585.0,565.5,572.5,-0.78,38804,22398033.8
2025-12-17,585.1,594.9,576.5,577.0,-1.7,34031,19792114.6
2025-12-16,575.0,599.0,575.0,587.0,1.4,37183,21944726.0
2025-12-15,573.1,579.0,566.0,578.9,1.21,33111,19049805.2
2025-12-14,583.0,590.0,570.0,572.0,-2.22,38705,22255942.2
2025-12-11,585.0,599.0,580.0,585.0,-0.17,40600,23810656.6
2025-12-10,591.1,607.0,584.0,586.0,-2.33,59011,34941300.2
