date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,301.5,318.8,300.6,312.0,1.96,24933,7779624.8
2026-02-11,312.0,319.2,303.0,306.0,-0.29,13404,4094138.2
2026-02-10,313.0,314.0,304.0,306.9,-1.32,18239,5631227.7
2026-02-09,314.0,318.5,307.0,311.0,-2.48,8969,2807390.6
2026-02-08,320.0,328.0,316.2,318.9,1.53,43005,13801087.0
2026-02-05,305.0,320.0,296.5,314.1,4.35,38483,11995444.9
2026-02-04,303.0,306.7,298.0,301.0,0.0,7410,2222473.4
2026-02-03,305.0,308.9,300.5,301.0,-0.66,9018,2721645.4
2026-02-02,311.0,311.0,302.7,303.0,-1.46,7903,2413889.3
2026-02-01,305.3,309.8,303.5,307.5,0.72,13932,4273198.3
2026-01-29,302.0,317.9,302.0,305.3,1.09,41455,12900842.7
2026-01-28,303.0,308.0,298.1,302.0,-0.66,11644,3511426.0
2026-01-27,310.0,318.0,299.0,304.0,-3.0,27233,8355462.7
2026-01-26,309.1,321.0,308.7,313.4,-0.48,20867,6525403.5
2026-01-25,306.1,316.0,306.1,314.9,3.08,35811,11188008.7
2026-01-22,300.0,306.0,300.0,305.5,1.5,21697,6576159.4
2026-01-21,302.5,305.0,298.0,301.0,-0.33,15662,4726314.5
2026-01-20,293.1,308.0,293.0,302.0,2.37,26705,8045554.6
2026-01-18,295.0,295.0,290.1,295.0,1.9,8020,2349474.5
2026-01-14,290.0,295.9,289.0,289.5,1.58,13022,3808685.7
2026-01-13,290.7,291.0,285.0,285.0,0.0,9057,2606106.4
2026-01-12,290.1,297.9,285.0,285.0,-3.06,9864,2856242.0
2026-01-08,285.2,296.7,285.2,294.0,1.03,11235,3264565.5
2026-01-07,291.0,292.0,288.0,291.0,-0.41,6479,1885557.3
2026-01-06,295.9,295.9,290.5,292.2,0.72,8710,2562436.6
2026-01-05,283.7,299.5,283.7,290.1,0.38,11788,3430815.0
2026-01-04,291.0,292.9,287.4,289.0,-0.89,9127,2636344.6
2026-01-01,292.0,296.0,290.0,291.6,-1.45,6370,1857563.3
2025-12-31,294.0,297.0,294.0,295.9,0.0,5866,1727184.5
2025-12-29,292.2,295.9,292.2,295.9,0.65,4581,1345778.9
2025-12-28,288.0,298.0,288.0,294.0,2.08,6217,1815920.0
2025-12-24,287.0,288.0,285.0,288.0,0.35,3724,1067888.1
2025-12-23,293.0,293.6,285.0,287.0,-0.35,3706,1063301.0
2025-12-22,285.2,291.0,285.2,288.0,-0.35,2245,644566.2
2025-12-21,291.1,294.0,289.0,289.0,-2.0,14930,4329679.4
2025-12-18,302.8,302.8,292.0,294.9,-0.71,6796,1995058.4
2025-12-17,300.0,300.0,294.0,297.0,0.68,6041,1781568.9
2025-12-16,295.0,297.9,292.0,295.0,-0.3,5030,1486078.7
2025-12-15,294.0,296.0,291.0,295.9,0.31,6650,1954677.0
2025-12-14,294.2,299.9,292.0,295.0,0.1,8458,2487237.8
2025-12-11,297.0,298.9,293.1,294.7,-0.1,5631,1658963.9
2025-12-10,298.0,298.0,294.9,295.0,-1.04,7866,2324051.5
2025-12-09,302.9,302.9,296.9,298.1,0.37,7586,2273442.8
2025-12-08,294.0,300.0,294.0,297.0,0.0,6237,1845944.2
2025-12-07,300.0,300.0,294.0,297.0,-1.0,12317,3643461.9
