date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,588.0,598.0,580.0,586.1,1.23,8725,5135818.2
2026-02-11,579.0,590.0,579.0,579.0,0.0,15167,8853627.5
2026-02-10,581.0,587.0,576.2,579.0,-1.16,22658,13169494.9
2026-02-09,591.5,596.0,585.3,585.8,-1.79,18566,10945051.9
2026-02-08,610.0,613.0,596.0,596.5,-0.42,20167,12112628.6
2026-02-05,607.0,607.0,594.4,599.0,0.6,20303,12153385.9
2026-02-04,612.0,612.0,595.4,595.4,-0.93,18211,10942942.2
2026-02-03,601.0,611.8,600.0,601.0,0.13,23563,14202641.5
2026-02-02,610.0,610.0,600.2,600.2,0.03,14091,8506770.7
2026-02-01,612.0,617.9,600.0,600.0,-1.96,26806,16283115.1
2026-01-29,619.0,619.0,606.9,612.0,0.82,56406,34533406.9
2026-01-28,611.1,622.0,607.0,607.0,-1.72,65812,40241414.0
2026-01-27,615.5,630.0,609.0,617.6,-1.66,40793,25371748.8
2026-01-26,622.3,672.0,622.3,628.0,-1.1,145881,91220296.5
2026-01-25,655.0,655.0,606.0,635.0,-4.94,210310,130802140.1
2026-01-22,595.9,668.0,595.9,668.0,9.87,69558,42505992.3
2026-01-21,625.0,625.0,602.0,608.0,-0.98,14239,8668797.2
2026-01-20,615.0,623.0,603.0,614.0,1.66,59615,36510105.9
2026-01-18,604.9,604.9,595.0,604.0,1.51,17755,10648918.5
2026-01-14,594.1,597.9,592.5,595.0,-0.67,8015,4757502.1
2026-01-13,591.1,600.0,591.1,599.0,0.5,3135,1867447.9
2026-01-12,600.1,605.0,594.1,596.0,-0.83,27789,16688487.6
2026-01-08,590.0,601.0,587.1,601.0,1.01,13155,7806810.3
2026-01-07,608.0,608.0,593.0,595.0,-0.82,11266,6730069.1
2026-01-06,595.0,604.0,590.0,599.9,1.68,16770,9999287.1
2026-01-05,571.2,595.0,571.0,590.0,2.97,10357,6056249.0
2026-01-04,572.0,579.5,572.0,573.0,-0.68,7370,4232625.4
2026-01-01,586.9,586.9,570.3,576.9,-0.09,7840,4492644.5
2025-12-31,590.0,590.0,577.4,577.4,-1.97,23582,13733646.6
2025-12-29,580.1,590.0,577.0,589.0,0.68,6214,3606682.0
2025-12-28,578.0,587.0,575.0,585.0,2.99,12014,6994216.5
2025-12-24,577.0,577.0,566.1,568.0,0.0,2670,1521700.0
2025-12-23,571.0,571.0,561.1,568.0,1.43,5242,2969154.8
2025-12-22,570.0,570.0,560.0,560.0,-1.46,8576,4820767.4
2025-12-21,575.0,575.0,566.2,568.3,-1.51,14715,8367767.7
2025-12-18,585.0,585.0,574.2,577.0,-0.35,29523,17000826.4
2025-12-17,584.0,591.0,575.0,579.0,-0.34,9359,5441631.0
2025-12-16,584.0,584.0,575.0,581.0,0.92,4975,2882105.3
2025-12-15,576.0,580.0,575.7,575.7,0.23,5036,2904703.1
2025-12-14,575.0,580.9,568.5,574.4,-0.97,9807,5613861.5
2025-12-11,570.0,580.0,570.0,580.0,0.28,9664,5538517.9
2025-12-10,589.9,589.9,578.4,578.4,-1.95,6331,3666296.4
2025-12-09,575.0,589.9,575.0,589.9,1.34,10038,5836354.8
2025-12-08,588.9,597.9,582.1,582.1,0.8,4008,2349828.8
2025-12-07,564.0,598.0,564.0,577.5,0.38,12240,7100025.8
2025-12-03,585.1,593.3,575.3,575.3,-1.88,10792,6305217.1
2025-12-02,602.0,638.0,580.0,586.3,-0.8,8363,4934747.2
2025-12-01,587.3,592.0,585.0,591.0,0.68,8012,4702838.3
2025-11-30,600.0,600.0,587.0,587.0,-2.0,14606,8617386.7
2025-11-27,603.5,613.0,599.0,599.0,-2.28,24860,15010836.4
2025-11-26,586.1,649.0,586.1,613.0,2.51,104324,62889104.5
2025-11-25,590.1,609.5,590.1,598.0,-0.37,8495,5114779.4
2025-11-24,599.0,607.8,599.0,600.2,0.2,9183,5528140.3
2025-11-23,596.1,601.0,587.0,599.0,2.36,8427,5007233.4
2025-11-20,583.2,600.0,583.2,585.2,-1.5,5338,3146469.0
2025-11-19,600.0,606.0,594.1,594.1,-1.48,12004,7175127.7
2025-11-18,600.0,608.0,588.0,603.0,1.52,11296,6777132.5
2025-11-17,586.0,599.9,585.3,594.0,1.71,13857,8159426.8
2025-11-16,586.1,598.0,584.0,584.0,-0.36,3688,2173981.6
2025-11-13,573.4,596.3,573.4,586.1,0.17,10482,6138034.7
2025-11-12,591.0,614.0,584.0,585.1,-2.97,18313,10835980.2
2025-11-11,584.2,619.0,584.2,603.0,1.16,3076,1836117.1
2025-11-10,581.2,640.0,581.2,596.1,0.52,11171,6679772.4
2025-11-09,600.8,666.0,588.9,593.0,-3.26,9419,5715411.5
2025-11-06,625.0,625.0,605.1,613.0,-2.39,30571,18787397.5
2025-11-05,607.4,665.0,607.4,628.0,1.34,47547,29386289.1
2025-11-04,653.7,653.7,604.1,619.7,-7.09,20369,12654306.9
2025-11-03,600.0,667.0,600.0,667.0,9.98,81822,50463949.7
2025-11-02,592.0,607.9,590.1,606.5,0.75,22372,13495463.9
2025-10-30,596.0,607.7,595.0,602.0,-0.17,17376,10383968.7
2025-10-29,605.7,666.0,593.6,603.0,-2.43,22621,13707845.5
2025-10-28,568.9,618.0,568.9,618.0,9.98,16486,9673990.3
2025-10-26,553.5,563.0,545.0,561.9,-0.37,2220,1228796.5
2025-10-19,567.4,567.4,547.1,564.0,1.38,8999,5007000.5
2025-10-16,562.4,572.0,555.0,556.3,-3.05,6890,3835125.5
2025-10-15,579.9,581.6,556.0,573.8,-0.07,1855,1049931.9
2025-10-14,569.0,574.2,557.8,574.2,0.91,8283,4655351.8
2025-10-13,568.0,572.0,561.4,569.0,2.15,7622,4304663.7
2025-10-12,576.6,577.0,550.0,557.0,-5.27,12994,7248148.6
2025-10-09,601.6,613.6,575.1,588.0,-0.32,8692,5126660.6
2025-10-08,608.9,621.0,560.0,589.9,-1.19,21186,12168716.9
2025-10-07,612.6,613.1,596.3,597.0,-4.48,7066,4273437.1
2025-09-28,615.1,625.0,615.0,625.0,1.63,8123,5028656.1
2025-09-25,645.7,645.7,610.0,615.0,-3.0,4558,2828304.0
2025-09-24,615.0,677.0,615.0,634.0,1.44,69289,43268939.2
2025-09-23,616.5,637.0,605.0,625.0,3.2,10312,6367327.4
2025-09-21,580.0,617.0,577.2,605.63,3.0,33219,19850918.6
2025-09-18,600.0,600.0,588.0,588.0,-3.96,1303,766764.0
2025-09-08,623.0,629.8,611.2,612.23,-1.29,71275,44205513.0
2025-09-07,618.1,630.9,616.0,620.23,-0.17,7198,4496357.5
2025-09-04,618.5,630.7,618.1,621.27,-0.37,10148,6297896.9
2025-09-03,629.1,636.9,622.1,623.56,-1.04,10806,6796226.8
2025-09-02,634.0,634.0,630.0,630.1,-0.63,3170,2000757.0
2025-09-01,635.0,644.0,629.1,634.1,-0.09,32329,20571676.1
2025-08-31,630.4,650.0,630.4,634.66,-0.91,24228,15512858.5
2025-08-28,656.9,657.0,632.1,640.49,-0.95,35089,22662006.6
2025-08-27,628.0,673.0,627.0,646.66,4.28,29392,18883062.8
2025-08-26,620.0,627.0,618.0,620.09,0.67,16315,10146219.7
2025-08-25,617.0,620.0,612.2,615.95,-0.04,4410,2709808.4
2025-08-24,624.0,624.0,615.1,616.21,-1.45,8668,5370429.4
2025-08-21,626.0,637.0,622.0,625.29,-0.47,9486,5946055.4
2025-08-20,629.9,631.0,627.0,628.24,0.42,7554,4750417.9
2025-08-19,618.3,635.0,618.3,625.6,-0.63,5771,3629970.7
2025-08-18,620.0,630.0,616.7,629.56,1.52,7008,4378418.3
2025-08-17,625.0,630.0,619.2,620.16,-0.4,12022,7477315.6
2025-08-14,620.5,631.9,620.0,622.63,-0.44,9413,5865333.0
2025-08-13,632.9,632.9,621.1,625.37,0.54,6029,3786388.6
