date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,425.0,440.0,419.0,430.1,2.6,77369,33547696.0
2026-02-11,421.0,436.0,419.0,419.2,-1.13,32844,13870025.4
2026-02-10,422.2,430.0,421.0,424.0,0.09,34990,14869391.9
2026-02-09,431.1,433.9,422.1,423.6,-1.49,49141,20898196.1
2026-02-08,445.0,450.0,429.0,430.0,-1.49,93799,41250681.0
2026-02-05,435.0,442.5,428.0,436.5,1.51,84954,37167261.0
2026-02-04,434.0,440.0,427.2,430.0,0.23,51858,22308060.3
2026-02-03,426.8,443.0,426.8,429.0,-0.23,92241,40133238.4
2026-02-02,440.0,440.0,427.0,430.0,-1.15,69772,30147543.0
2026-02-01,458.0,458.0,432.0,435.0,-3.29,63485,27792931.1
2026-01-29,441.0,474.0,441.0,449.8,1.79,195251,89555155.8
2026-01-28,423.1,443.1,420.0,441.9,4.34,106573,45892097.6
2026-01-27,435.0,439.0,423.0,423.5,-0.82,155434,67135131.6
2026-01-26,430.0,430.0,419.0,427.0,1.18,129822,55060496.7
2026-01-25,410.1,424.0,410.0,422.0,2.68,101184,42511369.3
2026-01-22,417.8,417.8,408.0,411.0,0.24,52174,21418890.7
2026-01-21,424.0,424.0,407.0,410.0,-1.47,59883,24664081.2
2026-01-20,421.1,423.8,414.0,416.1,-0.34,67651,28286974.1
2026-01-18,425.3,425.3,414.0,417.5,0.12,52997,22162131.4
2026-01-14,415.0,420.0,406.0,417.0,2.23,65757,27200004.0
2026-01-13,408.8,410.0,402.7,407.9,1.47,39435,16026835.0
2026-01-12,397.9,413.0,397.9,402.0,-0.99,53976,21936532.2
2026-01-08,410.0,410.0,400.0,406.0,1.0,32623,13191711.2
2026-01-07,419.2,419.2,402.0,402.0,-2.19,29109,11857840.6
2026-01-06,422.2,422.2,405.9,411.0,-0.72,43285,17868692.7
2026-01-05,398.8,417.0,391.0,414.0,5.88,63398,25728289.6
2026-01-04,390.0,396.4,386.5,391.0,0.26,37968,14866799.8
