date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,946.4,946.4,915.0,932.7,0.51,1244,1156904.2
2026-02-11,913.1,938.0,912.0,928.0,0.54,560,514782.0
2026-02-10,920.0,928.7,915.0,923.0,-0.74,3868,3566624.3
2026-02-09,925.0,935.0,925.0,929.9,-1.07,820,759809.0
2026-02-08,908.0,989.3,908.0,940.0,2.22,4694,4480987.8
2026-02-05,933.0,952.0,919.6,919.6,0.49,1894,1753550.5
2026-02-04,941.0,941.5,915.1,915.1,-0.96,1497,1390934.4
2026-02-03,910.1,933.0,910.0,924.0,0.98,549,505163.5
2026-02-02,953.0,953.0,915.0,915.0,-2.14,1626,1508866.5
2026-02-01,968.9,968.9,920.0,935.0,-1.58,2005,1888181.7
2026-01-29,956.5,956.5,925.1,950.0,1.28,3279,3067900.5
2026-01-28,932.1,940.0,920.0,938.0,-0.74,4301,4018752.2
2026-01-27,961.0,978.0,945.0,945.0,-3.47,4153,3979783.1
2026-01-26,973.0,990.0,952.8,979.0,-1.31,5301,5126185.3
2026-01-25,918.0,993.0,915.0,992.0,8.18,6044,5765335.1
2026-01-22,901.2,917.0,901.2,917.0,0.74,3635,3312793.8
2026-01-21,917.3,929.9,905.2,910.3,-1.16,3030,2769422.0
2026-01-20,900.1,936.3,900.1,921.0,0.66,6581,6087371.1
2026-01-18,905.0,916.0,900.1,915.0,1.55,532,483820.0
2026-01-14,890.0,901.1,890.0,901.0,0.99,688,617946.0
2026-01-13,915.0,915.0,892.0,892.2,-0.87,790,711383.4
2026-01-12,885.5,900.0,885.5,900.0,-0.33,341,304160.0
2026-01-08,890.0,903.0,886.0,903.0,0.0,1070,952971.3
2026-01-07,900.0,905.0,888.0,903.0,-1.3,2342,2101012.0
2026-01-06,919.0,938.0,905.2,914.9,1.09,937,856866.4
2026-01-05,887.0,918.0,887.0,905.0,0.0,2473,2240139.5
2026-01-04,885.0,922.0,882.0,905.0,0.56,1051,950186.9
2026-01-01,900.0,900.0,886.0,900.0,0.0,80,71645.0
2025-12-31,886.0,914.0,886.0,900.0,-0.39,1396,1259558.5
2025-12-29,888.0,905.0,888.0,903.5,0.17,1144,1031440.5
2025-12-28,897.7,908.0,886.2,902.0,1.35,580,520362.0
2025-12-24,875.0,890.0,871.1,890.0,0.34,228,201251.0
2025-12-23,885.0,892.6,872.5,887.0,0.0,193,170227.0
2025-12-22,877.0,887.0,877.0,887.0,-0.78,153,134409.0
2025-12-21,880.1,896.0,874.0,894.0,-0.22,1538,1355862.0
2025-12-18,885.0,900.0,880.1,896.0,-0.11,1174,1039592.3
2025-12-17,910.0,910.0,882.4,897.0,0.22,486,432129.4
2025-12-16,910.0,915.0,875.2,895.0,-0.33,2535,2247127.9
2025-12-15,887.1,902.0,887.1,898.0,-0.77,2034,1817609.0
2025-12-14,910.0,920.0,893.1,905.0,0.11,1757,1580117.7
2025-12-11,931.9,931.9,900.1,904.0,-1.53,430,389051.5
2025-12-10,934.2,934.2,907.0,918.0,0.0,669,610330.0
2025-12-09,900.9,921.0,900.6,918.0,0.87,402,365341.4
2025-12-08,906.0,929.8,900.0,910.1,-1.29,1131,1027212.4
2025-12-07,938.0,938.0,867.1,922.0,-1.6,1250,1128030.0
2025-12-03,945.0,945.0,916.1,937.0,0.32,453,418953.0
2025-12-02,920.0,934.0,905.0,934.0,0.97,885,809144.5
2025-12-01,910.0,933.3,910.0,925.0,-0.34,843,774538.0
2025-11-30,940.0,958.0,908.0,928.2,-1.76,912,846593.0
2025-11-27,915.0,945.0,915.0,944.8,2.55,5962,5548723.0
2025-11-26,911.0,939.0,908.0,921.3,1.12,2371,2190094.0
