date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,780.0,803.9,775.0,789.0,1.15,33955,26702179.4
2026-02-11,804.7,818.0,780.0,780.0,-1.14,17845,13992689.6
2026-02-10,799.0,799.0,784.0,789.0,0.25,13878,10948033.0
2026-02-09,787.0,798.0,785.0,787.0,-0.88,22152,17488164.0
2026-02-08,816.0,816.0,794.0,794.0,-0.75,25242,20226379.3
2026-02-05,793.4,809.7,793.4,800.0,0.9,29281,23443084.8
2026-02-04,784.0,814.9,784.0,792.9,-0.89,14639,11620896.1
2026-02-03,786.0,814.9,786.0,800.0,-0.25,16305,13047336.4
2026-02-02,813.5,816.0,798.0,802.0,0.25,18417,14833332.4
2026-02-01,807.0,818.0,796.0,800.0,-1.84,24862,20045005.3
2026-01-29,812.1,828.9,805.0,815.0,-1.01,33067,26971445.6
2026-01-28,823.0,825.0,812.0,823.3,-0.08,32493,26579411.7
2026-01-27,830.1,849.9,815.2,824.0,-1.9,43707,36355930.7
2026-01-26,860.3,860.3,830.0,840.0,-0.41,65782,55519062.6
2026-01-25,820.0,852.0,820.0,843.5,3.36,49375,41524056.8
2026-01-22,827.7,837.0,815.5,816.1,-2.26,41537,34227347.1
2026-01-21,843.5,843.9,825.0,835.0,0.85,76946,64167223.6
2026-01-20,823.9,845.0,812.0,828.0,2.26,59340,49411444.9
2026-01-18,811.0,822.6,800.7,809.7,1.07,25747,20806926.7
2026-01-14,795.0,812.0,795.0,801.1,0.77,26587,21351968.2
2026-01-13,799.8,800.0,788.0,795.0,0.25,20932,16561675.3
2026-01-12,795.0,809.0,790.5,793.0,-1.25,24866,19785357.5
2026-01-08,805.1,819.0,798.0,803.0,-1.47,57214,46040412.9
2026-01-07,785.0,836.0,784.0,815.0,3.35,80619,65941807.7
2026-01-06,785.0,795.0,780.1,788.6,1.1,19772,15552762.2
2026-01-05,765.2,785.0,765.2,780.0,2.17,28469,22145728.3
2026-01-04,775.0,779.8,761.1,763.4,-0.87,12669,9688668.2
2026-01-01,779.0,779.9,770.0,770.1,-1.26,11624,8980619.7
2025-12-31,780.1,789.8,776.0,779.9,-0.35,9746,7617985.8
2025-12-29,790.0,795.9,782.6,782.6,-1.06,11126,8742096.9
2025-12-28,785.0,795.0,776.4,791.0,1.67,18023,14241614.8
2025-12-24,779.0,781.0,767.2,778.0,1.04,9293,7198971.1
2025-12-23,771.1,785.0,762.2,770.0,-0.18,15185,11707623.8
2025-12-22,770.0,777.0,767.2,771.4,0.84,12114,9363895.2
2025-12-21,772.0,785.0,765.0,765.0,-1.92,21785,16812016.7
