date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,1071.1,1071.1,1071.1,1071.1,0.01,25,26777.5
2026-02-11,1071.0,1071.0,1071.0,1071.0,0.04,25,26775.0
2026-02-10,1071.0,1071.0,1070.6,1070.6,0.04,25,26769.0
2026-02-09,1070.1,1070.2,1070.1,1070.2,-0.55,50,53507.5
2026-02-08,1075.1,1076.1,1075.1,1076.1,0.28,130,139835.5
2026-02-05,1070.4,1073.1,1070.4,1073.1,0.14,75,80367.5
2026-02-04,1073.0,1073.0,1073.0,1071.6,-1.24,25,26818.0
2026-02-03,1085.0,1085.0,1085.0,1085.0,0.46,50,54250.0
2026-02-02,1070.0,1083.0,1070.0,1080.0,-0.92,150,161620.0
2026-02-01,1071.0,1090.0,1070.1,1090.0,1.84,175,189777.5
2026-01-28,1090.0,1091.4,1070.1,1070.3,0.03,571,621025.3
2026-01-27,1070.0,1070.0,1070.0,1070.0,0.18,25,26750.0
2026-01-26,1070.0,1070.0,1068.1,1068.1,-0.18,75,80155.0
2026-01-25,1065.0,1075.0,1065.0,1070.0,0.46,623,666820.0
2026-01-22,1065.1,1065.1,1065.1,1065.1,-0.27,90,95859.0
2026-01-21,1068.0,1068.0,1068.0,1068.0,1.38,25,26700.0
2026-01-20,1053.0,1065.0,1052.1,1053.5,-1.38,467,495167.5
2026-01-18,1068.2,1068.2,1068.2,1068.2,-2.0,65,69433.0
2026-01-14,1075.3,1090.0,1075.3,1090.0,0.28,50,54132.5
2026-01-13,1090.0,1090.0,1087.0,1087.0,0.0,35,38120.0
2026-01-12,1103.1,1103.1,1085.1,1087.0,-1.45,267,291586.2
2026-01-08,1101.2,1103.0,1101.2,1103.0,-1.34,85,93692.0
2026-01-07,1102.2,1118.0,1102.2,1118.0,2.0,75,83130.0
2026-01-06,1096.1,1096.1,1096.1,1096.1,-1.25,25,27402.5
2026-01-05,1110.0,1110.0,1110.0,1110.0,0.73,25,27750.0
2026-01-04,1103.4,1103.4,1102.0,1102.0,-1.8,50,55135.0
2026-01-01,1100.2,1122.2,1100.2,1122.2,0.2,95,105121.5
2025-12-29,1120.0,1120.0,1120.0,1120.0,1.5,595,666400.0
2025-12-28,1102.8,1103.4,1102.8,1103.4,-0.59,130,143386.5
2025-12-24,1110.0,1110.0,1110.0,1110.0,0.89,25,27750.0
2025-12-23,1100.0,1100.2,1100.0,1100.2,-0.88,50,55005.0
2025-12-22,1120.0,1122.0,1110.0,1110.0,0.91,250,279190.0
2025-12-21,1097.5,1119.4,1097.5,1100.0,0.31,222,247170.3
2025-12-17,1100.0,1100.0,1096.6,1096.6,-0.31,50,54915.0
2025-12-16,1100.0,1100.0,1100.0,1100.0,-1.43,95,104500.0
2025-12-15,1100.0,1116.0,1100.0,1116.0,1.45,105,116700.0
2025-12-14,1107.0,1107.0,1100.0,1100.0,0.0,560,619745.0
2025-12-11,1100.0,1100.0,1099.0,1100.0,0.59,155,170457.5
2025-12-10,1093.5,1093.5,1093.5,1093.5,-0.32,25,27337.5
2025-12-09,1097.0,1097.0,1097.0,1097.0,0.18,25,27425.0
2025-12-08,1099.9,1100.0,1095.0,1095.0,0.36,65,71373.5
2025-12-07,1089.0,1092.0,1089.0,1091.1,-0.18,55,59980.5
2025-12-03,1095.0,1095.0,1093.1,1093.1,-0.17,50,54702.5
2025-12-02,1095.0,1095.0,1095.0,1095.0,0.46,100,109500.0
2025-12-01,1096.3,1096.3,1090.0,1090.0,-0.47,125,136740.0
2025-11-30,1094.0,1095.2,1090.1,1095.2,-1.86,100,109357.5
2025-11-27,1090.0,1116.0,1090.0,1116.0,1.92,150,166240.0
2025-11-26,1095.0,1095.0,1095.0,1095.0,-0.45,25,27375.0
2025-11-24,1089.0,1100.0,1075.2,1100.0,1.01,115,125473.0
2025-11-23,1090.0,1090.0,1089.0,1089.0,-0.28,25,27240.0
2025-11-20,1106.5,1106.5,1085.1,1092.1,-3.27,75,81771.5
2025-11-19,1092.0,1135.0,1092.0,1129.0,1.45,280,314745.0
2025-11-18,1092.1,1112.9,1092.0,1112.9,2.19,225,248142.5
2025-11-17,1093.0,1109.0,1089.1,1089.0,-0.42,182,200760.5
2025-11-16,1075.0,1093.6,1072.2,1093.6,0.08,50,54187.0
2025-11-13,1092.7,1092.7,1092.7,1092.7,-2.0,25,27317.5
2025-11-12,1115.0,1115.0,1115.0,1115.0,1.36,25,27875.0
2025-11-11,1100.0,1100.0,1100.0,1100.0,-1.79,25,27500.0
2025-11-06,1120.0,1120.0,1120.0,1120.0,1.82,25,28000.0
2025-11-03,1086.1,1100.0,1085.0,1100.0,1.38,227,247867.5
2025-11-02,1087.0,1087.0,1072.1,1085.0,-0.19,67,72331.5
2025-10-30,1085.1,1087.1,1085.1,1087.1,0.38,50,54305.0
2025-10-29,1083.0,1083.0,1083.0,1083.0,0.28,27,29241.0
2025-10-28,1080.0,1080.0,1080.0,1080.0,-1.64,50,54000.0
2025-10-19,1098.0,1099.0,1098.0,1098.0,1.86,290,318440.0
2025-10-15,1078.0,1078.0,1078.0,1078.0,-0.19,50,53900.0
2025-10-14,1075.0,1080.0,1075.0,1080.0,0.0,50,53875.0
