date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,763.0,768.0,756.3,760.0,-0.39,6892,5249252.5
2026-02-11,775.0,775.0,755.1,763.0,-0.26,4340,3321097.2
2026-02-10,765.0,767.0,758.0,765.0,-0.26,5095,3877368.0
2026-02-09,780.5,780.5,760.0,767.0,0.24,4565,3486706.6
2026-02-08,776.0,785.0,765.0,765.2,-1.39,10517,8104580.9
2026-02-05,768.0,778.0,765.0,776.0,1.17,3800,2934751.8
2026-02-04,788.0,788.0,766.6,767.0,-1.01,2995,2302967.6
2026-02-03,767.1,780.0,767.1,774.8,0.49,4631,3571476.0
2026-02-02,765.2,779.7,765.2,771.0,-0.14,3120,2416380.7
2026-02-01,767.0,790.0,767.0,772.1,-0.78,6279,4876125.1
2026-01-29,795.0,796.5,778.0,778.2,-0.36,9449,7414526.5
2026-01-28,786.0,799.8,771.0,781.0,-0.64,6104,4787522.8
2026-01-27,812.5,814.5,785.0,786.0,-1.63,9343,7425272.4
2026-01-26,810.0,816.0,799.0,799.0,-1.13,13754,11074507.0
2026-01-25,790.1,816.0,790.1,808.1,2.29,11466,9267279.3
2026-01-22,816.0,816.0,786.0,790.0,-1.25,7279,5758927.4
2026-01-21,810.9,810.9,789.0,800.0,0.63,6740,5369305.5
2026-01-20,792.0,806.9,777.1,795.0,2.3,18212,14533717.1
2026-01-18,762.4,780.1,762.4,777.1,2.86,7853,6084349.3
2026-01-14,766.6,773.0,755.5,755.5,-2.38,6369,4863707.9
2026-01-13,762.0,779.8,760.5,773.9,0.77,6480,4954149.0
2026-01-12,763.0,778.2,763.0,768.0,-0.13,5790,4466432.7
2026-01-08,784.0,784.0,768.0,769.0,-0.41,7224,5573408.7
2026-01-07,767.1,789.9,767.1,772.2,-0.62,5560,4322623.7
2026-01-06,793.9,800.0,770.0,777.0,-1.02,9881,7699569.9
2026-01-05,765.5,788.0,765.5,785.0,1.29,5380,4192026.8
2026-01-04,787.0,788.6,767.0,775.0,-1.52,10331,7993978.4
2026-01-01,821.0,821.0,787.0,787.0,-2.24,7210,5729128.1
2025-12-31,819.9,820.0,805.0,805.0,-0.25,4683,3790911.0
2025-12-29,836.4,836.4,805.2,807.0,-1.59,4702,3811105.4
2025-12-28,832.0,832.0,808.0,820.0,0.49,11861,9705140.0
2025-12-24,860.0,868.0,804.0,816.0,-4.23,23436,19346752.0
2025-12-23,805.0,853.0,805.0,852.0,5.85,51250,42768078.3
2025-10-16,808.0,808.0,770.0,780.0,-1.89,14510,11390016.5
2025-10-15,802.2,831.0,793.0,795.0,1.08,29502,23853099.7
2025-10-14,729.2,786.5,729.2,786.5,10.0,39875,30605196.8
2025-10-13,710.0,719.0,698.0,715.0,1.13,4001,2830523.5
2025-10-12,725.0,725.0,705.0,707.0,-3.56,7284,5172483.4
2025-10-09,744.6,759.0,732.0,733.1,0.42,2776,2049669.5
2025-10-08,740.0,741.0,717.0,730.0,-1.35,4654,3391363.4
2025-10-07,758.0,758.0,740.0,740.0,-2.37,6095,4531614.3
2025-09-28,764.0,764.0,750.0,758.0,0.53,1448,1092271.0
2025-09-25,742.0,760.0,742.0,754.0,0.94,1922,1451688.0
2025-09-24,760.1,765.0,745.0,747.0,-1.72,5350,4009118.3
2025-09-23,746.0,775.0,746.0,760.1,1.99,3484,2645006.3
2025-09-21,710.0,748.7,710.0,745.27,2.91,9433,6926731.7
2025-09-18,738.9,738.9,724.2,724.2,-3.94,30,22020.0
2025-09-08,774.0,774.0,746.2,753.93,-0.77,4835,3643187.9
2025-09-07,782.0,783.1,757.2,759.8,-1.08,5003,3821772.5
2025-09-04,756.0,770.0,755.1,768.12,0.61,4572,3475668.5
2025-09-03,765.0,773.0,762.0,763.46,-0.54,2942,2251754.5
2025-09-02,780.0,780.0,767.0,767.62,-0.54,7933,6100055.9
2025-09-01,760.0,774.0,760.0,771.81,0.78,2250,1728181.4
2025-08-31,791.9,791.9,764.5,765.87,-1.37,8461,6519979.5
2025-08-28,783.0,789.0,776.0,776.51,-1.83,8015,6255797.6
2025-08-27,780.0,793.9,780.0,791.02,1.39,9117,7175991.4
2025-08-26,775.1,799.0,775.1,780.21,-1.23,8000,6268288.0
2025-08-25,797.3,813.0,775.1,789.91,1.03,9153,7203881.6
2025-08-24,792.0,792.0,780.1,781.84,-0.62,4564,3570527.8
2025-08-21,798.5,798.5,785.0,786.75,-1.16,4996,3942022.3
2025-08-20,805.0,810.0,795.2,795.99,-0.59,3167,2527807.0
2025-08-19,819.6,819.6,800.0,800.71,-0.72,5493,4425094.4
2025-08-18,800.1,812.0,800.1,806.53,0.78,5255,4243373.3
2025-08-17,825.0,825.0,800.0,800.3,-1.96,12457,10071060.2
2025-08-14,843.0,876.0,815.0,816.33,-1.34,9882,8117126.7
2025-08-13,850.0,852.8,825.0,827.39,-1.05,5105,4234706.7
2025-08-12,842.0,842.0,831.0,836.17,-0.66,5938,4969775.5
2025-08-11,860.0,860.0,840.0,841.69,-1.99,8101,6871460.1
2025-08-07,860.6,869.0,858.0,858.8,-0.83,9048,7797517.2
2025-08-06,850.0,874.9,850.0,865.98,1.63,13379,11587967.6
2025-08-05,866.9,885.0,835.0,852.07,-1.09,13779,11851152.5
2025-08-04,860.1,867.0,836.0,861.49,0.6,15064,12795294.8
2025-08-03,873.2,886.0,855.0,856.34,-3.07,20185,17439671.0
2025-07-31,908.5,908.5,880.0,883.46,-0.81,16573,14764194.5
2025-07-30,925.0,930.5,890.0,890.7,-3.79,27439,24913963.7
2025-07-29,911.9,950.0,900.0,925.75,3.51,49157,45528840.2
2025-07-28,890.0,896.0,876.0,894.34,0.26,20093,17784424.4
2025-07-27,910.0,918.0,888.0,892.06,-0.77,45786,41513951.8
2025-07-24,930.0,930.0,885.0,898.96,-1.42,20461,18479594.9
2025-07-23,932.0,940.0,895.2,911.95,-2.22,25058,22902033.7
2025-07-22,890.0,936.0,890.0,932.61,6.21,45750,42122650.5
2025-07-21,869.8,882.0,851.0,878.08,2.9,21973,19115818.6
2025-07-20,872.0,883.0,849.1,853.36,-1.5,25208,21939445.3
2025-07-17,841.0,874.0,841.0,866.37,1.94,19673,17010930.1
2025-07-16,843.1,865.0,843.0,849.92,0.22,13761,11753166.3
2025-07-15,840.0,854.4,838.0,848.06,0.87,8506,7176899.8
2025-07-14,850.0,865.9,840.0,840.75,-2.41,7183,6069688.3
2025-07-13,842.0,875.0,842.0,861.53,4.25,36987,31798533.9
2025-07-10,831.0,831.0,816.0,826.42,1.4,12165,10033747.5
2025-07-09,813.77,820.0,800.6,815.01,0.15,4971,4039989.5
