date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,628.0,655.0,628.0,641.0,0.94,25505,16397279.8
2026-02-11,649.0,649.0,635.0,635.0,-0.47,11708,7473708.5
2026-02-10,652.0,652.0,633.2,638.0,-1.85,27090,17320968.4
2026-02-09,662.0,664.0,645.0,650.0,-2.26,27846,18208205.2
2026-02-08,659.0,680.0,657.0,665.0,1.17,45416,30327780.9
2026-02-05,655.0,667.0,654.0,657.3,0.5,25668,16924884.9
2026-02-04,651.0,667.5,651.0,654.0,-1.18,37748,24808501.5
2026-02-03,662.5,672.5,656.0,661.8,-1.52,27408,18153574.4
2026-02-02,677.0,684.9,662.0,672.0,-1.47,38609,25838142.5
2026-02-01,688.0,695.0,658.0,682.0,1.04,88596,59326379.3
2026-01-29,703.0,706.0,666.0,675.0,-2.15,55630,38243551.1
2026-01-28,670.0,691.0,670.0,689.8,3.45,58487,39677968.0
2026-01-27,696.0,699.0,665.0,666.8,-4.17,67612,46263525.8
2026-01-26,703.2,709.5,685.0,695.8,-1.16,81674,56871199.8
2026-01-25,725.0,730.0,700.0,704.0,-2.49,56739,40564800.0
2026-01-22,685.0,724.0,684.5,722.0,5.4,86514,61007830.1
2026-01-21,700.0,708.0,676.3,685.0,-2.16,46315,31830250.5
2026-01-20,724.2,738.0,691.4,700.1,-1.39,98589,69955391.4
2026-01-18,660.0,712.0,660.0,710.0,6.93,109933,76296091.0
2026-01-14,630.0,673.0,628.0,664.0,5.73,95147,62639076.0
2026-01-13,639.8,639.8,625.0,628.0,-0.63,24583,15454349.0
2026-01-12,625.0,642.0,625.0,632.0,1.14,50818,32233095.4
2026-01-08,647.5,647.5,624.5,624.9,-2.05,46772,29602461.2
2026-01-07,644.0,650.6,627.0,638.0,0.02,57024,36451084.5
2026-01-06,611.0,648.7,606.0,637.9,5.46,73056,46221637.4
2026-01-05,593.0,605.0,591.5,604.9,2.87,46675,28034503.0
2026-01-04,590.0,595.0,582.0,588.0,-0.34,21382,12604667.8
2026-01-01,591.0,591.0,578.2,590.0,0.34,29870,17523599.8
2025-12-31,589.9,593.7,581.0,588.0,0.55,8887,5214013.1
2025-12-29,585.9,594.8,579.0,584.8,1.72,30556,17966380.7
2025-12-28,567.2,575.0,562.0,574.9,3.38,18068,10295832.1
2025-12-24,568.0,574.0,555.0,556.1,-1.58,24313,13582298.3
2025-12-23,565.0,566.1,560.0,565.0,-0.7,15778,8862351.3
2025-12-22,581.4,581.4,560.0,569.0,-0.18,17335,9790749.6
2025-12-21,581.2,581.2,566.3,570.0,-1.93,19831,11321288.3
2025-12-18,598.0,598.0,581.2,581.2,-2.6,12936,7594226.8
2025-12-17,598.9,600.0,587.0,596.7,0.71,11085,6601844.0
2025-12-16,590.0,593.9,586.0,592.5,0.25,4455,2623595.4
2025-12-15,575.0,591.0,571.0,591.0,3.14,9830,5679202.0
2025-12-14,588.0,588.0,571.0,573.0,-0.69,4853,2786448.1
2025-12-11,585.0,587.5,577.0,577.0,-0.52,5237,3036244.1
2025-12-10,591.0,591.0,577.4,580.0,-2.52,9505,5559683.1
2025-12-09,590.1,596.0,590.0,595.0,0.02,1691,999660.3
