date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,10.6,10.89,10.6,10.81,0.19,30200,327399.0
2026-02-11,10.48,10.79,10.48,10.79,1.41,10700,114848.0
2026-02-10,10.6,10.64,10.45,10.64,0.38,1800,19064.0
2026-02-09,10.8,10.85,10.6,10.6,-1.85,101600,1084953.0
2026-02-08,10.6,10.87,10.6,10.8,0.93,61800,667233.0
2026-02-05,10.54,10.8,10.54,10.7,-0.37,1650,17625.0
2026-02-04,10.65,10.75,10.65,10.74,0.19,24310,261097.2
2026-02-03,10.66,10.8,10.66,10.72,-1.29,23700,254673.0
2026-02-02,10.62,10.89,10.62,10.86,0.74,8850,95831.0
2026-02-01,10.63,10.79,10.63,10.78,0.56,41113,442900.1
2026-01-29,10.7,10.95,10.7,10.72,0.19,197786,2119886.06
2026-01-28,10.68,10.88,10.55,10.7,0.19,67850,727043.0
2026-01-27,10.6,11.0,10.6,10.68,-1.11,224900,2436047.0
2026-01-26,10.6,10.8,10.6,10.8,0.47,9250,99386.0
2026-01-25,10.54,10.75,10.36,10.75,0.0,13700,146388.0
2026-01-22,10.48,10.8,10.48,10.75,1.8,26030,278419.4
2026-01-21,10.48,10.75,10.48,10.56,-0.75,76000,805680.0
2026-01-20,10.47,10.82,10.47,10.64,0.28,141550,1509198.5
2026-01-18,10.47,10.68,10.47,10.61,-0.28,134855,1428688.15
2026-01-14,10.27,10.64,10.27,10.64,1.62,12550,131749.5
2026-01-13,10.44,10.7,10.44,10.47,-1.6,2200,23111.0
2026-01-12,10.37,10.65,10.37,10.64,1.82,106268,1124524.32
2026-01-08,10.39,10.5,10.37,10.45,0.67,12155,127382.95
2026-01-07,10.35,10.5,10.35,10.38,-1.24,4700,48855.0
2026-01-06,10.29,10.51,10.29,10.51,0.1,42210,443074.0
2026-01-05,10.35,10.5,10.32,10.5,0.96,103400,1072801.0
2026-01-04,10.36,10.56,10.35,10.4,0.29,19820,206107.2
2026-01-01,10.36,10.37,10.36,10.37,-1.24,1400,14506.0
2025-12-31,10.34,10.5,10.34,10.5,0.96,21200,220439.0
2025-12-29,10.33,10.44,10.31,10.4,0.58,170400,1758668.5
2025-12-28,10.25,10.4,10.25,10.34,0.39,20050,208055.5
2025-12-24,10.25,10.3,10.25,10.3,0.0,11040,113637.0
2025-12-23,10.07,10.3,10.07,10.3,0.39,59000,606438.0
2025-12-22,10.21,10.3,10.21,10.26,0.59,2750,28151.0
2025-12-21,10.49,10.49,10.2,10.2,-1.45,34900,360584.0
2025-12-18,10.18,10.35,10.18,10.35,1.47,48050,495174.89
2025-12-17,10.15,10.35,10.15,10.2,-0.58,8820,90332.0
2025-12-16,10.18,10.26,9.9,10.26,0.0,52603,534434.38
2025-12-15,10.15,10.26,10.15,10.26,-0.87,6700,68091.0
2025-12-14,10.15,10.35,10.15,10.35,1.97,9900,101046.0
2025-12-11,10.03,10.15,10.03,10.15,-0.1,1850,18720.5
2025-12-10,10.07,10.27,10.07,10.16,-0.39,4210,42871.1
2025-12-09,10.1,10.2,10.1,10.2,-0.68,2800,28533.0
