date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,1905.1,1938.0,1903.5,1929.0,0.47,1407,2687320.0
2026-02-11,1963.5,1963.5,1915.0,1920.0,-2.22,1140,2195420.2
2026-02-10,1925.0,1984.0,1925.0,1963.5,0.83,1142,2218958.2
2026-02-09,1997.8,1997.8,1947.3,1947.3,-1.95,673,1313467.0
2026-02-08,1958.0,1993.0,1940.0,1986.0,1.74,2541,5029972.7
2026-02-05,1980.0,2051.9,1945.0,1952.0,0.51,2184,4288534.7
2026-02-04,2019.6,2019.6,1941.0,1942.0,-3.84,1457,2872263.3
2026-02-03,2030.1,2030.1,1951.2,2019.6,-0.51,1443,2857362.3
2026-02-02,2050.2,2050.2,2001.0,2030.0,1.0,638,1285578.7
2026-02-01,2050.0,2050.0,2010.0,2010.0,-2.62,1206,2435477.5
2026-01-29,2065.0,2077.0,2030.0,2064.0,0.15,858,1765584.1
2026-01-28,2040.0,2071.8,2040.0,2061.0,0.54,3262,6700324.3
2026-01-27,2022.0,2079.0,2020.0,2050.0,1.23,2417,4956611.4
2026-01-26,2080.0,2099.0,2025.0,2025.0,-1.7,2893,5981457.4
2026-01-25,2080.0,2080.0,2003.0,2060.0,0.05,2112,4342613.6
2026-01-22,2110.0,2110.0,2010.0,2059.0,-1.54,3418,6959236.3
2026-01-21,2177.6,2177.6,2009.0,2091.2,-5.89,2385,5023007.2
2026-01-20,2143.0,2222.0,2022.2,2222.0,5.76,8954,18584376.4
2026-01-18,1968.6,2101.0,1950.0,2101.0,8.86,5522,11105338.3
2026-01-14,1924.0,1930.0,1923.0,1930.0,0.31,40,76773.4
2026-01-13,1963.5,1963.5,1924.0,1924.0,-0.05,1346,2595155.0
2026-01-12,1957.0,1980.0,1920.2,1925.0,0.26,2154,4207857.0
2026-01-08,1891.0,1987.9,1891.0,1920.1,0.47,1153,2237480.5
2026-01-07,1920.0,1949.9,1911.0,1911.1,-0.46,515,987513.1
2026-01-06,1906.5,1950.0,1906.5,1920.0,-0.89,888,1715081.8
2026-01-05,1900.1,1975.0,1862.1,1937.2,0.74,2232,4251999.5
2026-01-04,1950.0,1996.9,1923.0,1923.0,-1.87,185,359185.8
2026-01-01,1965.0,1965.0,1935.0,1959.7,-0.27,1480,2874960.2
2025-12-31,2000.0,2000.0,1950.2,1965.0,-0.51,1324,2637274.2
2025-12-29,2042.0,2042.0,1970.0,1975.0,-1.45,869,1737319.0
2025-12-28,2000.0,2020.0,1979.6,2004.0,0.2,1314,2631825.5
2025-12-24,1993.0,2026.0,1953.2,2000.0,0.35,1619,3229374.6
2025-12-23,1900.0,1994.0,1900.0,1993.0,6.01,3468,6645790.5
2025-12-22,1900.0,1900.0,1875.0,1880.0,-1.57,460,865745.0
2025-12-21,1900.0,1910.0,1895.0,1910.0,-0.52,269,510350.7
2025-12-18,1901.2,1925.0,1900.0,1920.0,-0.77,1136,2163153.9
2025-12-17,1937.0,1950.0,1911.0,1934.9,-0.11,379,729734.3
2025-12-16,1903.1,1937.0,1903.0,1937.0,1.79,622,1190602.9
2025-12-15,1942.0,1942.0,1901.0,1903.0,-0.37,619,1184935.3
2025-12-14,1938.0,1945.0,1910.0,1910.0,-1.44,497,956760.8
2025-12-11,1970.0,1970.0,1900.0,1938.0,-1.62,750,1439776.0
2025-12-10,1950.0,1989.0,1950.0,1970.0,1.03,161,317469.0
2025-12-09,1950.0,1979.0,1941.0,1950.0,0.0,342,666912.0
2025-12-08,1970.0,2000.0,1922.1,1950.0,-1.02,918,1787315.8
2025-12-07,1966.1,1980.0,1966.1,1970.0,-1.01,401,790106.0
2025-12-03,2000.0,2000.0,1990.0,1990.0,-0.5,1068,2130260.0
2025-12-02,2023.8,2023.8,1995.5,2000.0,-1.18,171,341884.3
2025-12-01,1962.0,2024.9,1962.0,2023.8,1.55,703,1415272.8
2025-11-30,1980.0,2018.0,1980.0,1993.0,-0.81,1117,2238158.5
2025-11-27,2014.0,2045.0,2008.0,2009.2,-0.24,692,1395822.8
2025-11-26,2023.0,2026.0,2006.1,2014.0,-1.13,1112,2238740.9
2025-11-25,2020.0,2038.9,2010.2,2037.0,-0.15,3272,6626408.3
2025-11-24,2003.0,2059.0,2000.0,2040.1,0.25,425,859625.5
2025-11-23,2005.0,2035.0,1983.0,2035.0,1.7,775,1552945.6
2025-11-20,1985.0,2029.9,1985.0,2001.0,-0.84,710,1424325.4
2025-11-19,2050.0,2050.0,2016.0,2018.0,-1.51,364,739793.9
2025-11-18,2045.0,2050.0,2025.0,2049.0,0.89,237,482368.0
2025-11-17,1975.0,2031.0,1975.0,2031.0,2.84,1225,2466189.0
2025-11-16,2052.0,2093.0,1975.0,1975.0,-1.84,690,1383496.0
2025-11-13,1960.0,2060.2,1955.0,2012.0,1.56,706,1405707.8
2025-11-12,2020.0,2020.0,1980.0,1981.0,-1.83,950,1895060.5
2025-11-11,2075.0,2080.0,2009.1,2018.0,-0.84,1719,3513063.9
2025-11-10,2050.1,2050.1,2019.0,2035.0,-1.21,1069,2179313.2
2025-11-09,2086.0,2117.0,2050.0,2060.0,-2.83,3403,7048833.6
2025-11-06,2132.0,2165.0,2100.0,2120.0,-0.56,303,642543.0
2025-11-05,2091.2,2200.0,2091.2,2132.0,3.99,8707,18752401.1
2025-11-04,2040.0,2077.9,2018.8,2050.2,0.5,1432,2922072.7
2025-11-03,2081.0,2081.0,2021.0,2040.0,-1.97,2147,4390853.9
2025-11-02,2062.3,2220.0,2062.3,2081.0,2.92,5004,10726360.1
2025-10-30,2142.0,2310.0,2100.0,2310.0,10.0,19893,45302836.4
2025-10-29,2095.1,2179.0,2039.0,2100.0,-0.66,2997,6276546.1
2025-10-28,2090.0,2199.0,2077.1,2114.0,2.52,2108,4494128.5
2025-10-26,2033.0,2110.0,1991.9,2062.0,1.43,1508,3081685.8
2025-10-19,2004.9,2044.0,2004.9,2033.0,3.41,1423,2866357.7
2025-10-16,2000.0,2009.6,1965.0,1966.0,-3.06,1923,3808948.1
2025-10-15,2031.2,2064.8,2000.0,2028.0,-2.03,2053,4125179.7
2025-10-14,2081.0,2090.0,2052.0,2070.0,-2.36,1877,3883110.5
2025-10-13,2124.7,2125.0,2086.0,2120.0,-2.21,1278,2682342.1
2025-10-12,2155.2,2168.0,2114.0,2168.0,-1.23,671,1436326.4
2025-10-09,2223.0,2280.0,2170.6,2195.0,0.69,1469,3233662.2
2025-10-08,2141.1,2225.0,2140.0,2180.0,0.14,2884,6352206.5
2025-10-07,2200.0,2219.0,2177.0,2177.0,-2.94,1929,4228076.8
2025-09-28,2210.0,2245.0,2186.0,2243.0,0.58,2351,5217497.3
2025-09-25,2138.0,2295.0,2116.0,2230.0,6.29,4713,10413819.5
2025-09-24,2091.0,2115.0,2050.1,2098.0,-1.5,1376,2877278.6
2025-09-23,2079.0,2161.8,2077.1,2130.0,4.5,788,1661405.2
2025-09-21,1950.0,2045.0,1912.0,2038.37,3.1,3634,7120601.4
2025-09-18,2018.0,2018.0,1977.0,1977.0,-2.03,40,79497.0
2025-09-08,2072.1,2072.1,2016.1,2017.92,-2.61,1133,2297437.5
2025-09-07,2065.77,2102.0,2065.77,2072.1,0.31,435,909565.5
2025-09-04,2126.0,2168.0,2047.0,2065.77,-0.93,980,2031752.8
2025-09-03,2079.44,2109.0,2071.0,2085.18,0.28,1023,2122731.3
2025-09-02,2090.0,2119.9,2077.0,2079.44,-1.81,2496,5204292.6
2025-09-01,2152.16,2152.16,2111.0,2117.74,-1.6,1321,2812477.2
2025-08-31,2181.9,2181.9,2150.0,2152.16,-1.36,2623,5661834.4
2025-08-28,2221.56,2221.56,2178.0,2181.9,-1.79,2260,4949088.5
2025-08-27,2197.0,2227.2,2185.0,2221.56,1.1,2607,5717059.3
2025-08-26,2237.0,2245.0,2197.0,2197.46,-1.8,4885,10807981.2
2025-08-25,2260.0,2270.0,2216.0,2237.68,-0.42,3201,7177213.1
2025-08-24,2259.18,2263.0,2236.2,2247.17,-0.53,964,2165387.6
