date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,280.1,297.0,280.0,284.0,1.25,404426,117243176.0
2026-02-11,280.1,280.5,272.2,280.5,2.0,118535,32811291.6
2026-02-10,280.0,284.8,273.6,275.0,0.15,171643,47570030.4
2026-02-09,275.0,278.0,268.1,274.6,1.67,115384,31450796.1
2026-02-08,270.0,282.0,270.0,270.1,-0.33,150932,41874253.3
2026-02-05,264.1,274.0,255.0,271.0,4.63,192001,51727991.4
2026-02-04,261.8,261.9,256.0,259.0,-0.08,34795,9015692.2
2026-02-03,265.0,268.5,259.2,259.2,-2.56,50162,13101416.0
2026-02-02,265.0,271.8,264.9,266.0,-0.75,46882,12510843.2
2026-02-01,269.0,271.3,263.0,268.0,1.52,79107,21160200.8
2026-01-29,263.9,279.0,260.0,264.0,1.15,180605,48727018.7
2026-01-28,258.0,264.0,257.3,261.0,-0.38,40386,10479287.9
2026-01-27,268.9,272.1,259.1,262.0,-2.24,133895,35656137.5
2026-01-26,271.0,271.0,262.0,268.0,-1.11,78864,20997380.5
2026-01-25,265.0,272.0,265.0,271.0,2.3,77694,20938541.9
2026-01-22,253.5,264.9,253.5,264.9,2.67,54841,14296468.2
2026-01-21,257.9,259.0,255.1,258.0,0.86,48777,12536346.5
2026-01-20,255.0,258.0,253.9,255.8,1.51,39105,10029641.5
2026-01-18,248.1,252.7,248.1,252.0,0.8,42541,10693685.3
2026-01-14,249.0,253.9,247.0,250.0,0.4,40550,10184618.4
2026-01-13,248.0,249.0,245.0,249.0,0.81,20381,5035461.0
2026-01-12,246.0,248.0,244.1,247.0,0.41,26156,6429779.8
2026-01-08,239.7,249.2,239.7,246.0,0.61,17731,4363969.0
2026-01-07,248.0,250.0,244.2,244.5,-1.81,23477,5783355.3
2026-01-06,250.5,250.8,246.6,249.0,0.4,19426,4833085.5
2026-01-05,251.5,251.5,245.0,248.0,0.53,18032,4450890.8
2026-01-04,249.5,251.0,245.0,246.7,-1.12,14948,3670296.0
2026-01-01,247.2,249.5,243.7,249.5,0.93,20064,4911839.9
2025-12-31,246.1,250.0,246.1,247.2,-0.28,18970,4718994.7
2025-12-29,254.0,254.0,246.0,247.9,-1.24,13326,3311472.1
2025-12-28,246.0,251.0,245.6,251.0,2.03,23808,5912189.8
2025-12-24,247.0,248.0,245.1,246.0,-0.32,6405,1574410.0
2025-12-23,244.5,247.0,242.7,246.8,1.27,12856,3152651.1
2025-12-22,242.0,245.0,242.0,243.7,-0.12,20910,5070764.7
2025-12-21,245.2,247.9,243.0,244.0,-1.89,40047,9777402.2
2025-12-18,250.0,251.0,247.0,248.7,-0.52,15452,3831070.8
2025-12-17,252.0,252.0,247.6,250.0,0.4,9847,2456758.5
2025-12-16,245.2,250.0,245.2,249.0,0.85,14256,3523850.9
2025-12-15,247.9,249.0,245.1,246.9,0.16,20483,5049590.0
2025-12-14,242.1,251.8,242.1,246.5,-0.2,22437,5565881.5
2025-12-11,250.0,253.8,247.0,247.0,-1.67,52375,13067629.7
2025-12-10,248.1,255.5,248.1,251.2,-0.75,13515,3406470.8
2025-12-09,249.9,256.0,249.9,253.1,-0.75,13813,3507960.6
2025-12-08,249.8,256.0,249.8,255.0,0.08,22009,5570802.7
2025-12-07,251.0,256.0,251.0,254.8,0.63,23716,5988349.0
2025-12-03,256.0,257.6,253.0,253.2,-1.02,38096,9687164.0
2025-12-02,260.0,260.0,255.1,255.8,-0.66,20226,5202266.6
2025-12-01,254.2,260.0,254.2,257.5,0.19,19852,5086035.1
2025-11-30,260.0,262.0,255.2,257.0,-1.04,61057,15731528.0
2025-11-27,263.0,263.0,259.4,259.7,-0.15,26919,7010416.6
2025-11-26,257.2,263.0,254.0,260.1,0.42,22839,5950406.7
2025-11-25,264.5,264.5,258.1,259.0,-0.65,23263,6049462.4
2025-11-24,265.0,265.0,259.0,260.7,0.23,27391,7142478.6
2025-11-23,253.0,264.0,253.0,260.1,2.36,32798,8545237.1
2025-11-20,251.2,262.1,250.8,254.1,-0.66,36783,9370489.0
2025-11-19,260.0,260.0,253.1,255.8,-1.46,16109,4135480.5
2025-11-18,249.3,261.0,249.3,259.6,2.08,19859,5124360.2
2025-11-17,246.0,255.0,246.0,254.3,1.31,21985,5556800.1
2025-11-16,247.8,256.6,247.8,251.0,-0.71,23861,6012365.0
2025-11-13,252.5,256.9,250.1,252.8,-0.86,15534,3943416.4
2025-11-12,256.0,257.0,254.0,255.0,-0.27,22471,5747345.5
2025-11-11,257.1,258.9,254.0,255.7,-0.27,22258,5703521.0
2025-11-10,252.7,261.6,252.7,256.4,0.59,25772,6606832.0
2025-11-09,262.0,262.0,254.2,254.9,-2.64,28304,7269750.5
2025-11-06,265.0,265.0,259.7,261.8,-0.27,27979,7311850.5
2025-11-05,267.0,270.8,260.2,262.5,-1.65,49009,12895850.7
2025-11-04,269.1,270.0,265.2,266.9,1.14,64980,17359967.3
2025-11-03,274.0,274.0,260.0,263.9,-2.26,33963,8966488.9
2025-11-02,266.0,272.0,260.1,270.0,3.45,76011,20324652.2
2025-10-30,251.0,266.9,251.0,261.0,1.95,40868,10625349.4
2025-10-29,256.0,265.7,255.9,256.0,-1.54,62854,16390701.3
2025-10-28,249.9,265.0,247.0,260.0,5.26,47304,11924037.7
2025-10-26,242.0,247.0,242.0,247.0,0.41,19170,4711590.3
2025-10-19,248.8,248.8,243.1,246.0,0.82,17861,4403366.4
2025-10-16,251.0,251.0,243.1,244.0,-2.75,32558,8026142.4
2025-10-15,249.3,255.2,248.0,250.9,-1.03,23721,5944542.5
2025-10-14,262.9,262.9,253.2,253.5,-2.12,24660,6275436.9
2025-10-13,255.0,262.1,249.1,259.0,0.78,51122,13015227.5
2025-10-12,260.1,260.2,252.5,257.0,-3.02,62899,16063918.4
2025-10-09,264.1,275.0,261.3,265.0,2.32,62876,16764552.7
2025-10-08,264.0,266.0,255.0,259.0,-1.89,44732,11582803.3
2025-10-07,281.4,281.4,262.1,264.0,-4.35,61591,16476930.2
2025-09-28,277.9,281.1,273.0,276.0,1.28,124912,34589026.6
2025-09-25,261.0,277.5,258.7,272.5,5.62,211469,57417598.8
2025-09-24,264.0,264.0,255.0,258.0,-1.15,14206,3667559.3
2025-09-23,255.7,263.2,255.1,261.0,3.15,35891,9302621.4
2025-09-21,227.4,255.0,227.4,253.02,9.06,71076,17351944.2
2025-09-18,246.0,246.1,232.0,232.0,-7.54,4833,1144454.3
2025-09-08,260.0,260.0,249.9,250.93,-2.54,54580,13736239.6
2025-09-07,258.0,261.9,257.0,257.46,-0.5,21426,5537868.8
2025-09-04,260.9,262.0,256.0,258.76,-0.91,47718,12321747.2
