date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,1119.0,1119.0,1119.0,1097.3,-1.94,1,1097.3
2026-02-11,1098.0,1098.0,1098.0,1119.0,0.18,201,220719.0
2026-02-10,1117.0,1117.0,1117.0,1117.0,0.0,18,20106.0
2026-02-09,1117.0,1117.0,1117.0,1117.0,-1.93,50,55850.0
2026-02-02,1139.0,1139.0,1139.0,1139.0,0.89,20,22780.0
2026-02-01,1128.0,1129.0,1128.0,1129.0,0.09,51,57591.0
2026-01-29,1139.0,1139.0,1128.0,1128.0,-0.97,439,495466.0
2026-01-28,1239.0,1239.0,1121.2,1139.0,-8.07,801,916963.3
2026-01-13,1239.0,1239.0,1239.0,1239.0,1.98,25,30975.0
2026-01-07,1218.9,1218.9,1215.0,1215.0,1.67,440,534795.0
2026-01-05,1210.0,1210.0,1194.0,1195.0,-0.5,450,538300.0
2025-12-31,1201.0,1201.0,1201.0,1201.0,-1.96,11,13211.0
2025-12-29,1223.0,1225.0,1223.0,1225.0,2.08,1110,1358736.4
2025-12-22,1205.5,1205.5,1200.0,1200.0,1.52,141,169425.5
2025-11-23,1182.0,1182.0,1182.0,1182.0,-1.58,200,236400.0
2025-11-19,1220.0,1225.0,1201.0,1201.0,-1.48,550,663850.0
2025-11-18,1199.5,1220.0,1199.5,1219.0,3.66,130,157545.0
2025-11-12,1176.0,1176.0,1176.0,1176.0,-2.0,100,117600.0
2025-11-04,1200.0,1220.0,1200.0,1200.0,0.0,800,964000.0
2025-10-29,1200.0,1200.0,1200.0,1200.0,0.93,136,163200.0
2025-10-28,1189.0,1189.0,1189.0,1189.0,-0.08,120,142680.0
2025-10-16,1190.0,1190.0,1190.0,1190.0,-0.83,100,119000.0
2025-10-15,1180.0,1200.0,1180.0,1200.0,1.69,591,707137.0
2025-10-14,1180.0,1180.0,1180.0,1180.0,-1.99,100,118000.0
2025-10-08,1200.0,1200.0,1200.0,1204.0,0.33,5,6020.0
2025-09-23,1200.0,1200.0,1200.0,1200.0,1.95,492,590400.0
2025-09-08,1180.0,1180.0,1177.0,1177.0,-1.42,250,294775.0
2025-09-07,1194.0,1194.0,1194.0,1194.0,1.9,25,29850.0
2025-09-01,1172.0,1172.0,1171.7,1171.7,-2.0,400,468740.0
2025-08-24,1195.6,1195.6,1195.6,1195.6,-2.0,200,239120.0
2025-08-13,1220.0,1220.0,1220.0,1220.0,-0.41,50,61000.0
2025-08-12,1190.0,1225.9,1190.0,1224.99,2.0,1487,1791387.0
2025-08-06,1200.0,1201.0,1200.0,1201.0,0.08,680,816030.0
2025-08-05,1200.0,1200.0,1200.0,1200.0,0.0,80,96000.0
2025-08-03,1180.0,1200.0,1180.0,1200.0,1.27,125,149500.0
2025-07-30,1185.0,1185.0,1185.0,1185.0,-1.89,100,118500.0
2025-07-29,1191.0,1210.0,1191.0,1207.78,1.49,435,523707.5
2025-07-27,1220.0,1220.0,1190.0,1190.0,-0.83,300,361000.0
2025-07-24,1200.0,1200.0,1200.0,1200.0,-1.15,11,13200.0
2025-07-23,1199.0,1221.5,1199.0,1214.0,0.33,311,378889.0
2025-07-22,1200.0,1210.0,1200.0,1210.0,-0.41,625,752000.0
2025-07-21,1199.0,1229.8,1199.0,1215.0,3.32,2767,3348677.6
2025-07-20,1274.8,1274.8,1176.0,1176.0,-7.75,636,764325.0
2025-07-17,1249.9,1249.9,1249.9,1274.8,1.99,1,1274.8
2025-07-16,1217.0,1241.0,1217.0,1249.9,2.7,22,27298.7
2025-07-15,1162.0,1193.5,1162.0,1217.0,4.01,225,267763.6
2025-07-10,1187.8,1188.0,1170.1,1170.1,-3.46,353,418062.5
2025-07-09,1188.3,1212.0,1152.0,1212.0,1.99,902,1049742.9
2025-07-08,1165.1,1188.3,1150.0,1188.3,0.54,520,607297.0
2025-07-07,1308.3,1308.3,1181.9,1181.9,-9.66,37,44870.3
2025-07-06,1435.6,1435.6,1435.6,1308.3,-8.87,5,6780.2
2025-06-12,1464.8,1464.8,1435.6,1435.6,-1.99,23,33018.8
2025-06-05,1436.1,1436.1,1436.1,1464.8,2.0,1,1464.8
2025-06-04,1408.0,1408.0,1408.0,1436.1,2.0,1,1436.1
2025-06-03,1380.4,1380.4,1380.4,1408.0,2.0,1,1408.0
2025-06-02,1353.4,1353.4,1353.4,1380.4,1.99,1,1380.4
2025-05-28,1326.9,1326.9,1326.9,1353.4,2.0,1,1353.4
2025-05-27,1300.9,1300.9,1300.9,1326.9,2.0,1,1326.9
2025-05-26,1275.4,1275.4,1275.4,1300.9,2.0,1,1300.9
2025-05-25,1226.0,1250.5,1226.0,1275.4,4.03,213,266379.3
2025-05-22,1179.0,1179.0,1179.0,1226.0,3.99,2,2428.5
2025-05-21,1156.5,1156.5,1156.5,1179.0,3.97,12,13900.6
2025-05-20,1090.0,1134.0,1090.0,1134.0,4.04,46,51324.2
2025-05-19,1121.8,1121.8,1121.8,1090.0,-2.83,2,2191.0
2025-05-18,1167.9,1167.9,1167.9,1121.8,-3.95,2,2266.4
2025-05-15,1165.1,1165.1,1165.1,1167.9,0.24,3,3477.9
2025-05-14,1213.0,1213.0,1188.8,1165.1,-3.95,152,182020.8
2025-05-13,1212.9,1213.0,1212.9,1213.0,0.01,101,122537.1
2025-05-06,1190.0,1190.0,1190.0,1212.9,1.92,1,1212.9
2025-04-30,1190.0,1190.0,1190.0,1190.0,0.0,51,60690.0
2025-04-29,1190.0,1190.0,1190.0,1190.0,-1.96,100,119000.0
2025-04-28,1190.0,1213.8,1190.0,1213.79,0.52,52,62641.3
2025-04-27,1183.9,1183.9,1183.9,1207.5,1.99,3,3622.2
