date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,11.65,11.88,11.42,11.42,-1.97,15100,175863.0
2026-02-11,11.7,11.9,11.41,11.65,-0.43,31500,365265.0
2026-02-10,11.73,11.73,11.51,11.7,1.74,5420,63275.2
2026-02-09,11.25,11.5,11.25,11.5,1.05,5400,61998.0
2026-02-08,11.2,11.64,11.2,11.38,-0.35,3900,44306.0
2026-02-05,11.4,11.53,11.4,11.42,-1.72,1550,17757.5
2026-02-04,11.4,11.63,11.4,11.62,0.43,3000,34409.0
2026-02-03,11.8,11.8,11.57,11.57,-0.26,20441,237683.05
2026-02-02,11.36,11.65,11.36,11.6,0.43,18027,208883.2
2026-02-01,11.32,11.63,11.32,11.55,0.35,3350,38321.5
2026-01-29,11.31,11.72,11.31,11.51,0.88,4800,55430.0
2026-01-28,11.45,11.57,11.33,11.41,-0.35,6350,72528.5
2026-01-27,11.37,11.45,11.37,11.45,-1.29,700,8000.0
2026-01-26,11.25,11.7,11.25,11.6,1.93,882645,10106323.88
2026-01-25,11.29,11.38,11.29,11.38,-1.13,1300,14758.0
2026-01-22,11.42,11.73,11.41,11.51,-0.78,10200,119516.0
2026-01-21,11.6,11.83,11.51,11.6,0.0,8400,98675.0
2026-01-20,11.55,11.9,11.55,11.6,-1.28,6600,77487.0
2026-01-18,11.12,11.75,11.12,11.75,3.98,14500,168407.44
2026-01-14,11.23,11.45,11.21,11.3,0.62,2930,33161.0
2026-01-13,11.15,11.58,11.15,11.23,0.72,6130,69687.6
2026-01-12,11.01,11.16,11.01,11.15,-0.62,3700,41167.4
2026-01-08,11.18,11.62,11.18,11.22,-1.58,10900,123777.0
2026-01-07,11.41,11.68,11.36,11.4,-1.38,16455,190352.75
2026-01-06,10.7,11.56,10.7,11.56,7.34,34220,387899.2
2026-01-05,10.71,11.2,10.71,10.77,-0.09,5160,56231.0
2026-01-04,10.78,10.81,10.78,10.78,-0.83,1600,17260.0
2026-01-01,10.98,10.98,10.77,10.87,0.93,3400,37058.0
2025-12-31,10.72,10.88,10.71,10.77,-1.01,6200,66515.0
