date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,506.9,507.8,500.0,502.0,-0.99,12055,6064479.7
2026-02-11,505.0,508.0,500.0,507.0,0.2,9456,4758709.0
2026-02-10,495.1,507.0,495.1,506.0,0.2,8753,4387452.5
2026-02-09,510.0,511.0,503.0,505.0,-1.94,6936,3507246.9
2026-02-08,523.0,524.0,515.0,515.0,-0.19,9317,4810982.3
2026-02-05,510.0,516.1,505.2,516.0,1.18,4584,2351092.9
2026-02-04,518.9,518.9,503.5,510.0,-0.2,3827,1933732.1
2026-02-03,513.0,515.0,502.0,511.0,-0.39,8760,4458353.0
2026-02-02,507.3,516.8,506.1,513.0,-0.77,11162,5689965.3
2026-02-01,513.0,520.0,513.0,517.0,0.66,14696,7593826.2
2026-01-29,510.1,525.0,510.1,513.6,-1.21,11453,5916824.0
2026-01-28,515.0,519.9,512.5,519.9,0.76,5375,2774282.8
2026-01-27,521.5,530.0,515.0,516.0,-2.64,13235,6890194.6
2026-01-26,540.0,540.0,525.2,530.0,-0.93,10483,5535203.5
2026-01-25,524.0,539.0,520.1,535.0,2.12,11493,6093985.9
2026-01-22,517.0,525.0,516.5,523.9,0.17,5507,2858172.8
2026-01-21,520.1,525.0,515.0,523.0,-0.57,7735,4023167.9
2026-01-20,515.0,529.9,505.1,526.0,2.2,19072,9980146.0
2026-01-18,514.7,514.7,498.0,514.7,1.94,11010,5561789.4
2026-01-14,498.0,505.0,497.0,504.9,0.18,2451,1230349.4
2026-01-13,500.0,507.0,499.0,504.0,-0.69,3510,1769819.2
2026-01-12,508.9,512.0,500.1,507.5,-0.28,5763,2899249.4
2026-01-08,506.0,509.0,500.0,508.9,0.57,5181,2620519.7
2026-01-07,507.0,507.0,500.1,506.0,-0.2,7187,3620334.4
2026-01-06,514.9,514.9,504.0,507.0,0.2,13087,6625649.6
2026-01-05,500.0,507.0,500.0,506.0,0.0,1475,741257.9
2026-01-04,513.0,513.0,502.5,506.0,-0.2,15209,7696616.2
2026-01-01,512.7,512.7,504.2,507.0,-1.36,8509,4320647.3
2025-12-31,506.5,515.0,506.5,514.0,0.78,10985,5639392.6
2025-12-29,504.0,511.0,501.0,510.0,0.0,17159,8695123.4
2025-12-28,500.0,510.0,495.0,510.0,2.0,24244,12235351.2
2025-12-24,491.0,501.0,491.0,500.0,-0.2,5555,2766955.5
2025-12-23,500.0,501.0,490.0,501.0,0.83,7964,3976212.8
2025-12-22,494.0,496.9,485.0,496.9,-1.39,4436,2170892.0
2025-12-21,488.1,503.9,482.1,503.9,1.18,12659,6275395.2
2025-12-18,507.9,507.9,481.0,498.0,0.0,5491,2717352.7
2025-12-17,491.9,498.0,490.0,498.0,1.74,6178,3032237.3
2025-12-16,486.1,492.0,476.1,489.5,1.56,2532,1232615.3
2025-12-15,485.0,493.0,480.0,482.0,-1.43,11446,5524538.9
2025-12-14,490.0,497.3,487.6,489.0,-1.41,8204,4026821.4
2025-12-11,495.9,496.0,486.6,496.0,0.02,3282,1621767.2
2025-12-10,500.0,500.0,488.0,495.9,-0.72,4663,2285764.9
2025-12-09,500.0,503.0,495.0,499.5,0.5,2797,1394502.1
2025-12-08,490.0,504.8,490.0,497.0,-0.18,9146,4534620.8
2025-12-07,504.0,504.0,491.2,497.9,0.0,9778,4837315.8
2025-12-03,500.0,508.0,494.0,497.9,-0.42,9669,4816739.2
2025-12-02,513.0,513.0,495.0,500.0,-1.36,4741,2373024.6
2025-12-01,493.6,508.0,493.0,506.9,1.04,13358,6661588.1
2025-11-30,508.0,520.0,501.7,501.7,-0.85,17330,8816227.8
2025-11-27,505.9,506.0,500.5,506.0,0.6,3221,1623495.0
2025-11-26,502.0,504.9,499.1,503.0,-1.12,6653,3329802.5
2025-11-25,497.0,509.9,497.0,508.7,0.34,10858,5471854.6
2025-11-24,498.0,508.9,495.0,507.0,3.58,17227,8663727.5
2025-11-23,475.1,491.0,475.1,489.5,2.84,9922,4815085.2
2025-11-20,483.0,483.0,475.2,476.0,-1.24,7783,3710611.9
2025-11-19,482.0,485.0,477.3,482.0,-0.15,3357,1605524.8
2025-11-18,494.0,494.0,476.0,482.7,-0.37,7255,3476243.2
2025-11-17,485.0,485.0,476.2,484.5,0.06,5067,2427896.6
2025-11-16,471.0,488.0,471.0,484.2,1.09,9580,4616301.9
2025-11-13,480.0,485.0,476.5,479.0,-1.44,5202,2485793.0
2025-11-12,493.4,493.4,482.1,486.0,-1.18,4708,2295347.3
2025-11-11,484.0,491.8,480.5,491.8,1.61,6673,3244621.8
2025-11-10,483.1,484.0,479.0,484.0,-0.76,8502,4085011.2
2025-11-09,482.0,489.0,481.0,487.7,-0.43,5195,2512157.5
2025-11-06,498.6,504.0,486.0,489.8,0.16,4285,2107094.5
2025-11-05,480.0,490.0,480.0,489.0,0.82,6006,2909826.3
2025-11-04,506.9,508.8,481.0,485.0,-3.0,13946,6869084.1
2025-11-03,497.0,512.9,490.0,500.0,-0.99,13932,6930766.8
2025-11-02,490.0,507.0,490.0,505.0,1.02,9039,4540666.6
2025-10-30,485.0,504.0,478.1,499.9,2.65,14507,7116698.7
2025-10-29,490.0,499.0,482.0,487.0,-0.43,4606,2258433.2
2025-10-28,470.0,493.8,470.0,489.1,3.45,10303,4976113.7
2025-10-26,460.0,475.0,458.0,472.8,1.46,4512,2096739.6
2025-10-19,460.0,475.0,460.0,466.0,1.06,3495,1627209.3
2025-10-16,479.5,479.5,461.0,461.1,-1.91,17704,8181784.3
2025-10-15,482.0,484.0,467.8,470.1,-1.51,9190,4369838.3
2025-10-14,485.0,485.0,476.5,477.3,-0.56,14591,6996425.6
2025-10-13,475.0,483.0,473.4,480.0,0.0,22911,10912805.1
2025-10-12,501.0,501.0,477.0,480.0,-5.14,27998,13577862.3
2025-10-09,514.0,534.0,504.0,506.0,0.24,22505,11454063.7
2025-10-08,510.7,514.5,494.0,504.8,-2.96,15821,7935429.8
2025-10-07,523.0,523.6,511.0,520.2,-0.73,6415,3322837.4
2025-09-28,524.0,534.4,519.5,524.0,0.0,6196,3255629.7
2025-09-25,521.0,526.5,514.7,524.0,-0.19,11782,6123308.9
2025-09-24,538.5,546.0,520.0,525.0,-2.23,10770,5658056.7
