date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,342.2,354.9,342.2,346.0,0.87,102170,35661003.5
2026-02-11,352.0,352.0,341.1,343.0,-0.87,45656,15768860.5
2026-02-10,360.0,360.0,345.0,346.0,-1.98,66151,23112479.5
2026-02-09,367.2,367.2,350.0,353.0,-1.94,96804,34371540.2
2026-02-08,348.4,375.0,348.4,360.0,5.39,323353,117033389.6
2026-02-05,345.9,348.0,337.0,341.6,0.47,104790,35862110.6
2026-02-04,344.7,344.7,334.3,340.0,0.59,31795,10766642.1
2026-02-03,339.0,344.6,330.0,338.0,1.5,84344,28325090.1
2026-02-02,336.1,342.7,333.0,333.0,-1.48,45211,15235183.4
2026-02-01,352.0,352.0,337.2,338.0,-2.31,37160,12655474.1
2026-01-29,341.0,355.0,341.0,346.0,0.58,100416,35238198.6
2026-01-28,338.0,346.0,336.1,344.0,1.18,55952,19100500.5
2026-01-27,351.0,353.1,339.1,340.0,-2.8,91464,31608068.6
2026-01-26,344.0,352.0,341.1,349.8,1.63,85862,29788395.4
2026-01-25,339.0,348.0,339.0,344.2,2.17,63526,21923086.9
2026-01-22,332.5,340.0,332.5,336.9,0.27,26303,8844318.4
2026-01-21,341.0,341.0,334.0,336.0,-0.3,30321,10190953.3
2026-01-20,332.0,339.9,332.0,337.0,1.51,54090,18200554.7
2026-01-18,335.0,335.0,330.0,332.0,0.61,28548,9507223.5
2026-01-14,323.0,338.0,323.0,330.0,1.54,84649,28059568.2
2026-01-13,321.9,325.9,320.3,325.0,1.25,32599,10547512.2
2026-01-12,330.0,330.0,320.2,321.0,-0.93,20353,6557557.7
2026-01-08,318.5,325.5,318.5,324.0,-0.28,18756,6084347.5
2026-01-07,321.3,326.0,321.3,324.9,0.59,15885,5155645.4
2026-01-06,330.0,330.0,323.0,323.0,-1.22,25360,8256806.2
2026-01-05,321.0,327.0,319.1,327.0,1.87,20939,6783591.4
