date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,197.0,198.9,193.0,193.3,-0.87,302919,59306922.1
2026-02-11,198.0,198.0,193.1,195.0,0.1,121724,23675292.2
2026-02-10,193.0,199.0,192.6,194.8,0.41,175294,34364408.1
2026-02-09,191.1,200.6,189.1,194.0,1.46,698340,136454895.0
2026-02-08,194.0,196.8,190.1,191.2,-0.93,213211,41214517.7
2026-02-05,191.0,193.6,188.0,193.0,2.17,237703,45638981.7
2026-02-04,191.7,192.0,187.0,188.9,-0.05,162130,30731853.0
2026-02-03,191.2,193.8,188.2,189.0,-1.56,189406,36066886.9
2026-02-02,195.0,198.8,191.3,192.0,-0.78,175968,34028298.7
2026-02-01,200.0,200.9,191.8,193.5,-1.78,377648,73762442.8
2026-01-29,192.5,208.0,192.0,197.0,3.41,880865,176525153.0
2026-01-28,190.7,193.7,187.5,190.5,-0.16,311436,59425496.7
2026-01-27,192.1,199.0,188.0,190.8,-2.65,375749,72084212.2
2026-01-26,196.0,203.0,195.2,196.0,-2.0,425862,84685196.8
2026-01-25,188.1,200.0,188.1,200.0,4.22,593775,117237990.8
2026-01-22,194.3,194.3,189.0,191.9,0.73,276288,52737259.6
2026-01-21,192.2,192.2,186.5,190.5,1.06,491165,93307504.6
2026-01-20,185.5,189.6,184.0,188.5,3.63,386455,72295610.6
2026-01-18,182.0,184.0,181.0,181.9,0.55,137707,25103319.8
2026-01-14,180.0,182.0,178.3,180.9,0.0,128916,23166083.0
2026-01-13,180.0,181.9,178.5,180.9,0.56,83454,15032455.9
2026-01-12,182.0,182.0,179.9,179.9,-0.55,81661,14753298.3
2026-01-08,180.0,182.4,179.1,180.9,0.28,43071,7786764.5
2026-01-07,182.0,182.0,179.9,180.4,-0.88,97002,17513043.4
2026-01-06,182.6,183.8,180.2,182.0,0.55,129118,23525137.5
2026-01-05,181.0,182.2,178.3,181.0,0.67,89620,16184169.2
2026-01-04,180.0,181.9,178.8,179.8,-0.17,50756,9132980.5
2026-01-01,181.5,182.0,179.7,180.1,-1.42,90946,16425858.2
2025-12-31,184.0,184.5,181.3,182.7,0.38,54550,9995914.8
2025-12-29,180.4,185.0,180.4,182.0,-1.09,62260,11408801.2
2025-12-28,180.0,184.0,178.0,184.0,3.43,162233,29528656.8
2025-12-24,178.0,179.2,176.2,177.9,0.0,56565,10050301.0
2025-12-23,178.1,179.0,174.4,177.9,-0.39,85587,15135825.4
2025-12-22,179.0,180.6,178.6,178.6,-1.27,118109,21171556.8
2025-12-21,182.8,183.8,179.0,180.9,-0.06,132124,23807765.3
2025-12-18,182.5,183.5,180.7,181.0,-0.77,100454,18216379.6
2025-12-17,182.1,183.4,181.4,182.4,0.16,59897,10925842.3
2025-12-16,180.3,183.0,180.3,182.1,0.77,49587,9022364.3
2025-12-15,180.0,182.4,180.0,180.7,0.17,86680,15685190.1
2025-12-14,181.0,183.3,180.2,180.4,-0.5,144006,26042606.3
2025-12-11,181.0,182.5,180.1,181.3,-0.38,63799,11557151.7
2025-12-10,182.2,184.3,181.1,182.0,-0.82,96416,17523286.9
2025-12-09,183.0,184.3,182.0,183.5,0.77,115283,21108915.9
2025-12-08,180.4,184.3,180.4,182.1,-0.22,69856,12784778.8
2025-12-07,185.0,185.0,182.0,182.5,-0.27,59536,10895464.1
2025-12-03,183.2,186.8,182.9,183.0,-1.08,91733,16876641.4
2025-12-02,185.1,186.7,184.0,185.0,-0.54,80372,14901575.0
2025-12-01,185.0,187.7,182.0,186.0,0.54,283506,52223749.5
2025-11-30,191.0,191.0,184.5,185.0,-2.63,322052,60073231.3
2025-11-27,189.7,191.5,188.2,190.0,1.01,228894,43501747.9
2025-11-26,190.0,191.7,188.0,188.1,-1.0,194410,36761017.8
2025-11-25,191.9,192.6,187.7,190.0,-0.31,202500,38319890.6
2025-11-24,189.0,191.8,188.3,190.6,1.93,195188,37085887.2
2025-11-23,184.6,189.0,184.1,187.0,2.41,172171,32290288.6
2025-11-20,179.9,185.4,179.9,182.6,-0.49,68893,12617865.2
2025-11-19,180.7,187.7,180.7,183.5,-0.43,105129,19462550.5
2025-11-18,184.5,190.2,183.4,184.3,0.71,233594,43650374.6
2025-11-17,182.5,184.5,179.2,183.0,1.1,115250,21021945.0
2025-11-16,180.2,181.9,179.0,181.0,0.11,57568,10360560.9
2025-11-13,180.9,182.9,179.0,180.8,-0.06,209704,37807997.7
2025-11-12,185.1,185.1,179.6,180.9,-1.68,213240,38732440.4
2025-11-11,183.0,185.0,182.8,184.0,0.38,69781,12828885.4
