date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,900.0,909.0,892.4,905.0,0.0,2234,2013686.6
2026-02-11,925.9,925.9,891.2,905.0,-0.44,1076,965533.6
2026-02-10,910.0,910.0,896.2,909.0,-0.11,2082,1871572.3
2026-02-09,910.0,910.0,900.1,910.0,0.0,5301,4807281.8
2026-02-08,930.0,940.0,906.0,910.0,-2.15,4485,4123165.2
2026-02-05,930.0,930.0,915.5,930.0,1.09,1752,1608010.3
2026-02-04,906.5,925.0,906.5,920.0,-0.42,1855,1699346.3
2026-02-03,905.0,923.9,905.0,923.9,0.64,2111,1935682.0
2026-02-02,930.0,932.0,916.4,918.0,0.44,2290,2115334.6
2026-02-01,907.0,915.0,907.0,914.0,-0.45,3871,3524319.6
2026-01-29,929.0,929.0,916.0,918.1,-0.37,3120,2868291.0
2026-01-28,925.0,938.0,921.5,921.5,-0.38,4115,3801027.0
2026-01-27,922.1,935.0,922.0,925.0,-1.48,4918,4559891.8
2026-01-26,940.0,943.0,926.2,938.9,-0.05,4832,4533036.1
2026-01-25,933.3,939.8,922.0,939.4,2.67,3686,3441971.0
2026-01-22,910.0,922.0,910.0,915.0,0.14,845,776895.0
2026-01-21,940.0,940.0,913.5,913.7,-1.96,2026,1865433.0
2026-01-20,906.0,940.0,906.0,932.0,2.08,2569,2395696.5
2026-01-18,900.0,914.5,900.0,913.0,2.8,2485,2253405.7
2026-01-14,884.0,888.2,884.0,888.1,-0.6,523,464229.9
2026-01-13,886.0,905.0,886.0,893.5,-0.72,1154,1039691.0
2026-01-12,888.1,943.0,888.1,900.0,-0.3,4260,3884687.2
2026-01-08,900.0,903.0,886.0,902.7,0.3,648,577720.7
2026-01-07,881.0,900.0,881.0,900.0,2.16,1986,1776503.0
2026-01-06,905.0,905.0,876.0,881.0,-0.73,1887,1658343.0
2026-01-05,889.9,889.9,868.0,887.5,1.43,3489,3057499.9
2026-01-04,875.0,877.0,870.0,875.0,0.34,1861,1622169.4
2026-01-01,935.0,938.0,926.8,930.0,-1.48,4909,4567262.1
2025-12-31,934.9,944.5,923.1,944.0,1.61,2305,2163230.4
