date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,856.8,856.8,840.0,843.3,0.39,122931,103825273.6
2026-02-11,846.0,861.0,838.0,840.0,-0.71,113689,96036649.9
2026-02-10,850.0,865.5,842.0,846.0,-0.35,113805,96384121.5
2026-02-09,874.1,874.1,847.0,849.0,-0.93,117445,99984007.1
2026-02-08,887.3,887.3,857.0,857.0,-1.49,241328,210929031.0
2026-02-05,854.0,874.0,848.0,870.0,2.72,191837,165700695.2
2026-02-04,846.0,860.0,845.5,847.0,0.12,108005,91973094.4
2026-02-03,863.1,863.1,845.0,846.0,-0.02,156814,133482395.9
2026-02-02,836.0,865.0,836.0,846.2,-0.8,142544,121352489.8
2026-02-01,866.0,873.9,850.0,853.0,-1.5,135423,115844893.2
2026-01-29,885.9,886.0,865.1,866.0,-1.28,136022,118638758.1
2026-01-28,873.0,885.0,864.0,877.2,0.48,161861,141368133.9
2026-01-27,900.0,900.0,872.1,873.0,-2.58,254686,225073850.1
2026-01-26,928.0,928.0,891.9,896.1,-1.52,240244,216982608.2
2026-01-25,899.0,920.0,899.0,909.9,1.68,295352,268718651.7
2026-01-22,873.0,899.9,873.0,894.9,0.56,145601,129082391.7
2026-01-21,895.0,909.5,870.6,889.9,1.41,372212,332364585.4
2026-01-20,850.8,880.0,850.8,877.5,3.14,274826,239290348.9
2026-01-18,835.0,852.0,835.0,850.8,1.23,125287,106173294.6
2026-01-14,825.2,855.0,825.2,840.5,-0.18,115863,97959742.5
2026-01-13,821.3,850.0,821.3,842.0,0.48,131035,110406585.3
2026-01-12,838.0,846.0,833.0,838.0,0.0,106238,89241174.4
2026-01-08,830.0,839.8,830.0,838.0,0.48,59321,49499142.0
2026-01-07,861.9,861.9,833.0,834.0,-1.3,59371,49791438.2
2026-01-06,856.2,856.2,839.0,845.0,0.66,146436,123763725.7
2026-01-05,840.0,845.0,825.0,839.5,1.01,116151,97182134.1
2026-01-04,822.0,855.0,822.0,831.1,-0.91,79995,66764526.4
2026-01-01,863.0,863.0,838.1,838.7,-0.87,114531,96704307.4
2025-12-31,836.0,854.0,830.1,846.1,1.21,152430,129159132.4
2025-12-29,842.0,865.0,831.0,836.0,-0.71,129486,109252168.0
2025-12-28,820.0,845.0,820.0,842.0,3.06,166848,139062884.0
2025-12-24,810.0,828.5,810.0,817.0,0.11,66894,54815145.5
2025-12-23,800.0,832.0,800.0,816.1,0.26,60158,49072870.8
2025-12-22,801.7,835.0,801.7,814.0,-0.49,71060,58005723.1
2025-12-21,815.3,847.0,815.0,818.0,-1.56,103517,85098801.5
2025-12-18,855.0,855.0,830.0,831.0,-1.29,83823,70077260.9
2025-12-17,830.0,849.0,830.0,841.9,0.47,125526,105854287.5
2025-12-16,841.0,841.0,825.0,838.0,1.59,114875,95759218.5
2025-12-15,822.0,832.0,817.4,824.9,0.23,92023,75654199.5
2025-12-14,838.1,838.1,821.1,823.0,-0.69,65169,53794813.7
2025-12-11,820.0,840.0,820.0,828.7,0.45,73622,60935855.9
2025-12-10,844.5,844.5,820.0,825.0,-0.36,79909,66024748.0
2025-12-09,822.0,838.0,811.0,828.0,0.24,99970,82802954.3
2025-12-08,816.3,837.0,816.3,826.0,0.36,69824,57778313.3
2025-12-07,835.1,849.9,816.5,823.0,-1.79,162370,134088664.7
2025-12-03,868.0,868.0,837.0,838.0,-1.53,210555,178106901.1
2025-12-02,850.0,867.0,850.0,851.0,-0.61,124651,106923594.9
2025-12-01,859.0,870.0,851.0,856.2,-0.33,178799,153857937.8
2025-11-30,852.8,887.0,852.8,859.0,-1.26,265314,230559947.6
2025-11-27,887.4,887.4,863.0,870.0,0.0,182927,159723388.5
2025-11-26,877.7,877.9,850.0,870.0,1.1,217922,189462034.4
2025-11-25,863.9,866.0,841.0,860.5,1.59,281519,240496498.3
2025-11-24,836.0,847.0,823.0,847.0,3.28,248108,207625423.5
2025-11-23,790.0,830.0,790.0,820.1,3.68,182506,149179658.5
2025-11-20,795.0,801.0,790.2,791.0,-0.38,53239,42169989.3
2025-11-19,812.9,812.9,793.0,794.0,-0.38,72103,57528298.4
2025-11-18,792.1,806.0,792.1,797.0,0.62,73378,58826252.9
2025-11-17,800.0,800.0,791.0,792.1,-0.11,56503,44924110.6
2025-11-16,790.6,802.9,789.0,793.0,0.3,70302,55887761.7
2025-11-13,806.8,806.8,789.0,790.6,-0.05,76817,60932122.3
2025-11-12,813.9,813.9,790.0,791.0,-0.88,60853,48339955.0
2025-11-11,815.8,815.8,796.0,798.0,-0.24,68472,54780743.2
2025-11-10,820.0,820.0,790.0,799.9,-0.51,108683,86851107.2
2025-11-09,831.3,831.3,803.0,804.0,-1.35,100562,81109956.3
2025-11-06,810.0,826.0,810.0,815.0,-0.24,120514,98230117.0
2025-11-05,833.3,833.3,810.0,817.0,0.0,133265,108605318.4
2025-11-04,850.0,850.0,814.0,817.0,-2.62,158133,130671603.3
