date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,276.5,295.0,276.0,283.9,0.92,1085097,313958587.2
2026-02-11,275.2,282.3,266.3,281.3,4.22,804102,220828317.4
2026-02-10,270.0,276.0,263.0,269.9,0.37,627560,169979422.7
2026-02-09,263.0,274.9,259.9,268.9,3.58,895478,241048499.9
2026-02-08,259.0,266.9,258.0,259.6,1.76,571043,150160574.4
2026-02-05,240.1,260.9,239.5,255.1,4.55,460252,117447360.2
2026-02-04,249.5,249.5,237.4,244.0,-0.29,192774,46505157.6
2026-02-03,260.1,260.1,244.7,244.7,-4.04,145944,36204780.6
2026-02-02,258.0,259.79,250.0,255.0,-0.78,198093,50198187.3
2026-02-01,249.0,261.0,245.4,257.0,3.63,476144,121963657.0
2026-01-29,239.9,256.4,234.8,248.0,4.64,596962,148880274.6
2026-01-28,232.0,238.8,230.6,237.0,1.2,100584,23561229.7
2026-01-27,247.1,247.1,233.5,234.2,-3.58,177624,42319351.3
2026-01-26,247.1,247.5,239.0,242.9,-1.26,255299,61744346.0
2026-01-25,241.9,247.7,239.0,246.0,3.58,212365,51798135.3
2026-01-22,232.0,237.6,228.6,237.5,3.31,199696,46849590.1
2026-01-21,233.0,234.9,228.7,229.9,-0.69,98683,22826752.4
2026-01-20,230.0,233.0,226.1,231.5,2.52,129625,29857660.0
2026-01-18,224.2,228.0,221.5,225.8,1.71,63070,14218893.8
2026-01-14,224.0,224.0,220.7,222.0,0.41,53330,11813526.4
2026-01-13,224.0,224.1,219.1,221.1,-0.85,46908,10395103.2
2026-01-12,221.1,224.6,221.1,223.0,-0.22,18840,4183806.1
2026-01-08,220.0,224.0,219.7,223.5,1.13,91038,20202470.9
2026-01-07,227.0,227.0,220.2,221.0,-0.81,33621,7435199.3
2026-01-06,220.0,224.6,220.0,222.8,-0.09,48330,10738795.9
2026-01-05,221.0,223.0,218.3,223.0,1.41,37302,8236960.0
2026-01-04,220.0,221.9,218.7,219.9,-0.54,29391,6455176.8
2026-01-01,227.9,227.9,221.1,221.1,-1.51,21852,4872045.3
2025-12-31,226.9,229.9,224.0,224.5,0.22,53497,12123361.3
2025-12-29,224.6,227.0,220.2,224.0,-0.8,43596,9783096.4
2025-12-28,222.9,225.8,221.0,225.8,2.78,50244,11213735.2
2025-12-24,216.3,220.9,216.2,219.7,0.78,16640,3635355.7
2025-12-23,218.0,218.0,215.0,218.0,0.0,25739,5556949.8
2025-12-22,219.0,220.0,216.0,218.0,-0.46,32430,7038902.5
2025-12-21,222.0,222.0,218.1,219.0,-1.35,34050,7479526.6
2025-12-18,226.0,227.0,222.0,222.0,-1.2,36719,8253141.3
2025-12-17,223.0,225.9,223.0,224.7,1.22,36445,8177136.1
2025-12-16,222.0,223.0,220.5,222.0,0.45,30714,6799467.4
2025-12-15,218.6,221.5,218.5,221.0,0.0,22220,4892435.7
2025-12-14,222.0,223.0,219.2,221.0,-0.45,30873,6803035.4
2025-12-11,222.0,222.9,221.0,222.0,-0.22,23487,5206449.2
2025-12-10,222.1,223.8,220.8,222.5,-0.13,14083,3125021.2
2025-12-09,219.4,225.0,219.3,222.8,0.36,58406,12922257.2
2025-12-08,227.9,227.9,220.2,222.0,-0.89,19145,4245706.3
2025-12-07,230.7,230.7,222.4,224.0,-0.97,31479,7059509.3
2025-12-03,223.1,231.5,223.1,226.2,-0.57,24060,5451368.2
2025-12-02,231.5,231.5,226.5,227.5,0.18,27514,6250903.0
2025-12-01,230.0,231.7,226.6,227.1,-0.26,33459,7648405.0
2025-11-30,230.0,235.0,227.1,227.7,-1.73,120657,27816723.9
2025-11-27,230.1,232.5,230.0,231.7,0.35,64456,14897594.6
2025-11-26,239.3,239.3,230.5,230.9,-1.62,109746,25484217.6
2025-11-25,236.0,236.0,230.3,234.7,0.73,60653,14068365.4
2025-11-24,234.9,237.0,230.3,233.0,1.17,106480,24855039.4
2025-11-23,226.0,233.4,221.5,230.3,3.51,144227,33212103.4
2025-11-20,222.0,228.0,220.2,222.5,-0.67,49941,11182688.8
2025-11-19,230.0,230.0,223.8,224.0,-1.41,34319,7727664.5
2025-11-18,225.5,229.5,225.3,227.2,1.34,139208,31563677.4
2025-11-17,223.5,225.5,218.3,224.2,0.76,42267,9460471.1
2025-11-16,224.4,224.4,217.0,222.5,1.14,28597,6294794.5
2025-11-13,225.8,225.8,218.6,220.0,-0.9,38886,8596803.2
2025-11-12,227.1,227.1,218.9,222.0,-0.31,35376,7822606.7
2025-11-11,222.0,224.0,218.0,222.7,1.23,28445,6268352.2
2025-11-10,222.0,222.0,217.0,220.0,0.0,25181,5519267.5
2025-11-09,220.0,224.4,220.0,220.0,-1.57,41489,9165571.0
2025-11-06,226.0,230.5,223.0,223.5,-1.97,60058,13610459.6
2025-11-05,222.6,229.0,221.0,228.0,0.44,72801,16368955.1
2025-11-04,235.6,235.6,223.0,227.0,-1.73,73461,16737851.7
2025-11-03,232.3,239.9,230.3,231.0,-2.53,117836,27607854.7
2025-11-02,220.0,239.8,220.0,237.0,5.9,191320,44893077.0
2025-10-30,220.3,224.0,214.2,223.8,3.61,62806,13867215.1
2025-10-29,220.0,221.3,213.0,216.0,-0.46,106999,23365193.5
