date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,650.0,658.9,645.0,651.2,0.34,13587,8859068.3
2026-02-11,658.2,658.2,647.0,649.0,0.57,13256,8639709.3
2026-02-10,655.0,664.7,645.0,645.3,-1.41,15514,10088328.4
2026-02-09,675.0,675.0,653.0,654.5,-1.56,20240,13284340.7
2026-02-08,665.0,676.0,660.2,664.9,0.59,26210,17550942.1
2026-02-05,658.0,667.0,657.0,661.0,0.44,24109,15945019.6
2026-02-04,651.2,668.0,651.2,658.1,0.47,21428,14100955.1
2026-02-03,671.0,672.0,653.0,655.0,-0.76,16290,10723726.5
2026-02-02,671.1,674.0,660.0,660.0,-1.49,20854,13857485.3
2026-02-01,679.0,683.0,665.0,670.0,-0.3,45603,30761556.6
2026-01-29,680.0,688.9,670.0,672.0,-1.98,36291,24553375.5
2026-01-28,684.1,693.8,670.0,685.6,0.22,47133,32112677.6
2026-01-27,695.0,700.0,684.0,684.1,-2.27,56524,38953842.7
2026-01-26,700.1,707.0,685.0,700.0,-0.41,74157,51484998.8
2026-01-25,705.0,714.0,697.0,702.9,1.14,126730,89211142.7
2026-01-22,690.0,703.0,680.2,695.0,0.58,103245,71345952.4
2026-01-21,699.0,700.0,680.0,691.0,-1.06,52858,36413067.4
2026-01-20,709.8,715.0,695.0,698.4,0.34,147123,103677206.3
2026-01-18,671.9,700.1,661.1,696.0,5.45,141531,97297756.5
2026-01-14,642.2,667.0,640.1,660.0,2.68,82524,54550295.3
2026-01-13,651.0,651.0,642.6,642.8,-0.19,21173,13638090.4
2026-01-12,656.0,656.0,641.9,644.0,-0.77,26321,17002301.1
2026-01-08,648.1,652.8,648.0,649.0,-0.44,17446,11328287.5
2026-01-07,658.9,665.0,645.0,651.9,0.14,71798,47142509.0
2026-01-06,629.2,652.0,629.2,651.0,3.46,78242,50323786.0
2026-01-05,639.0,640.0,628.2,629.2,-0.13,23087,14581255.8
2026-01-04,634.9,635.0,627.0,630.0,0.48,10986,6931465.3
2026-01-01,633.0,635.0,625.0,627.0,-1.26,50782,31914165.9
2025-12-31,640.0,646.9,630.0,635.0,-0.24,27004,17236629.8
2025-12-29,641.0,650.0,636.0,636.5,-0.55,28969,18620555.9
2025-12-28,620.0,640.0,620.0,640.0,3.23,29989,18979079.3
2025-12-24,629.0,629.0,618.1,620.0,-0.16,14173,8788643.3
2025-12-23,628.9,628.9,611.0,621.0,0.16,19627,12102711.3
2025-12-22,629.9,636.0,617.6,620.0,-0.64,12930,8063863.3
2025-12-21,617.0,624.0,616.1,624.0,0.0,20301,12547302.1
2025-12-18,629.1,640.0,622.1,624.0,-1.42,23554,14886590.3
2025-12-17,619.0,635.0,618.0,633.0,2.15,21119,13304735.0
2025-12-16,630.0,630.0,615.0,619.7,-0.05,20058,12432089.4
2025-12-15,620.0,623.9,616.0,620.0,0.0,6091,3770849.2
2025-12-14,610.0,624.9,610.0,620.0,0.49,9140,5655768.5
2025-12-11,630.0,630.0,612.0,617.0,-1.28,9058,5596978.0
2025-12-10,639.0,639.0,614.5,625.0,-0.32,5871,3655155.7
2025-12-09,635.0,635.0,618.0,627.0,-0.48,4844,3019129.7
2025-12-08,630.0,633.0,620.0,630.0,0.0,14428,9015109.0
2025-12-07,640.7,640.8,626.3,630.0,-3.63,25688,16280786.4
2025-12-03,654.0,665.0,642.0,653.7,1.07,126954,83247327.7
2025-12-02,638.0,649.9,638.0,646.8,0.29,4898,3157402.3
2025-12-01,638.0,645.0,636.0,644.9,0.92,8942,5732756.0
2025-11-30,652.9,654.0,635.0,639.0,-0.62,22531,14522328.8
2025-11-27,641.0,644.0,640.0,643.0,-0.31,5242,3357494.5
2025-11-26,640.5,649.8,631.0,645.0,0.0,11571,7382602.7
2025-11-25,647.0,650.5,640.0,645.0,0.31,9045,5821586.5
2025-11-24,635.1,644.9,635.0,643.0,1.44,14217,9111845.6
2025-11-23,634.0,634.9,627.0,633.9,1.59,4194,2651891.0
2025-11-20,618.0,627.4,618.0,624.0,0.48,3737,2322972.8
2025-11-19,640.0,640.0,620.2,621.0,-1.43,2475,1543385.2
2025-11-18,624.0,634.0,620.0,630.0,2.11,6682,4196108.9
2025-11-17,613.0,620.0,612.4,617.0,0.82,3504,2159351.0
2025-11-16,615.1,621.0,611.0,612.0,-0.49,4203,2582362.9
2025-11-13,622.5,622.5,611.0,615.0,0.77,7338,4520227.0
2025-11-12,620.0,630.0,610.3,610.3,-1.96,7287,4512985.0
2025-11-11,640.0,640.0,620.0,622.5,-0.86,9335,5829312.0
2025-11-10,635.0,644.0,620.1,627.9,-0.65,9232,5779543.4
2025-11-09,655.0,660.0,632.0,632.0,-3.07,21599,13855122.7
2025-11-06,675.0,675.0,651.8,652.0,-2.4,8398,5554340.7
2025-11-05,638.1,668.0,635.0,668.0,3.57,28316,18551807.4
2025-11-04,667.9,667.9,645.0,645.0,-2.27,11558,7505775.7
2025-11-03,660.0,665.0,648.2,660.0,0.61,16333,10714267.4
2025-11-02,640.0,660.0,635.0,656.0,4.13,29119,18890893.5
2025-10-30,627.0,638.0,610.0,630.0,2.44,13382,8396041.6
2025-10-29,625.0,640.0,615.0,615.0,-0.87,7698,4797249.0
2025-10-28,618.1,628.0,605.8,620.4,2.38,6011,3723500.1
2025-10-26,602.0,606.0,595.4,606.0,-0.66,3747,2248504.0
2025-10-19,595.0,615.0,595.0,610.0,0.66,9138,5574087.0
2025-10-16,615.0,615.0,605.0,606.0,-1.46,9717,5906972.0
2025-10-15,615.0,621.0,609.0,615.0,-0.97,8132,4981520.2
2025-10-14,622.0,624.7,612.6,621.0,-0.64,7574,4676796.5
2025-10-13,606.1,626.0,605.0,625.0,1.79,6822,4209987.2
2025-10-12,637.0,639.9,614.0,614.0,-3.61,32237,19992330.1
2025-10-09,645.1,684.0,637.0,637.0,0.71,8545,5506060.5
2025-10-08,645.0,649.0,630.1,632.5,-2.69,11220,7131035.7
2025-10-07,662.0,662.0,642.0,650.0,-1.66,11943,7759624.5
2025-09-28,651.0,670.0,650.2,661.0,0.0,6377,4211287.3
2025-09-25,663.0,668.0,647.0,661.0,0.38,5859,3866108.8
2025-09-24,665.0,670.0,658.0,658.5,-2.44,7176,4746579.2
2025-09-23,667.0,675.0,660.0,675.0,2.03,14613,9755405.0
2025-09-21,620.4,665.0,619.0,661.6,4.52,24503,15653784.1
2025-09-18,634.6,634.6,633.0,633.0,-2.24,225,142745.0
2025-09-08,656.0,664.0,643.0,647.52,-1.83,20383,13271951.9
2025-09-07,670.0,670.0,657.0,659.57,-0.32,7287,4826618.5
2025-09-04,660.0,667.0,653.3,661.66,0.7,11353,7479445.8
2025-09-03,670.0,670.0,657.0,657.04,-0.62,13233,8729138.1
2025-09-02,675.0,675.0,660.2,661.11,-0.74,10611,7037876.6
2025-09-01,672.0,672.0,657.0,666.05,0.55,9817,6521469.7
2025-08-31,670.0,680.0,662.0,662.38,-1.21,18194,12123928.7
2025-08-28,690.0,690.1,669.7,670.46,-2.33,28273,19285432.5
2025-08-27,676.6,689.8,675.0,686.42,1.44,32411,22201078.8
2025-08-26,670.0,678.0,668.1,676.65,1.0,18610,12571207.7
