date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,527.4,530.0,508.0,511.0,-1.18,24005,12422286.5
2026-02-11,537.0,538.9,517.1,517.1,-3.35,17291,9059868.0
2026-02-10,533.2,544.3,533.2,535.0,-1.65,5552,2977814.7
2026-02-09,540.2,545.0,534.1,544.0,-0.55,10564,5689164.1
2026-02-08,554.0,559.0,541.0,547.0,-0.8,24328,13292824.1
2026-02-05,563.0,569.0,547.0,551.4,-0.13,22227,12277392.3
2026-02-04,547.8,569.0,547.8,552.1,-1.2,20288,11297397.3
2026-02-03,545.5,564.8,545.5,558.8,0.4,9506,5280891.7
2026-02-02,556.9,569.0,555.0,556.6,-2.01,15766,8838797.0
2026-02-01,575.3,586.9,567.1,568.0,-3.24,22199,12676312.2
2026-01-29,563.6,594.0,563.6,587.0,2.09,35796,20936190.3
2026-01-28,550.0,575.0,550.0,575.0,2.5,48767,27320091.7
2026-01-27,555.0,566.0,551.4,561.0,0.54,23057,12892739.0
2026-01-26,562.0,573.2,555.0,558.0,-0.71,29472,16543832.1
2026-01-25,546.0,568.0,540.0,562.0,3.12,28072,15545764.2
2026-01-22,538.0,550.0,538.0,545.0,-0.55,18513,10080933.4
2026-01-21,549.0,555.0,540.0,548.0,0.18,14851,8100377.2
2026-01-20,551.7,551.8,542.4,547.0,1.11,17118,9345500.4
2026-01-18,553.8,553.8,540.0,541.0,-1.1,12684,6895541.7
2026-01-14,544.0,554.3,529.2,547.0,2.47,21955,11982313.2
2026-01-13,543.9,543.9,524.3,533.8,-0.22,27288,14448085.8
2026-01-12,559.0,559.0,530.0,535.0,-2.5,26772,14363843.7
2026-01-08,554.0,562.0,543.0,548.7,-2.71,34045,18748746.8
2026-01-07,578.7,588.9,558.0,564.0,-2.54,8909,5009373.2
2026-01-06,577.8,588.9,562.1,578.7,-1.83,21669,12349890.7
2026-01-05,560.0,595.0,553.7,589.5,4.34,27507,15495339.9
2026-01-04,557.0,574.0,545.0,565.0,-0.04,26136,14465843.8
2026-01-01,548.8,579.0,548.8,565.2,0.93,15551,8819613.5
2025-12-31,590.9,604.0,555.1,560.0,-3.61,26572,15223849.6
2025-12-29,600.0,600.0,575.0,581.0,-2.02,8714,5043897.1
2025-12-28,589.0,599.9,575.1,593.0,0.53,20662,12055012.8
2025-12-24,584.0,619.0,575.4,589.9,-0.86,13567,7953819.3
2025-12-23,592.1,612.0,580.2,595.0,-1.49,19649,11518153.2
2025-12-22,592.9,628.0,588.0,604.0,-0.17,30945,18463784.7
2025-12-21,611.1,619.8,594.5,605.0,-2.87,40395,24472859.1
2025-12-18,615.0,638.0,610.0,622.9,1.6,41113,25611074.0
2025-12-17,591.0,624.0,591.0,613.1,1.67,50499,31049999.9
2025-12-16,592.0,617.0,581.0,603.0,3.75,45247,27240435.5
2025-12-15,547.9,585.8,547.9,581.2,3.97,39465,22760330.8
2025-12-14,555.0,573.7,546.0,559.0,1.27,12907,7238387.8
2025-12-11,580.5,580.5,550.2,552.0,-3.02,14470,8103563.7
2025-12-10,598.0,598.0,568.4,569.2,-3.53,20041,11592481.0
2025-12-09,577.0,596.0,563.5,590.0,2.68,36245,21307397.2
2025-12-08,521.0,579.5,521.0,574.6,9.03,53163,29968746.3
