date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,957.0,967.0,915.0,956.0,-0.1,8691,8237931.0
2026-02-11,956.0,975.0,943.0,957.0,0.1,3557,3394332.5
2026-02-10,951.3,960.0,938.0,956.0,-0.42,5415,5121100.0
2026-02-09,956.1,977.0,945.0,960.0,-0.63,4427,4236935.6
2026-02-08,965.0,990.0,965.0,966.1,-1.42,6573,6407042.7
2026-02-05,975.0,989.0,973.0,980.0,-0.31,9825,9593358.0
2026-02-04,1000.0,1000.0,974.0,983.0,-0.99,2217,2176681.3
2026-02-03,976.0,994.0,976.0,992.8,1.83,836,824604.0
2026-02-02,1009.9,1009.9,975.0,975.0,-2.4,6611,6483581.8
2026-02-01,1000.0,1016.0,974.0,999.0,-1.38,8094,7986418.5
2026-01-29,1015.3,1046.0,1001.0,1013.0,-2.22,10657,10790144.7
2026-01-28,979.1,1045.0,979.1,1036.0,3.7,28952,29513642.9
2026-01-27,1000.1,1019.0,986.0,999.0,-1.58,13003,12996547.9
2026-01-26,1015.0,1018.0,990.0,1015.0,0.79,14800,14845147.4
2026-01-25,1012.0,1019.0,1000.2,1007.0,0.6,11061,11100195.7
2026-01-22,991.5,1005.5,989.0,1001.0,-0.89,9919,9869850.9
2026-01-21,1015.0,1015.0,995.0,1010.0,-0.3,3591,3599507.7
2026-01-20,996.0,1025.0,995.0,1013.0,1.81,12649,12838786.5
2026-01-18,994.0,1000.0,983.2,995.0,1.52,9032,8926875.6
2026-01-14,974.2,993.6,974.2,980.1,-1.4,4955,4857989.2
2026-01-13,976.1,999.5,976.1,994.0,-0.2,5924,5849805.0
2026-01-12,993.8,1014.0,981.4,996.0,-1.78,6979,6950077.2
2026-01-08,999.6,1025.0,999.0,1014.0,-0.59,10135,10181128.1
2026-01-07,1027.1,1047.0,996.0,1020.0,-2.67,11959,12240541.4
2026-01-06,1004.6,1064.0,1004.6,1048.0,2.23,17458,18029594.0
2026-01-05,990.8,1029.0,990.8,1025.1,1.39,11720,11885653.2
2026-01-04,952.5,1019.0,952.5,1011.0,4.02,11927,11755950.3
2026-01-01,978.1,1035.0,945.0,971.9,-2.62,16080,15537241.5
2025-12-31,1004.5,1064.0,986.0,998.0,-2.62,25402,25460235.2
2025-12-29,1029.0,1038.4,1000.0,1024.9,0.09,13202,13355166.8
2025-12-28,999.7,1028.0,984.0,1024.0,3.54,8584,8662456.5
2025-12-24,925.0,995.0,925.0,989.0,5.32,10624,10205592.1
2025-12-23,942.9,942.9,910.1,939.0,1.33,2433,2241233.0
2025-12-22,937.0,945.0,915.4,926.7,-2.0,8841,8152840.1
2025-12-21,946.4,963.8,940.1,945.6,-1.14,7336,6940838.6
2025-12-18,960.1,965.0,956.5,956.5,-1.99,4504,4326223.9
2025-12-17,977.0,999.0,950.3,975.9,-0.62,18889,18352328.0
2025-12-16,966.8,1025.0,966.8,982.0,-0.46,4766,4717663.6
2025-12-15,974.0,1019.9,974.0,986.5,0.15,7189,7087408.5
2025-12-14,1004.1,1020.9,984.0,985.0,-3.62,9695,9697583.6
2025-12-11,1033.5,1054.0,1012.2,1022.0,-1.11,12843,13118231.3
2025-12-10,1025.0,1040.0,1025.0,1033.5,-1.09,4691,4855704.4
2025-12-09,1045.0,1076.0,1030.4,1044.9,-0.96,7504,7861752.6
2025-12-08,1050.6,1071.0,1046.0,1055.0,-1.4,7261,7681635.9
2025-12-07,1100.0,1113.0,1056.5,1070.0,-3.43,15612,16817108.0
2025-12-03,1104.5,1127.0,1096.0,1108.0,-1.69,18786,20827136.6
2025-12-02,1138.0,1138.0,1093.0,1127.0,0.71,7797,8612399.2
2025-12-01,1107.4,1174.0,1100.0,1119.0,-0.97,10645,11940396.9
2025-11-30,1111.4,1156.2,1090.0,1130.0,-0.35,21152,23467798.8
2025-11-27,1135.0,1135.9,1123.0,1134.0,-0.26,8736,9860514.1
2025-11-26,1126.2,1138.8,1111.0,1137.0,0.91,7384,8344563.3
2025-11-25,1154.5,1154.5,1122.4,1126.8,-0.9,2380,2707213.4
2025-11-24,1140.0,1144.8,1107.0,1137.0,1.16,3669,4145022.9
2025-11-23,1114.8,1125.0,1100.0,1124.0,2.74,8251,9203340.1
2025-11-20,1101.0,1113.0,1094.0,1094.0,-1.87,7402,8118909.0
2025-11-19,1124.0,1124.0,1091.0,1114.8,1.16,8194,9056486.6
2025-11-18,1101.1,1132.0,1101.0,1102.0,-0.72,3803,4211119.5
2025-11-17,1112.3,1132.9,1105.0,1110.0,-1.15,6896,7657451.5
2025-11-16,1110.0,1130.0,1110.0,1122.9,-0.63,951,1058778.2
2025-11-13,1156.0,1156.0,1115.3,1130.0,-0.53,2944,3306895.1
2025-11-12,1125.0,1136.0,1119.0,1136.0,-0.09,5776,6486422.7
2025-11-11,1145.0,1158.0,1126.0,1137.0,-0.76,1939,2192486.3
2025-11-10,1126.0,1150.0,1123.0,1145.7,0.32,4278,4853224.0
2025-11-09,1143.0,1150.0,1121.0,1142.0,1.83,7298,8320470.3
2025-11-06,1117.2,1161.3,1117.2,1121.5,-1.62,3856,4375725.7
2025-11-05,1125.0,1193.0,1114.0,1140.0,-0.69,8881,10074385.9
2025-11-04,1165.0,1165.0,1119.2,1147.9,0.5,6230,7048858.8
2025-11-03,1165.3,1195.0,1142.2,1142.2,-3.94,4728,5465548.7
2025-11-02,1210.0,1210.0,1166.2,1189.0,-0.24,4472,5261225.6
2025-10-30,1207.9,1207.9,1166.1,1191.9,0.24,4424,5222089.1
2025-10-29,1180.9,1228.0,1162.0,1189.0,-1.33,13458,15757252.3
2025-10-28,1180.9,1224.9,1170.0,1205.0,0.0,2057,2463956.0
2025-10-26,1182.2,1205.0,1122.0,1205.0,3.7,1801,2077640.6
2025-10-19,1168.0,1168.0,1121.6,1162.0,-0.49,2827,3247513.4
2025-10-16,1101.6,1167.7,1101.6,1167.7,3.89,7003,7836301.7
2025-10-15,1100.0,1140.0,1100.0,1124.0,0.27,2645,2930290.0
2025-10-14,1110.4,1129.0,1100.0,1121.0,-1.06,6335,6986327.5
2025-10-13,1103.0,1141.0,1103.0,1133.0,0.72,8066,9036788.9
2025-10-12,1151.5,1151.5,1103.0,1124.9,-4.26,5908,6568707.4
2025-10-09,1181.1,1204.7,1158.0,1175.0,1.47,14571,16996759.9
2025-10-08,1175.1,1246.0,1146.1,1158.0,-3.42,5994,6905290.7
2025-10-07,1182.0,1199.0,1165.0,1199.0,-0.33,21864,25710588.7
2025-09-28,1184.1,1209.9,1184.0,1203.0,-0.41,2464,2922631.7
2025-09-25,1184.0,1208.0,1184.0,1208.0,0.33,6053,7191151.0
2025-09-24,1180.0,1249.0,1180.0,1204.0,0.25,7075,8443020.1
2025-09-23,1193.0,1263.0,1193.0,1201.0,-1.13,18467,22470978.7
2025-09-21,1250.0,1250.0,1178.2,1214.71,-0.94,11970,14412470.1
2025-09-08,1218.0,1239.0,1193.0,1226.21,-1.33,15587,18980364.8
2025-09-07,1225.8,1274.0,1212.0,1242.79,-0.64,9510,11785268.5
2025-09-04,1224.1,1258.7,1224.1,1250.78,0.14,15989,19877881.4
2025-09-03,1241.8,1266.0,1241.8,1249.06,-1.43,11048,13778818.7
2025-09-02,1233.2,1279.9,1233.2,1267.12,0.7,24920,31485313.2
2025-09-01,1238.0,1265.0,1230.0,1258.34,2.2,26045,32591289.8
2025-08-31,1219.9,1311.0,1219.9,1231.3,-1.08,15984,19800006.3
2025-08-28,1242.0,1291.0,1242.0,1244.75,-1.7,19521,24378130.0
2025-08-27,1228.6,1279.0,1228.6,1266.3,1.01,22676,28527079.5
2025-08-26,1214.7,1260.0,1214.7,1253.6,1.15,23046,28730476.2
2025-08-25,1228.7,1252.0,1206.0,1239.39,2.88,55845,68888303.0
2025-08-24,1195.4,1218.9,1195.4,1204.66,-1.24,21294,25649992.6
2025-08-21,1197.2,1223.0,1197.2,1219.78,-0.15,16690,20273971.8
2025-08-20,1190.0,1227.0,1190.0,1221.58,1.06,30497,37096944.4
2025-08-19,1209.3,1222.9,1200.0,1208.73,-0.05,8244,9972069.6
2025-08-18,1185.3,1219.0,1185.3,1209.3,0.09,26716,32264253.7
2025-08-17,1210.6,1232.0,1205.5,1208.21,-2.19,25585,30904293.7
2025-08-14,1249.0,1249.0,1199.0,1235.22,0.72,32894,40409996.8
2025-08-13,1201.0,1246.0,1175.0,1226.38,0.13,56593,68157441.3
2025-08-12,1219.8,1290.0,1202.0,1224.78,-1.6,30451,37530990.4
2025-08-11,1230.0,1254.0,1230.0,1244.68,-0.26,62544,77665911.5
2025-08-07,1195.0,1250.0,1195.0,1247.87,2.81,44259,54555294.2
2025-08-06,1152.1,1217.0,1152.1,1213.74,3.25,32971,39589626.8
2025-08-05,1141.9,1198.0,1141.9,1175.55,0.89,34284,40229315.0
2025-08-04,1136.5,1175.0,1120.0,1165.19,0.48,25395,29384439.2
2025-08-03,1177.1,1177.1,1150.1,1159.65,0.48,32059,37034094.2
2025-07-31,1111.0,1160.0,1111.0,1154.06,2.24,28374,32468035.7
2025-07-30,1134.2,1140.0,1113.2,1128.75,-2.47,36357,40946965.8
2025-07-29,1135.0,1175.0,1135.0,1157.33,2.05,22655,26330888.8
2025-07-28,1101.43,1140.0,1080.2,1134.13,2.97,35367,38994371.7
2025-07-27,1145.2,1145.2,1088.0,1101.43,-1.9,43004,47637995.8
2025-07-24,1066.5,1145.0,1066.5,1122.79,3.17,28645,31660381.9
2025-07-23,1092.7,1094.1,1053.0,1088.25,1.58,20073,21548137.9
2025-07-22,996.0,1080.0,996.0,1071.31,8.36,39926,41551929.8
2025-07-21,964.0,1009.0,952.0,988.62,2.56,22472,22254877.3
2025-07-20,952.0,1020.0,951.1,963.92,0.07,16485,16260132.3
2025-07-17,933.8,976.0,914.0,963.25,5.17,18897,17850022.7
2025-07-16,890.0,925.0,890.0,915.94,3.81,10590,9592000.3
2025-07-15,890.0,890.0,867.1,882.29,0.38,2502,2200230.0
2025-07-14,884.0,894.0,865.1,878.99,-0.61,2935,2564385.1
2025-07-13,876.6,907.0,861.0,884.42,2.91,10298,9080447.2
2025-07-10,855.0,867.0,840.0,859.42,2.21,3743,3199315.6
2025-07-09,859.0,859.0,836.0,840.83,-0.46,4134,3484641.2
2025-07-08,832.0,852.0,832.0,844.68,0.05,1907,1606571.2
2025-07-07,861.0,878.0,844.0,844.23,-2.71,6725,5712034.3
2025-07-06,846.0,880.0,846.0,867.78,2.58,9590,8285757.5
2025-07-03,845.0,864.0,844.4,845.94,-1.81,2915,2471201.5
2025-07-02,875.0,875.0,850.3,861.56,-0.05,2751,2369089.3
2025-07-01,849.9,865.0,833.0,862.01,3.4,6420,5464952.4
2025-06-30,824.0,839.0,820.0,833.66,1.18,4172,3455864.4
2025-06-29,818.0,828.6,810.0,823.92,0.74,1619,1325810.2
2025-06-26,805.0,853.0,795.2,817.9,1.56,4772,3844750.7
2025-06-25,805.0,815.0,800.1,805.32,-0.25,1787,1439199.0
2025-06-24,820.0,830.0,806.0,807.3,-1.22,3416,2777234.3
2025-06-23,838.0,838.0,816.0,817.29,-0.53,1112,913994.3
2025-06-22,818.1,834.9,818.1,821.62,-1.13,2701,2221326.6
2025-06-19,840.0,840.0,830.4,830.97,-1.92,2585,2160005.9
2025-06-18,837.1,856.7,837.1,847.27,-0.23,1679,1413786.2
2025-06-17,845.5,859.9,830.1,849.2,2.44,3917,3313872.8
2025-06-16,853.4,853.4,820.3,828.95,-0.93,6011,5031502.1
2025-06-15,845.0,858.9,832.0,836.72,-1.27,3097,2599876.6
2025-06-12,850.0,870.9,839.0,847.49,-0.83,4493,3818328.3
2025-06-11,850.0,865.0,834.0,854.62,0.57,3193,2711023.6
2025-06-10,875.1,892.6,841.1,849.81,-0.95,1613,1376698.9
2025-06-09,831.6,870.9,831.6,857.98,1.3,1319,1121512.2
2025-06-08,835.1,850.0,830.5,847.0,0.53,4154,3470816.3
2025-06-05,873.0,889.9,840.0,842.53,-1.57,1580,1335876.5
2025-06-04,855.0,878.0,854.0,855.96,-0.63,1375,1183577.9
2025-06-03,875.0,892.5,850.5,861.38,-1.56,2908,2523076.8
2025-06-02,896.9,905.0,874.1,875.0,-0.5,2034,1799539.6
2025-05-28,880.0,890.0,877.0,879.37,-1.79,1885,1658479.5
2025-05-27,885.0,904.9,876.0,895.4,-0.44,933,827981.5
2025-05-26,930.0,945.0,890.0,899.32,-1.59,5696,5168378.7
2025-05-25,899.8,930.0,883.5,913.86,2.54,9945,9083083.9
2025-05-22,886.0,900.0,860.0,891.18,2.5,13042,11588168.1
2025-05-21,888.0,924.0,862.4,869.48,-0.16,3599,3150905.6
2025-05-20,850.1,875.0,850.1,870.88,0.47,2116,1836133.6
2025-05-19,880.0,883.0,849.3,866.84,0.02,4072,3509378.9
2025-05-18,820.2,870.0,820.2,866.63,4.9,8197,7023258.7
2025-05-15,825.2,849.0,825.0,826.11,-1.05,1711,1419378.9
2025-05-14,826.0,856.0,826.0,834.88,-0.72,2991,2505760.7
2025-05-13,855.01,855.01,830.0,840.95,-1.64,4197,3508848.6
2025-05-11,869.0,869.9,841.5,855.01,-0.33,4661,3985418.8
2025-05-08,880.9,880.9,853.0,857.83,-1.34,2808,2414907.4
2025-05-07,855.04,871.0,822.3,869.44,1.68,4913,4216004.3
2025-05-06,825.0,890.0,824.0,855.04,1.77,4783,3985923.2
2025-05-05,842.1,858.0,839.0,840.18,-0.96,3409,2867998.6
2025-05-04,883.0,883.0,847.0,848.31,-2.05,2968,2533032.1
2025-04-30,890.0,890.0,860.0,866.1,-0.85,1241,1076337.3
2025-04-29,873.0,879.0,863.2,873.5,-0.49,4553,3961123.4
2025-04-28,890.0,905.0,875.2,877.83,-0.91,2361,2089409.8
2025-04-27,900.1,900.1,885.0,885.93,-1.68,3124,2774833.5
2025-04-24,902.3,913.0,885.0,901.03,-0.14,2412,2157523.9
2025-04-23,902.0,920.0,897.0,902.3,-0.68,2689,2425170.6
2025-04-22,915.8,930.0,905.1,908.47,-0.8,1864,1696994.9
2025-04-21,910.1,928.0,910.1,915.83,-0.97,1710,1565314.4
2025-04-20,935.5,935.5,918.0,924.82,-1.14,2672,2468106.3
2025-04-17,920.0,945.0,920.0,935.52,1.14,4262,3970763.8
2025-04-16,917.0,935.0,915.0,925.0,-1.03,2539,2335398.5
2025-04-15,910.0,945.0,910.0,934.59,2.41,1647,1533572.9
2025-04-13,907.0,936.9,907.0,912.64,-1.02,2820,2569224.8
2025-04-10,901.3,948.9,901.3,922.04,1.04,2219,2043952.9
2025-04-09,922.0,922.0,905.0,912.58,0.54,3720,3390989.1
2025-04-08,900.1,929.9,883.0,907.7,-0.83,5865,5258667.3
2025-04-07,916.0,920.0,886.9,915.26,-0.88,2876,2615190.5
2025-04-03,940.0,949.4,922.0,923.38,-1.76,3336,3091275.3
2025-04-02,930.0,944.0,929.0,939.9,0.69,1700,1595371.9
2025-04-01,954.0,954.0,918.1,933.45,-0.61,2320,2140737.4
2025-03-30,932.0,950.0,923.2,939.21,0.74,3356,3151166.8
2025-03-27,932.5,950.0,914.0,932.29,1.97,3722,3484605.9
2025-03-26,920.0,933.0,908.0,914.26,-0.09,3230,2963871.7
2025-03-25,935.0,952.0,915.0,915.06,-3.63,4254,3911410.9
2025-03-24,935.91,958.0,926.6,949.52,1.45,1239,1175165.5
2025-03-23,976.0,976.0,930.1,935.91,-2.23,2449,2304095.8
2025-03-20,970.0,970.0,950.7,957.23,-1.21,3779,3630304.9
2025-03-19,996.5,996.5,962.3,969.0,-0.82,3183,3088596.5
2025-03-18,989.9,990.4,971.0,977.0,-0.61,1043,1016721.9
2025-03-17,972.1,999.8,960.3,983.0,-0.71,3877,3782585.6
2025-03-16,990.0,1004.0,976.0,990.0,-0.5,4279,4226526.7
2025-03-12,1019.0,1019.0,991.1,995.0,-2.36,3268,3262960.6
2025-03-11,1053.0,1053.0,995.0,1019.0,-1.44,6713,6915884.8
2025-03-10,1070.0,1070.0,1015.0,1033.9,-1.53,17010,17855335.0
2025-03-09,1035.0,1055.0,1025.0,1050.0,2.44,24625,25547398.7
2025-03-06,1005.0,1025.0,995.1,1025.0,2.81,14930,15107251.0
2025-03-05,970.0,1003.0,970.0,997.0,1.12,4580,4542334.4
2025-03-04,1015.0,1032.0,983.0,986.0,-2.58,14411,14378601.1
2025-03-03,1053.0,1053.0,1012.0,1012.1,-2.18,8386,8565391.0
2025-03-02,1018.4,1039.0,1018.4,1034.7,-0.22,3448,3540489.6
2025-02-27,1055.8,1055.8,1018.0,1037.0,0.0,5094,5225350.2
2025-02-25,1024.0,1039.9,1004.0,1037.0,-0.27,3505,3583857.5
2025-02-24,1041.0,1059.0,1022.6,1039.8,-0.59,5481,5705446.6
2025-02-23,1021.2,1059.0,1017.0,1046.0,0.43,14863,15533355.5
2025-02-20,1018.0,1051.0,1018.0,1041.5,0.27,13251,13799242.6
2025-02-18,1028.0,1068.9,1010.2,1038.7,-0.89,9703,9992395.9
2025-02-17,1020.2,1060.0,1020.2,1048.0,1.55,10060,10577843.8
2025-02-16,980.0,1049.9,980.0,1032.0,3.3,14844,15331517.2
2025-02-13,987.3,999.0,985.0,999.0,-0.21,4313,4261399.3
2025-02-12,1002.1,1021.0,1000.3,1001.1,-0.59,3581,3605108.2
2025-02-11,1013.4,1046.9,998.3,1007.0,-2.61,4867,4912639.5
2025-02-10,1059.7,1063.0,1005.1,1034.0,-0.48,18245,18997058.5
2025-02-09,996.9,1039.8,976.4,1039.0,6.02,19301,19377465.3
2025-02-06,979.0,984.0,970.0,980.0,-0.51,7022,6866016.8
2025-02-05,985.0,998.7,966.0,985.0,-1.09,7742,7516055.8
2025-02-04,1017.0,1017.0,983.0,995.9,-0.31,2486,2457635.2
2025-02-03,1035.0,1044.0,991.0,999.0,-3.01,4000,4041652.0
2025-02-02,979.7,1049.0,954.6,1030.0,5.13,19051,19109531.7
2025-01-28,945.1,992.0,945.1,979.7,2.47,5465,5320649.5
2025-01-27,945.1,983.0,945.1,956.1,-0.81,2201,2125088.2
2025-01-26,962.4,979.0,944.1,963.9,0.93,4014,3860513.4
2025-01-23,951.0,966.0,943.0,955.0,-0.5,2780,2646862.2
2025-01-22,930.0,985.0,930.0,959.8,1.89,4927,4688141.0
2025-01-21,931.2,967.0,931.2,942.0,-0.74,2371,2247360.9
2025-01-20,955.0,969.4,945.1,949.0,-1.56,1992,1900232.3
2025-01-19,946.0,972.5,946.0,964.0,-0.09,2634,2516896.3
2025-01-16,960.0,1037.0,950.0,964.9,-0.22,2277,2206157.7
2025-01-15,980.0,992.0,962.0,967.0,-1.32,1306,1267692.0
2025-01-13,961.0,999.9,961.0,979.9,-0.01,6278,6140234.6
2025-01-12,975.0,1007.0,972.1,980.0,-1.4,3855,3788707.7
2025-01-09,990.0,999.0,965.0,993.9,0.39,5728,5658356.8
2025-01-08,992.0,1011.8,975.1,990.0,0.01,2747,2738926.5
2025-01-07,975.0,1008.0,966.1,989.9,-0.39,6711,6601664.6
