date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,436.0,443.9,436.0,437.3,-0.57,14488,6352238.6
2026-02-11,437.0,443.0,435.3,439.8,0.94,20575,8995932.0
2026-02-10,435.5,440.0,435.5,435.7,-0.39,14373,6277854.4
2026-02-09,441.5,443.0,437.3,437.4,-0.82,12729,5577657.1
2026-02-08,442.0,445.9,441.0,441.0,0.07,15706,6951488.0
2026-02-05,433.0,441.0,433.0,440.7,0.73,18569,8142532.0
2026-02-04,444.0,444.0,431.0,437.5,-0.79,53066,23139275.9
2026-02-03,442.2,445.0,440.6,441.0,-0.27,13390,5914130.6
2026-02-02,445.0,446.0,441.2,442.2,-0.63,22047,9762295.4
2026-02-01,447.1,449.0,444.4,445.0,-0.47,15822,7057556.0
2026-01-29,460.0,460.0,446.3,447.1,-1.08,13933,6271759.8
2026-01-28,450.0,452.0,445.0,452.0,0.0,28301,12664520.9
2026-01-27,452.3,459.7,451.1,452.0,-1.25,37020,16789364.5
2026-01-26,453.2,461.8,453.2,457.7,-0.15,29993,13713128.0
2026-01-25,451.0,460.9,451.0,458.4,1.64,29917,13696843.4
2026-01-22,445.0,453.9,445.0,451.0,-0.44,14404,6502444.1
2026-01-21,464.6,464.6,451.0,453.0,-0.92,26284,11922500.8
2026-01-20,453.0,463.0,453.0,457.2,1.26,39315,18006558.6
2026-01-18,440.5,451.5,440.5,451.5,1.44,29163,12996585.3
2026-01-14,438.2,449.8,438.2,445.1,1.27,18724,8321890.4
2026-01-13,440.0,443.0,439.3,439.5,-0.34,19811,8718595.9
2026-01-12,440.0,444.0,440.0,441.0,-0.23,10113,4462520.2
2026-01-08,441.0,443.8,437.2,442.0,0.41,20254,8898234.9
2026-01-07,435.2,443.0,435.2,440.2,-0.25,7889,3476459.7
2026-01-06,445.0,445.0,438.3,441.3,0.68,25297,11160859.3
2026-01-05,436.0,440.0,435.6,438.3,0.39,11990,5252949.7
2026-01-04,438.0,439.5,436.5,436.6,-0.77,12888,5634045.7
2026-01-01,440.0,443.0,440.0,440.0,-0.27,13774,6074296.5
2025-12-31,440.9,445.0,440.0,441.2,0.07,17192,7601639.9
2025-12-29,445.0,453.0,440.5,440.9,-1.36,20745,9234490.7
2025-12-28,440.0,452.7,435.0,447.0,1.13,25806,11395907.0
2025-12-24,446.0,450.0,441.1,442.0,-0.67,21149,9410462.9
2025-12-23,444.1,446.0,443.0,445.0,0.34,16883,7496398.4
2025-12-22,444.1,452.0,443.1,443.5,-1.29,23793,10619918.0
2025-12-21,455.0,456.9,448.4,449.3,-1.66,24798,11201776.7
2025-12-18,461.0,463.0,455.8,456.9,-0.89,16429,7508127.6
2025-12-17,458.3,464.8,455.3,461.0,0.59,21017,9706623.1
2025-12-16,454.0,462.0,451.3,458.3,0.95,31285,14333677.4
2025-12-15,455.1,457.8,452.0,454.0,-0.68,23129,10489477.3
2025-12-14,465.0,465.0,456.0,457.1,-3.16,40316,18507477.1
2025-12-11,466.1,475.0,466.1,472.0,0.21,13618,6416987.4
2025-12-10,475.0,479.4,469.0,471.0,-0.78,21086,9973599.9
2025-12-09,460.0,474.9,460.0,474.7,3.2,55140,25874713.8
2025-12-08,460.0,460.9,452.1,460.0,0.86,28740,13090241.9
2025-12-07,460.1,463.8,456.1,456.1,-0.87,31145,14261083.7
2025-12-03,465.0,469.8,460.1,460.1,-1.71,31561,14651649.7
2025-12-02,463.0,469.0,463.0,468.1,0.24,16785,7822980.9
2025-12-01,465.6,472.0,463.1,467.0,-0.64,30636,14332737.9
2025-11-30,482.0,489.6,470.0,470.0,-2.08,79640,38336802.3
2025-11-27,478.0,480.0,475.0,480.0,0.84,56766,27090001.0
2025-11-26,481.5,482.0,473.5,476.0,-1.04,23116,11051691.9
2025-11-25,475.0,483.4,468.0,481.0,1.03,71980,34287854.9
2025-11-24,461.0,478.0,461.0,476.1,3.28,63397,30015137.4
2025-11-23,452.5,466.0,452.5,461.0,0.7,27866,12884244.1
2025-11-20,450.4,458.0,450.4,457.8,0.26,15337,6999446.0
2025-11-19,459.0,462.0,450.0,456.6,0.22,11509,5258447.0
2025-11-18,454.5,460.0,453.1,455.6,0.24,16385,7502634.1
2025-11-17,454.9,457.0,450.0,454.5,0.89,17574,7990949.2
2025-11-16,448.1,455.0,448.1,450.5,-0.33,7942,3576865.3
2025-11-13,461.0,461.0,448.7,452.0,0.0,9325,4205231.3
2025-11-12,444.6,456.0,444.6,452.0,0.11,14092,6366596.3
2025-11-11,455.0,463.0,446.7,451.5,1.1,10546,4728833.1
2025-11-10,445.0,457.0,445.0,446.6,-0.53,16030,7193934.7
2025-11-09,450.0,452.0,448.4,449.0,-1.36,15638,7033695.3
2025-11-06,453.0,458.9,453.0,455.2,-0.13,13676,6246915.1
2025-11-05,449.2,455.8,449.0,455.8,0.18,14112,6372618.5
2025-11-04,451.3,457.0,451.3,455.0,-0.57,10963,4982403.1
2025-11-03,468.0,468.7,457.5,457.6,-1.21,26753,12363115.8
2025-11-02,443.9,468.9,443.0,463.2,4.35,49345,22790406.5
2025-10-30,437.0,448.8,437.0,443.9,1.39,15980,7105596.0
2025-10-29,442.0,446.6,434.1,437.8,-0.52,15975,7016916.5
2025-10-28,423.5,445.0,423.5,440.1,2.83,16168,7068802.2
2025-10-26,424.9,428.0,422.0,428.0,0.73,6914,2933778.8
2025-10-19,420.0,427.0,420.0,424.9,-0.02,5088,2150322.1
2025-10-16,422.0,427.0,420.1,425.0,0.64,6056,2557309.3
2025-10-15,422.0,428.0,422.0,422.3,-1.1,7056,2994742.5
2025-10-14,432.0,432.0,425.0,427.0,-1.16,9298,3968659.5
2025-10-13,428.0,433.2,420.0,432.0,-0.23,19293,8231034.6
2025-10-12,440.0,440.0,428.3,433.0,-0.46,11462,4940420.4
2025-10-09,442.0,458.0,434.0,435.0,0.37,20724,9121349.2
2025-10-08,434.0,437.6,425.2,433.4,-1.72,24312,10461923.1
2025-10-07,447.1,449.0,437.1,441.0,-2.11,14086,6203878.6
2025-09-28,448.0,452.0,445.0,450.5,1.42,12560,5616041.6
2025-09-25,441.0,450.0,441.0,444.2,-1.07,10035,4481816.9
