date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,333.9,341.7,328.4,337.0,2.12,91669,30810190.7
2026-02-11,333.5,340.0,329.0,330.0,0.0,55646,18535233.1
2026-02-10,333.0,333.0,326.4,330.0,0.15,56556,18635977.3
2026-02-09,334.0,338.2,329.5,329.5,-2.37,101489,33728732.0
2026-02-08,342.0,348.0,337.5,337.5,-0.15,46115,15705174.6
2026-02-05,335.0,344.0,333.0,338.0,0.6,76564,25980427.5
2026-02-04,333.0,340.0,333.0,336.0,0.72,60493,20372116.2
2026-02-03,344.3,344.3,333.0,333.6,-1.18,54476,18338311.7
2026-02-02,346.8,346.8,337.5,337.6,-0.71,72661,24810752.1
2026-02-01,340.0,346.4,337.0,340.0,0.0,121279,41311816.8
2026-01-29,349.0,349.5,338.0,340.0,-1.16,162845,55732842.6
2026-01-28,347.0,353.0,343.0,344.0,0.0,135726,46983490.4
2026-01-27,360.0,363.0,340.0,344.0,-4.18,202988,71033130.9
2026-01-26,369.9,375.0,356.0,359.0,-2.95,216431,77986748.0
2026-01-25,357.3,372.0,357.3,369.9,1.48,189856,70046266.4
2026-01-22,361.0,366.0,350.0,364.5,2.97,308564,110697485.7
2026-01-21,351.1,362.0,348.5,354.0,-1.17,168128,59515163.1
2026-01-20,362.1,368.0,355.0,358.2,0.9,203629,73744882.9
2026-01-18,338.1,356.0,338.1,355.0,4.44,314937,110751921.2
2026-01-14,326.2,346.5,326.2,339.9,2.13,188582,64511490.1
2026-01-13,325.0,337.0,325.0,332.8,0.88,52253,17387374.0
2026-01-12,335.0,338.5,328.0,329.9,-1.23,65253,21649750.4
2026-01-08,330.1,335.0,329.1,334.0,0.78,33083,10988521.1
2026-01-07,333.0,338.0,331.1,331.4,-1.34,56022,18665860.6
2026-01-06,340.9,342.9,335.0,335.9,0.27,97912,33187937.2
2026-01-05,324.0,336.1,321.0,335.0,3.72,157183,52038490.9
2026-01-04,323.0,327.9,320.0,323.0,0.19,32052,10335254.2
2026-01-01,321.0,328.0,321.0,322.4,-1.2,18988,6147447.6
2025-12-31,317.5,331.0,317.5,326.3,0.74,56255,18423424.5
2025-12-29,328.0,330.0,321.5,323.9,-0.92,47207,15447042.8
2025-12-28,311.7,329.0,311.7,326.9,2.8,56946,18497624.5
2025-12-24,314.0,321.0,314.0,318.0,-0.47,8308,2641747.6
2025-12-23,311.5,321.4,311.5,319.5,0.79,18854,5995303.9
2025-12-22,309.8,321.0,309.8,317.0,0.28,24134,7613071.0
2025-12-21,312.7,322.0,312.7,316.1,-0.91,34909,11090689.1
2025-12-18,319.5,325.8,319.0,319.0,-2.15,40935,13135966.3
2025-12-17,319.5,329.5,319.5,326.0,0.0,37788,12353311.8
2025-12-16,315.1,327.6,315.1,326.0,1.4,67484,21951826.3
2025-12-15,306.8,325.0,306.8,321.5,2.72,70805,22661364.7
2025-12-14,309.7,319.8,309.7,313.0,-0.95,18437,5797239.6
2025-12-11,309.7,319.8,309.7,316.0,0.0,47125,14838112.7
2025-12-10,312.3,321.9,312.3,316.0,-0.82,30696,9752059.7
2025-12-09,314.0,323.0,314.0,318.6,-0.56,26711,8553856.9
2025-12-08,313.6,323.9,313.6,320.4,0.12,29905,9541758.4
2025-12-07,319.4,327.3,318.6,320.0,-1.81,37990,12186370.8
2025-12-03,322.7,329.1,322.7,325.9,-1.0,39429,12856579.9
2025-12-02,320.3,331.0,320.3,329.2,0.73,35854,11742221.5
2025-12-01,318.3,328.8,318.3,326.8,0.65,61160,19852071.7
2025-11-30,321.5,335.8,321.5,324.7,-1.01,109194,36220563.7
2025-11-27,318.1,331.3,318.1,328.0,1.08,76573,25096984.9
2025-11-26,317.5,327.4,317.5,324.5,0.19,40912,13242980.7
2025-11-25,321.3,328.0,319.0,323.9,-1.19,35509,11468126.7
2025-11-24,314.6,327.8,314.6,327.8,2.12,50800,16504394.9
2025-11-23,318.0,321.0,313.0,321.0,2.56,35189,11198108.2
2025-11-20,307.1,314.9,307.1,313.0,-0.1,15137,4717397.5
2025-11-19,309.7,318.0,309.7,313.3,-0.85,13409,4180301.9
2025-11-18,305.5,320.6,305.5,316.0,1.38,14091,4485958.9
2025-11-17,303.4,315.0,303.4,311.7,0.71,25840,8026468.8
2025-11-16,309.0,314.0,308.1,309.5,-1.84,23020,7154726.4
2025-11-13,310.0,321.0,310.0,315.3,-0.32,17575,5517915.9
2025-11-12,313.5,319.0,313.5,316.3,-1.09,9341,2951660.4
2025-11-11,313.6,319.8,313.6,319.8,-0.06,19811,6243684.1
2025-11-10,311.7,322.0,311.7,320.0,0.63,15893,5020457.5
2025-11-09,315.6,320.0,314.5,318.0,-1.24,13115,4145721.5
2025-11-06,317.6,330.0,317.6,322.0,-0.62,29303,9421561.0
2025-11-05,315.6,327.8,315.6,324.0,0.62,23285,7444015.1
2025-11-04,319.5,329.4,319.0,322.0,-1.23,28459,9172903.2
2025-11-03,337.5,337.5,324.1,326.0,-1.48,35235,11595472.8
2025-11-02,324.0,332.9,324.0,330.9,1.19,44610,14629223.2
2025-10-30,319.0,328.3,313.6,327.0,2.86,32063,10303997.0
2025-10-29,318.5,325.9,315.0,317.9,-0.19,60024,19287657.4
2025-10-28,307.0,320.0,307.0,318.5,4.08,34548,10916494.4
2025-10-26,302.0,306.5,302.0,306.0,-0.62,12340,3754543.2
2025-10-19,300.0,309.9,299.0,307.9,0.95,18841,5744115.2
2025-10-16,312.0,312.0,300.0,305.0,-0.33,33979,10267269.4
2025-10-15,306.0,311.0,304.2,306.0,-1.26,14454,4451107.5
2025-10-14,317.9,317.9,304.0,309.9,-1.56,24463,7536951.8
2025-10-13,310.0,317.0,299.7,314.8,0.9,32062,9920895.6
2025-10-12,325.0,325.0,295.0,312.0,-2.56,90498,27816861.6
2025-10-09,322.6,339.9,320.1,320.2,1.23,33699,11008374.8
2025-10-08,323.0,323.0,313.0,316.3,-2.04,35821,11334632.4
2025-10-07,326.0,332.0,321.0,322.9,-2.45,20961,6786223.7
2025-09-28,330.0,331.5,326.0,331.0,1.13,17043,5604272.7
2025-09-25,323.1,329.0,323.1,327.3,-0.49,17199,5620792.1
2025-09-24,332.0,332.0,326.1,328.9,-0.93,17612,5787001.7
