date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,1312.0,1325.0,1307.0,1316.0,0.08,5937,7807406.3
2026-02-11,1339.2,1339.2,1300.0,1315.0,0.15,8469,11111986.8
2026-02-10,1325.0,1342.0,1310.0,1313.0,-0.38,11665,15467576.6
2026-02-09,1344.1,1350.0,1307.0,1318.0,0.02,7777,10312267.0
2026-02-08,1330.0,1345.0,1310.1,1317.8,0.8,5129,6766476.8
2026-02-05,1312.0,1320.0,1305.0,1307.4,-0.32,7226,9469093.4
2026-02-04,1310.0,1325.0,1310.0,1311.6,0.12,3204,4214814.2
2026-02-03,1335.0,1340.0,1310.0,1310.0,-0.98,6912,9092872.6
2026-02-02,1325.0,1329.0,1318.0,1323.0,-0.15,3868,5115336.3
2026-02-01,1318.0,1335.0,1317.1,1325.0,0.22,6529,8625204.8
2026-01-29,1320.1,1344.7,1319.1,1322.1,-0.3,8941,11830080.5
2026-01-28,1330.0,1344.9,1318.1,1326.1,-0.29,8068,10668346.5
2026-01-27,1316.6,1350.0,1316.6,1330.0,-0.97,10791,14368547.4
2026-01-26,1370.0,1370.0,1330.2,1343.0,-0.47,11152,14938592.2
2026-01-25,1322.1,1350.0,1322.1,1349.4,2.15,9893,13224926.8
2026-01-22,1330.0,1339.0,1305.6,1321.0,-0.83,10892,14382302.9
2026-01-21,1340.0,1359.0,1327.0,1332.0,-0.6,4897,6533861.4
2026-01-20,1347.0,1359.8,1328.0,1340.0,0.37,12560,16827049.8
2026-01-18,1313.0,1339.0,1313.0,1335.0,1.68,7160,9520072.2
2026-01-14,1322.0,1330.0,1300.0,1313.0,-0.68,10079,13239533.6
2026-01-13,1344.0,1345.0,1321.0,1322.0,-0.76,5545,7344135.4
2026-01-12,1355.0,1446.0,1331.0,1332.1,-0.81,6018,8094861.8
2026-01-08,1367.0,1367.0,1340.0,1343.0,-1.25,5533,7462947.0
2026-01-07,1426.9,1426.9,1344.0,1360.0,-6.59,38021,51575314.0
2026-01-06,1330.0,1456.0,1320.0,1456.0,9.97,34353,46278023.3
2026-01-05,1324.2,1324.2,1299.0,1324.0,1.98,14938,19707963.6
2026-01-04,1477.0,1495.0,1470.0,1480.1,0.68,28239,41836907.1
2026-01-01,1451.0,1480.0,1451.0,1470.1,0.31,8277,12158448.0
2025-12-31,1476.0,1476.0,1450.0,1465.5,0.65,5268,7705503.3
2025-12-29,1465.0,1470.0,1446.0,1456.0,1.18,13794,20092046.4
2025-12-28,1448.0,1458.0,1435.3,1439.0,0.63,7431,10774165.6
2025-12-24,1440.0,1444.0,1427.0,1430.0,0.7,6390,9163457.9
2025-12-23,1401.0,1447.9,1401.0,1420.0,0.85,3764,5338917.9
2025-12-22,1400.1,1420.0,1385.0,1408.0,-1.19,7372,10302541.6
2025-12-21,1430.0,1438.0,1400.0,1425.0,-0.28,12603,17811907.7
2025-12-18,1460.6,1460.6,1428.0,1429.0,-0.21,6081,8720774.3
2025-12-17,1420.2,1460.0,1420.2,1432.0,-0.69,9112,13169668.9
2025-12-16,1445.0,1464.0,1420.0,1442.0,0.0,10001,14381234.3
2025-12-15,1449.0,1520.0,1440.0,1442.0,-0.51,7317,10672247.3
2025-12-14,1466.0,1487.0,1440.0,1449.4,-1.2,18169,26482921.5
2025-12-11,1465.0,1490.0,1461.0,1467.0,0.12,4555,6710533.4
2025-12-10,1486.0,1497.0,1463.0,1465.2,-1.66,11960,17638606.4
2025-12-09,1476.0,1499.0,1476.0,1490.0,-0.47,7913,11765308.5
2025-12-08,1470.0,1500.0,1470.0,1497.0,1.15,8648,12861231.3
2025-12-07,1505.0,1514.0,1471.0,1480.0,-1.67,17096,25361502.8
2025-12-03,1505.0,1644.0,1505.0,1505.2,-0.97,22895,34831135.7
2025-12-02,1530.0,1549.0,1520.0,1520.0,-0.33,11082,16986559.4
2025-12-01,1507.0,1536.0,1507.0,1525.0,0.9,15801,24134470.2
2025-11-30,1542.0,1558.0,1511.4,1511.4,-1.98,22673,34953438.5
2025-11-27,1555.0,1569.0,1541.0,1542.0,-1.15,12587,19550937.5
2025-11-26,1556.3,1590.0,1556.2,1560.0,-1.76,19734,31036524.0
2025-11-25,1600.0,1600.0,1541.0,1587.9,-0.76,21075,33037273.5
2025-11-24,1560.0,1638.0,1560.0,1600.0,3.43,53882,85706742.9
2025-11-23,1480.0,1548.0,1480.0,1547.0,2.45,35340,54295500.8
2025-11-20,1466.0,1539.1,1465.1,1510.0,2.03,26407,39829229.4
2025-11-19,1465.0,1480.0,1457.1,1480.0,1.37,13213,19436000.7
2025-11-18,1450.0,1470.0,1450.0,1460.0,0.69,13524,19756581.4
2025-11-17,1411.0,1451.0,1410.0,1450.0,1.26,7765,11205676.1
2025-11-16,1440.0,1450.0,1421.0,1432.0,0.14,2745,3929966.8
2025-11-13,1423.0,1450.0,1405.1,1430.0,0.49,6777,9709003.5
2025-11-12,1469.0,1469.0,1418.1,1423.0,-1.52,8387,11973659.9
2025-11-11,1448.0,1467.0,1420.0,1445.0,0.49,9985,14451462.4
2025-11-10,1419.0,1438.0,1386.0,1438.0,1.98,8908,12586000.9
2025-11-09,1419.1,1420.0,1400.0,1410.1,-0.63,5598,7879769.6
2025-11-06,1419.0,1430.0,1411.0,1419.1,0.65,3610,5129453.2
2025-11-05,1410.0,1420.0,1399.0,1410.0,0.28,3014,4241216.0
2025-11-04,1430.0,1430.0,1402.0,1406.0,-1.68,3096,4378198.5
2025-11-03,1432.0,1450.0,1424.0,1430.0,-0.35,4330,6215426.0
2025-11-02,1406.0,1447.0,1406.0,1435.0,1.13,5641,8100672.8
2025-10-30,1401.0,1420.0,1387.2,1419.0,0.28,2911,4108173.2
2025-10-29,1400.0,1420.0,1395.1,1415.0,-0.14,4275,6029190.6
2025-10-28,1368.0,1418.0,1368.0,1417.0,3.43,4412,6202062.5
2025-10-26,1362.0,1380.0,1362.0,1370.0,0.0,2497,3418290.8
2025-10-19,1350.2,1380.0,1350.0,1370.0,0.29,2840,3896977.3
2025-10-16,1376.0,1379.0,1351.0,1366.0,-0.73,4347,5956821.8
2025-10-15,1381.0,1400.0,1370.0,1376.0,-0.36,3296,4558601.8
2025-10-14,1388.0,1392.0,1380.0,1381.0,-0.65,3912,5422119.0
2025-10-13,1380.0,1399.8,1376.1,1390.0,0.94,3028,4193954.1
2025-10-12,1400.0,1400.0,1375.0,1377.0,-2.55,5991,8276191.1
2025-10-09,1406.0,1462.0,1406.0,1413.0,0.5,6448,9205330.2
2025-10-08,1424.0,1426.0,1395.2,1406.0,-2.97,7009,9897716.4
2025-10-07,1450.0,1460.0,1411.2,1449.0,-1.36,7995,11471194.1
2025-09-28,1472.0,1472.0,1445.0,1469.0,1.59,2905,4229098.9
2025-09-25,1420.0,1446.0,1420.0,1446.0,1.83,4310,6200210.9
2025-09-24,1420.1,1430.0,1410.0,1420.0,-0.01,2539,3598416.2
2025-09-23,1391.0,1430.0,1390.0,1420.1,1.68,7855,11124951.2
2025-09-21,1310.0,1432.0,1294.9,1396.61,6.29,15706,21521125.7
2025-09-18,1390.0,1390.0,1305.2,1314.0,-7.26,2292,3062649.0
2025-09-08,1410.0,1432.0,1406.0,1416.89,-0.99,8754,12391299.9
2025-09-07,1420.0,1440.0,1420.0,1431.1,0.12,4051,5788871.0
2025-09-04,1425.0,1440.0,1421.0,1429.35,-0.05,7024,10017446.7
2025-09-03,1447.85,1457.0,1427.9,1430.05,-1.23,5921,8527290.9
2025-09-02,1435.0,1470.0,1435.0,1447.85,-1.12,5335,7753217.4
2025-09-01,1460.0,1466.1,1450.0,1464.24,-0.12,4605,6715547.8
2025-08-31,1490.0,1499.0,1465.0,1465.98,-1.42,10391,15374464.5
2025-08-28,1501.21,1501.21,1480.0,1487.17,-0.94,10356,15410889.9
2025-08-27,1496.1,1507.0,1489.0,1501.21,0.35,12647,18950126.9
2025-08-26,1511.0,1525.0,1495.0,1495.95,-0.65,9733,14658746.3
2025-08-25,1496.5,1554.0,1485.0,1505.7,2.62,52420,79462395.0
2025-08-24,1455.0,1474.2,1455.0,1467.23,0.13,7367,10812851.7
2025-08-21,1452.0,1472.4,1452.0,1465.29,0.03,5897,8642358.3
2025-08-20,1465.0,1487.9,1460.0,1464.88,-0.7,13325,19599315.4
2025-08-19,1495.0,1497.5,1465.0,1475.18,0.45,13246,19565148.9
2025-08-18,1440.0,1474.0,1440.0,1468.63,1.16,7683,11216312.5
2025-08-17,1486.4,1490.0,1450.0,1451.86,-0.37,23076,33815581.1
2025-08-14,1450.51,1470.0,1426.0,1457.28,0.47,7654,11150274.6
2025-08-13,1420.0,1470.0,1420.0,1450.51,1.93,13039,18957538.9
2025-08-12,1425.0,1440.0,1416.0,1423.01,-0.64,8097,11558420.9
2025-08-11,1475.0,1475.0,1427.0,1432.2,-2.62,9448,13625642.4
2025-08-07,1470.0,1498.0,1470.0,1470.77,0.02,5347,7897764.9
2025-08-06,1444.23,1475.0,1435.0,1470.46,1.82,12564,18406831.8
2025-08-05,1427.0,1501.0,1410.5,1444.23,1.23,12215,17662327.1
2025-08-04,1444.2,1444.3,1400.0,1426.71,0.74,8482,12027044.5
2025-08-03,1451.0,1451.0,1415.0,1416.17,-2.97,23545,33544146.3
2025-07-31,1478.0,1508.0,1455.0,1459.58,-1.48,25960,38311320.2
2025-07-30,1545.0,1545.0,1480.0,1481.57,-2.86,21333,32003352.0
2025-07-29,1538.0,1568.0,1512.0,1525.2,1.1,18680,28578658.2
2025-07-28,1510.2,1520.0,1480.0,1508.57,-0.53,21859,32814977.7
2025-07-27,1520.0,1549.0,1515.0,1516.57,-0.31,24665,37678832.4
2025-07-24,1535.1,1539.7,1506.0,1521.35,-0.85,12087,18401883.0
2025-07-23,1550.0,1550.0,1527.0,1534.46,-0.87,20736,31860432.1
2025-07-22,1506.0,1580.6,1491.0,1547.86,2.78,25554,39538369.7
2025-07-21,1481.0,1515.0,1476.0,1506.0,0.3,23701,35496730.4
2025-07-20,1539.3,1539.3,1490.0,1501.52,-0.51,27416,41541348.4
2025-07-17,1508.9,1527.1,1500.0,1509.18,0.8,18725,28304007.3
2025-07-16,1500.0,1515.0,1495.0,1497.27,0.03,17412,26152332.2
2025-07-15,1487.0,1509.5,1481.1,1496.78,0.63,12621,18850126.3
2025-07-14,1505.0,1510.0,1460.0,1487.38,0.46,39237,58588502.9
2025-07-13,1360.0,1485.0,1360.0,1480.62,9.61,48881,71139190.4
2025-07-10,1346.0,1359.0,1336.0,1350.75,1.8,8878,11990999.4
2025-07-09,1320.0,1346.0,1320.0,1326.85,0.52,6836,9120193.5
2025-07-08,1329.0,1330.0,1314.0,1319.94,-0.95,3305,4368187.2
2025-07-07,1338.0,1347.9,1330.5,1332.61,-0.7,4057,5427399.6
2025-07-06,1350.0,1365.0,1333.0,1342.02,0.04,14404,19421090.0
2025-07-03,1335.0,1342.9,1323.0,1341.42,0.53,5509,7357876.5
2025-07-02,1340.0,1350.0,1321.0,1334.4,-0.14,10625,14241382.3
2025-07-01,1315.08,1340.0,1311.0,1336.24,1.61,7491,9919297.8
2025-06-30,1312.0,1329.0,1312.0,1315.08,0.24,4532,5975885.1
2025-06-29,1290.1,1320.0,1290.0,1311.91,1.28,11579,15087367.1
2025-06-26,1285.1,1303.0,1285.1,1295.28,0.39,6501,8416283.2
2025-06-25,1286.1,1300.1,1286.1,1290.24,-0.64,4150,5376596.1
2025-06-24,1290.0,1302.0,1284.0,1298.61,1.1,9410,12199722.7
2025-06-23,1299.9,1300.0,1281.1,1284.48,0.2,2226,2863345.2
2025-06-22,1272.0,1300.0,1272.0,1281.91,-0.16,10673,13721892.9
2025-06-19,1280.1,1300.0,1280.1,1283.94,-0.62,6548,8414414.8
2025-06-18,1315.0,1315.0,1287.0,1291.91,0.13,3825,4947671.4
2025-06-17,1279.0,1309.0,1279.0,1290.26,0.45,5159,6681743.3
