date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,307.1,315.0,307.1,307.6,-0.45,128416,39915223.2
2026-02-11,310.0,314.0,305.1,309.0,-0.29,90567,27945074.2
2026-02-10,312.0,314.0,304.1,309.9,-0.13,105744,32823971.2
2026-02-09,319.0,319.0,308.7,310.3,-2.73,98456,30778334.1
2026-02-08,310.0,326.0,308.4,319.0,4.49,369035,117275486.2
2026-02-05,298.0,311.0,297.1,305.3,2.79,133197,40686864.3
2026-02-04,300.5,303.0,295.0,297.0,-0.97,32281,9631369.0
2026-02-03,300.6,312.0,296.0,299.9,1.32,67472,20259818.2
2026-02-02,296.0,302.0,295.0,296.0,-1.33,44017,13085904.0
2026-02-01,306.0,308.0,297.0,300.0,-1.32,60091,18118659.0
2026-01-29,300.0,310.0,300.0,304.0,1.33,134687,41248768.7
2026-01-28,290.0,302.0,290.0,300.0,1.69,93792,27780950.3
2026-01-27,309.0,315.0,293.0,295.0,-3.28,136486,41184047.7
2026-01-26,315.0,316.7,300.1,305.0,-2.56,143099,43783060.3
2026-01-25,295.0,320.0,295.0,313.0,4.33,147817,46021518.7
2026-01-22,288.0,300.0,285.0,300.0,4.64,123773,36540130.0
2026-01-21,290.0,294.0,285.6,286.7,-1.14,50257,14507044.6
2026-01-20,290.7,294.0,285.9,290.0,1.75,67493,19616235.1
2026-01-18,288.0,288.9,283.0,285.0,0.35,34018,9695909.0
2026-01-14,283.1,288.6,280.8,284.0,-0.35,46156,13146401.5
2026-01-13,287.0,287.0,279.2,285.0,1.1,29585,8355726.6
2026-01-12,288.2,288.2,280.0,281.9,-0.28,25023,7046879.8
2026-01-08,282.0,287.0,281.5,282.7,-0.46,28391,8059392.4
2026-01-07,290.0,290.2,283.0,284.0,-1.73,20376,5826576.0
2026-01-06,287.0,294.0,284.0,289.0,0.87,59631,17198771.1
2026-01-05,280.0,286.5,279.0,286.5,2.03,48092,13643093.0
2026-01-04,281.0,285.5,279.0,280.8,-0.07,24915,6985118.7
2026-01-01,285.0,285.0,280.0,281.0,-1.78,43706,12290407.1
2025-12-31,290.0,292.0,286.1,286.1,-0.1,27003,7806367.1
2025-12-29,290.0,297.0,286.4,286.4,-1.24,68125,19829923.7
2025-12-28,276.3,291.0,273.0,290.0,6.97,72438,20654061.7
2025-12-24,273.0,275.0,271.1,271.1,-0.4,30952,8450417.8
2025-12-23,280.8,280.8,271.0,272.2,-1.38,43081,11762885.5
2025-12-22,282.0,284.5,275.6,276.0,-1.74,60075,16667302.9
2025-12-21,288.0,290.0,275.2,280.9,-3.83,124736,35236417.7
2025-12-18,295.0,302.4,292.0,292.1,-1.48,41410,12173220.8
2025-12-17,295.0,301.9,295.0,296.5,0.17,48903,14541856.1
2025-12-16,292.0,297.8,292.0,296.0,1.3,61402,18045716.6
2025-12-15,294.0,298.0,290.0,292.2,-0.61,58986,17351544.1
2025-12-14,297.0,304.9,292.6,294.0,-2.0,83541,24894752.6
2025-12-11,303.0,305.0,298.1,300.0,-0.99,120494,36217824.5
2025-12-10,307.1,310.8,300.4,303.0,-1.62,136354,41405118.3
2025-12-09,309.2,314.0,308.0,308.0,-0.61,60991,18877016.3
2025-12-08,310.7,314.9,307.0,309.9,-0.26,72177,22370287.4
2025-12-07,311.2,319.9,307.0,310.7,-1.99,194161,60324500.7
2025-12-03,319.0,329.0,317.0,317.0,-2.46,111459,35813256.6
2025-12-02,320.0,326.4,311.0,325.0,2.85,130791,42006585.0
2025-12-01,313.0,326.0,300.7,316.0,-0.94,227233,71697889.5
2025-11-30,337.3,337.3,314.0,319.0,-7.29,673834,218165670.1
2025-11-27,349.9,377.6,337.2,344.1,-3.61,199337,68800725.6
2025-11-26,369.2,369.2,350.0,357.0,-1.38,86219,30672796.3
2025-11-25,373.3,373.3,350.0,362.0,-4.96,91915,33113337.5
2025-11-24,353.9,388.6,346.9,380.9,7.63,196625,69182846.5
2025-11-23,340.0,356.9,332.3,353.9,5.93,153693,53473169.1
2025-11-20,336.2,353.5,330.0,334.1,-2.59,59869,20361987.2
2025-11-19,347.0,353.0,335.3,343.0,-1.15,69901,23905047.0
2025-11-18,345.0,363.1,340.0,347.0,0.87,166453,59025969.4
