date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,1152.0,1152.0,1135.0,1135.0,0.44,246,281375.3
2026-02-11,1179.9,1179.9,1127.0,1130.0,-3.0,3850,4352569.0
2026-02-10,1150.0,1165.0,1142.0,1165.0,-0.43,1192,1367157.0
2026-02-09,1156.0,1179.0,1148.1,1170.0,0.43,914,1053700.7
2026-02-08,1175.0,1180.0,1156.1,1165.0,-1.1,3177,3695912.9
2026-02-05,1184.0,1184.0,1162.2,1178.0,-0.51,1906,2225264.6
2026-02-04,1160.4,1207.6,1160.1,1184.0,0.0,1419,1674166.2
2026-02-03,1179.5,1184.0,1164.1,1184.0,0.34,777,908078.0
2026-02-02,1174.5,1180.0,1165.3,1180.0,0.08,629,734328.0
2026-02-01,1170.1,1179.9,1167.0,1179.0,-0.92,1598,1867236.9
2026-01-29,1161.0,1195.0,1161.0,1189.9,0.5,1165,1374466.4
2026-01-28,1180.0,1185.0,1170.0,1184.0,0.34,1293,1518644.6
2026-01-27,1229.0,1229.0,1170.0,1180.0,-2.07,905,1079641.0
2026-01-26,1208.0,1208.0,1161.0,1205.0,-0.25,1489,1764996.9
2026-01-25,1200.0,1208.0,1181.3,1208.0,1.68,1920,2297026.0
2026-01-22,1170.0,1188.0,1162.1,1188.0,0.76,570,666136.6
2026-01-21,1190.0,1200.0,1165.0,1179.0,-0.08,722,844457.0
2026-01-20,1170.0,1207.0,1170.0,1180.0,-0.34,1065,1267350.9
2026-01-18,1167.0,1191.1,1165.0,1184.0,2.16,1220,1442191.6
2026-01-14,1146.0,1159.0,1136.2,1159.0,0.09,2042,2326991.3
2026-01-13,1145.0,1167.9,1143.2,1158.0,-0.59,563,645737.0
2026-01-12,1169.0,1177.9,1146.0,1164.9,-1.69,1369,1580465.4
2026-01-08,1179.0,1184.9,1156.0,1184.9,0.42,574,667488.0
2026-01-07,1185.8,1186.0,1134.0,1180.0,0.0,1926,2216876.2
2026-01-06,1173.0,1189.0,1143.0,1180.0,0.6,876,1013255.0
2026-01-05,1156.0,1185.0,1150.0,1173.0,-0.34,923,1085652.5
2026-01-04,1178.0,1178.0,1154.5,1177.0,-0.08,471,545329.0
2026-01-01,1156.4,1178.0,1156.0,1178.0,-0.16,164,189454.9
2025-12-31,1179.0,1194.0,1155.5,1179.9,0.08,1226,1439950.4
2025-12-29,1160.9,1179.0,1138.1,1179.0,0.17,410,472361.8
2025-12-28,1150.0,1178.0,1149.1,1177.0,0.68,734,849204.2
2025-12-24,1152.0,1170.0,1140.0,1169.0,-0.49,965,1112803.5
2025-12-23,1153.5,1175.0,1136.0,1174.8,-0.19,626,722489.0
2025-12-22,1161.0,1179.0,1133.9,1177.0,-0.25,137,158871.0
2025-12-21,1200.0,1205.8,1160.0,1180.0,-0.25,1403,1653494.8
2025-12-18,1190.0,1190.0,1165.2,1183.0,-0.17,847,994738.4
2025-12-17,1190.0,1190.1,1173.5,1185.0,-0.42,1202,1423799.3
2025-12-16,1199.0,1199.0,1175.0,1190.0,0.51,931,1102313.9
2025-12-15,1165.6,1186.0,1165.5,1184.0,0.34,405,473798.5
2025-12-14,1208.0,1208.4,1166.3,1180.0,-0.41,760,902973.3
2025-12-11,1170.2,1188.6,1165.3,1184.8,-0.77,501,586961.0
2025-12-10,1192.0,1194.0,1175.0,1194.0,-0.25,753,895147.0
2025-12-09,1177.1,1197.0,1176.0,1197.0,-0.24,587,697519.2
2025-12-08,1202.5,1202.5,1155.0,1199.9,1.69,729,866024.0
2025-12-07,1219.0,1220.0,1180.0,1180.0,-3.28,1153,1387411.1
2025-12-03,1195.6,1223.5,1185.0,1220.0,0.0,887,1066038.0
2025-12-02,1230.0,1230.0,1200.0,1220.0,0.08,176,213015.0
2025-12-01,1222.0,1222.0,1199.0,1219.0,-0.25,522,627375.0
2025-11-30,1241.7,1242.1,1200.0,1222.0,-3.55,1400,1706050.4
2025-11-27,1259.9,1308.0,1192.4,1267.0,2.05,2019,2521591.9
2025-11-26,1195.0,1272.9,1179.0,1241.5,3.36,3261,3952765.3
2025-11-25,1180.5,1277.0,1180.5,1201.1,1.7,1924,2348025.3
2025-11-24,1171.0,1181.0,1165.0,1181.0,2.7,1278,1501857.3
2025-11-23,1165.0,1169.0,1142.5,1150.0,0.21,1681,1941930.7
2025-11-20,1147.0,1148.0,1120.0,1147.6,1.11,2149,2410999.0
2025-11-19,1122.1,1139.0,1120.0,1135.0,-0.67,615,690522.6
2025-11-18,1122.0,1142.7,1120.0,1142.7,1.84,1385,1554329.0
2025-11-17,1120.3,1140.0,1120.3,1122.0,-1.58,590,662108.0
2025-11-16,1161.5,1172.0,1118.0,1140.0,-0.87,548,622751.0
2025-11-13,1120.0,1150.0,1095.0,1150.0,0.97,388,435524.5
