date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,9.87,10.3,9.87,10.3,3.0,16500,167882.0
2026-02-11,9.83,10.06,9.83,10.0,-0.2,4510,44987.0
2026-02-10,9.87,10.07,9.87,10.02,0.0,14300,143303.05
2026-02-09,9.92,10.14,9.92,10.02,-0.99,23914,239316.0
2026-02-08,10.04,10.3,9.84,10.12,-1.17,9820,99408.3
2026-02-05,10.12,10.25,10.1,10.24,1.19,13000,132260.0
2026-02-04,10.1,10.2,10.1,10.12,-0.69,19810,201140.0
2026-02-03,10.18,10.19,10.06,10.19,0.1,143600,1460269.5
2026-02-02,10.15,10.34,10.14,10.18,0.3,71459,734176.62
2026-02-01,10.14,10.17,10.14,10.15,-0.2,23100,234668.0
2026-01-29,10.1,10.17,10.1,10.17,0.2,18700,189406.0
2026-01-28,10.12,10.2,10.03,10.15,-0.2,85558,861368.9
2026-01-27,10.0,10.19,9.95,10.17,1.7,102400,1038207.0
2026-01-26,10.05,10.11,9.9,10.0,-0.5,6000,59996.0
2026-01-25,9.9,10.05,9.75,10.05,1.21,4100,40503.0
2026-01-22,9.67,10.15,9.67,9.93,0.71,34029,342046.69
2026-01-21,9.81,10.01,9.81,9.86,0.1,7010,69359.9
2026-01-20,9.8,10.0,9.8,9.85,1.23,14320,141660.0
2026-01-18,9.63,9.8,9.63,9.73,-0.61,7700,74792.0
2026-01-14,9.55,9.79,9.4,9.79,0.51,11050,106942.5
2026-01-13,9.75,9.85,9.66,9.74,-0.1,10320,100584.0
2026-01-12,9.64,9.87,9.64,9.75,1.14,29350,288417.5
2026-01-08,9.59,9.78,9.59,9.64,-1.43,2200,21234.0
2026-01-07,9.78,9.8,9.59,9.78,-0.2,17600,171982.0
2026-01-06,9.69,9.89,9.69,9.8,1.03,46855,461997.55
2026-01-05,9.51,9.75,9.51,9.7,0.0,18492,180009.2
2026-01-04,9.6,9.8,9.6,9.7,0.73,37970,368629.7
2026-01-01,9.62,9.64,9.62,9.63,-0.72,2900,27927.0
2025-12-31,9.6,9.7,9.6,9.7,0.21,3600,34787.0
2025-12-29,9.55,9.75,9.55,9.68,1.36,16600,161295.0
2025-12-28,9.41,9.6,9.41,9.55,0.84,10000,95171.0
2025-12-24,9.42,9.63,9.41,9.47,-0.84,9700,92783.0
2025-12-23,9.39,9.55,9.39,9.55,1.6,8300,78916.0
2025-12-22,9.25,9.44,9.25,9.4,-0.11,6700,62836.0
2025-12-21,9.4,9.58,9.39,9.41,0.11,11832,111530.12
