date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,960.5,960.5,898.0,901.0,-7.59,13296,12341917.6
2026-02-11,1009.0,1010.0,959.0,975.0,-2.06,7280,7140096.1
2026-02-10,919.0,1025.0,919.0,995.5,6.36,10425,10237440.7
2026-02-09,995.0,1000.0,922.3,936.0,-4.68,17967,17083398.1
2026-02-08,1099.6,1185.0,970.3,982.0,-8.91,60968,62970263.7
2026-02-05,989.0,1078.1,989.0,1078.1,10.0,22551,24267621.0
2026-02-04,908.8,980.1,908.8,980.1,10.0,17288,16863618.4
2026-02-03,810.0,891.0,807.0,891.0,10.0,25025,21534493.5
2026-02-02,790.0,818.0,790.0,810.0,2.53,7698,6214718.5
2026-02-01,788.0,810.0,780.0,790.0,-1.55,5836,4639944.4
2026-01-29,814.0,822.9,800.0,802.4,-1.18,9518,7657397.8
2026-01-28,810.0,817.0,802.1,812.0,-0.61,6336,5119415.1
2026-01-27,810.0,831.0,810.0,817.0,0.0,8265,6806522.0
2026-01-26,820.0,830.0,805.6,817.0,-0.37,10505,8630669.4
2026-01-25,791.2,824.0,790.2,820.0,2.63,10710,8705388.7
2026-01-22,798.9,800.0,790.0,799.0,-0.11,4627,3674599.0
2026-01-21,800.0,805.0,790.0,799.9,-1.0,2402,1911312.9
2026-01-20,812.5,819.9,796.3,808.0,1.25,4891,3955590.2
2026-01-18,775.0,800.0,775.0,798.0,1.53,4132,3259908.4
2026-01-14,786.0,795.6,780.0,786.0,-0.08,2405,1887273.1
2026-01-13,775.6,794.0,775.6,786.6,-0.43,2502,1975280.5
2026-01-12,783.0,798.0,783.0,790.0,-0.99,2397,1895818.0
2026-01-08,799.0,799.0,784.0,797.9,0.87,2425,1912446.6
2026-01-07,800.0,813.9,790.0,791.0,-2.83,2669,2128333.1
2026-01-06,826.3,829.9,811.1,814.0,0.25,5572,4566000.7
2026-01-05,775.0,826.6,775.0,812.0,4.64,9276,7373308.6
2026-01-04,775.0,785.0,770.0,776.0,-1.77,4910,3812392.3
2026-01-01,798.2,799.5,781.0,790.0,-2.47,7795,6151393.0
2025-12-31,811.0,825.0,797.0,810.0,-1.58,10049,8077022.9
2025-12-29,835.0,835.0,813.0,823.0,-1.44,7655,6296213.0
2025-12-28,840.0,840.0,827.2,835.0,-0.6,2830,2355365.8
2025-12-24,857.8,857.8,833.0,840.0,-0.12,1400,1171912.0
2025-12-23,859.9,859.9,831.1,841.0,-0.49,1226,1025502.9
2025-12-22,850.1,860.0,845.1,845.1,-1.22,3284,2800705.2
2025-12-21,855.2,860.0,854.0,855.5,-1.62,1943,1663230.0
2025-12-18,853.2,874.0,853.2,869.6,0.42,1065,919804.5
2025-12-17,873.0,878.0,850.0,866.0,-0.12,2817,2430762.0
2025-12-16,866.0,869.8,860.0,867.0,0.7,3926,3383674.5
2025-12-15,893.0,904.0,890.0,904.0,1.23,3343,3002887.8
2025-12-14,900.0,910.0,893.0,893.0,-1.11,4485,4028693.9
