date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,9.4,9.49,9.31,9.38,0.86,11600,109057.0
2026-02-11,9.39,9.39,9.2,9.3,-2.92,3710,34320.4
2026-02-10,9.34,9.58,9.31,9.58,2.57,12610,119850.3
2026-02-09,9.31,9.5,9.31,9.34,-0.11,3960,37057.0
2026-02-08,9.22,9.55,9.22,9.35,-0.21,8920,83991.0
2026-02-05,9.16,9.51,9.16,9.37,0.32,3189,29860.24
2026-02-04,9.5,9.5,9.31,9.34,-3.61,3180,29713.4
2026-02-03,9.41,9.69,9.41,9.69,0.94,4670,44302.3
2026-02-02,9.79,9.79,9.44,9.6,0.0,10790,102885.0
2026-02-01,9.7,9.75,9.54,9.6,-2.93,13550,130919.5
2026-01-29,9.89,9.89,9.7,9.89,1.96,274211,2710048.99
2026-01-28,9.93,9.93,9.6,9.7,-0.41,50477,486028.2
2026-01-27,9.94,9.94,9.36,9.74,-0.1,5098,48696.99
2026-01-26,9.5,9.83,9.2,9.75,4.61,103200,996256.12
2026-01-25,9.43,9.43,9.25,9.32,0.76,4810,44829.0
2026-01-22,9.28,9.4,9.12,9.25,-2.22,6250,58126.5
2026-01-21,9.48,9.64,9.13,9.46,1.72,17600,165117.0
2026-01-20,9.58,10.34,9.15,9.3,-1.06,35250,341157.0
2026-01-18,9.47,9.47,9.11,9.4,1.18,21468,198843.2
2026-01-14,9.38,9.38,8.31,9.29,0.98,20186,180258.2
2026-01-13,9.07,9.25,9.07,9.2,-0.54,6200,56513.0
2026-01-12,9.42,9.42,9.15,9.25,0.11,7300,67381.0
2026-01-08,9.4,9.4,9.06,9.24,0.0,1710,15728.4
2026-01-07,9.25,9.25,8.95,9.24,1.87,27230,250032.7
2026-01-06,9.29,9.29,8.93,9.07,-0.44,6163,55858.07
2026-01-05,9.3,9.3,9.11,9.11,-0.98,10900,100257.0
2026-01-04,9.3,9.38,9.02,9.2,0.0,3710,33778.4
2026-01-01,9.2,9.28,9.02,9.2,2.0,20800,189729.5
2025-12-31,8.98,9.18,8.98,9.02,-0.99,6497,59303.99
2025-12-29,9.35,9.35,8.82,9.11,-0.65,27725,253494.0
2025-12-28,9.36,9.36,8.93,9.17,-0.11,35000,316397.0
2025-12-24,9.1,9.18,8.92,9.18,2.0,7900,70767.0
2025-12-23,8.84,9.19,8.84,9.0,-0.22,5210,46565.9
2025-12-22,8.95,9.12,8.95,9.02,-0.88,17300,156241.0
2025-12-21,9.3,9.3,8.94,9.1,-0.98,14100,128502.0
2025-12-18,8.93,9.21,8.93,9.19,1.77,13150,120320.4
2025-12-17,8.95,9.21,8.95,9.03,0.0,36300,330739.25
2025-12-16,8.93,9.1,8.92,9.03,0.0,29070,262371.1
2025-12-15,9.0,9.12,9.0,9.03,-0.77,5540,49982.0
2025-12-14,9.02,9.2,8.87,9.1,0.89,24900,224434.0
2025-12-11,8.98,9.16,8.98,9.02,-1.53,2750,24874.0
2025-12-10,9.01,9.19,9.01,9.16,-0.33,9145,83213.9
2025-12-09,9.32,9.32,9.08,9.19,0.55,159457,1479049.23
2025-12-08,8.83,9.17,8.82,9.14,1.56,4600,40841.0
2025-12-07,9.0,9.18,9.0,9.0,-0.55,11075,99877.5
2025-12-03,9.27,9.27,9.05,9.05,-0.44,7600,68890.0
2025-12-02,9.09,9.25,8.92,9.09,1.91,15830,142782.4
2025-12-01,9.26,9.26,8.92,8.92,-1.98,2350,21331.0
