date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,935.0,935.0,915.0,917.0,-0.84,6085,5608556.9
2026-02-11,936.0,938.0,920.0,924.8,0.2,2545,2353393.9
2026-02-10,921.8,930.0,915.0,923.0,-0.22,1842,1698819.9
2026-02-09,925.0,941.0,923.0,925.0,-0.64,3104,2886269.3
2026-02-08,922.3,953.0,922.3,931.0,-0.43,3138,2937123.9
2026-02-05,922.3,957.0,922.3,935.0,0.95,3091,2913566.4
2026-02-04,956.0,957.0,926.2,926.2,-1.99,3460,3245739.7
2026-02-03,953.7,953.9,925.0,945.0,0.43,4150,3863172.1
2026-02-02,955.0,955.0,940.2,941.0,-1.27,2557,2408269.3
2026-02-01,947.0,963.9,947.0,953.1,0.22,3035,2903632.8
2026-01-29,960.0,961.8,943.4,951.0,-1.12,6144,5865866.4
2026-01-28,943.0,961.8,935.0,961.8,1.99,11456,10750226.5
2026-01-27,970.0,970.0,942.0,943.0,-1.77,5391,5105939.2
2026-01-26,960.2,971.9,948.0,960.0,-0.01,8047,7714175.1
2026-01-25,960.2,970.0,950.0,960.1,-0.01,7785,7488007.4
2026-01-22,964.0,964.0,933.1,960.2,0.86,9323,8797503.6
2026-01-21,968.0,968.0,952.0,952.0,-0.21,6382,6098306.3
2026-01-20,979.9,979.9,951.6,954.0,-1.14,5114,4916519.6
2026-01-18,955.0,984.8,937.1,965.0,1.26,5219,5038104.1
2026-01-14,955.0,955.0,924.0,953.0,0.85,5995,5606190.5
2026-01-13,964.0,964.0,921.3,945.0,-0.53,10428,9763901.2
2026-01-12,969.0,988.0,950.0,950.0,-3.85,15901,15265760.8
2026-01-08,973.2,992.0,970.0,988.0,-0.5,4657,4530405.5
2026-01-07,980.0,995.0,969.0,993.0,-0.7,7662,7523155.0
2026-01-06,980.0,1080.0,980.0,1000.0,0.0,6392,6355380.4
2026-01-05,963.1,1015.0,963.1,1000.0,1.76,11222,11174497.4
2026-01-04,1096.7,1140.0,1045.0,1081.0,-3.4,25895,27795706.0
2026-01-01,1065.3,1140.0,1042.0,1119.0,2.94,20959,22319773.5
2025-12-31,1035.9,1119.0,1035.9,1087.0,2.84,16189,17248828.5
2025-12-29,1026.1,1131.0,1026.1,1057.0,0.96,4184,4402001.0
2025-12-28,1036.9,1055.0,1030.1,1047.0,0.97,6011,6272500.6
2025-12-24,1000.0,1071.0,1000.0,1036.9,2.16,4804,5015755.3
2025-12-23,1059.0,1059.0,1012.0,1015.0,-2.31,2903,2967310.8
2025-12-22,1014.3,1075.6,1000.7,1039.0,0.4,9776,10020797.1
2025-12-21,1058.4,1070.0,1016.0,1034.9,-4.18,18200,18810812.5
2025-12-18,1078.0,1098.0,1043.0,1080.0,-1.82,13785,14472044.6
2025-12-17,1087.8,1100.0,1045.0,1100.0,-0.9,11218,12016889.9
2025-12-16,1029.1,1110.0,1029.1,1110.0,5.7,5504,5877344.0
2025-12-15,1020.7,1104.0,1020.7,1050.1,0.83,5160,5406633.3
2025-12-14,1070.0,1090.9,1036.0,1041.5,-2.94,30362,31833276.0
2025-12-11,1100.0,1110.0,1045.0,1073.0,-1.56,5241,5597617.5
2025-12-10,1081.0,1189.3,1070.0,1090.0,-0.92,20664,22610313.7
2025-12-09,1115.2,1116.1,1095.2,1100.1,-3.32,11028,12159678.1
2025-12-08,1134.0,1139.0,1110.0,1137.9,0.34,24385,27323454.8
2025-12-07,1110.0,1170.7,1110.0,1134.0,2.16,52118,59479898.9
2025-12-03,1078.0,1122.0,1078.0,1110.0,0.91,18238,20194711.0
2025-12-02,1058.4,1135.0,1058.4,1100.0,1.85,19761,22031514.2
2025-12-01,1028.0,1128.0,1028.0,1080.0,3.05,15371,16564729.6
2025-11-30,1015.3,1100.0,1015.3,1048.0,1.16,10530,11019517.5
2025-11-27,1011.4,1036.0,1011.4,1036.0,0.39,1851,1897824.8
2025-11-26,1013.4,1033.0,1013.4,1032.0,-0.19,1816,1871422.7
2025-11-25,1028.1,1055.0,1025.1,1034.0,-1.43,3720,3855834.3
2025-11-24,994.7,1061.2,994.7,1049.0,3.35,6452,6725124.5
2025-11-23,980.0,1025.0,980.0,1015.0,1.71,3147,3188001.8
2025-11-20,987.1,1003.9,986.0,997.9,0.59,1377,1364718.2
2025-11-19,1014.0,1014.0,990.0,992.0,-1.19,904,898149.3
2025-11-18,982.0,1010.0,982.0,1003.9,0.69,1142,1137327.7
2025-11-17,981.0,999.9,981.0,997.0,0.97,641,635267.9
2025-11-16,986.7,1014.0,986.1,987.4,-1.75,366,364536.3
2025-11-13,980.0,1005.0,980.0,1005.0,0.8,2290,2271483.6
2025-11-12,993.5,1013.0,993.5,997.0,-1.0,1397,1393900.5
2025-11-11,982.0,1070.0,982.0,1007.1,0.51,2551,2577677.8
2025-11-10,995.0,1008.0,991.0,1002.0,0.7,2927,2916482.6
2025-11-09,1002.1,1008.0,986.0,995.0,-2.64,2886,2861190.4
