date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,521.1,536.0,521.1,535.0,1.9,30147,15999852.8
2026-02-11,534.4,540.0,520.0,525.0,0.19,27610,14576231.5
2026-02-10,531.1,539.0,523.0,524.0,-1.32,42393,22398986.9
2026-02-09,541.1,544.0,528.0,531.0,-2.55,69251,37009515.3
2026-02-08,553.9,554.3,539.0,544.9,0.26,26796,14649731.6
2026-02-05,538.0,552.9,538.0,543.5,1.02,44343,24072121.7
2026-02-04,542.0,548.0,537.1,538.0,-0.37,31123,16817481.4
2026-02-03,542.1,549.0,540.0,540.0,-0.39,41676,22600739.5
2026-02-02,545.1,556.0,541.0,542.1,-2.32,58233,31980863.6
2026-02-01,587.1,587.1,548.0,555.0,-7.35,65933,36432551.1
2026-01-29,555.0,608.0,550.0,599.0,8.32,125553,69930947.6
2026-01-28,555.0,555.0,543.0,553.0,1.15,91951,50350975.0
2026-01-27,546.9,567.0,546.7,546.7,-2.03,92053,51070886.5
2026-01-26,570.0,621.0,558.0,558.0,-2.96,152959,86910724.6
2026-01-25,575.2,633.4,565.0,575.0,-2.03,222018,128106342.7
2026-01-22,613.5,613.5,565.0,586.9,-6.25,194616,112233206.4
2026-01-21,560.0,626.0,550.0,626.0,9.84,274301,154241439.7
2026-01-20,545.5,572.0,543.0,569.9,6.54,244297,136154359.9
2026-01-18,524.9,539.9,524.9,534.9,2.18,35986,19218343.2
2026-01-14,530.4,530.4,518.0,523.5,0.67,19932,10362778.5
2026-01-13,520.0,523.1,517.0,520.0,0.97,13683,7126847.1
2026-01-12,523.0,527.0,515.0,515.0,-1.72,36873,19136133.9
2026-01-08,530.0,530.0,521.0,524.0,-0.7,10946,5749976.4
2026-01-07,540.0,540.0,527.0,527.7,-2.46,6138,3249843.6
2026-01-06,548.8,548.8,520.0,541.0,-3.39,46759,25006722.3
2026-01-05,522.0,570.0,519.0,560.0,8.07,73496,38397010.7
2026-01-04,531.0,531.0,518.0,518.2,-2.38,38263,19917051.6
2026-01-01,543.0,575.0,539.1,568.0,4.6,41716,22805008.7
2025-12-31,549.0,549.0,537.0,543.0,-0.37,48168,26062232.3
2025-12-29,550.0,550.0,540.0,545.0,0.06,17894,9748448.1
2025-12-28,542.0,546.0,534.0,544.7,2.46,16183,8777777.3
2025-12-24,545.6,545.6,531.6,531.6,-1.35,12428,6659194.6
2025-12-23,539.9,539.9,535.3,538.9,0.92,6682,3587604.8
2025-12-22,543.0,546.8,534.0,534.0,-1.48,19079,10271898.0
2025-12-21,545.0,545.0,538.0,542.0,-0.24,17020,9196898.1
2025-12-18,550.0,552.9,543.0,543.3,-1.22,14552,7959480.4
2025-12-17,540.0,550.0,540.0,550.0,0.92,21584,11815495.1
2025-12-16,538.0,557.0,537.0,545.0,1.3,18366,10019352.0
2025-12-15,537.0,541.0,536.1,538.0,0.34,12897,6948786.1
2025-12-14,540.1,551.0,536.0,536.2,-0.8,22187,12030598.2
2025-12-11,534.1,550.0,534.1,540.5,-0.83,26758,14518988.0
2025-12-10,540.3,549.0,540.3,545.0,0.37,22256,12065195.3
2025-12-09,540.0,548.7,540.0,543.0,0.18,18766,10208547.1
2025-12-08,548.0,556.0,542.0,542.0,-1.11,29695,16157024.5
2025-12-07,558.0,563.0,548.1,548.1,-1.95,27528,15215706.8
2025-12-03,567.0,570.0,555.0,559.0,-0.36,68416,38509285.7
2025-12-02,556.2,561.9,554.0,561.0,0.88,33636,18790696.6
2025-12-01,553.4,560.0,552.0,556.1,0.74,28163,15659937.8
