date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,9.51,9.58,9.4,9.58,0.0,400,3800.0
2026-02-11,9.24,9.58,9.24,9.58,1.91,3650,34718.0
2026-02-10,9.52,9.52,9.33,9.4,0.64,3400,32186.0
2026-02-09,9.3,9.4,9.3,9.34,-0.85,400,3734.0
2026-02-08,9.46,9.5,9.31,9.42,-2.38,1400,13193.0
2026-02-05,9.38,9.76,9.31,9.65,0.84,375165,3628390.75
2026-02-04,9.31,9.58,9.31,9.57,0.84,80350,757795.0
2026-02-03,9.5,9.5,8.83,9.49,-1.15,50800,468081.0
2026-02-02,9.6,9.79,9.39,9.6,-0.31,67820,641508.8
2026-02-01,9.65,9.75,9.5,9.63,-2.03,6330,61279.2
2026-01-29,9.34,9.83,9.34,9.83,3.91,3200,30787.0
2026-01-28,9.34,9.58,9.34,9.46,0.64,11173,106487.34
2026-01-27,9.43,9.43,9.4,9.4,1.62,25175,237327.25
2026-01-26,9.22,9.4,9.22,9.25,-1.6,19087,179111.8
2026-01-25,9.15,9.44,9.15,9.4,1.51,7203,67161.99
2026-01-22,9.25,9.3,9.25,9.26,-0.75,2500,23215.0
2026-01-21,9.24,9.33,9.14,9.33,2.98,8400,77930.0
2026-01-20,8.93,9.1,8.93,9.06,-0.44,1600,14420.0
2026-01-18,9.0,9.16,9.0,9.1,-0.66,2510,22811.0
2026-01-14,8.91,9.16,8.91,9.16,1.89,3600,32743.0
2026-01-13,8.95,9.0,8.95,8.99,-0.99,4750,42573.5
2026-01-12,8.85,9.08,8.85,9.08,0.89,6490,58473.7
2026-01-08,8.86,9.0,8.86,9.0,-0.11,1100,9850.0
2026-01-07,9.0,9.1,9.0,9.01,-0.99,400,3612.0
2026-01-06,9.0,9.21,9.0,9.1,-0.44,18000,163929.55
2026-01-05,8.9,9.15,8.9,9.14,1.78,8803,79377.91
2026-01-04,8.96,8.98,8.96,8.98,-1.32,600,5382.0
2026-01-01,8.96,9.18,8.96,9.1,0.0,6900,63112.0
2025-12-31,8.9,9.18,8.9,9.1,1.11,19087,174995.66
2025-12-29,8.89,9.1,8.89,9.0,0.78,7810,70865.0
2025-12-28,8.8,8.93,8.8,8.93,-0.33,3550,31616.5
2025-12-24,8.85,8.96,8.85,8.96,0.79,1600,14300.0
2025-12-23,8.83,9.06,8.83,8.89,0.0,4000,35887.0
2025-12-22,8.98,9.15,8.82,8.89,-1.0,3000,27045.2
2025-12-21,8.81,9.04,8.81,8.98,1.24,30850,277797.0
2025-12-18,8.87,9.0,8.87,8.87,-0.11,850,7541.8
2025-12-17,8.82,8.88,8.82,8.88,0.91,1000,8852.0
2025-12-16,8.7,8.87,8.7,8.8,-0.79,2900,25365.0
2025-12-15,8.7,8.87,8.7,8.87,1.03,1120,9826.2
2025-12-14,8.61,8.95,8.61,8.78,0.0,7600,66768.5
2025-12-11,8.55,8.88,8.41,8.78,0.8,23428,205543.56
2025-12-10,8.54,8.71,8.54,8.71,0.11,1100,9444.0
2025-12-09,9.02,9.02,8.7,8.7,-1.69,2200,19464.0
2025-12-08,8.71,8.85,8.71,8.85,-0.11,5948,52497.8
2025-12-07,8.5,8.86,8.5,8.86,2.55,10665,92844.4
2025-12-03,8.97,8.97,8.64,8.64,-1.82,2310,20434.0
2025-12-02,8.8,8.8,8.8,8.8,0.0,500,4400.0
2025-12-01,8.55,8.8,8.47,8.8,1.15,5750,50382.0
2025-11-30,8.63,8.82,8.63,8.7,-1.14,21950,191305.5
2025-11-27,8.65,8.8,8.65,8.8,-0.11,1400,12260.0
