date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,480.4,487.0,470.0,476.9,1.25,81436,38770716.0
2026-02-11,477.0,480.0,467.1,471.0,-0.21,45891,21699219.4
2026-02-10,482.0,492.0,467.1,472.0,-0.21,65123,30616360.6
2026-02-09,480.0,485.0,470.5,473.0,-1.46,87812,41638784.5
2026-02-08,493.8,493.9,479.0,480.0,-1.03,76440,36993415.5
2026-02-05,482.9,486.9,475.0,485.0,1.04,83073,40093410.4
2026-02-04,481.0,483.4,473.1,480.0,1.27,109659,52223009.9
2026-02-03,490.0,490.0,474.0,474.0,-2.47,96035,46014482.3
2026-02-02,484.1,490.0,483.8,486.0,0.41,106224,51654301.3
2026-02-01,483.0,490.0,478.0,484.0,-0.41,149155,72094196.2
2026-01-29,508.9,508.9,486.0,486.0,-2.9,249106,123096253.5
2026-01-28,505.0,514.9,492.3,500.5,-0.89,175432,87816144.2
2026-01-27,523.7,555.0,500.0,505.0,-1.94,400663,206958949.3
2026-01-26,527.3,530.0,510.0,515.0,-1.53,251990,130645888.5
2026-01-25,488.1,525.0,488.1,523.0,5.02,307178,158543155.2
2026-01-22,500.0,500.0,491.0,498.0,-0.4,169497,83847521.7
2026-01-21,515.0,515.0,495.1,500.0,-1.19,222816,111982981.1
2026-01-20,504.8,515.0,502.0,506.0,2.22,253034,128855098.8
2026-01-18,487.0,509.0,487.0,495.0,1.68,337956,168647156.0
2026-01-14,486.6,502.0,486.1,486.8,-1.95,162085,79986891.4
2026-01-13,490.1,505.0,489.2,496.5,1.74,317450,158284986.2
2026-01-12,476.1,493.0,476.1,488.0,2.87,257595,125351266.5
2026-01-08,479.0,480.0,469.0,474.4,0.08,100927,47903542.2
2026-01-07,491.0,492.0,471.1,474.0,-2.67,90646,43437264.5
2026-01-06,495.6,502.0,482.0,487.0,0.21,196325,96400359.1
2026-01-05,446.0,486.0,446.0,486.0,6.81,266832,126445832.4
2026-01-04,456.2,464.9,453.0,455.0,-1.09,80260,36745408.3
2026-01-01,463.9,466.0,457.0,460.0,0.44,91145,42103223.1
2025-12-31,466.0,474.0,458.0,458.0,-1.51,84420,39256738.9
2025-12-29,476.0,483.0,463.1,465.0,-2.31,132258,62225435.3
2025-12-28,468.5,479.0,464.2,476.0,3.05,101923,48279961.8
2025-12-24,475.0,481.0,461.9,461.9,-3.57,84716,39893881.7
2025-12-23,489.0,489.0,475.0,479.0,-2.04,145724,69640776.0
2025-12-22,479.0,490.0,470.0,489.0,3.06,214366,103089114.1
2025-12-21,465.0,477.0,460.0,474.5,1.41,231541,108880659.5
2025-12-18,469.0,473.0,461.0,467.9,-0.4,82417,38397426.1
2025-12-17,472.0,479.8,466.0,469.8,-0.45,170021,80527181.4
2025-12-16,450.9,473.0,446.2,471.9,5.81,221803,103044215.2
2025-12-15,444.0,448.7,440.0,446.0,0.79,63687,28284999.0
2025-12-14,440.0,456.0,440.0,442.5,-1.43,43198,19176645.1
2025-12-11,450.0,452.0,446.0,448.9,-0.24,46471,20837444.8
2025-12-10,441.8,456.9,441.8,450.0,-0.18,73125,32936618.9
2025-12-09,450.0,450.9,445.0,450.8,1.49,86272,38679139.2
2025-12-08,445.0,452.5,442.3,444.2,-0.18,53366,23886314.7
2025-12-07,443.0,452.0,441.0,445.0,0.02,79534,35339174.3
2025-12-03,454.0,458.0,442.0,444.9,-1.13,77423,34664688.8
2025-12-02,450.0,458.0,450.0,450.0,-0.55,50966,23090259.6
2025-12-01,449.0,461.0,447.1,452.5,0.78,61734,27998049.9
2025-11-30,458.0,460.0,447.3,449.0,-1.75,54645,24733080.9
2025-11-27,465.0,467.0,455.0,457.0,-1.3,115175,52873148.2
2025-11-26,465.7,472.0,458.1,463.0,-0.64,66512,30838468.3
2025-11-25,482.0,482.0,460.6,466.0,-1.58,51737,24104927.0
