date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,241.7,241.7,230.0,230.5,-2.74,520628,122065076.6
2026-02-11,233.5,241.1,225.5,237.0,3.49,694700,162647461.0
2026-02-10,242.6,259.0,227.0,229.0,-3.74,815589,194835166.4
2026-02-09,220.6,238.2,220.6,237.9,7.84,1586484,370172265.8
2026-02-08,222.3,226.0,220.1,220.6,1.19,430592,96295687.3
2026-02-05,214.2,222.0,210.0,218.0,3.81,420305,91743082.2
2026-02-04,211.0,214.0,207.0,210.0,0.67,141667,29729982.2
2026-02-03,216.8,216.8,207.0,208.6,-1.88,228750,48053906.2
2026-02-02,219.7,219.7,211.7,212.6,-1.53,209565,44870460.9
2026-02-01,224.0,226.0,215.6,215.9,-2.75,222941,48899883.6
2026-01-29,220.0,233.0,218.3,222.0,1.93,653857,149067742.0
2026-01-28,216.0,218.0,210.0,217.8,2.64,244817,52422063.1
2026-01-27,221.0,223.0,210.0,212.2,-4.41,356404,76878397.25
2026-01-26,231.0,231.0,217.0,222.0,-1.99,365931,81048393.6
2026-01-25,224.2,227.6,220.0,226.5,3.0,438489,98600683.4
2026-01-22,210.0,220.3,206.8,219.9,6.28,798119,171299860.9
2026-01-21,209.9,210.0,205.4,206.9,-0.05,211279,43844552.4
2026-01-20,204.0,210.0,202.0,207.0,3.5,248430,51221983.1
2026-01-18,200.0,201.8,198.0,200.0,1.06,110180,21964579.1
2026-01-14,202.0,202.0,196.8,197.9,-1.05,62589,12395561.4
2026-01-13,197.0,202.0,196.0,200.0,0.6,101628,20214289.4
2026-01-12,206.0,206.0,196.6,198.8,-1.58,69141,13781436.7
2026-01-08,205.9,205.9,199.0,202.0,0.0,197024,39596603.8
2026-01-07,200.4,206.0,200.0,202.0,0.9,125070,25371775.3
2026-01-06,196.1,203.6,195.0,200.2,2.09,238406,47634885.7
2026-01-05,197.8,197.8,192.2,196.1,1.08,72499,14080318.6
2026-01-04,195.0,196.8,193.0,194.0,-0.77,52075,10109459.5
2026-01-01,194.2,199.0,194.2,195.5,-0.31,42478,8352866.0
2025-12-31,197.0,200.0,196.0,196.1,-0.15,68376,13488961.5
2025-12-29,201.0,201.0,196.4,196.4,-1.6,46563,9227317.7
2025-12-28,195.5,200.0,194.8,199.6,2.62,100531,19859695.0
2025-12-24,199.0,199.0,193.1,194.5,-0.46,73296,14247795.9
2025-12-23,197.0,197.4,193.6,195.4,0.21,50321,9839651.1
2025-12-22,197.8,199.0,191.2,195.0,0.52,125454,24497138.4
2025-12-21,193.2,197.0,193.1,194.0,-0.51,66019,12829501.7
2025-12-18,193.0,199.8,192.3,195.0,0.05,86853,16992871.8
2025-12-17,195.0,198.9,191.2,194.9,1.14,77504,15160457.3
2025-12-16,196.0,196.0,191.5,192.7,-0.36,40722,7858548.4
2025-12-15,191.6,194.0,191.0,193.4,-0.15,50097,9634927.1
2025-12-14,194.1,195.0,192.1,193.7,-0.21,36433,7031440.7
2025-12-11,197.0,197.0,192.0,194.1,-0.67,55844,10787597.6
2025-12-10,197.8,197.8,193.4,195.4,-0.31,27335,5310635.4
2025-12-09,197.0,200.0,195.2,196.0,-0.51,39430,7760149.9
2025-12-08,193.8,200.0,190.5,197.0,1.65,157003,30943632.2
2025-12-07,193.0,194.0,190.5,193.8,0.41,66550,12809711.3
2025-12-03,191.1,196.0,191.1,193.0,0.0,38250,7408450.3
2025-12-02,195.0,196.0,193.0,193.0,-0.16,51847,10050750.4
2025-12-01,197.0,197.5,193.3,193.3,-1.88,57466,11222072.4
2025-11-30,203.4,203.4,194.1,197.0,-1.25,65950,13011017.8
2025-11-27,200.9,201.9,197.0,199.5,1.27,72822,14502957.2
2025-11-26,195.1,200.6,195.1,197.0,0.0,44739,8870983.5
2025-11-25,200.0,201.9,196.0,197.0,-0.86,66640,13192713.9
2025-11-24,199.0,204.0,197.1,198.7,0.86,62807,12547846.1
2025-11-23,193.0,201.0,193.0,197.0,2.07,126656,25141625.3
2025-11-20,193.1,195.0,190.3,193.0,0.0,60055,11560237.8
2025-11-19,199.0,199.0,192.0,193.0,-1.53,47929,9299892.6
2025-11-18,194.9,198.0,194.9,196.0,1.08,62776,12320377.9
2025-11-17,193.0,195.0,192.0,193.9,0.78,22686,4401319.1
2025-11-16,192.2,195.9,192.1,192.4,-0.82,33534,6483101.4
2025-11-13,190.0,197.3,190.0,194.0,0.26,46391,9031625.1
2025-11-12,200.3,200.3,193.5,193.5,-1.48,41022,8004821.2
2025-11-11,198.0,200.0,196.0,196.4,0.15,36108,7128845.8
2025-11-10,199.0,200.5,196.0,196.1,-0.91,63507,12555095.7
2025-11-09,199.0,202.1,196.6,197.9,-1.1,51400,10212265.8
2025-11-06,202.0,203.6,197.6,200.1,-0.05,54202,10896687.3
2025-11-05,198.1,202.0,196.5,200.2,-0.35,67654,13451218.7
2025-11-04,204.0,207.0,200.0,200.9,-1.52,86236,17437707.3
2025-11-03,207.0,212.0,202.0,204.0,-2.72,100468,20671149.0
2025-11-02,203.0,212.0,200.0,209.7,3.35,126770,26349926.4
2025-10-30,202.0,203.0,196.1,202.9,1.96,104740,20991444.0
2025-10-29,201.5,205.0,197.0,199.0,0.2,106777,21477640.1
2025-10-28,187.4,199.9,185.0,198.6,6.83,96801,18776608.6
2025-10-26,190.0,190.0,180.0,185.9,-1.38,50327,9242537.4
2025-10-19,194.9,195.0,188.0,188.5,-1.82,47083,8960065.4
2025-10-16,192.8,196.6,186.0,192.0,1.05,111734,21120470.3
2025-10-15,191.0,198.0,190.0,190.0,-1.55,66739,12820746.0
2025-10-14,199.1,200.1,192.2,193.0,-3.02,78382,15278595.8
2025-10-13,196.0,199.6,192.2,199.0,1.53,78820,15412470.0
2025-10-12,200.1,200.1,195.0,196.0,-3.11,145484,28547983.7
2025-10-09,203.4,215.0,201.2,202.3,1.4,129229,26628463.2
2025-10-08,204.0,205.0,198.0,199.5,-2.21,147307,29542713.8
2025-10-07,206.0,208.4,203.2,204.0,-1.45,94255,19316884.4
2025-09-28,210.0,211.9,206.2,207.0,-0.48,101495,21083494.4
2025-09-25,207.0,211.0,206.5,208.0,-0.05,75350,15703418.9
2025-09-24,215.0,215.0,207.0,208.1,-2.76,79829,16791338.2
2025-09-23,212.5,214.5,208.0,214.0,2.69,160803,34128305.2
2025-09-21,194.0,212.0,191.0,208.39,7.42,328935,67669160.0
2025-09-18,206.7,206.7,194.0,194.0,-7.99,26821,5261904.0
2025-09-08,217.0,218.0,208.0,210.85,-2.29,247967,52476577.3
2025-09-07,221.9,222.6,215.0,215.79,-1.91,291569,63851455.1
2025-09-04,214.4,222.0,213.0,220.0,0.58,332842,71953593.4
2025-09-03,230.5,250.9,216.6,218.73,-6.99,1211066,273799225.0
2025-09-02,238.0,241.9,232.5,235.18,-1.9,92226,21750084.0
2025-09-01,239.0,243.7,235.0,239.73,-1.52,124890,29857559.3
2025-08-31,235.0,260.6,228.0,243.42,1.65,481841,114168942.7
2025-08-28,238.0,252.2,237.0,239.48,-1.18,334435,81324447.3
