date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,974.9,974.9,925.0,966.9,0.82,274,260299.4
2026-02-11,967.0,985.0,946.0,959.0,1.09,201,191309.0
2026-02-10,949.0,949.0,930.2,948.7,-1.99,1262,1185065.9
2026-02-09,968.3,968.3,924.0,968.0,-2.02,6332,5964300.8
2026-02-08,990.0,990.0,966.0,988.0,-1.1,1974,1928517.4
2026-02-05,985.0,999.0,949.5,999.0,1.1,3841,3702721.2
2026-02-04,988.0,990.0,968.3,988.1,-1.97,818,797154.7
2026-02-02,1004.0,1008.0,946.1,1008.0,2.34,1952,1911122.0
2026-02-01,991.0,1010.0,985.0,985.0,-0.61,166,164196.0
2026-01-29,1015.0,1015.0,990.0,991.0,-3.79,752,748494.8
2026-01-28,1000.2,1030.0,982.0,1030.0,0.98,474,473344.9
2026-01-27,1010.0,1020.0,990.3,1020.0,-0.97,1396,1401800.7
2026-01-26,1027.1,1068.0,1005.3,1030.0,-1.72,2037,2068639.4
2026-01-25,988.0,1048.0,988.0,1048.0,3.97,1490,1535287.3
2026-01-22,992.7,1012.7,965.4,1008.0,1.52,1675,1672004.4
2026-01-21,972.2,993.5,955.0,992.9,0.09,772,759857.8
2026-01-20,942.3,992.0,941.0,992.0,5.46,3193,3084428.7
2026-01-18,948.0,968.9,940.1,940.6,0.81,3210,3042895.0
2026-01-14,908.5,948.6,908.5,933.0,0.65,547,511758.7
2026-01-13,935.0,951.6,921.0,927.0,-2.55,5733,5328627.1
2026-01-12,951.0,951.4,951.0,951.3,-1.93,195,185487.0
2026-01-08,932.1,970.0,932.1,970.0,1.99,3421,3239907.3
2026-01-07,955.0,955.0,951.1,951.1,-1.95,164,156194.0
2026-01-06,964.0,983.0,953.0,970.0,2.62,1327,1270669.0
2026-01-05,930.0,966.9,930.0,945.2,0.55,438,417750.4
2026-01-04,951.0,951.6,932.1,940.0,-2.08,420,395740.0
2026-01-01,970.0,970.0,952.0,960.0,-2.93,84,80853.0
2025-12-31,996.0,996.0,961.0,989.0,-1.56,200,197417.0
2025-12-29,965.3,1004.7,946.0,1004.7,2.0,765,745411.0
2025-12-28,943.2,985.0,943.0,985.0,2.41,793,771337.2
2025-12-24,912.2,961.8,912.2,961.8,3.64,1345,1264354.0
2025-12-23,921.0,945.0,921.0,928.0,-0.96,922,867013.6
2025-12-22,972.6,972.6,937.0,937.0,-5.58,148,143386.4
2025-12-21,926.0,992.4,925.0,992.4,5.57,495,460777.1
2025-12-18,945.0,973.5,935.9,940.0,-1.57,1362,1283815.4
2025-12-17,965.0,965.0,955.0,955.0,-0.52,169,162965.0
2025-12-16,953.2,978.0,953.2,960.0,-1.08,175,167752.0
2025-12-15,970.2,979.0,967.2,970.5,-1.66,280,272225.0
2025-12-14,1014.0,1014.0,965.0,986.9,-4.55,1087,1057836.0
2025-12-11,1033.9,1033.9,1033.9,1033.9,-2.0,50,51695.0
2025-12-10,960.5,1055.0,960.0,1055.0,8.76,4048,3944324.0
2025-12-09,980.0,982.0,963.0,970.0,-1.24,1088,1058709.0
2025-12-08,1000.0,1000.0,981.0,982.2,-1.88,472,465157.0
2025-12-07,995.0,1001.0,985.0,1001.0,-0.4,677,668130.6
2025-12-03,1006.0,1006.0,986.0,1005.0,-2.04,470,468393.0
2025-12-02,1050.0,1050.0,1014.3,1025.9,-2.3,227,233095.0
2025-12-01,1010.0,1050.0,986.2,1050.0,3.96,2933,2947563.0
2025-11-30,980.0,1036.0,980.0,1010.0,1.2,3216,3257261.2
2025-11-27,1024.0,1024.0,976.0,998.0,-1.67,363,362422.0
