date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,209.7,209.7,205.1,207.0,0.68,53728,11081655.2
2026-02-11,210.0,210.0,205.0,205.6,-0.92,68870,14261014.7
2026-02-10,207.0,208.0,206.0,207.5,-0.24,52519,10883048.5
2026-02-09,210.0,210.0,207.6,208.0,-0.43,36757,7650887.6
2026-02-08,210.0,212.0,207.1,208.9,-0.05,56666,11823330.8
2026-02-05,211.6,211.6,207.0,209.0,0.19,54196,11281552.6
2026-02-04,210.5,210.5,208.0,208.6,-0.19,48333,10088796.0
2026-02-03,210.5,213.2,208.6,209.0,-1.55,40427,8466410.8
2026-02-02,217.1,217.1,209.1,212.3,-0.28,89040,18739621.0
2026-02-01,213.0,213.5,210.0,212.9,-1.34,63777,13498822.5
2026-01-29,216.0,216.8,212.0,215.8,-1.86,162275,34707842.4
2026-01-28,221.0,221.0,216.0,219.9,0.64,41714,9078803.8
2026-01-27,220.5,221.0,217.0,218.5,-0.95,72805,15942434.2
2026-01-26,225.0,225.0,220.0,220.6,-1.08,104028,23014360.6
2026-01-25,223.5,223.9,218.0,223.0,1.59,102628,22757473.2
2026-01-22,223.3,223.3,217.7,219.5,0.23,50893,11133293.5
2026-01-21,222.0,222.0,217.0,219.0,-0.9,111044,24322868.0
2026-01-20,219.9,222.0,217.5,221.0,1.84,164154,36039066.8
2026-01-18,217.0,218.4,213.5,217.0,0.23,84325,18219938.9
2026-01-14,217.0,217.0,212.7,216.5,0.7,93032,19973763.1
2026-01-13,215.0,216.2,212.4,215.0,0.05,46963,10048961.6
2026-01-12,213.0,217.5,213.0,214.9,0.33,59133,12727084.3
2026-01-08,209.5,216.5,209.5,214.2,0.23,27228,5798633.0
2026-01-07,212.2,216.5,212.2,213.7,-0.23,35425,7600398.7
2026-01-06,214.0,214.4,212.1,214.2,0.33,71212,15202311.5
2026-01-05,213.9,214.0,210.1,213.5,-0.14,27729,5890265.7
2026-01-04,211.0,213.8,209.2,213.8,0.42,34593,7282028.1
