date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,9.5,9.64,9.46,9.64,1.47,1300,12486.0
2026-02-11,9.44,9.63,9.44,9.5,0.53,13670,130246.35
2026-02-10,9.5,9.5,9.42,9.45,-0.53,1600,15102.0
2026-02-09,9.42,9.62,9.42,9.5,0.0,2705,25683.3
2026-02-08,9.36,9.5,9.36,9.5,-0.11,2300,21718.0
2026-02-05,9.41,9.73,9.41,9.51,-0.42,16200,156885.0
2026-02-04,9.35,9.72,9.35,9.55,0.53,4800,46075.0
2026-02-03,9.69,9.69,9.43,9.5,0.0,2300,22027.0
2026-02-02,9.54,9.73,9.5,9.5,-2.36,111178,1064179.14
2026-02-01,9.55,9.73,9.51,9.73,1.78,2300,22049.0
2026-01-29,9.5,9.71,9.5,9.56,0.63,4400,42300.5
2026-01-28,9.59,9.66,9.42,9.5,0.96,3000,28662.0
2026-01-27,9.41,9.9,9.24,9.41,-1.98,271332,2529424.68
2026-01-26,9.61,9.84,9.42,9.6,-0.52,37090,357571.49
2026-01-25,9.6,9.79,9.6,9.65,0.52,2300,22142.0
2026-01-22,9.43,9.8,9.43,9.6,-0.1,3920,38160.0
2026-01-21,9.42,9.79,9.42,9.61,0.1,16888,163217.8
2026-01-20,9.4,9.6,9.38,9.6,0.42,800,7592.0
2026-01-18,9.35,9.56,9.35,9.56,1.92,2700,25484.0
2026-01-14,9.21,9.38,9.21,9.38,1.96,3000,28073.0
2026-01-13,9.18,9.5,9.18,9.2,-0.76,3800,35634.0
2026-01-12,9.59,9.78,9.27,9.27,-1.49,7500,72593.0
2026-01-08,9.16,9.52,9.16,9.41,0.75,3200,30299.0
2026-01-07,9.25,9.43,9.25,9.34,-0.95,4100,38481.0
2026-01-06,9.22,9.58,9.22,9.43,0.32,5000,47477.0
2026-01-05,9.2,9.5,9.2,9.4,0.21,2200,20548.0
2026-01-04,9.15,9.38,9.15,9.38,0.54,1800,16675.0
2026-01-01,9.43,9.43,9.33,9.33,0.11,3100,29163.0
2025-12-31,9.26,9.4,9.26,9.32,0.0,40785,383297.5
2025-12-29,9.2,9.32,9.2,9.32,-0.21,800,7416.0
2025-12-28,9.31,9.34,9.16,9.34,-1.68,3140,29245.6
2025-12-24,9.61,9.61,9.39,9.5,-2.56,9800,93564.0
2025-12-23,9.12,9.77,9.12,9.75,5.75,24500,237033.0
2025-12-22,9.12,9.35,9.12,9.22,0.99,82165,764945.45
2025-12-21,9.12,9.32,9.12,9.13,-1.72,69300,634500.0
2025-12-18,9.09,9.29,9.09,9.29,1.98,7425,67888.45
2025-12-17,9.25,9.3,9.07,9.11,-1.51,1600,14728.0
2025-12-16,9.25,9.25,9.25,9.25,-1.7,100,925.0
2025-12-15,9.4,9.41,9.22,9.41,-0.53,3050,28560.5
2025-12-14,9.0,9.46,8.94,9.46,3.73,113500,1050242.74
2025-12-11,9.05,9.18,9.03,9.12,1.33,2761,25065.98
2025-12-10,8.92,9.15,8.92,9.0,-0.77,82600,751732.0
2025-12-09,9.01,9.07,9.01,9.07,0.78,1100,9929.0
2025-12-08,9.02,9.3,8.84,9.0,-2.07,48900,441405.0
2025-12-07,8.92,9.19,8.92,9.19,2.0,2700,24483.0
2025-12-03,9.18,9.18,9.0,9.01,0.11,1300,11776.0
2025-12-02,8.94,9.0,8.94,9.0,-1.1,700,6288.0
2025-12-01,9.18,9.18,9.1,9.1,-2.57,26400,240590.0
2025-11-30,9.2,9.34,9.07,9.34,1.85,2100,19167.0
2025-11-27,8.85,9.3,8.85,9.17,3.15,6550,58936.0
2025-11-26,8.86,8.89,8.86,8.89,-1.22,1500,13308.0
2025-11-25,8.96,9.22,8.96,9.0,-0.44,2700,24349.0
2025-11-24,8.95,9.23,8.95,9.04,-0.11,1450,13206.5
2025-11-23,8.95,9.1,8.95,9.05,-0.22,13050,118289.75
2025-11-20,9.07,9.07,9.07,9.07,-1.84,200,1814.0
2025-11-19,9.0,9.25,9.0,9.24,1.54,3100,28396.0
2025-11-18,8.99,9.14,8.87,9.1,1.22,4730,42876.0
2025-11-17,8.81,8.99,8.81,8.99,0.45,1500,13435.0
2025-11-16,8.9,9.0,8.85,8.95,1.02,6538,58205.3
2025-11-13,8.85,8.99,8.85,8.86,0.45,8200,72810.0
2025-11-12,8.76,8.82,8.76,8.82,-0.45,1500,13207.0
2025-11-11,9.02,9.03,8.84,8.86,-3.7,15400,136569.0
2025-11-10,9.2,9.3,9.2,9.2,-1.71,4300,39580.0
2025-11-09,9.36,9.36,9.36,9.36,1.96,100,936.0
2025-11-06,9.0,9.18,9.0,9.18,2.0,500,4522.0
2025-11-05,9.0,9.12,9.0,9.0,-1.32,1100,9936.0
2025-11-04,9.3,9.3,9.12,9.12,-1.94,650,6000.0
2025-11-03,9.3,9.4,9.3,9.3,0.0,23500,220835.0
2025-11-02,9.25,9.4,9.25,9.3,0.54,4350,40765.0
2025-10-30,9.25,9.32,9.25,9.25,0.54,13000,120411.0
2025-10-29,9.15,9.25,9.15,9.2,0.11,700,6460.0
2025-10-28,9.01,9.19,9.01,9.19,2.0,1200,11010.0
2025-10-26,9.01,9.01,9.0,9.01,0.11,6240,56166.0
2025-10-19,9.0,9.0,9.0,9.0,-1.1,200,1800.0
2025-10-16,9.2,9.21,9.1,9.1,0.78,34500,317238.0
2025-10-15,9.02,9.19,9.02,9.03,-0.77,7900,72299.0
2025-10-14,9.02,9.1,9.02,9.1,-0.22,1900,17146.0
2025-10-13,9.02,9.12,9.0,9.12,0.0,8300,74879.0
2025-10-12,9.11,9.15,9.11,9.12,0.22,4215,38516.25
2025-10-09,9.02,9.29,9.02,9.1,-1.09,7300,66443.0
2025-10-08,9.3,9.3,9.2,9.2,-1.92,12565,115623.5
2025-10-07,9.4,9.4,9.07,9.38,1.41,3275,30400.25
2025-09-28,9.15,9.25,9.1,9.25,0.11,1700,15595.0
2025-09-25,9.0,9.24,9.0,9.24,2.67,2700,24720.0
2025-09-24,8.99,9.02,8.99,9.0,-0.22,850,7653.0
2025-09-23,9.16,9.16,8.98,9.02,-3.32,1030,9317.8
2025-09-21,9.0,9.36,9.0,9.33,3.67,1420,13080.2
2025-09-18,9.0,9.0,9.0,9.0,-1.32,7000,63000.0
2025-09-08,9.11,9.12,9.11,9.12,-0.33,1450,13221.0
2025-09-07,9.1,9.2,9.1,9.15,-0.33,600,5495.0
2025-09-04,9.2,9.2,9.15,9.18,-0.76,14660,134588.0
2025-09-03,9.3,9.3,9.12,9.25,0.0,58600,542537.0
2025-09-02,9.1,9.25,9.1,9.25,1.09,7303,67337.3
2025-09-01,9.1,9.28,9.1,9.15,0.55,2900,26765.0
2025-08-31,9.22,9.25,9.07,9.1,0.33,8335,75895.5
2025-08-28,9.13,9.32,9.07,9.07,-0.77,68280,625284.8
2025-08-27,9.13,9.3,9.13,9.14,0.11,1400,12822.0
2025-08-26,9.12,9.31,9.12,9.13,-0.44,703,6469.93
2025-08-25,9.15,9.17,9.15,9.17,-1.4,9500,86927.0
2025-08-24,9.24,9.4,9.24,9.3,0.65,2100,19528.0
2025-08-21,9.15,9.24,9.15,9.24,-0.32,5265,48576.7
2025-08-20,9.15,9.43,9.15,9.27,1.31,81719,757932.75
2025-08-19,9.2,9.3,9.13,9.15,-1.61,1200,11013.0
2025-08-18,9.4,9.78,9.25,9.3,-3.02,1300,12166.0
2025-08-17,9.4,9.66,9.3,9.59,0.0,17390,163802.6
2025-08-14,9.4,9.75,9.4,9.59,0.1,4277,40370.8
2025-08-13,9.52,9.79,9.52,9.58,-1.24,15200,146519.0
2025-08-12,9.5,9.86,9.33,9.7,0.21,84800,825404.58
2025-08-11,9.22,9.8,9.22,9.68,3.09,251024,2427397.35
