date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,539.2,593.6,539.2,558.0,1.82,27881,15541740.2
2026-02-11,544.1,550.0,540.0,548.0,-1.24,6467,3520900.2
2026-02-10,555.0,562.0,549.0,554.9,-0.64,3374,1868185.5
2026-02-09,556.0,560.0,552.0,558.5,-0.8,7815,4338080.5
2026-02-08,546.3,572.9,546.3,563.0,3.08,38970,21952504.2
2026-02-05,540.0,554.9,540.0,546.2,-0.67,11863,6469480.6
2026-02-04,554.0,555.0,534.3,549.9,-0.92,9869,5428303.6
2026-02-03,569.0,569.0,539.9,555.0,-0.89,25498,13910970.3
2026-02-02,539.1,586.0,539.1,560.0,2.19,11444,6400048.9
2026-02-01,550.1,553.0,543.0,548.0,-1.79,3725,2042169.2
2026-01-29,560.0,575.0,558.0,558.0,-2.07,20475,11626933.0
2026-01-28,545.1,570.0,545.1,569.8,2.67,15292,8530468.0
2026-01-27,562.1,585.0,555.0,555.0,-2.29,9440,5368067.8
2026-01-26,550.1,574.2,541.2,568.0,3.65,21567,12006050.7
2026-01-25,535.1,555.0,535.1,548.0,1.48,5158,2816300.0
2026-01-22,538.5,549.2,535.4,540.0,-1.64,4091,2211997.9
2026-01-21,550.0,553.5,545.1,549.0,-0.9,6489,3556288.5
2026-01-20,544.0,555.0,540.0,554.0,3.55,14828,8145127.0
2026-01-18,515.0,547.9,515.0,535.0,3.04,12552,6699554.8
2026-01-14,525.2,536.0,519.2,519.2,-2.59,7138,3762469.0
2026-01-13,544.0,544.0,520.0,533.0,-0.17,9530,5047085.2
2026-01-12,545.0,545.0,530.0,533.9,-0.76,9178,4937025.6
2026-01-08,530.1,539.8,530.1,538.0,-0.37,4367,2342562.0
2026-01-07,536.0,540.0,534.1,540.0,-0.92,5629,3019688.9
2026-01-06,535.1,549.0,535.1,545.0,0.0,5719,3092607.0
2026-01-05,545.7,545.7,530.0,545.0,1.87,11408,6132868.0
2026-01-04,537.7,540.1,530.1,535.0,-1.83,8274,4440200.8
2026-01-01,546.0,554.8,542.1,545.0,-0.67,7335,4008224.8
2025-12-31,550.0,568.9,548.7,548.7,-1.98,1980,1091582.0
2025-12-29,553.7,562.0,553.7,559.8,-0.92,3564,1990705.0
2025-12-28,541.2,573.3,541.2,565.0,2.32,3091,1744868.3
2025-12-24,538.8,570.0,538.8,552.2,0.45,6137,3444808.4
2025-12-23,533.7,549.7,533.7,549.7,0.96,4020,2196014.5
2025-12-22,550.0,551.0,539.0,544.5,-2.42,5439,2960388.8
2025-12-21,551.8,562.0,550.1,558.0,-0.89,2742,1519190.2
2025-12-18,563.2,575.0,560.0,563.0,-2.02,9554,5401733.5
2025-12-17,560.0,575.0,560.0,574.6,0.81,3642,2067401.3
2025-12-16,560.0,575.0,560.0,570.0,0.35,9225,5257207.0
2025-12-15,563.5,571.0,554.0,568.0,-1.22,13715,7702785.0
2025-12-14,567.7,585.0,563.0,575.0,-0.73,5450,3094953.0
2025-12-11,571.3,589.0,571.3,579.2,-0.63,5863,3385468.1
2025-12-10,563.5,591.6,563.5,582.9,1.37,13796,8057827.8
2025-12-09,569.5,585.9,557.0,575.0,1.05,7963,4594571.5
2025-12-08,540.0,575.2,540.0,569.0,4.19,14762,8315539.1
2025-12-07,541.5,550.0,541.5,546.1,-0.36,2319,1268161.4
2025-12-03,541.0,562.8,541.0,548.1,-0.36,4003,2201653.0
2025-12-02,545.4,555.8,545.2,550.1,-0.09,2627,1449652.7
2025-12-01,550.4,560.9,550.4,550.6,-1.15,2410,1337574.0
2025-11-30,565.0,578.9,556.2,557.0,-1.94,5052,2850603.5
2025-11-27,561.0,573.5,560.0,568.0,-0.16,4190,2370630.0
2025-11-26,565.0,578.0,565.0,568.9,0.0,5194,2979423.2
2025-11-25,558.0,570.0,558.0,568.9,0.65,3381,1916535.4
2025-11-24,573.5,582.8,564.0,565.2,0.36,6799,3861349.5
2025-11-23,553.2,570.0,553.2,563.2,0.57,6190,3493287.0
2025-11-20,548.8,570.0,548.8,560.0,0.0,4080,2272233.0
2025-11-19,563.9,563.9,546.4,560.0,-0.69,5189,2871158.7
2025-11-18,564.0,575.0,544.0,563.9,1.95,3653,2076511.0
2025-11-17,554.1,564.5,551.4,553.1,-0.74,1233,684783.0
2025-11-16,561.0,570.0,550.3,557.2,-0.68,7611,4272295.3
2025-11-13,553.0,561.0,543.8,561.0,1.3,2610,1447833.0
2025-11-12,548.2,560.0,545.0,553.8,-0.02,734,402051.2
2025-11-11,541.1,565.0,541.1,553.9,0.34,2612,1448925.4
2025-11-10,545.1,554.8,543.0,552.0,-0.54,2012,1100853.4
2025-11-09,544.0,555.0,540.1,555.0,0.09,2350,1283619.0
2025-11-06,562.0,562.0,541.0,554.5,0.47,2760,1509663.0
2025-11-05,543.0,554.0,543.0,551.9,-0.09,2280,1244243.0
2025-11-04,560.0,569.0,542.1,552.4,-1.34,2848,1560113.4
2025-11-03,580.0,580.0,553.0,559.9,-1.58,3068,1714502.0
2025-11-02,567.0,569.6,556.0,568.9,1.59,5700,3215682.1
2025-10-30,560.0,569.0,550.0,560.0,0.04,2370,1328039.0
2025-10-29,567.8,568.0,550.0,559.8,0.14,3715,2070856.5
2025-10-28,535.0,560.0,535.0,559.0,3.52,7976,4348538.8
2025-10-26,530.3,542.0,523.1,540.0,0.19,1780,945583.0
2025-10-19,532.0,547.9,529.2,539.0,-0.19,4026,2157825.0
2025-10-16,561.0,595.2,520.0,540.0,-1.82,2004,1076344.0
2025-10-15,555.1,558.0,544.0,550.0,-0.92,3105,1700718.5
2025-10-14,565.0,565.0,555.0,555.1,-2.61,1675,934594.0
2025-10-13,552.5,585.0,544.0,570.0,1.12,4094,2273858.5
2025-10-12,574.0,574.0,552.7,563.7,-3.64,7686,4328860.9
2025-10-09,596.7,619.0,574.2,585.0,0.0,3452,2027259.0
2025-10-08,612.0,612.0,571.0,585.0,-2.5,3503,2025724.0
2025-10-07,601.8,606.0,588.5,600.0,-2.28,5936,3552530.0
