date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,805.0,830.0,805.0,830.0,2.22,3644,2993106.0
2026-02-11,823.0,835.0,806.1,812.0,0.62,2395,1950086.0
2026-02-10,815.0,829.2,805.7,807.0,-0.74,3211,2619656.6
2026-02-09,813.1,829.1,813.0,813.0,-1.8,1270,1036104.0
2026-02-08,821.0,846.0,821.0,827.9,-0.85,6576,5470264.5
2026-02-05,815.0,835.0,815.0,835.0,2.32,3322,2736193.0
2026-02-04,806.0,826.2,806.0,816.1,-0.22,1115,910619.0
2026-02-03,810.1,840.0,810.1,817.9,0.96,3515,2864334.5
2026-02-02,815.0,846.0,800.0,810.1,0.0,1046,852205.0
2026-02-01,810.0,836.0,803.6,810.1,-1.21,2379,1927665.7
2026-01-29,821.0,835.0,811.1,820.0,0.0,2913,2381741.5
2026-01-28,844.9,844.9,815.0,820.0,-1.2,5543,4568124.0
2026-01-27,832.2,852.0,824.0,830.0,-0.72,7725,6461156.1
2026-01-26,850.0,860.0,835.0,836.0,-2.56,5083,4285550.1
2026-01-25,860.0,862.0,843.0,858.0,0.69,3105,2640387.0
2026-01-22,850.7,880.0,834.0,852.1,-1.83,5425,4635018.5
2026-01-21,813.4,909.0,813.4,868.0,4.58,13035,11292730.1
2026-01-20,801.6,830.0,801.6,830.0,1.48,5014,4098769.8
2026-01-18,800.0,832.3,793.0,817.9,1.35,4737,3884188.6
2026-01-14,795.0,812.0,795.0,807.0,0.88,5994,4853879.9
2026-01-13,800.0,804.5,795.1,800.0,0.0,2154,1721838.2
2026-01-12,793.0,811.8,792.5,800.0,0.0,2632,2109827.4
2026-01-08,800.0,805.0,795.1,800.0,0.0,2973,2384751.0
2026-01-07,800.0,800.0,795.0,800.0,-0.62,4045,3226056.0
2026-01-06,796.0,812.0,795.7,805.0,1.13,4236,3384080.2
2026-01-05,793.0,805.9,793.0,796.0,0.32,3650,2910777.8
2026-01-04,785.2,800.0,785.2,793.5,0.06,1217,967613.2
2026-01-01,783.1,800.0,783.1,793.0,-0.51,2154,1703924.0
2025-12-31,800.0,805.0,796.1,797.1,-0.98,1524,1218245.0
2025-12-29,792.1,811.0,792.1,805.0,0.0,1384,1111133.3
2025-12-28,800.0,805.0,793.0,805.0,1.45,1341,1072051.0
2025-12-24,791.0,807.0,791.0,793.5,0.32,1067,856860.5
2025-12-23,805.8,810.0,790.2,791.0,0.13,1743,1391648.0
2025-12-22,799.0,800.0,784.1,790.0,-0.37,3955,3133973.8
2025-12-21,790.0,800.0,790.0,792.9,-0.89,660,523561.0
2025-12-18,810.0,810.1,800.0,800.0,-1.03,1822,1463674.0
2025-12-17,800.3,815.0,800.3,808.3,-0.22,1423,1152278.5
2025-12-16,810.0,819.7,807.1,810.1,0.26,1398,1133295.0
2025-12-15,806.0,819.8,805.0,808.0,0.25,2261,1825681.3
2025-12-14,805.0,817.9,802.0,806.0,0.12,3417,2754400.2
2025-12-11,814.0,818.0,801.1,805.0,0.37,1691,1362647.0
2025-12-10,800.1,807.0,800.1,802.0,-0.68,523,419849.0
2025-12-09,790.0,812.9,790.0,807.5,1.51,1810,1461551.0
2025-12-08,790.0,805.0,790.0,795.5,-1.18,1530,1217065.5
2025-12-07,827.0,832.3,805.0,805.0,-1.35,5712,4670758.0
2025-12-03,814.0,829.0,810.0,816.0,0.25,2516,2039017.2
2025-12-02,813.9,828.0,810.0,814.0,1.48,6664,5457632.0
2025-12-01,800.0,808.0,791.5,802.1,0.07,757,604467.0
2025-11-30,800.0,822.5,800.0,801.5,-1.05,4705,3799206.0
2025-11-27,802.0,820.0,796.0,810.0,0.14,2119,1702633.6
2025-11-26,780.0,810.0,780.0,808.9,1.75,1748,1412821.0
2025-11-25,790.0,800.0,790.0,795.0,-0.08,2200,1748775.5
2025-11-24,790.0,808.0,785.2,795.6,0.71,4957,3963720.9
2025-11-23,773.0,800.0,773.0,790.0,1.02,3027,2389534.0
2025-11-20,780.0,784.5,777.2,782.0,0.0,1942,1512821.4
2025-11-19,796.0,796.0,782.0,782.0,0.13,1022,802753.6
2025-11-18,785.0,790.0,780.1,781.0,-0.13,1100,863459.0
2025-11-17,770.0,788.0,770.0,782.0,0.5,1353,1052812.0
2025-11-16,775.0,785.0,775.0,778.1,0.65,717,558881.0
2025-11-13,781.0,783.0,773.1,773.1,-1.26,1625,1267566.0
2025-11-12,782.0,790.0,777.0,783.0,-0.57,2447,1911039.9
2025-11-11,781.0,800.0,781.0,787.5,-0.43,808,640479.6
2025-11-10,790.0,800.0,780.1,790.9,-0.14,2085,1642680.5
2025-11-09,788.1,799.9,788.0,792.0,-0.88,2798,2209444.0
2025-11-06,815.0,815.0,799.0,799.0,-1.22,2067,1655995.0
2025-11-05,810.0,810.0,785.7,808.9,1.48,2541,2042963.3
2025-11-04,806.0,815.8,792.0,797.1,-2.53,3445,2761975.0
2025-11-03,801.0,820.0,801.0,817.8,0.7,2143,1744473.1
2025-11-02,801.5,816.0,801.5,812.1,0.73,916,744269.0
2025-10-30,811.9,825.0,790.0,806.2,1.28,2388,1909013.1
2025-10-29,810.0,827.0,795.8,796.0,-1.97,2473,1984406.0
2025-10-28,812.3,820.0,785.0,812.0,1.75,2392,1930821.0
2025-10-26,773.5,800.0,767.0,798.0,1.13,1862,1442334.0
2025-10-19,799.9,809.0,789.0,789.1,0.52,612,486428.3
2025-10-16,786.0,792.0,768.1,785.0,-1.51,1103,858808.0
2025-10-15,807.0,807.0,790.9,797.0,0.24,540,429122.0
2025-10-14,793.0,799.0,793.0,795.1,-1.72,733,582865.0
2025-10-13,794.0,809.0,775.0,809.0,-0.11,3001,2352517.5
2025-10-12,823.2,823.2,785.0,809.9,-3.58,5563,4431168.6
2025-10-09,832.0,882.0,823.0,840.0,0.93,2049,1704324.0
2025-10-08,835.0,841.0,810.6,832.3,-1.5,2096,1717886.2
2025-10-07,867.0,867.0,830.0,845.0,-0.59,930,776315.0
2025-09-28,848.6,850.0,831.7,850.0,2.16,1170,984990.4
2025-09-25,820.0,832.0,820.0,832.0,-0.24,420,346591.5
2025-09-24,838.0,839.0,820.0,834.0,0.0,1190,987532.7
2025-09-23,825.0,839.9,818.5,834.0,3.07,2377,1969418.3
2025-09-21,766.5,818.9,766.5,809.14,3.46,6888,5530095.6
2025-09-18,830.1,830.1,782.1,782.1,-5.85,260,205107.0
2025-09-08,831.0,837.4,830.0,830.7,-1.22,615,512534.5
2025-09-07,846.3,850.0,840.0,840.97,-1.63,2166,1825700.0
2025-09-04,860.0,860.0,846.4,854.9,-0.6,1056,900572.5
2025-09-03,840.0,862.0,840.0,860.04,1.42,2878,2440368.5
2025-09-02,855.0,855.0,846.0,848.04,-1.06,1327,1126504.0
2025-09-01,845.0,860.0,845.0,857.1,0.99,2288,1946590.9
2025-08-31,851.5,856.0,845.0,848.7,-0.23,2263,1921909.9
2025-08-28,861.0,861.0,850.0,850.69,-1.23,5276,4495600.2
2025-08-27,869.0,869.0,847.0,861.25,0.83,1942,1657113.6
2025-08-26,860.0,867.5,851.6,854.15,0.42,2214,1890089.6
2025-08-25,849.0,857.0,836.1,850.55,0.1,3353,2832954.4
2025-08-24,844.0,855.0,843.6,849.66,0.06,6587,5591159.1
2025-08-21,850.0,862.0,848.0,849.14,-0.73,4504,3838775.9
2025-08-20,862.0,879.0,855.0,855.35,-0.79,10689,9158946.5
2025-08-19,876.0,876.0,859.0,862.19,-0.44,10837,9339378.5
2025-08-18,855.5,870.0,855.5,866.02,-0.47,5249,4535292.1
2025-08-17,878.0,883.0,868.0,870.08,-2.11,4414,3857771.6
2025-08-14,875.1,895.0,875.1,888.82,0.22,2379,2118402.1
2025-08-13,890.0,900.0,882.0,886.91,-0.21,2449,2176908.0
2025-08-12,901.0,901.0,887.0,888.8,-1.39,3108,2765246.0
2025-08-11,903.0,915.0,895.0,901.29,-0.19,7417,6713585.7
2025-08-07,895.1,910.0,895.1,903.0,-0.12,3484,3139476.2
2025-08-06,900.0,906.0,891.0,904.07,-0.33,4241,3824090.3
2025-08-05,916.0,916.3,905.0,907.02,-0.47,2347,2130065.8
2025-08-04,905.0,920.0,902.2,911.3,0.36,4151,3776624.9
